Rnk,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,Time won/lost,year,stage
1,Schleck Fr\xe4nk,30,Saxo Bank,100.0,250.0,1,+0:00,35:02:00 35:02:00,+0:00,2010,8
2,Armstrong Lance,38,RadioShack,80.0,190.0,2,+0:12,0:12 0:12,+0:12,2010,8
3,Fuglsang Jakob,25,Saxo Bank,70.0,160.0,3,+0:17,0:17 0:17,+0:17,2010,8
4,Morabito Steve,27,BMC Racing Team,60.0,140.0,4,+0:23,0:23 0:23,+0:23,2010,8
5,Gesink Robert,24,Rabobank ProTeam,50.0,120.0,5,+0:27,0:27 0:27,+0:27,2010,8
6,Martin Tony,25,Team HTC - Columbia,40.0,110.0,6,+0:27,",, 0:27",+0:27,2010,8
7,Uran Rigoberto,23,Caisse d'Epargne,30.0,100.0,7,+0:33,0:33 0:33,+0:33,2010,8
8,Kl\xf6den Andr\xe9as,34,RadioShack,20.0,90.0,8,+0:48,0:48 0:48,+0:48,2010,8
9,Rodr\xedguez Joaquim,31,Team Katusha,10.0,80.0,9,+1:09,1:09 1:09,+1:09,2010,8
10,Leipheimer Levi,36,RadioShack,4.0,70.0,10,+1:14,1:14 1:14,+1:14,2010,8
11,Larsson Gustav,29,Saxo Bank,,60.0,11,+1:20,1:20 1:20,+1:20,2010,8
12,L\xf6fkvist Thomas,26,Sky Procycling,,55.0,12,+1:38,1:38 1:38,+1:38,2010,8
13,Zaugg Oliver,29,Liquigas - Doimo,,50.0,13,+1:46,1:46 1:46,+1:46,2010,8
14,Schleck Andy,25,Saxo Bank,,45.0,14,+1:57,1:57 1:57,+1:57,2010,8
15,Carrara Matteo,31,Vacansoleil,,40.0,15,+1:57,",, 1:57",+1:57,2010,8
16,Kreuziger Roman,24,Liquigas - Doimo,,36.0,16,+2:05,2:05 2:05,+2:05,2010,8
17,Devolder Stijn,30,Quickstep - Innergetic,,32.0,17,+2:12,2:12 2:12,+2:12,2010,8
18,Monfort Maxime,27,Team HTC - Columbia,,28.0,18,+3:13,3:13 3:13,+3:13,2010,8
19,Roche Nicolas,25,AG2R La Mondiale,,24.0,19,+4:36,4:36 4:36,+4:36,2010,8
20,Lagutin Sergey,29,Vacansoleil,,20.0,20,+4:47,4:47 4:47,+4:47,2010,8
21,Pietropolli Daniele,29,Lampre - Farnese Vini,,18.0,21,+4:58,4:58 4:58,+4:58,2010,8
22*,Barredo Carlos,29,Quickstep - Innergetic,,,22*,+5:19,5:19 5:19,+5:19,2010,8
