Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,GC,GC-Time,Time,Time won/lost,year,stage
1,1,-,85,Dumoulin Tom,24,Team Giant - Alpecin,1,+0:00,3:42:37 3:42:37,+0:00,2015,2
2,10,\u25b28,52,Thomas Geraint,29,Team Sky,2,+0:07,0:07 0:07,+0:00,2015,2
3,48,\u25b245,77,Moreno Daniel,33,Team Katusha,3,+0:11,0:11 0:11,+-1:54,2015,2
4,32,\u25b228,151,Fuglsang Jakob,30,Astana Pro Team,4,+0:14,0:14 0:14,+0:00,2015,2
5,4,\u25bc1,41,Sagan Peter,25,Tinkoff - Saxo,5,+0:15,0:15 0:15,+0:10,2015,2
6,5,\u25bc1,136,Morabito Steve,32,FDJ,6,+0:15,",, 0:15",+0:10,2015,2
7,41,\u25b234,131,Pinot Thibaut,25,FDJ,7,+0:16,0:16 0:16,+0:00,2015,2
8,129,\u25b2121,7,Durasek Kristijan,27,Lampre - Merida,8,+0:18,0:18 0:18,+-1:46,2015,2
9,15,\u25b26,15,Jungels Bob,22,Trek Factory Racing,9,+0:19,0:19 0:19,+0:10,2015,2
10,65,\u25b255,78,Spilak Simon,28,Team Katusha,10,+0:19,",, 0:19",+0:00,2015,2
11,87,\u25b276,12,Arredondo Juli\xe1n David,26,Trek Factory Racing,11,+0:19,",, 0:19",+-1:56,2015,2
12,24,\u25b212,111,Anacona Winner,26,Movistar Team,12,+0:21,0:21 0:21,+0:10,2015,2
13,99,\u25b286,156,Lopez Miguel Angel,21,Astana Pro Team,13,+0:26,0:26 0:26,+0:00,2015,2
14,59,\u25b245,161,Pozzovivo Domenico,32,AG2R La Mondiale,14,+0:29,0:29 0:29,+0:10,2015,2
15,64,\u25b249,26,Reichenbach Sebastien,26,IAM Cycling,15,+0:29,",, 0:29",+0:10,2015,2
16,75,\u25b259,33,Hermans Ben,29,BMC Racing Team,16,+0:32,0:32 0:32,+0:10,2015,2
17,77,\u25b260,61,Gesink Robert,29,Team LottoNL-Jumbo,17,+0:32,",, 0:32",+0:10,2015,2
18,110,\u25b292,102,Chaves Johan Esteban,25,Orica GreenEDGE,18,+0:39,0:39 0:39,+0:10,2015,2
19,6,\u25bc13,37,Van Avermaet Greg,30,BMC Racing Team,19,+1:01,1:01 1:01,+0:56,2015,2
20,12,\u25bc8,21,Elmiger Martin,36,IAM Cycling,20,+1:06,1:06 1:06,+0:57,2015,2
21,16,\u25bc5,101,Albasini Michael,34,Orica GreenEDGE,21,+1:06,",, 1:06",+0:57,2015,2
22,8,\u25bc14,114,Izagirre Ion,26,Movistar Team,22,+1:07,1:07 1:07,+1:01,2015,2
23,30,\u25b27,57,Siutsou Kanstantsin,32,Team Sky,23,+1:09,1:09 1:09,+0:57,2015,2
24,42,\u25b218,158,Lutsenko Alexey,22,Astana Pro Team,24,+1:13,1:13 1:13,+0:57,2015,2
25,46,\u25b221,117,Rojas Jos\xe9 Joaqu\xedn,30,Movistar Team,25,+1:14,1:14 1:14,+0:57,2015,2
26,49,\u25b223,163,Bakelants Jan,29,AG2R La Mondiale,26,+1:14,",, 1:14",+0:57,2015,2
27,58,\u25b231,181,Gasparotto Enrico,33,Wanty - Groupe Gobert,27,+1:15,1:15 1:15,+0:57,2015,2
28,72,\u25b244,143,Brambilla Gianluca,27,Etixx - Quick Step,28,+1:17,1:17 1:17,+0:57,2015,2
29,76,\u25b247,51,Henao Sergio Luis,27,Team Sky,29,+1:19,1:19 1:19,+0:57,2015,2
30,79,\u25b249,121,Van den Broeck Jurgen,32,Lotto Soudal,30,+1:19,",, 1:19",+0:57,2015,2
31,85,\u25b254,184,de Greef Francis,30,Wanty - Groupe Gobert,31,+1:20,1:20 1:20,+0:57,2015,2
32,67,\u25b235,46,Majka Rafa\u0142,25,Tinkoff - Saxo,32,+1:21,1:21 1:21,+1:01,2015,2
33,96,\u25b263,112,Capecchi Eros,29,Movistar Team,33,+1:22,1:22 1:22,+0:57,2015,2
34,100,\u25b266,5,Niemiec Przemyslaw,35,Lampre - Merida,34,+1:24,1:24 1:24,+0:57,2015,2
35,101,\u25b266,53,Lopez David,34,Team Sky,35,+1:24,",, 1:24",+0:57,2015,2
36,109,\u25b273,175,Rebellin Davide,43,CCC Sprandi Polkowice,36,+1:26,1:26 1:26,+0:57,2015,2
37,112,\u25b275,4,Conti Valerio,22,Lampre - Merida,37,+1:26,",, 1:26",+0:57,2015,2
38,139,\u25b2101,65,ten Dam Laurens,34,Team LottoNL-Jumbo,38,+1:35,1:35 1:35,+1:01,2015,2
39,82,\u25b243,174,Schumacher Stefan,33,CCC Sprandi Polkowice,39,+2:38,2:38 2:38,+2:15,2015,2
40,88,\u25b248,83,Barguil Warren,23,Team Giant - Alpecin,40,+2:39,2:39 2:39,+2:15,2015,2
