Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,UCI.1,\u25bc\u25b2,stage,year
30,105,1,+0:00,,2,Roelandts Jurgen,1,Lotto Soudal,4:42:56 4:42:56,+0:00,10.0,,\u25b21,2,2016
35,11,2,+0:01,,1,Cancellara Fabian,2,Trek - Segafredo,0:01 0:01,+0:02,,,\u25bc1,2,2016
25,23,3,+0:06,,3,Durbridge Luke,3,Orica GreenEDGE,0:06 0:06,+0:05,,,-,2,2016
26,41,4,+0:10,,30,Sagan Peter,4,Tinkoff,0:10 0:10,+-1:52,,,\u25b226,2,2016
37,144,5,+0:10,,4,Elmiger Martin,5,IAM Cycling,",, 0:10",+0:05,,,\u25bc1,2,2016
27,171,6,+0:10,,5,Izagirre Ion,6,Movistar Team,",, 0:10",+0:05,,,\u25bc1,2,2016
25,101,7,+0:11,,6,Wellens Tim,7,Lotto Soudal,0:11 0:11,+0:05,,,\u25bc1,2,2016
25,134,8,+0:13,,7,Le Bon Johan,8,FDJ,0:13 0:13,+0:05,,,\u25bc1,2,2016
25,33,9,+0:13,,8,Dillier Silvan,9,BMC Racing Team,",, 0:13",+0:05,,,\u25bc1,2,2016
28,176,10,+0:14,,9,Izagirre Gorka,10,Movistar Team,0:14 0:14,+0:05,,,\u25bc1,2,2016
25,65,11,+0:14,,10,Kelderman Wilco,11,Team LottoNL-Jumbo,",, 0:14",+0:05,,,\u25bc1,2,2016
25,116,12,+0:14,,11,Lampaert Yves,12,Etixx - Quick Step,",, 0:14",+0:05,,,\u25bc1,2,2016
25,22,13,+0:15,,26,Matthews Michael,13,Orica GreenEDGE,0:15 0:15,+-1:58,,,\u25b213,2,2016
24,17,14,+0:15,,17,Stuyven Jasper,14,Trek - Segafredo,",, 0:15",+0:02,,,\u25b23,2,2016
32,67,15,+0:16,,12,Martens Paul,15,Team LottoNL-Jumbo,0:16 0:16,+0:05,,,\u25bc3,2,2016
23,115,16,+0:16,,13,Vakoc Petr,16,Etixx - Quick Step,",, 0:16",+0:05,,,\u25bc3,2,2016
30,51,17,+0:16,,14,Thomas Geraint,17,Team Sky,",, 0:16",+0:05,,,\u25bc3,2,2016
30,83,18,+0:17,,15,Geschke Simon,18,Team Giant - Alpecin,0:17 0:17,+0:05,,,\u25bc3,2,2016
30,145,19,+0:18,,16,Hollenstein Reto,19,IAM Cycling,0:18 0:18,+0:05,,,\u25bc3,2,2016
26,66,20,+0:18,,18,Lindeman Bert-Jan,20,Team LottoNL-Jumbo,",, 0:18",+0:05,,,\u25bc2,2,2016
29,48,21,+0:18,,19,Boaro Manuele,21,Tinkoff,",, 0:18",+0:05,,,\u25bc2,2,2016
37,68,22,+0:20,,20,Tankink Bram,22,Team LottoNL-Jumbo,0:20 0:20,+0:05,,,\u25bc2,2,2016
33,117,23,+0:20,,42,Richeze Ariel Maximiliano,23,Etixx - Quick Step,",, 0:20",+-1:56,,,\u25b219,2,2016
22,164,24,+0:20,,21,Latour Pierre,24,AG2R La Mondiale,",, 0:20",+0:05,,,\u25bc3,2,2016
29,188,25,+0:20,,22,Marycz Jaroslaw,25,CCC Sprandi Polkowice,",, 0:20",+0:05,,,\u25bc3,2,2016
26,142,26,+0:20,,23,Br\xe4ndle Matthias,26,IAM Cycling,",, 0:20",+0:05,,,\u25bc3,2,2016
30,152,27,+0:21,,24,Boom Lars,27,Astana Pro Team,0:21 0:21,+0:05,,,\u25bc3,2,2016
32,143,28,+0:22,,27,Devenyns Dries,28,IAM Cycling,0:22 0:22,+0:05,,,\u25bc1,2,2016
34,55,29,+0:22,,29,Kiryienka Vasil,29,Team Sky,",, 0:22",+0:05,,,-,2,2016
27,146,30,+0:25,,31,Pantano Jarlinson,30,IAM Cycling,0:25 0:25,+0:05,,,\u25b21,2,2016
23,43,31,+0:25,,32,McCarthy Jay,31,Tinkoff,",, 0:25",+0:05,,,\u25b21,2,2016
29,184,32,+0:25,,33,De La Parte V\xedctor,32,CCC Sprandi Polkowice,",, 0:25",+0:05,,,\u25b21,2,2016
25,85,33,+0:26,,35,Ludvigsson Tobias,33,Team Giant - Alpecin,0:26 0:26,+0:05,,,\u25b22,2,2016
22,151,34,+0:27,,36,Lopez Miguel Angel,34,Astana Pro Team,0:27 0:27,+0:05,,,\u25b22,2,2016
27,108,35,+0:27,,37,Wallays Jelle,35,Lotto Soudal,",, 0:27",+0:05,,,\u25b22,2,2016
24,2,36,+0:28,,40,Bystr\xf8m Sven Erik,36,Team Katusha,0:28 0:28,+0:05,,,\u25b24,2,2016
21,114,37,+0:28,,41,Gaviria Fernando,37,Etixx - Quick Step,",, 0:28",+0:05,,,\u25b24,2,2016
30,191,38,+0:29,,43,Kohler Martin,38,Team Roth,0:29 0:29,+0:05,,,\u25b25,2,2016
26,3,39,+0:30,,44,Chernetski Sergei,39,Team Katusha,0:30 0:30,+0:05,,,\u25b25,2,2016
27,91,40,+0:30,,45,Talansky Andrew,40,Cannondale Pro Cycling Team,",, 0:30",+0:05,,,\u25b25,2,2016
29,186,41,+0:30,,46,Paterski Maciej,41,CCC Sprandi Polkowice,",, 0:30",+0:05,,,\u25b25,2,2016
23,178,42,+0:30,,47,S\xfctterlin Jasha,42,Movistar Team,",, 0:30",+0:05,,,\u25b25,2,2016
28,138,43,+0:30,,48,R\xe9za K\xe9vin,43,FDJ,",, 0:30",+0:05,,,\u25b25,2,2016
33,121,44,+0:31,,49,Siutsou Kanstantsin,44,Team Dimension Data,0:31 0:31,+0:05,,,\u25b25,2,2016
22,136,45,+0:31,,51,Maison J\xe9r\xe9my,45,FDJ,",, 0:31",+0:05,,,\u25b26,2,2016
36,155,46,+0:31,,52,Scarponi Michele,46,Astana Pro Team,",, 0:31",+0:05,,,\u25b26,2,2016
27,31,47,+0:32,,53,van Garderen Tejay,47,BMC Racing Team,0:32 0:32,+0:05,,,\u25b26,2,2016
