Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
23,16,1,+0:00,,2,K\xfcng Stefan,1,BMC Racing Team,4:29:08 4:29:08,+0:00,10.0,\u25b21,2,2017
26,135,2,+0:01,,4,Matthews Michael,2,Team Sunweb,0:01 0:01,+0:00,,\u25b22,2,2017
26,131,3,+0:01,,5,Dumoulin Tom,3,Team Sunweb,",, 0:01",+0:00,,\u25b22,2,2017
31,162,4,+0:04,,7,Boom Lars,4,Team LottoNL-Jumbo,0:04 0:04,+0:00,,\u25b23,2,2017
27,31,5,+0:08,,17,Sagan Peter,5,BORA - hansgrohe,0:08 0:08,+0:00,,\u25b212,2,2017
29,12,6,+0:10,,24,Caruso Damiano,6,BMC Racing Team,0:10 0:10,+-1:57,,\u25b218,2,2017
36,101,7,+0:11,,20,Albasini Michael,7,ORICA-Scott,0:11 0:11,+0:00,,\u25b213,2,2017
26,26,8,+0:12,,21,Houle Hugo,8,AG2R La Mondiale,0:12 0:12,+0:00,,\u25b213,2,2017
26,47,9,+0:13,,44,Bevin Patrick,9,Cannondale-Drapac Pro Cycling Team,0:13 0:13,+-1:54,,\u25b235,2,2017
27,118,10,+0:14,,26,Trentin Matteo,10,Quick-Step Floors,0:14 0:14,+0:00,,\u25b216,2,2017
28,141,11,+0:16,,31,Izagirre Ion,11,Bahrain Merida Pro Cycling Team,0:16 0:16,+0:00,,\u25b220,2,2017
23,97,12,+0:16,,33,Soler Marc,12,Movistar Team,",, 0:16",+0:00,,\u25b221,2,2017
27,154,13,+0:16,,34,Felline Fabio,13,Trek - Segafredo,",, 0:16",+0:00,,\u25b221,2,2017
30,93,14,+0:17,,37,De La Parte V\xedctor,14,Movistar Team,0:17 0:17,+0:00,,\u25b223,2,2017
28,61,15,+0:18,,38,Reichenbach Sebastien,15,FDJ,0:18 0:18,+0:00,,\u25b223,2,2017
34,111,16,+0:18,,91,Gilbert Philippe,16,Quick-Step Floors,",, 0:18",+-1:50,,\u25b275,2,2017
28,153,17,+0:19,,43,Degenkolb John,17,Trek - Segafredo,0:19 0:19,+0:00,,\u25b226,2,2017
23,216,18,+0:19,,46,Tusveld Martijn,18,Roompot - Nederlandse Loterij,",, 0:19",+0:00,,\u25b228,2,2017
31,22,19,+0:19,,60,Bakelants Jan,19,AG2R La Mondiale,",, 0:19",+-1:58,,\u25b241,2,2017
30,18,20,+0:20,,47,Schar Michael,20,BMC Racing Team,0:20 0:20,+0:00,,\u25b227,2,2017
24,174,21,+0:20,,51,Conti Valerio,21,UAE Team Emirates,",, 0:20",+0:00,,\u25b230,2,2017
34,64,22,+0:20,,52,Morabito Steve,22,FDJ,",, 0:20",+0:00,,\u25b230,2,2017
27,92,23,+0:20,,53,Betancur Carlos,23,Movistar Team,",, 0:20",+0:00,,\u25b230,2,2017
30,67,24,+0:20,,79,Roux Anthony,24,FDJ,",, 0:20",+-1:56,,\u25b255,2,2017
30,171,25,+0:20,,61,Costa Rui,25,UAE Team Emirates,",, 0:20",+-1:59,,\u25b236,2,2017
26,134,26,+0:21,,55,Preidler Georg,26,Team Sunweb,0:21 0:21,+0:00,,\u25b229,2,2017
22,125,27,+0:21,,57,Geoghegan Hart Tao,27,Team Sky,",, 0:21",+0:00,,\u25b230,2,2017
26,184,28,+0:21,,58,Gate Aaron,28,Aqua Blue Sport,",, 0:21",+0:00,,\u25b230,2,2017
26,182,29,+0:22,,62,Christian Mark,29,Aqua Blue Sport,0:22 0:22,+0:00,,\u25b233,2,2017
32,11,30,+0:22,,63,Van Avermaet Greg,30,BMC Racing Team,",, 0:22",+0:00,,\u25b233,2,2017
28,68,31,+0:22,,64,Vichot Arthur,31,FDJ,",, 0:22",+0:00,,\u25b233,2,2017
25,35,32,+0:22,,68,Konrad Patrick,32,BORA - hansgrohe,",, 0:22",+0:00,,\u25b236,2,2017
27,2,33,+0:22,,69,Bilbao Pello,33,Astana Pro Team,",, 0:22",+0:00,,\u25b236,2,2017
30,161,34,+0:23,,73,Kruijswijk Steven,34,Team LottoNL-Jumbo,0:23 0:23,+0:00,,\u25b239,2,2017
34,28,35,+0:24,,76,Pozzovivo Domenico,35,AG2R La Mondiale,0:24 0:24,+0:00,,\u25b241,2,2017
22,77,36,+0:24,,80,Restrepo Jhonatan,36,Team Katusha - Alpecin,",, 0:24",+0:00,,\u25b244,2,2017
22,62,37,+0:25,,82,Eiking Odd Christian,37,FDJ,0:25 0:25,+0:00,,\u25b245,2,2017
31,117,38,+0:26,,83,Stybar Zdenek,38,Quick-Step Floors,0:26 0:26,+0:00,,\u25b245,2,2017
