Rnk,Rider,Age,Team,Pnt,year,stage
1,Ullrich Jan,30.0,T-Mobile Team,61,2004,9
2,Jeker Fabian,35.0,Saunier Duval - Prodir,58,2004,9
3,Hunter Robert,27.0,Rabobank ProTeam,56,2004,9
4,Kirchen Kim,25.0,Fassa Bortolo,38,2004,9
5,Totschnig Georg,33.0,Gerolsteiner,30,2004,9
6,Camenzind Oscar,32.0,Phonak Hearing Systems,26,2004,9
7,Julich Bobby,32.0,CSC ProTeam,23,2004,9
8,Kolobnev Alexandr,23.0,Domina Vacanze,22,2004,9
9,Cioni Dario,29.0,Fassa Bortolo,21,2004,9
10,Del Olmo Jose Maria,,,21,2004,9
11,Calcagni Patrick,26.0,Vini Caldirola - Nobili Rubinetterie,20,2004,9
12,Zampieri Steve,27.0,Vini Caldirola - Nobili Rubinetterie,19,2004,9
13,Perez Santiago,26.0,Phonak Hearing Systems,19,2004,9
14,Aebersold Niki,31.0,Phonak Hearing Systems,15,2004,9
15,Niermann Grischa,28.0,Rabobank ProTeam,15,2004,9
16,Chicchi Francesco,23.0,Fassa Bortolo,15,2004,9
17,Petrov Evgeni,26.0,Saeco,13,2004,9
18,Sinkewitz Patrik,23.0,Quickstep - Davitamon,13,2004,9
19,Moos Alexandre,31.0,Phonak Hearing Systems,13,2004,9
20,Baldato Fabio,36.0,Alessio - Bianchi,13,2004,9
21,Veneberg Thorwald,26.0,Rabobank ProTeam,12,2004,9
22,Bodrogi Laszlo,27.0,Quickstep - Davitamon,12,2004,9
23,Rast Gregory,24.0,Phonak Hearing Systems,12,2004,9
24,Fischer Murilo Antonio,25.0,Domina Vacanze,12,2004,9
25,Ca\xf1ada David,29.0,Saunier Duval - Prodir,11,2004,9
26,Hammond Roger,30.0,Mrbookmaker.com - Palmans,11,2004,9
27,Fuentes Juan,27.0,Saeco,11,2004,9
28,Schleck Fr\xe4nk,24.0,CSC ProTeam,10,2004,9
29,Blaudzun Michael,31.0,CSC ProTeam,10,2004,9
30,Beuchat Roger,32.0,Vini Caldirola - Nobili Rubinetterie,10,2004,9
31,Serpellini Marco,31.0,Gerolsteiner,10,2004,9
32,Cancellara Fabian,23.0,Fassa Bortolo,10,2004,9
33,Ongarato Alberto,28.0,Fassa Bortolo,10,2004,9
34,Joly S\xe9bastien,24.0,Cr\xe9dit Agricole,9,2004,9
35,Botero Santiago,31.0,T-Mobile Team,9,2004,9
36,Dean Julian,29.0,Cr\xe9dit Agricole,9,2004,9
37,Commeyne Davy,24.0,Mrbookmaker.com - Palmans,8,2004,9
38,Wuyts Peter,31.0,Mrbookmaker.com - Palmans,8,2004,9
39,Javier Vila Francisco,28.0,Lampre,7,2004,9
40,Merckx Axel,31.0,Lotto - Domo,7,2004,9
41,Commesso Salvatore,29.0,Saeco,7,2004,9
42,Elmiger Martin,25.0,Phonak Hearing Systems,6,2004,9
43,Bernabeu David,29.0,Milaneza Maia,6,2004,9
44,Day Benjamin,25.0,Mrbookmaker.com - Palmans,6,2004,9
45,Cortinovis Alessandro,26.0,Lampre,5,2004,9
46,Guerini Giuseppe,34.0,T-Mobile Team,5,2004,9
47,Voskamp Bart,36.0,Chocolade Jacques - Wincor Nixdorf,5,2004,9
48,Clerc Aur\xe9lien,24.0,Quickstep - Davitamon,5,2004,9
49,Castresana Angel,32.0,Mrbookmaker.com - Palmans,4,2004,9
50,Gentili Massimiliano,32.0,Domina Vacanze,4,2004,9
51,Gerosa Mauro,29.0,Vini Caldirola - Nobili Rubinetterie,4,2004,9
52,Wauters Marc,35.0,Rabobank ProTeam,4,2004,9
53,L\xf6wik Gerben,26.0,Chocolade Jacques - Wincor Nixdorf,4,2004,9
54,Nardello Daniele,31.0,T-Mobile Team,3,2004,9
55,Hinault S\xe9bastien,30.0,Cr\xe9dit Agricole,3,2004,9
56,Verbrugghe Rik,29.0,Lotto - Domo,1,2004,9
57,Fothen Markus,22.0,Gerolsteiner,1,2004,9
