Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,Pnt,year,stage
1,1.0,-,11,Cancellara Fabian,35,Trek - Segafredo,16,2016,2
2,2.0,-,105,Roelandts Jurgen,30,Lotto Soudal,13,2016,2
3,,-,41,Sagan Peter,26,Tinkoff,10,2016,2
4,,-,117,Richeze Ariel Maximiliano,33,Etixx - Quick Step,8,2016,2
5,,-,147,Wyss Marcel,29,IAM Cycling,6,2016,2
6,3.0,\u25bc3,23,Durbridge Luke,25,Orica GreenEDGE,6,2016,2
7,,-,22,Matthews Michael,25,Orica GreenEDGE,6,2016,2
8,4.0,\u25bc4,144,Elmiger Martin,37,IAM Cycling,4,2016,2
9,,-,27,Cort Nielsen Magnus,23,Orica GreenEDGE,4,2016,2
10,,-,202,Tolhoek Antwan,22,Roompot - Oranje Peloton,3,2016,2
11,5.0,\u25bc6,171,Izagirre Ion,27,Movistar Team,2,2016,2
12,,-,165,Minard S\xe9bastien,34,AG2R La Mondiale,1,2016,2
13,,-,12,Devolder Stijn,36,Trek - Segafredo,1,2016,2
1,3.0,\u25b22,41,Sagan Peter,26,Tinkoff,20,2016,3
2,,-,33,Dillier Silvan,25,BMC Racing Team,18,2016,3
3,1.0,\u25bc2,11,Cancellara Fabian,35,Trek - Segafredo,16,2016,3
4,2.0,\u25bc2,105,Roelandts Jurgen,30,Lotto Soudal,15,2016,3
5,4.0,\u25bc1,117,Richeze Ariel Maximiliano,33,Etixx - Quick Step,12,2016,3
6,,-,21,Albasini Michael,35,Orica GreenEDGE,8,2016,3
7,5.0,\u25bc2,147,Wyss Marcel,29,IAM Cycling,6,2016,3
8,7.0,\u25bc1,22,Matthews Michael,25,Orica GreenEDGE,6,2016,3
9,,-,2,Bystr\xf8m Sven Erik,24,Team Katusha,6,2016,3
10,6.0,\u25bc4,23,Durbridge Luke,25,Orica GreenEDGE,6,2016,3
11,8.0,\u25bc3,144,Elmiger Martin,37,IAM Cycling,4,2016,3
12,9.0,\u25bc3,27,Cort Nielsen Magnus,23,Orica GreenEDGE,4,2016,3
13,10.0,\u25bc3,202,Tolhoek Antwan,22,Roompot - Oranje Peloton,3,2016,3
14,11.0,\u25bc3,171,Izagirre Ion,27,Movistar Team,2,2016,3
15,,-,205,Duijn Huub,31,Roompot - Oranje Peloton,1,2016,3
16,,-,17,Stuyven Jasper,24,Trek - Segafredo,1,2016,3
17,12.0,\u25bc5,165,Minard S\xe9bastien,34,AG2R La Mondiale,1,2016,3
18,,-,13,Rast Gregory,36,Trek - Segafredo,1,2016,3
1,1.0,-,41,Sagan Peter,26,Tinkoff,26,2016,4
