Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,Time won/lost,stage,year
29.0,,1.0,+0:00,,Wesemann Steffen,1,Team Telekom,26:30:05 26:30:05,+0:00,1,2000
35.0,,2.0,+0:00,,Heppner Jens,2,Team Telekom,",, ,,",+0:00,1,2000
26.0,,3.0,+0:00,,Vinokourov Alexandre,3,Team Telekom,",, ,,",+0:00,1,2000
30.0,,4.0,+0:00,,Guerini Giuseppe,4,Team Telekom,",, ,,",+0:00,1,2000
33.0,,5.0,+0:00,,Bolts Udo,5,Team Telekom,",, ,,",+0:00,1,2000
36.0,,6.0,+0:00,,Elli Alberto,6,Team Telekom,",, ,,",+0:00,1,2000
26.0,,7.0,+0:00,,Ullrich Jan,7,Team Telekom,",, ,,",+0:00,1,2000
31.0,,8.0,+0:04,,Aldag Rolf,8,Team Telekom,0:04 0:04,+0:04,1,2000
25.0,,9.0,+0:05,,Zberg Markus,9,Rabobank ProTeam,0:05 0:05,+0:05,1,2000
28.0,,10.0,+0:05,,Boogerd Michael,10,Rabobank ProTeam,",, 0:05",+0:05,1,2000
31.0,,11.0,+0:05,,Wauters Marc,11,Rabobank ProTeam,",, 0:05",+0:05,1,2000
24.0,,12.0,+0:05,,Niermann Grischa,12,Rabobank ProTeam,",, 0:05",+0:05,1,2000
31.0,,13.0,+0:05,,den Bakker Maarten,13,Rabobank ProTeam,",, 0:05",+0:05,1,2000
35.0,,14.0,+0:05,,S\xf8rensen Rolf,14,Rabobank ProTeam,",, 0:05",+0:05,1,2000
27.0,,15.0,+0:05,,Aebersold Niki,15,Rabobank ProTeam,",, 0:05",+0:05,1,2000
30.0,,16.0,+0:12,,Bartoli Michele,16,Mapei - Quickstep,0:12 0:12,+0:12,1,2000
31.0,,17.0,+0:12,,Zanini Stefano,17,Mapei - Quickstep,",, 0:12",+0:12,1,2000
28.0,,18.0,+0:12,,Steels Tom,18,Mapei - Quickstep,",, 0:12",+0:12,1,2000
35.0,,19.0,+0:12,,Peeters Wilfried,19,Mapei - Quickstep,",, 0:12",+0:12,1,2000
26.0,,20.0,+0:12,,Rodriguez Fred,20,Mapei - Quickstep,",, 0:12",+0:12,1,2000
26.0,,3.0,+0:02,50.0,Rodriguez Fred,1,Mapei - Quickstep,4:30:36 4:30:36,,2,2000
27.0,,6.0,+0:06,30.0,Teutenberg Sven,2,Gerolsteiner,",, ,,",,2,2000
25.0,,1.0,+0:00,18.0,Zberg Markus,3,Rabobank ProTeam,",, ,,",,2,2000
22.0,,,+ -4:57:06,13.0,Haselbacher Rene,4,Gerolsteiner,",, ,,",,2,2000
21.0,,,+ -4:57:06,10.0,R\xfctimann Stefan,5,,",, ,,",,2,2000
24.0,,,+ -4:57:06,7.0,Garate Juan Manuel,6,Lampre - Daikin,",, ,,",,2,2000
23.0,,,+ -4:57:06,4.0,Nazon Jean-Patrick,7,La Fran\xe7aise des Jeux,",, ,,",,2,2000
25.0,,,+ -4:57:06,3.0,Heule Christian,8,,",, ,,",,2,2000
24.0,,,+ -4:57:06,2.0,Bratkowski Jan,9,Team Coast,",, ,,",,2,2000
23.0,,11.0,+0:11,1.0,Hunter Robert,10,Lampre - Daikin,",, ,,",,2,2000
35.0,,13.0,+0:12,,Peeters Wilfried,11,Mapei - Quickstep,",, ,,",,2,2000
26.0,,,+ -4:57:06,,Wrolich Peter,12,Gerolsteiner,",, ,,",,2,2000
29.0,,,+ -4:57:06,,Belli Wladimir,13,Fassa Bortolo,",, ,,",,2,2000
30.0,,14.0,+0:12,,Bartoli Michele,14,Mapei - Quickstep,",, ,,",,2,2000
31.0,,15.0,+0:12,,Zanini Stefano,15,Mapei - Quickstep,",, ,,",,2,2000
29.0,,2.0,+0:00,,Wesemann Steffen,16,Team Telekom,",, ,,",,2,2000
32.0,,,+ -4:57:06,,Lelli Massimiliano,17,Cofidis,0:03 0:03,,2,2000
30.0,,,+ -4:57:06,,Meier Armin,18,Saeco,",, 0:03",,2,2000
31.0,,,+ -4:57:06,,Dufaux Laurent,19,Saeco,",, 0:03",,2,2000
25.0,,,+ -4:57:06,,Aerts Mario,20,Lotto - Adecco,",, 0:03",,2,2000
