Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
25.0,,1.0,+0:00,50.0,Boonen Tom,1,Quickstep - Innergetic,3:51:14 3:51:14,1,2006
25.0,,2.0,+0:04,30.0,Bennati Daniele,2,Lampre-Fondital,",, ,,",1,2006
30.0,,4.0,+0:06,18.0,Freire Oscar,3,Rabobank ProTeam,",, ,,",1,2006
28.0,,6.0,+0:10,13.0,Usov Alexandre,4,AG2R Pr\xe9voyance,",, ,,",1,2006
25.0,,7.0,+0:10,10.0,Davis Allan,5,Astana - W\xfcrth Team,",, ,,",1,2006
24.0,,8.0,+0:10,7.0,Lequatre Geoffroy,6,Cofidis,",, ,,",1,2006
31.0,,9.0,+0:10,4.0,G\xe1lvez Isaac,7,Caisse d'Epargne - Illes Balears,",, ,,",1,2006
25.0,,10.0,+0:10,3.0,Schr\xf6der Bjorn,8,Milram,",, ,,",1,2006
27.0,,,+ -3:51:04,2.0,Elmiger Martin,9,Phonak Hearing Systems,",, ,,",1,2006
27.0,,,+ -3:51:04,1.0,Markov Alexei,10,Caisse d'Epargne - Illes Balears,",, ,,",1,2006
24.0,,,+ -3:51:04,,Perez Ruben,11,Euskaltel - Euskadi,",, ,,",1,2006
25.0,,,+ -3:51:04,,De La Fuente David,12,Saunier Duval - Prodir,",, ,,",1,2006
26.0,,,+ -3:51:04,,Rast Gregory,13,Phonak Hearing Systems,",, ,,",1,2006
27.0,,,+ -3:51:04,,Bileka Volodymyr,14,Discovery Channel,",, ,,",1,2006
30.0,,,+ -3:51:04,,Kroon Karsten,15,CSC ProTeam,",, ,,",1,2006
31.0,,,+ -3:51:04,,Ca\xf1ada David,16,Saunier Duval - Prodir,",, ,,",1,2006
32.0,,,+ -3:51:04,,Garzelli Stefano,17,Liquigas,",, ,,",1,2006
28.0,,,+ -3:51:04,,Zaballa Constantino,18,Saunier Duval - Prodir,",, ,,",1,2006
33.0,,,+ -3:51:04,,Moos Alexandre,19,Phonak Hearing Systems,",, ,,",1,2006
31.0,,,+ -3:51:04,,Botcharov Alexandre,20,Cr\xe9dit Agricole,",, ,,",1,2006
27.0,,,+ -3:51:04,,Ardila Mauricio Alberto,21,Rabobank ProTeam,",, ,,",1,2006
32.0,,,+ -3:51:04,,Tosatto Matteo,22,Quickstep - Innergetic,",, ,,",1,2006
36.0,,,+ -3:51:04,,Poitschke Enrico,23,Milram,",, ,,",1,2006
25.0,,,+ -3:51:04,,Zaugg Oliver,24,Saunier Duval - Prodir,",, ,,",1,2006
25.0,,3.0,+0:05,,Albasini Michael,25,Liquigas,",, ,,",1,2006
35.0,,,+ -3:51:04,,Zberg Beat,26,Gerolsteiner,",, ,,",1,2006
29.0,,,+ -3:51:04,,Vicioso \xc1ngel,27,Astana - W\xfcrth Team,",, ,,",1,2006
35.0,,,+ -3:51:04,,Beltran Manuel,28,Discovery Channel,",, ,,",1,2006
33.0,,,+ -3:51:04,,Celestino Mirko,29,Milram,",, ,,",1,2006
38.0,,,+ -3:51:04,,Brochard Laurent,30,Bouygues Telecom,",, ,,",1,2006
23.0,,,+ -3:51:04,,Gerdemann Linus,31,T-Mobile Team,",, ,,",1,2006
33.0,,,+ -3:51:04,,Moreni Cristian,32,Cofidis,",, ,,",1,2006
25.0,,,+ -3:51:04,,Ermeti Giairo,33,Team LPR Brakes,",, ,,",1,2006
26.0,,,+ -3:51:04,,Calzati Sylvain,34,AG2R Pr\xe9voyance,",, ,,",1,2006
22.0,,,+ -3:51:04,,L\xf6fkvist Thomas,35,Fran\xe7aise des Jeux,",, ,,",1,2006
25.0,,,+ -3:51:04,,Sinkewitz Patrik,36,T-Mobile Team,",, ,,",1,2006
26.0,,,+ -3:51:04,,Bellotti Francesco,37,Cr\xe9dit Agricole,",, ,,",1,2006
22.0,,,+ -3:51:04,,Russ Matthias,38,Gerolsteiner,",, ,,",1,2006
22.0,,,+ -3:51:04,,Brajkovi\u010d Janez,39,Discovery Channel,",, ,,",1,2006
28.0,,,+ -3:51:04,,Petrov Evgeni,40,Lampre-Fondital,",, ,,",1,2006
28.0,,,+ -3:51:04,,Gil Fernandez Koldo,41,,",, ,,",1,2006
29.0,,,+ -3:51:04,,Strauss Marcel,42,Gerolsteiner,",, ,,",1,2006
29.0,,5.0,+0:07,,Zampieri Steve,43,Phonak Hearing Systems,",, ,,",1,2006
32.0,,,+ -3:51:04,,Ullrich Jan,44,T-Mobile Team,",, ,,",1,2006
31.0,,,+ -3:51:04,,Cioni Dario,45,Liquigas,",, ,,",1,2006
30.0,,,+ -3:51:04,,Khalilov Mihaylo,46,Team LPR Brakes,",, ,,",1,2006
25.0,,,+ -3:51:04,,Caruso Giampaolo,47,Astana - W\xfcrth Team,",, ,,",1,2006
27.0,,,+ -3:51:04,,Kirchen Kim,48,T-Mobile Team,",, ,,",1,2006
26.0,,,+ -3:51:04,,Rogers Michael,49,T-Mobile Team,",, ,,",1,2006
29.0,,,+ -3:51:04,,Flores Iker,50,Euskaltel - Euskadi,",, ,,",1,2006
26.0,,,+ -3:51:04,,Schleck Fr\xe4nk,51,CSC ProTeam,",, ,,",1,2006
35.0,,,+ -3:51:04,,Totschnig Georg,52,Gerolsteiner,",, ,,",1,2006
24.0,,,+ -3:51:04,,Sprick Matthieu,53,Bouygues Telecom,",, ,,",1,2006
25.0,,,+ -3:51:04,,Cancellara Fabian,54,CSC ProTeam,",, ,,",1,2006
21.0,,,+ -3:51:04,,Schleck Andy,55,CSC ProTeam,",, ,,",1,2006
