Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
29,44.058,,+0:00,50.0,Cancellara Fabian,1,Saxo Bank,10:21 10:21,6.0,0,2010
24,43.986999999999995,,+0:00,30.0,Kreuziger Roman,2,Liquigas - Doimo,0:01 0:01,4.0,0,2010
25,43.846000000000004,,+0:00,18.0,Martin Tony,3,Team HTC - Columbia,0:03 0:03,2.0,0,2010
20,43.846000000000004,,+0:00,13.0,Sagan Peter,4,Liquigas - Doimo,",, 0:03",1.0,0,2010
26,43.36,,+0:00,10.0,Devenyns Dries,5,Quickstep - Innergetic,0:10 0:10,1.0,0,2010
29,43.291000000000004,,+0:00,7.0,Larsson Gustav,6,Saxo Bank,0:11 0:11,,0,2010
26,43.223,,+0:00,4.0,L\xf6fkvist Thomas,7,Sky Procycling,0:12 0:12,,0,2010
30,43.155,,+0:00,3.0,Quinziato Manuel,8,Liquigas - Doimo,0:13 0:13,,0,2010
30,43.155,,+0:00,2.0,Gerrans Simon,9,Sky Procycling,",, 0:13",,0,2010
25,43.155,,+0:00,1.0,Fuglsang Jakob,10,Saxo Bank,",, 0:13",,0,2010
23,43.086999999999996,,+0:00,,Mollema Bauke,11,Rabobank ProTeam,0:14 0:14,,0,2010
30,43.086999999999996,,+0:00,,Rogers Michael,12,Team HTC - Columbia,",, 0:14",,0,2010
23,43.086999999999996,,+0:00,,Castroviejo Jonathan,13,Euskaltel - Euskadi,",, 0:14",,0,2010
31,42.88399999999999,,+0:00,,Kirchen Kim,14,Team Katusha,0:17 0:17,,0,2010
30,42.88399999999999,,+0:00,,Devolder Stijn,15,Quickstep - Innergetic,",, 0:17",,0,2010
29,42.817,,+0:00,,Barredo Carlos,16*,Quickstep - Innergetic,0:18 0:18,,0,2010
36,42.817,,+0:00,,Leipheimer Levi,16,RadioShack,",, 0:18",,0,2010
26,42.75,,+0:00,,Russ Matthias,17,Milram,0:19 0:19,,0,2010
27,42.75,,+0:00,,Morabito Steve,18,BMC Racing Team,",, 0:19",,0,2010
31,42.683,,+0:00,,Rodr\xedguez Joaquim,19,Team Katusha,0:20 0:20,,0,2010
25,42.617,,+0:00,,Roche Nicolas,20,AG2R La Mondiale,0:21 0:21,,0,2010
37,42.617,,+0:00,,Moos Alexandre,21,BMC Racing Team,",, 0:21",,0,2010
23,42.551,,+0:00,,Uran Rigoberto,22,Caisse d'Epargne,0:22 0:22,,0,2010
36,42.551,,+0:00,,Hincapie George,23,BMC Racing Team,",, 0:22",,0,2010
31,42.483999999999995,,+0:00,,Casar Sandy,24,Francaise des Jeux,0:23 0:23,,0,2010
29,42.483999999999995,,+0:00,,Veikkanen Jussi,25,Francaise des Jeux,",, 0:23",,0,2010
31,42.483999999999995,,+0:00,,Elmiger Martin,26,AG2R La Mondiale,",, 0:23",,0,2010
27,42.483999999999995,,+0:00,,Monfort Maxime,27,Team HTC - Columbia,",, 0:23",,0,2010
30,42.483999999999995,,+0:00,,Florencio Xavier,28,Cervelo Test Team,",, 0:23",,0,2010
29,42.483999999999995,,+0:00,,ten Dam Laurens,29,Rabobank ProTeam,",, 0:23",,0,2010
25,42.419,,+0:00,,Schleck Andy,30,Saxo Bank,0:24 0:24,,0,2010
30,42.353,,+0:00,,Ballan Alessandro,31,BMC Racing Team,0:25 0:25,,0,2010
20,42.287,,+0:00,,Felline Fabio,32,Footon-Servetto,0:26 0:26,,0,2010
29,42.287,,+0:00,,Vanotti Alessandro,33,Liquigas - Doimo,",, 0:26",,0,2010
33,42.287,,+0:00,,Hunter Robert,34,Team Garmin - Transitions,",, 0:26",,0,2010
25,42.222,,+0:00,,Fr\xf6hlinger Johannes,35,Milram,0:27 0:27,,0,2010
33,42.222,,+0:00,,van de Walle Jurgen,36,Quickstep - Innergetic,",, 0:27",,0,2010
25,42.222,,+0:00,,Gavazzi Francesco,37,Lampre - Farnese Vini,",, 0:27",,0,2010
31,42.157,,+0:00,,Guti\xe9rrez Jos\xe9 Iv\xe1n,38,Caisse d'Epargne,0:28 0:28,,0,2010
38,42.157,,+0:00,,Voigt Jens,39,Saxo Bank,",, 0:28",,0,2010
29,42.157,,+0:00,,Lagutin Sergey,40,Vacansoleil,",, 0:28",,0,2010
25,42.157,,+0:00,,van Leijen Joost,41,Vacansoleil,",, 0:28",,0,2010
30,42.092,,+0:00,,Lancaster Brett,42,Cervelo Test Team,0:29 0:29,,0,2010
38,42.092,,+0:00,,Armstrong Lance,43,RadioShack,",, 0:29",,0,2010
29,42.092,,+0:00,,Hesjedal Ryder,44,Team Garmin - Transitions,",, 0:29",,0,2010
30,42.092,,+0:00,,Schleck Fr\xe4nk,45,Saxo Bank,",, 0:29",,0,2010
20,42.028,,+0:00,,Ulissi Diego,46,Lampre - Farnese Vini,0:30 0:30,,0,2010
24,42.028,,+0:00,,Gesink Robert,47,Rabobank ProTeam,",, 0:30",,0,2010
35,42.028,,+0:00,,Bruseghin Marzio,48,Caisse d'Epargne,",, 0:30",,0,2010
26,42.028,,+0:00,,Marcato Marco,49,Vacansoleil,",, 0:30",,0,2010
30,41.963,,+0:00,,Urtasun Pablo,50,Euskaltel - Euskadi,0:31 0:31,,0,2010
20,41.898999999999994,,+0:00,,Nerz Dominik,51,Milram,0:32 0:32,,0,2010
29,41.898999999999994,,+0:00,,Pietropolli Daniele,52,Lampre - Farnese Vini,",, 0:32",,0,2010
22,41.898999999999994,,+0:00,,Poels Wout,53,Vacansoleil,",, 0:32",,0,2010
34,41.898999999999994,,+0:00,,Kl\xf6den Andr\xe9as,54,RadioShack,",, 0:32",,0,2010
31,41.898999999999994,,+0:00,,Carrara Matteo,55,Vacansoleil,",, 0:32",,0,2010
33,41.898999999999994,,+0:00,,Carlstr\xf6m Kjell,56,Sky Procycling,",, 0:32",,0,2010
27,41.835,,+0:00,,Westra Lieuwe,57,Vacansoleil,0:33 0:33,,0,2010
26,41.771,,+0:00,,Maaskant Martijn,58,Team Garmin - Transitions,0:34 0:34,,0,2010
26,41.771,,+0:00,,Haussler Heinrich,59,Cervelo Test Team,",, 0:34",,0,2010
29,41.707,,+0:00,,Zaugg Oliver,60,Liquigas - Doimo,0:35 0:35,,0,2010
24,41.707,,+0:00,,Feillu Brice,61,Vacansoleil,",, 0:35",,0,2010
28,41.644,,+0:00,,Coyot Arnaud,62,Caisse d'Epargne,0:36 0:36,,0,2010
29,41.644,,+0:00,,Oroz Juan Jos\xe9,63,Euskaltel - Euskadi,",, 0:36",,0,2010
27,41.581,,+0:00,,Gilbert Philippe,64,Omega Pharma-Lotto,0:37 0:37,,0,2010
25,41.581,,+0:00,,Agnoli Valerio,65,Liquigas - Doimo,",, 0:37",,0,2010
26,41.516999999999996,,+0:00,,Sanchez Luis Leon,66,Caisse d'Epargne,0:38 0:38,,0,2010
25,41.516999999999996,,+0:00,,Van Avermaet Greg,67,Omega Pharma-Lotto,",, 0:38",,0,2010
34,41.516999999999996,,+0:00,,Garate Juan Manuel,68,Rabobank ProTeam,",, 0:38",,0,2010
26,41.516999999999996,,+0:00,,Nordhaug Lars Petter,69,Sky Procycling,",, 0:38",,0,2010
23,41.516999999999996,,+0:00,,Ciolek Gerald,70,Milram,",, 0:38",,0,2010
32,41.516999999999996,,+0:00,,Nocentini Rinaldo,71,AG2R La Mondiale,",, 0:38",,0,2010
27,41.455,,+0:00,,Elijzen Michiel,72,Omega Pharma-Lotto,0:39 0:39,,0,2010
23,41.391999999999996,,+0:00,,Pliuschin Alexandr,73,Team Katusha,0:40 0:40,,0,2010
26,41.391999999999996,,+0:00,,Deignan Philip,74,Cervelo Test Team,",, 0:40",,0,2010
25,41.391999999999996,,+0:00,,Breschel Matti,75,Saxo Bank,",, 0:40",,0,2010
28,41.391999999999996,,+0:00,,Brutt Pavel,76,Team Katusha,",, 0:40",,0,2010
32,41.391999999999996,,+0:00,,Danielson Thomas,77,Team Garmin - Transitions,",, 0:40",,0,2010
23,41.32899999999999,,+0:00,,Frank Mathias,78,BMC Racing Team,0:41 0:41,,0,2010
22,41.32899999999999,,+0:00,,Valls Rafael,79,Footon-Servetto,",, 0:41",,0,2010
23,41.32899999999999,,+0:00,,Spilak Simon,80,Lampre - Farnese Vini,",, 0:41",,0,2010
25,41.32899999999999,,+0:00,,Sesma Daniel,81,Euskaltel - Euskadi,",, 0:41",,0,2010
25,41.32899999999999,,+0:00,,Rojas Jos\xe9 Joaqu\xedn,82,Caisse d'Epargne,",, 0:41",,0,2010
30,41.205,,+0:00,,Chavanel Sylvain,83,Quickstep - Innergetic,0:43 0:43,,0,2010
27,41.205,,+0:00,,Kaisen Olivier,84,Omega Pharma-Lotto,",, 0:43",,0,2010
28,41.205,,+0:00,,Mondory Lloyd,85,AG2R La Mondiale,",, 0:43",,0,2010
29,41.205,,+0:00,,Albasini Michael,86,Team HTC - Columbia,",, 0:43",,0,2010
31,41.143,,+0:00,,Zabriskie David,87,Team Garmin - Transitions,0:44 0:44,,0,2010
25,41.081,,+0:00,,Renev Sergey,88,Astana,0:45 0:45,,0,2010
32,41.081,,+0:00,,Hoste Leif,89,Omega Pharma-Lotto,",, 0:45",,0,2010
23,41.019,,+0:00,,Oss Daniel,90,Liquigas - Doimo,0:46 0:46,,0,2010
34,41.019,,+0:00,,Freire Oscar,91,Rabobank ProTeam,",, 0:46",,0,2010
35,41.019,,+0:00,,Turpin Ludovic,92,AG2R La Mondiale,",, 0:46",,0,2010
26,41.019,,+0:00,,Pauwels Serge,93,Sky Procycling,",, 0:46",,0,2010
29,40.958,,+0:00,,Wegmann Fabian,94,Milram,0:47 0:47,,0,2010
32,40.958,,+0:00,,Wilson Matthew,95,Team Garmin - Transitions,",, 0:47",,0,2010
28,40.958,,+0:00,,Hernandez Gutierrez Aitor,96,Euskaltel - Euskadi,",, 0:47",,0,2010
34,40.958,,+0:00,,Kroon Karsten,97,BMC Racing Team,",, 0:47",,0,2010
32,40.958,,+0:00,,Hulsmans Kevin,98,Quickstep - Innergetic,",, 0:47",,0,2010
35,40.958,,+0:00,,Arvesen Kurt-Asle,99,Sky Procycling,",, 0:47",,0,2010
29,40.958,,+0:00,,Kolobnev Alexandr,100,Team Katusha,",, 0:47",,0,2010
26,40.836,,+0:00,,Roy J\xe9r\xe9my,101,Francaise des Jeux,0:49 0:49,,0,2010
34,40.836,,+0:00,,Klier Andreas,102,Cervelo Test Team,",, 0:49",,0,2010
31,40.836,,+0:00,,Cheula Giampaolo,103,Footon-Servetto,",, 0:49",,0,2010
32,40.775,,+0:00,,Flecha Juan Antonio,104,Sky Procycling,0:50 0:50,,0,2010
38,40.775,,+0:00,,Arrieta Jose Luis,105,AG2R La Mondiale,",, 0:50",,0,2010
27,40.775,,+0:00,,Renshaw Mark,106,Team HTC - Columbia,",, 0:50",,0,2010
23,40.775,,+0:00,,Aramendia Javier,107,Euskaltel - Euskadi,",, 0:50",,0,2010
30,40.714,,+0:00,,Nuyens Nick,108,Rabobank ProTeam,0:51 0:51,,0,2010
25,40.714,,+0:00,,Santambrogio Mauro,109,BMC Racing Team,",, 0:51",,0,2010
34,40.714,,+0:00,,Lastras Pablo,110,Caisse d'Epargne,",, 0:51",,0,2010
29,40.714,,+0:00,,Roulston Hayden,111,Team HTC - Columbia,",, 0:51",,0,2010
29,40.654,,+0:00,,Eisel Bernhard,112,Team HTC - Columbia,0:52 0:52,,0,2010
26,40.654,,+0:00,,Burghardt Marcus,113,BMC Racing Team,",, 0:52",,0,2010
23,40.533,,+0:00,,Costa Rui,114,Caisse d'Epargne,0:54 0:54,,0,2010
34,40.533,,+0:00,,Khalilov Mihaylo,115,Team Katusha,",, 0:54",,0,2010
25,40.533,,+0:00,,Possoni Morris,116,Sky Procycling,",, 0:54",,0,2010
34,40.533,,+0:00,,Niermann Grischa,117,Rabobank ProTeam,",, 0:54",,0,2010
22,40.533,,+0:00,,Meyer Cameron,118,Team Garmin - Transitions,",, 0:54",,0,2010
27,40.473,,+0:00,,Vorganov Eduard,119,Team Katusha,0:55 0:55,,0,2010
24,40.473,,+0:00,,Leezer Tom,120,Rabobank ProTeam,",, 0:55",,0,2010
30,40.473,,+0:00,,Kuchynski Aliaksandr,121,Liquigas - Doimo,",, 0:55",,0,2010
