Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,UCI.1,stage,year
26,,41,4.0,+0:10,50.0,Sagan Peter,1,Tinkoff,4:35:19 4:35:19,6.0,60.0,2,2016
33,,117,23.0,+0:20,30.0,Richeze Ariel Maximiliano,2,Etixx - Quick Step,",, ,,",4.0,25.0,2,2016
25,,22,13.0,+0:15,18.0,Matthews Michael,3,Orica GreenEDGE,",, ,,",2.0,10.0,2,2016
23,,27,105.0,+0:53,13.0,Cort Nielsen Magnus,4,Orica GreenEDGE,",, ,,",1.0,,2,2016
30,,105,1.0,+0:00,10.0,Roelandts Jurgen,5,Lotto Soudal,",, ,,",1.0,,2,2016
24,,17,14.0,+0:15,7.0,Stuyven Jasper,6,Trek - Segafredo,",, ,,",,,2,2016
22,,58,133.0,+1:24,4.0,van Poppel Danny,7,Team Sky,0:03 0:03,,,2,2016
27,,125,56.0,+0:36,3.0,Janse van Rensburg Reinardt,8,Team Dimension Data,",, 0:03",,,2,2016
24,,2,36.0,+0:28,2.0,Bystr\xf8m Sven Erik,9,Team Katusha,",, 0:03",,,2,2016
26,,62,76.0,+0:41,1.0,Van Asbroeck Tom,10,Team LottoNL-Jumbo,",, 0:03",,,2,2016
31,,93,125.0,+1:07,,Breschel Matti,11,Cannondale Pro Cycling Team,",, 0:03",,,2,2016
35,,11,2.0,+0:01,,Cancellara Fabian,12,Trek - Segafredo,",, 0:03",,,2,2016
30,,51,17.0,+0:16,,Thomas Geraint,13,Team Sky,",, 0:03",,,2,2016
26,,74,124.0,+1:04,,Cimolai Davide,14,Lampre - Merida,",, 0:03",,,2,2016
26,,204,128.0,+1:13,,Kreder Raymond,15,Roompot - Oranje Peloton,",, 0:03",,,2,2016
23,,43,31.0,+0:25,,McCarthy Jay,16,Tinkoff,",, 0:03",,,2,2016
24,,81,79.0,+0:41,,Barguil Warren,17,Team Giant - Alpecin,",, 0:03",,,2,2016
28,,196,113.0,+0:56,,Pasqualon Andrea,18,Team Roth,",, 0:03",,,2,2016
28,,176,10.0,+0:14,,Izagirre Gorka,19,Movistar Team,",, 0:03",,,2,2016
28,,138,43.0,+0:30,,R\xe9za K\xe9vin,20,FDJ,",, 0:03",,,2,2016
32,,67,15.0,+0:16,,Martens Paul,21,Team LottoNL-Jumbo,",, 0:03",,,2,2016
25,,65,11.0,+0:14,,Kelderman Wilco,22,Team LottoNL-Jumbo,",, 0:03",,,2,2016
22,,215,70.0,+0:39,,Koch Jonas,23,VERVA ActiveJet Pro Cycling Team,",, 0:03",,,2,2016
22,,103,65.0,+0:38,,Benoot Tiesj,24,Lotto Soudal,",, 0:03",,,2,2016
29,,71,83.0,+0:42,,Costa Rui,25,Lampre - Merida,",, 0:03",,,2,2016
25,,218,81.0,+0:42,,Sim\xf3n Jordi,26,VERVA ActiveJet Pro Cycling Team,",, 0:03",,,2,2016
34,,55,29.0,+0:22,,Kiryienka Vasil,27,Team Sky,",, 0:03",,,2,2016
27,,153,50.0,+0:33,,de Vreese Laurens,28,Astana Pro Team,",, 0:03",,,2,2016
32,,53,68.0,+0:39,,Go\u0142a\u015b Micha\u0142,29,Team Sky,",, 0:03",,,2,2016
29,,186,41.0,+0:30,,Paterski Maciej,30,CCC Sprandi Polkowice,",, 0:03",,,2,2016
27,,171,6.0,+0:10,,Izagirre Ion,31,Movistar Team,",, 0:03",,,2,2016
25,,106,111.0,+0:56,,Van der Sande Tosh,32,Lotto Soudal,",, 0:03",,,2,2016
23,,115,16.0,+0:16,,Vakoc Petr,33,Etixx - Quick Step,",, 0:03",,,2,2016
33,,34,63.0,+0:37,,Gilbert Philippe,34,BMC Racing Team,",, 0:03",,,2,2016
25,,85,33.0,+0:26,,Ludvigsson Tobias,35,Team Giant - Alpecin,",, 0:03",,,2,2016
21,,131,114.0,+0:56,,Eiking Odd Christian,36,FDJ,",, 0:03",,,2,2016
30,,152,27.0,+0:21,,Boom Lars,37,Astana Pro Team,",, 0:03",,,2,2016
27,,104,103.0,+0:52,,Ligthart Pim,38,Lotto Soudal,",, 0:03",,,2,2016
37,,68,22.0,+0:20,,Tankink Bram,39,Team LottoNL-Jumbo,",, 0:03",,,2,2016
37,,144,5.0,+0:10,,Elmiger Martin,40,IAM Cycling,",, 0:03",,,2,2016
27,,46,53.0,+0:35,,Sagan Juraj,41,Tinkoff,",, 0:03",,,2,2016
30,,38,77.0,+0:41,,Wyss Danilo,42,BMC Racing Team,",, 0:03",,,2,2016
21,,8,54.0,+0:35,,Restrepo Jhonatan,43,Team Katusha,",, 0:03",,,2,2016
29,,48,21.0,+0:18,,Boaro Manuele,44,Tinkoff,",, 0:03",,,2,2016
29,,36,89.0,+0:45,,Schar Michael,45,BMC Racing Team,",, 0:03",,,2,2016
27,,31,47.0,+0:32,,van Garderen Tejay,46,BMC Racing Team,",, 0:03",,,2,2016
22,,164,24.0,+0:20,,Latour Pierre,47,AG2R La Mondiale,",, 0:03",,,2,2016
22,,151,34.0,+0:27,,Lopez Miguel Angel,48,Astana Pro Team,",, 0:03",,,2,2016
31,,44,94.0,+0:47,,Gatto Oscar,49,Tinkoff,",, 0:03",,,2,2016
36,,155,46.0,+0:31,,Scarponi Michele,50,Astana Pro Team,",, 0:03",,,2,2016
23,,178,42.0,+0:30,,S\xfctterlin Jasha,51,Movistar Team,",, 0:03",,,2,2016
25,,101,7.0,+0:11,,Wellens Tim,52,Lotto Soudal,",, 0:03",,,2,2016
24,,133,96.0,+0:47,,Elissonde Kenny,53,FDJ,",, 0:03",,,2,2016
26,,142,26.0,+0:20,,Br\xe4ndle Matthias,54,IAM Cycling,",, 0:03",,,2,2016
26,,3,39.0,+0:30,,Chernetski Sergei,55,Team Katusha,",, 0:03",,,2,2016
26,,66,20.0,+0:18,,Lindeman Bert-Jan,56,Team LottoNL-Jumbo,",, 0:03",,,2,2016
27,,146,30.0,+0:25,,Pantano Jarlinson,57,IAM Cycling,",, 0:03",,,2,2016
30,,145,19.0,+0:18,,Hollenstein Reto,58,IAM Cycling,",, 0:03",,,2,2016
29,,1,55.0,+0:35,,Spilak Simon,59,Team Katusha,",, 0:03",,,2,2016
29,,141,75.0,+0:40,,Frank Mathias,60,IAM Cycling,",, 0:03",,,2,2016
22,,136,45.0,+0:31,,Maison J\xe9r\xe9my,61,FDJ,",, 0:03",,,2,2016
25,,33,9.0,+0:13,,Dillier Silvan,62,BMC Racing Team,",, 0:03",,,2,2016
29,,94,52.0,+0:34,,Koren Kristijan,63,Cannondale Pro Cycling Team,",, 0:03",,,2,2016
27,,91,40.0,+0:30,,Talansky Andrew,64,Cannondale Pro Cycling Team,",, 0:03",,,2,2016
31,,72,106.0,+0:53,,Arashiro Yukiya,65,Lampre - Merida,",, 0:03",,,2,2016
35,,166,67.0,+0:38,,Riblon Christophe,66,AG2R La Mondiale,",, 0:03",,,2,2016
33,,121,44.0,+0:31,,Siutsou Kanstantsin,67,Team Dimension Data,",, 0:03",,,2,2016
20,,87,82.0,+0:42,,Oomen Sam,68,Team Giant - Alpecin,",, 0:03",,,2,2016
38,,35,74.0,+0:40,,S\xe1nchez Samuel,69,BMC Racing Team,",, 0:03",,,2,2016
29,,187,122.0,+1:01,,Ponzi Simone,70,CCC Sprandi Polkowice,",, 0:03",,,2,2016
29,,184,32.0,+0:25,,De La Parte V\xedctor,71,CCC Sprandi Polkowice,",, 0:03",,,2,2016
30,,6,80.0,+0:41,,Machado Tiago,72,Team Katusha,",, 0:03",,,2,2016
25,,122,97.0,+0:48,,Berhane Natnael,73,Team Dimension Data,",, 0:03",,,2,2016
31,,132,92.0,+0:47,,Pineau C\xe9dric,74,FDJ,",, 0:03",,,2,2016
25,,23,3.0,+0:06,,Durbridge Luke,75,Orica GreenEDGE,",, 0:03",,,2,2016
24,,207,98.0,+0:49,,van der Lijke Nick,76,Roompot - Oranje Peloton,",, 0:03",,,2,2016
25,,216,66.0,+0:38,,Gradek Kamil,77,VERVA ActiveJet Pro Cycling Team,",, 0:03",,,2,2016
30,,83,18.0,+0:17,,Geschke Simon,78,Team Giant - Alpecin,",, 0:03",,,2,2016
35,,57,71.0,+0:39,,Knees Christian,79,Team Sky,",, 0:03",,,2,2016
32,,4,119.0,+0:58,,Kozonchuk Dmitry,80,Team Katusha,",, 0:03",,,2,2016
26,,118,48.0,+0:32,,Vermote Julien,81,Etixx - Quick Step,",, 0:03",,,2,2016
24,,77,109.0,+0:55,,Polanc Jan,82,Lampre - Merida,",, 0:03",,,2,2016
22,,185,64.0,+0:38,,Grossschartner Felix,83,CCC Sprandi Polkowice,",, 0:03",,,2,2016
25,,206,91.0,+0:46,,Lammertink Maurits,84,Roompot - Oranje Peloton,",, 0:03",,,2,2016
31,,42,59.0,+0:36,,Bodnar Maciej,85,Tinkoff,",, 0:03",,,2,2016
30,,211,61.0,+0:37,,Cie\u015blik Pawe\u0142,86,VERVA ActiveJet Pro Cycling Team,",, 0:03",,,2,2016
29,,188,25.0,+0:20,,Marycz Jaroslaw,87,CCC Sprandi Polkowice,",, 0:03",,,2,2016
29,,137,62.0,+0:37,,Pichon Laurent,88,FDJ,",, 0:03",,,2,2016
25,,116,12.0,+0:14,,Lampaert Yves,89,Etixx - Quick Step,",, 0:03",,,2,2016
30,,102,69.0,+0:39,,Arm\xe9e Sander,90,Lotto Soudal,",, 0:03",,,2,2016
27,,193,102.0,+0:52,,Krizek Matthias,91,Team Roth,",, 0:03",,,2,2016
27,,108,35.0,+0:27,,Wallays Jelle,92,Lotto Soudal,",, 0:03",,,2,2016
24,,214,88.0,+0:45,,Hnik Karel,93,VERVA ActiveJet Pro Cycling Team,",, 0:03",,,2,2016
25,,92,86.0,+0:43,,Dombrowski Joe,94,Cannondale Pro Cycling Team,",, 0:03",,,2,2016
