Rnk,Team,GC,GC-Time,Time,year,stage
1,Phonak Hearing Systems,,+ - 37:15:09,111:47:47 111:47:47,2002,9
2,Fassa Bortolo,,+ - 37:15:09,24:29 24:29,2002,9
4,Saint-Quentin Oktos,,+ - 37:15:09,33:04 33:04,2002,9
5,Team Telekom,,+ - 37:15:09,36:51 36:51,2002,9
6,Acqua & Sapone,,+ - 37:15:09,47:08 47:08,2002,9
7,Mapei - Quickstep,,+ - 37:15:09,51:55 51:55,2002,9
8,Rabobank ProTeam,,+ - 37:15:09,57:13 57:13,2002,9
9,Gerolsteiner,,+ - 37:15:09,57:49 57:49,2002,9
10,Lampre - Daikin,,+ - 37:15:09,1:05:19 1:05:19,2002,9
11,La Fran\xe7aise des Jeux,,+ - 37:15:09,1:07:20 1:07:20,2002,9
12,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,,+ - 37:15:09,1:18:49 1:18:49,2002,9
13,Domo - Farm Frites,,+ - 37:15:09,1:28:41 1:28:41,2002,9
14,Alessio,,+ - 37:15:09,1:28:43 1:28:43,2002,9
16,Team Coast,,+ - 37:15:09,1:41:49 1:41:49,2002,9
17,AG2R Pr\xe9voyance,,+ - 37:15:09,2:09:15 2:09:15,2002,9
