Rnk,Prev,\u25bc\u25b2,BIB,Team,GC,GC-Time,Time,year,stage
1,12,\u25b211,,Astana Pro Team,,+ -3:42:37,11:09:35 11:09:35,2015,2
2,2,-,,Movistar Team,,+ -3:42:37,0:42 0:42,2015,2
3,8,\u25b25,,Team Sky,,+ -3:42:37,0:46 0:46,2015,2
4,6,\u25b22,,Trek Factory Racing,,+ -3:42:37,1:09 1:09,2015,2
5,19,\u25b214,,Lampre - Merida,,+ -3:42:37,1:34 1:34,2015,2
6,4,\u25bc2,,BMC Racing Team,,+ -3:42:37,2:03 2:03,2015,2
7,17,\u25b210,,Wanty - Groupe Gobert,,+ -3:42:37,3:20 3:20,2015,2
8,10,\u25b22,,FDJ,,+ -3:42:37,4:35 4:35,2015,2
9,1,\u25bc8,,IAM Cycling,,+ -3:42:37,5:16 5:16,2015,2
10,3,\u25bc7,,Orica GreenEDGE,,+ -3:42:37,5:17 5:17,2015,2
11,7,\u25bc4,,Tinkoff - Saxo,,+ -3:42:37,5:30 5:30,2015,2
12,16,\u25b24,,Team Katusha,,+ -3:42:37,6:22 6:22,2015,2
13,15,\u25b22,,AG2R La Mondiale,,+ -3:42:37,7:27 7:27,2015,2
14,5,\u25bc9,,Team Giant - Alpecin,,+ -3:42:37,8:10 8:10,2015,2
15,18,\u25b23,,CCC Sprandi Polkowice,,+ -3:42:37,8:21 8:21,2015,2
16,14,\u25bc2,,Team Cannondale - Garmin,,+ -3:42:37,9:04 9:04,2015,2
17,11,\u25bc6,,Team LottoNL-Jumbo,,+ -3:42:37,10:19 10:19,2015,2
18,9,\u25bc9,,Etixx - Quick Step,,+ -3:42:37,10:53 10:53,2015,2
19,13,\u25bc6,,Lotto Soudal,,+ -3:42:37,14:28 14:28,2015,2
1,3,\u25b22,,Team Sky,,+ -6:43:12,20:12:06 20:12:06,2015,3
2,4,\u25b22,,Trek Factory Racing,,+ -6:43:12,0:23 0:23,2015,3
3,1,\u25bc2,,Astana Pro Team,,+ -6:43:12,0:33 0:33,2015,3
4,5,\u25b21,,Lampre - Merida,,+ -6:43:12,2:10 2:10,2015,3
5,6,\u25b21,,BMC Racing Team,,+ -6:43:12,4:01 4:01,2015,3
6,2,\u25bc4,,Movistar Team,,+ -6:43:12,4:50 4:50,2015,3
7,10,\u25b23,,Orica GreenEDGE,,+ -6:43:12,5:53 5:53,2015,3
8,8,-,,FDJ,,+ -6:43:12,6:45 6:45,2015,3
9,9,-,,IAM Cycling,,+ -6:43:12,7:39 7:39,2015,3
10,7,\u25bc3,,Wanty - Groupe Gobert,,+ -6:43:12,8:14 8:14,2015,3
11,13,\u25b22,,AG2R La Mondiale,,+ -6:43:12,12:10 12:10,2015,3
12,11,\u25bc1,,Tinkoff - Saxo,,+ -6:43:12,13:32 13:32,2015,3
13,15,\u25b22,,CCC Sprandi Polkowice,,+ -6:43:12,13:51 13:51,2015,3
14,16,\u25b22,,Team Cannondale - Garmin,,+ -6:43:12,15:08 15:08,2015,3
15,14,\u25bc1,,Team Giant - Alpecin,,+ -6:43:12,16:12 16:12,2015,3
