Rnk,Rider,Age,Team,Pnt,year,stage
1,Zampieri Steve,25,Tacconi Sport,69,2002,9
2,Garate Juan Manuel,26,Lampre - Daikin,43,2002,9
3,Tonkov Pavel,33,Lampre - Daikin,41,2002,9
4,Wadecki Piotr,29,Domo - Farm Frites,32,2002,9
5,Dufaux Laurent,33,Alessio,31,2002,9
6,Bergmann Reto,26,,28,2002,9
7,Calcagni Patrick,24,Tacconi Sport,27,2002,9
8,Z\xfclle Alex,33,Team Coast,27,2002,9
9,Moos Alexandre,29,Phonak Hearing Systems,23,2002,9
10,Kirchen Kim,23,Fassa Bortolo,21,2002,9
11,Casagrande Francesco,31,Fassa Bortolo,14,2002,9
12,van Bon L\xe9on,30,Domo - Farm Frites,12,2002,9
13,Mart\xednez Miguel \xc1ngel,34,,11,2002,9
14,Charriere Christian,26,Phonak Hearing Systems,10,2002,9
15,Faresin Gianni,36,Gerolsteiner,10,2002,9
16,Bortolami Gianluca,33,Tacconi Sport,8,2002,9
17,Commesso Salvatore,27,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,8,2002,9
18,Luttenberger Peter,29,Tacconi Sport,8,2002,9
19,Pencol\xe9 Franck,25,La Fran\xe7aise des Jeux,7,2002,9
20,Rinero Christophe,28,,7,2002,9
21,Julich Bobby,30,Team Telekom,5,2002,9
22,Fritsch Nicolas,23,La Fran\xe7aise des Jeux,4,2002,9
23,Agnolutto Christophe,32,AG2R Pr\xe9voyance,4,2002,9
24,Rebellin Davide,30,Gerolsteiner,3,2002,9
25,Bourquenoud Pierre,32,,2,2002,9
26,Lobato Ruben,23,Acqua & Sapone,2,2002,9
27,Basso Ivan,24,Fassa Bortolo,2,2002,9
28,Wegelius Charles,24,Mapei - Quickstep,2,2002,9
29,Hauptman Andrej,27,Tacconi Sport,2,2002,9
30,Gonzalez Santos,28,Acqua & Sapone,1,2002,9
31,Fuentes Juan,25,Saeco Macchine per Caff\xe9 - Longoni Sport 2002,1,2002,9
32,Wilson Matthew,24,La Fran\xe7aise des Jeux,1,2002,9
