Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
25,181,24,,Hansen Lasse Norman,1,Aqua Blue Sport,,2,2017
25,218,18,,van der Lijke Nick,2,Roompot - Nederlandse Loterij,,2,2017
25,205,9,,Duchesne Antoine,3,Direct Energie,,2,2017
31,22,8,,Bakelants Jan,4,AG2R La Mondiale,,2,2017
24,53,7,,Dougall Nick,5,Team Dimension Data,,2,2017
30,171,6,,Costa Rui,6,UAE Team Emirates,,2,2017
25,183,5,,Dunne Conor,7,Aqua Blue Sport,,2,2017
29,12,4,,Caruso Damiano,8,BMC Racing Team,,2,2017
30,161,2,,Kruijswijk Steven,9,Team LottoNL-Jumbo,,2,2017
24,96,1,,Quintana Dayer,10,Movistar Team,,2,2017
25,181,33,1.0,Hansen Lasse Norman,1,Aqua Blue Sport,-,3,2017
25,218,20,2.0,van der Lijke Nick,2,Roompot - Nederlandse Loterij,-,3,2017
25,205,9,3.0,Duchesne Antoine,3,Direct Energie,-,3,2017
31,22,8,4.0,Bakelants Jan,4,AG2R La Mondiale,-,3,2017
24,53,7,5.0,Dougall Nick,5,Team Dimension Data,-,3,2017
30,171,6,6.0,Costa Rui,6,UAE Team Emirates,-,3,2017
25,183,5,7.0,Dunne Conor,7,Aqua Blue Sport,-,3,2017
29,12,4,8.0,Caruso Damiano,8,BMC Racing Team,-,3,2017
25,215,4,,Reinders Elmar,9,Roompot - Nederlandse Loterij,-,3,2017
30,161,2,9.0,Kruijswijk Steven,10,Team LottoNL-Jumbo,\u25bc1,3,2017
35,148,2,,Gasparotto Enrico,11,Bahrain Merida Pro Cycling Team,-,3,2017
24,96,1,10.0,Quintana Dayer,12,Movistar Team,\u25bc2,3,2017
28,151,1,,Pantano Jarlinson,13,Trek - Segafredo,-,3,2017
25,181,33,1.0,Hansen Lasse Norman,1,Aqua Blue Sport,-,4,2017
25,218,32,2.0,van der Lijke Nick,2,Roompot - Nederlandse Loterij,-,4,2017
26,186,26,,Warbasse Larry,3,Aqua Blue Sport,-,4,2017
29,12,19,8.0,Caruso Damiano,4,BMC Racing Team,\u25b24,4,2017
25,205,17,3.0,Duchesne Antoine,5,Direct Energie,\u25bc2,4,2017
30,161,12,10.0,Kruijswijk Steven,6,Team LottoNL-Jumbo,\u25b24,4,2017
31,22,8,4.0,Bakelants Jan,7,AG2R La Mondiale,\u25bc3,4,2017
24,53,7,5.0,Dougall Nick,8,Team Dimension Data,\u25bc3,4,2017
30,71,6,,Spilak Simon,9,Team Katusha - Alpecin,-,4,2017
30,171,6,6.0,Costa Rui,10,UAE Team Emirates,\u25bc4,4,2017
25,183,5,7.0,Dunne Conor,11,Aqua Blue Sport,\u25bc4,4,2017
34,28,4,,Pozzovivo Domenico,12,AG2R La Mondiale,-,4,2017
31,162,4,,Boom Lars,13,Team LottoNL-Jumbo,-,4,2017
25,215,4,9.0,Reinders Elmar,14,Roompot - Nederlandse Loterij,\u25bc5,4,2017
22,77,2,,Restrepo Jhonatan,15,Team Katusha - Alpecin,-,4,2017
35,148,2,11.0,Gasparotto Enrico,16,Bahrain Merida Pro Cycling Team,\u25bc5,4,2017
24,96,1,12.0,Quintana Dayer,17,Movistar Team,\u25bc5,4,2017
28,151,1,13.0,Pantano Jarlinson,18,Trek - Segafredo,\u25bc5,4,2017
25,181,33,1.0,Hansen Lasse Norman,1,Aqua Blue Sport,-,5,2017
25,218,32,2.0,van der Lijke Nick,2,Roompot - Nederlandse Loterij,-,5,2017
26,186,26,3.0,Warbasse Larry,3,Aqua Blue Sport,-,5,2017
33,187,22,,Nordhaug Lars Petter,4,Aqua Blue Sport,-,5,2017
29,12,19,4.0,Caruso Damiano,5,BMC Racing Team,\u25bc1,5,2017
28,57,18,,King Benjamin,6,Team Dimension Data,-,5,2017
25,205,17,5.0,Duchesne Antoine,7,Direct Energie,\u25bc2,5,2017
30,161,12,6.0,Kruijswijk Steven,8,Team LottoNL-Jumbo,\u25bc2,5,2017
27,212,10,,Asselman Jesper,9,Roompot - Nederlandse Loterij,-,5,2017
31,22,8,7.0,Bakelants Jan,10,AG2R La Mondiale,\u25bc3,5,2017
28,88,7,,Wallays Jelle,11,Lotto Soudal,-,5,2017
24,53,7,8.0,Dougall Nick,12,Team Dimension Data,\u25bc4,5,2017
30,71,6,9.0,Spilak Simon,13,Team Katusha - Alpecin,\u25bc4,5,2017
30,171,6,10.0,Costa Rui,14,UAE Team Emirates,\u25bc4,5,2017
25,183,5,11.0,Dunne Conor,15,Aqua Blue Sport,\u25bc4,5,2017
34,28,4,12.0,Pozzovivo Domenico,16,AG2R La Mondiale,\u25bc4,5,2017
31,162,4,13.0,Boom Lars,17,Team LottoNL-Jumbo,\u25bc4,5,2017
29,107,4,,Bewley Sam,18,ORICA-Scott,-,5,2017
25,215,4,14.0,Reinders Elmar,19,Roompot - Nederlandse Loterij,\u25bc5,5,2017
22,77,2,15.0,Restrepo Jhonatan,20,Team Katusha - Alpecin,\u25bc5,5,2017
35,148,2,16.0,Gasparotto Enrico,21,Bahrain Merida Pro Cycling Team,\u25bc5,5,2017
24,96,1,17.0,Quintana Dayer,22,Movistar Team,\u25bc5,5,2017
28,151,1,18.0,Pantano Jarlinson,23,Trek - Segafredo,\u25bc5,5,2017
25,181,33,1.0,Hansen Lasse Norman,1,Aqua Blue Sport,-,6,2017
25,218,32,2.0,van der Lijke Nick,2,Roompot - Nederlandse Loterij,-,6,2017
31,22,28,10.0,Bakelants Jan,3,AG2R La Mondiale,\u25b27,6,2017
