Age,BIB,GC,GC-Time,Rider,Rnk,Team,Time,Time won/lost,UCI,stage,year
23,103,1.0,+0:00,Gaviria Fernando,1,Quick-Step Floors,4:23:22 4:23:22,+0:00,25.0,1,2018
28,111,2.0,+0:04,Sagan Peter,2,BORA - hansgrohe,0:04 0:04,+0:04,,1,2018
30,144,3.0,+0:06,Kittel Marcel,3,Team Katusha - Alpecin,0:06 0:06,+0:06,,1,2018
27,27,4.0,+0:09,Naesen Oliver,4,AG2R La Mondiale,0:09 0:09,+0:09,,1,2018
31,95,5.0,+0:10,Kristoff Alexander,5,UAE-Team Emirates,0:10 0:10,+0:10,,1,2018
25,201,6.0,+0:10,Laporte Christophe,6,"Cofidis, Solutions Cr\xe9dits",",, 0:10",+0:10,,1,2018
25,163,7.0,+0:10,Groenewegen Dylan,7,Team LottoNL-Jumbo,",, 0:10",+0:10,,1,2018
27,31,8.0,+0:10,Matthews Michael,8,Team Sunweb,",, 0:10",+0:10,,1,2018
29,194,9.0,+0:10,Degenkolb John,9,Trek - Segafredo,",, 0:10",+0:10,,1,2018
33,121,10.0,+0:10,Fuglsang Jakob,10,Astana Pro Team,",, 0:10",+0:10,,1,2018
28,114,11.0,+0:10,Majka Rafa\u0142,11,BORA - hansgrohe,",, 0:10",+0:10,,1,2018
33,51,12.0,+0:10,Nibali Vincenzo,12,Bahrain Merida Pro Cycling Team,",, 0:10",+0:10,,1,2018
30,213,13.0,+0:10,Dupont Timothy,13,Wanty - Groupe Gobert,",, 0:10",+0:10,,1,2018
24,182,14.0,+0:10,Boudat Thomas,14,Direct Energie,",, 0:10",+0:10,,1,2018
32,8,15.0,+0:10,Thomas Geraint,15,Team Sky,",, 0:10",+0:10,,1,2018
25,105,16.0,+0:10,Jungels Bob,16,Quick-Step Floors,",, 0:10",+0:10,,1,2018
26,128,17.0,+0:10,Valgren Michael,17,Astana Pro Team,",, 0:10",+0:10,,1,2018
35,107,18.0,+0:10,Richeze Ariel Maximiliano,18,Quick-Step Floors,",, 0:10",+0:10,,1,2018
36,104,19.0,+0:10,Gilbert Philippe,19,Quick-Step Floors,",, 0:10",+0:10,,1,2018
31,132,20.0,+0:10,Boasson Hagen Edvald,20,Team Dimension Data,",, 0:10",+0:10,,1,2018
28,52,21.0,+0:10,Colbrelli Sonny,21,Bahrain Merida Pro Cycling Team,",, 0:10",+0:10,,1,2018
26,198,22.0,+0:10,Stuyven Jasper,22,Trek - Segafredo,",, 0:10",+0:10,,1,2018
30,216,23.0,+0:10,Pasqualon Andrea,23,Wanty - Groupe Gobert,",, 0:10",+0:10,,1,2018
26,101,24.0,+0:10,Alaphilippe Julian,24,Quick-Step Floors,",, 0:10",+0:10,,1,2018
33,87,25.0,+0:10,Van Avermaet Greg,25,BMC Racing Team,",, 0:10",+0:10,,1,2018
32,123,26.0,+0:10,Gruzdev Dmitriy,26,Astana Pro Team,",, 0:10",+0:10,,1,2018
35,171,27.0,+0:10,Greipel Andr\xe9,27,Lotto Soudal,",, 0:10",+0:10,,1,2018
27,32,28.0,+0:10,Dumoulin Tom,28,Team Sunweb,",, 0:10",+0:10,,1,2018
26,41,29.0,+0:10,Barguil Warren,29,Team Fortuneo - Samsic,",, 0:10",+0:10,,1,2018
24,172,30.0,+0:10,Benoot Tiesj,30,Lotto Soudal,",, 0:10",+0:10,,1,2018
31,56,31.0,+0:10,Koren Kristijan,31,Bahrain Merida Pro Cycling Team,",, 0:10",+0:10,,1,2018
34,127,32.0,+0:10,Sanchez Luis Leon,32,Astana Pro Team,",, 0:10",+0:10,,1,2018
28,75,33.0,+0:10,Landa Mikel,33,Movistar Team,",, 0:10",+0:10,,1,2018
27,106,34.0,+0:10,Lampaert Yves,34,Quick-Step Floors,",, 0:10",+0:10,,1,2018
27,21,35.0,+0:10,Bardet Romain,35,AG2R La Mondiale,",, 0:10",+0:10,,1,2018
29,133,36.0,+0:10,Janse van Rensburg Reinardt,36,Team Dimension Data,",, 0:10",+0:10,,1,2018
33,131,37.0,+0:10,Cavendish Mark,37,Team Dimension Data,",, 0:10",+0:10,,1,2018
38,78,38.0,+0:10,Valverde Alejandro,38,Movistar Team,",, 0:10",+0:10,,1,2018
24,148,39.0,+0:10,Zabel Rick,39,Team Katusha - Alpecin,",, 0:10",+0:10,,1,2018
31,191,40.0,+0:10,Mollema Bauke,40,Trek - Segafredo,",, 0:10",+0:10,,1,2018
28,156,41.0,+0:10,Molard Rudy,41,Groupama - FDJ,",, 0:10",+0:10,,1,2018
31,161,42.0,+0:10,Kruijswijk Steven,42,Team LottoNL-Jumbo,",, 0:10",+0:10,,1,2018
28,141,43.0,+0:10,Zakarin Ilnur,43,Team Katusha - Alpecin,",, 0:10",+0:10,,1,2018
31,11,44.0,+0:10,Uran Rigoberto,44,Team EF Education First-Drapac p/b Cannondale,",, 0:10",+0:10,,1,2018
31,116,45.0,+0:10,Oss Daniel,45,BORA - hansgrohe,",, 0:10",+0:10,,1,2018
25,181,46.0,+0:10,Calmejane Lilian,46,Direct Energie,",, 0:10",+0:10,,1,2018
32,207,47.0,+0:10,Simon Julien,47,"Cofidis, Solutions Cr\xe9dits",",, 0:10",+0:10,,1,2018
24,208,48.0,+0:10,Turgis Anthony,48,"Cofidis, Solutions Cr\xe9dits",",, 0:10",+0:10,,1,2018
25,217,49.0,+0:10,Smith Dion,49,Wanty - Groupe Gobert,",, 0:10",+0:10,,1,2018
30,54,50.0,+0:10,Izagirre Gorka,50,Bahrain Merida Pro Cycling Team,",, 0:10",+0:10,,1,2018
24,147,51.0,+0:10,Politt Nils,51,Team Katusha - Alpecin,",, 0:10",+0:10,,1,2018
31,91,52.0,+0:10,Martin Daniel,52,UAE-Team Emirates,",, 0:10",+0:10,,1,2018
31,47,53.0,+0:10,Pichon Laurent,53,Team Fortuneo - Samsic,",, 0:10",+0:10,,1,2018
28,166,54.0,+0:10,Roglic Primoz,54,Team LottoNL-Jumbo,",, 0:10",+0:10,,1,2018
29,88,55.0,+0:10,van Garderen Tejay,55,BMC Racing Team,",, 0:10",+0:10,,1,2018
28,15,56.0,+0:10,Phinney Taylor,56,Team EF Education First-Drapac p/b Cannondale,",, 0:10",+0:10,,1,2018
39,183,57.0,+0:10,Chavanel Sylvain,57,Direct Energie,",, 0:10",+0:10,,1,2018
29,44,58.0,+0:10,Hardy Romain,58,Team Fortuneo - Samsic,",, 0:10",+0:10,,1,2018
29,157,59.0,+0:10,Sinkeldam Ramon,59,Groupama - FDJ,",, 0:10",+0:10,,1,2018
23,36,60.0,+0:10,Andersen S\xf8ren Kragh,60,Team Sunweb,",, 0:10",+0:10,,1,2018
36,177,61.0,+0:10,Sieberg Marcel,61,Lotto Soudal,",, 0:10",+0:10,,1,2018
