Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
23,43,,,15.0,,Cancellara Fabian,1,Fassa Bortolo,,,0,2004
32,1,,,,,Armstrong Lance,2*,US Postal Service,,,0,2004
30,25,,,10.0,,Gutierrez Jose Enrique,3,Phonak Hearing Systems,,,0,2004
28,161,,,8.0,,McGee Bradley,4,Fdjeux.com,,,0,2004
26,57,,,6.0,,Hushovd Thor,5,Cr\xe9dit Agricole,,,0,2004
26,27,,,5.0,,Pereiro Oscar,6,Phonak Hearing Systems,,,0,2004
32,69,,,4.0,,Voigt Jens,7,CSC ProTeam,,,0,2004
33,51,,,3.0,,Moreau Christophe,8,Cr\xe9dit Agricole,,,0,2004
32,64,,,2.0,,Julich Bobby,9,CSC ProTeam,,,0,2004
31,5,,,,,Hincapie George,10*,US Postal Service,,,0,2004
26,57,,,38.0,5,Hushovd Thor,1,Cr\xe9dit Agricole,,\u25b24,1,2004
34,145,,,35.0,,Kirsipuu Jaan,2,AG2R Pr\xe9voyance,,-,1,2004
32,181,,,30.0,,McEwen Robbie,3,Lotto - Domo,,-,1,2004
30,83,,,24.0,,Hondo Danilo,4,Gerolsteiner,,-,1,2004
23,43,,,23.0,1,Cancellara Fabian,5,Fassa Bortolo,,\u25bc4,1,2004
27,147,,,22.0,,Nazon Jean-Patrick,6,AG2R Pr\xe9voyance,,-,1,2004
25,163,,,20.0,,Cooke Baden,7,Fdjeux.com,,-,1,2004
29,62,,,19.0,,Arvesen Kurt-Asle,8,CSC ProTeam,,-,1,2004
30,41,,,18.0,,Petacchi Alessandro,9,Fassa Bortolo,,-,1,2004
33,19,,,17.0,,Zabel Erik,10,T-Mobile Team,,-,1,2004
23,113,,,16.0,,Davis Allan,11,Liberty Seguros,,-,1,2004
24,95,,,15.0,,Engoulvent Jimmy,12,Cofidis,,-,1,2004
30,25,,,14.0,3,Gutierrez Jose Enrique,13,Phonak Hearing Systems,,\u25bc10,1,2004
26,93,,,14.0,,Casper Jimmy,14,Cofidis,,-,1,2004
24,126,,,13.0,,Pineau J\xe9rome,15,Brioches La Boulang\xe8re,,-,1,2004
32,1,,,,2*,Armstrong Lance,16*,US Postal Service,,-,1,2004
24,194,,,12.0,,Marinangeli Sergio,17,Domina Vacanze,,-,1,2004
25,205,,,11.0,,Calzati Sylvain,18,R.a.g.t Semence - Mg Rover,,-,1,2004
29,131,,,10.0,,B\xe4ckstedt Magnus,19,Alessio - Bianchi,,-,1,2004
23,143,,,9.0,,Dumoulin Samuel,20,AG2R Pr\xe9voyance,,-,1,2004
32,69,,,8.0,7,Voigt Jens,21,CSC ProTeam,,\u25bc14,1,2004
26,72,,,8.0,,Becke Daniel,22,Illes Balears - Banesto,,-,1,2004
28,161,,,8.0,4,McGee Bradley,23,Fdjeux.com,,\u25bc19,1,2004
30,33,,,7.0,,Etxebarria David,24,Euskaltel - Euskadi,,-,1,2004
30,91,,,6.0,,O'Grady Stuart,25,Cofidis,,-,1,2004
23,165,,,6.0,,Eisel Bernhard,26,Fdjeux.com,,-,1,2004
36,141,,,6.0,,Brochard Laurent,27,AG2R Pr\xe9voyance,,-,1,2004
26,27,,,5.0,6,Pereiro Oscar,28,Phonak Hearing Systems,,\u25bc22,1,2004
34,189,,,5.0,,Vierhouten Aart,29,Lotto - Domo,,-,1,2004
33,51,,,3.0,8,Moreau Christophe,30,Cr\xe9dit Agricole,,\u25bc22,1,2004
25,146,,,3.0,,Krivtsov Yuriy,31,AG2R Pr\xe9voyance,,-,1,2004
32,64,,,2.0,9,Julich Bobby,32,CSC ProTeam,,\u25bc23,1,2004
23,103,,,2.0,,Boonen Tom,33,Quickstep - Davitamon,,-,1,2004
29,45,,,2.0,,Gonzalez Jimenez Aitor,34,Fassa Bortolo,,-,1,2004
30,55,,,2.0,,Halgand Patrice,35,Cr\xe9dit Agricole,,-,1,2004
27,98,,,2.0,,Tombak Janek,36,Cofidis,,-,1,2004
31,5,,,,10*,Hincapie George,37*,US Postal Service,,-,1,2004
29,15,,,1.0,,Ivanov Serguei,38,T-Mobile Team,,-,1,2004
26,57,,,68.0,1,Hushovd Thor,1,Cr\xe9dit Agricole,,-,2,2004
