Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
26,101.0,45.0,,Kittel Marcel,1,Team Giant - Shimano,,1,2014
24,51.0,45.0,,Sagan Peter,2,Cannondale,,1,2014
22,153.0,39.0,,Coquard Bryan,3,Team Europcar,,1,2014
26,97.0,30.0,,Navardauskas Ramunas,4,Garmin Sharp,,1,2014
34,38.0,22.0,,Rogers Michael,5,Tinkoff - Saxo,,1,2014
42,168.0,20.0,,Voigt Jens,6,Trek Factory Racing,,1,2014
29,1.0,20.0,,Froome Christopher,7,Team Sky,,1,2014
27,23.0,18.0,,Kristoff Alexander,8,Team Katusha,,1,2014
26,172.0,17.0,,Edet Nicolas,9,"Cofidis, Solutions Cr\xe9dits",,1,2014
25,68.0,16.0,,Vanmarcke Sep,10,Belkin-Pro Cycling Team,,1,2014
25,218.0,15.0,,Jarrier Benoit,11,Bretagne - S\xe9ch\xe9 Environnement,,1,2014
29,18.0,14.0,,Rojas Jos\xe9 Joaqu\xedn,12,Movistar Team,,1,2014
33,182.0,12.0,,Albasini Michael,13,Orica GreenEDGE,,1,2014
31,135.0,11.0,,Greipel Andr\xe9,14,Lotto Belisol,,1,2014
33,163.0,10.0,,Cancellara Fabian,15,Trek Factory Racing,,1,2014
29,71.0,9.0,,Cavendish Mark,16,Omega Pharma - Quick-Step,,1,2014
28,209.0,8.0,,Voss Paul,17,Team NetApp \u2013 Endura,,1,2014
26,158.0,8.0,,R\xe9za K\xe9vin,18,Team Europcar,,1,2014
40,76.0,7.0,,Petacchi Alessandro,19,Omega Pharma - Quick-Step,,1,2014
29,148.0,6.0,,Van Avermaet Greg,20,BMC Racing Team,,1,2014
29,52.0,6.0,,Bodnar Maciej,21,Cannondale,,1,2014
25,59.0,5.0,,Viviani Elia,22,Cannondale,,1,2014
35,193.0,4.0,,Elmiger Martin,23,IAM Cycling,,1,2014
29,58.0,4.0,,Sabatini Fabio,24,Cannondale,,1,2014
29,138.0,3.0,,Roelandts Jurgen,25,Lotto Belisol,,1,2014
33,84.0,2.0,,Dumoulin Samuel,26,AG2R La Mondiale,,1,2014
37,137.0,2.0,,Henderson Gregory,27,Lotto Belisol,,1,2014
34,132.0,1.0,,Bak Lars Ytting,28,Lotto Belisol,,1,2014
24,51.0,69.0,2.0,Sagan Peter,1,Cannondale,\u25b21,2,2014
22,153.0,47.0,3.0,Coquard Bryan,2,Team Europcar,\u25b21,2,2014
26,101.0,45.0,1.0,Kittel Marcel,3,Team Giant - Shimano,\u25bc2,2,2014
29,148.0,31.0,20.0,Van Avermaet Greg,4,BMC Racing Team,\u25b216,2,2014
29,41.0,30.0,,Nibali Vincenzo,5,Astana Pro Team,-,2,2014
26,97.0,30.0,4.0,Navardauskas Ramunas,6,Garmin Sharp,\u25bc2,2,2014
33,182.0,27.0,13.0,Albasini Michael,7,Orica GreenEDGE,\u25b26,2,2014
27,23.0,25.0,8.0,Kristoff Alexander,8,Team Katusha,-,2,2014
24,74.0,22.0,,Kwiatkowski Michal,9,Omega Pharma - Quick-Step,-,2,2014
34,38.0,22.0,5.0,Rogers Michael,10,Tinkoff - Saxo,\u25bc5,2,2014
27,86.0,20.0,,Kadri Blel,11,AG2R La Mondiale,-,2,2014
42,168.0,20.0,6.0,Voigt Jens,12,Trek Factory Racing,\u25bc6,2,2014
29,1.0,20.0,7.0,Froome Christopher,13,Team Sky,\u25bc6,2,2014
26,134.0,17.0,,Gallopin Tony,14,Lotto Belisol,-,2,2014
25,203.0,17.0,,de la Cruz David,15,Team NetApp \u2013 Endura,-,2,2014
26,172.0,17.0,9.0,Edet Nicolas,16,"Cofidis, Solutions Cr\xe9dits",\u25bc7,2,2014
31,135.0,17.0,14.0,Greipel Andr\xe9,17,Lotto Belisol,\u25bc3,2,2014
25,68.0,16.0,10.0,Vanmarcke Sep,18,Belkin-Pro Cycling Team,\u25bc8,2,2014
25,218.0,15.0,11.0,Jarrier Benoit,19,Bretagne - S\xe9ch\xe9 Environnement,\u25bc8,2,2014
30,157.0,15.0,,Quemeneur Perrig,20,Team Europcar,-,2,2014
29,18.0,14.0,12.0,Rojas Jos\xe9 Joaqu\xedn,21,Movistar Team,\u25bc9,2,2014
25,91.0,13.0,,Talansky Andrew,22,Garmin Sharp,-,2,2014
29,162.0,13.0,,Busche Matthew,23,Trek Factory Racing,-,2,2014
26,158.0,12.0,18.0,R\xe9za K\xe9vin,24,Team Europcar,\u25bc6,2,2014
27,61.0,11.0,,Mollema Bauke,25,Belkin-Pro Cycling Team,-,2,2014
25,215.0,11.0,,Fonseca Armindo,26,Bretagne - S\xe9ch\xe9 Environnement,-,2,2014
33,163.0,10.0,15.0,Cancellara Fabian,27,Trek Factory Racing,\u25bc12,2,2014
27,133.0,10.0,,De Clercq Bart,28,Lotto Belisol,-,2,2014
