Rnk,BIB,Rider,Age,Team,Pnt,year,stage
1,103,Gaviria Fernando,23,Quick-Step Floors,63,2018,1
2,111,Sagan Peter,28,BORA - hansgrohe,37,2018,1
3,144,Kittel Marcel,30,Team Katusha - Alpecin,24,2018,1
4,95,Kristoff Alexander,31,UAE-Team Emirates,24,2018,1
5,184,Cousin J\xe9r\xf4me,29,Direct Energie,20,2018,1
6,45,Ledanois Kevin,24,Team Fortuneo - Samsic,17,2018,1
7,201,Laporte Christophe,25,"Cofidis, Solutions Cr\xe9dits",16,2018,1
8,215,Offredo Yoann,31,Wanty - Groupe Gobert,15,2018,1
9,163,Groenewegen Dylan,25,Team LottoNL-Jumbo,14,2018,1
10,31,Matthews Michael,27,Team Sunweb,12,2018,1
11,171,Greipel Andr\xe9,35,Lotto Soudal,11,2018,1
12,194,Degenkolb John,29,Trek - Segafredo,10,2018,1
13,151,D\xe9mare Arnaud,26,Groupama - FDJ,10,2018,1
14,112,Bodnar Maciej,33,BORA - hansgrohe,9,2018,1
15,121,Fuglsang Jakob,33,Astana Pro Team,8,2018,1
16,131,Cavendish Mark,33,Team Dimension Data,8,2018,1
17,114,Majka Rafa\u0142,28,BORA - hansgrohe,7,2018,1
18,51,Nibali Vincenzo,33,Bahrain Merida Pro Cycling Team,6,2018,1
19,213,Dupont Timothy,30,Wanty - Groupe Gobert,5,2018,1
20,216,Pasqualon Andrea,30,Wanty - Groupe Gobert,5,2018,1
21,182,Boudat Thomas,24,Direct Energie,4,2018,1
22,8,Thomas Geraint,32,Team Sky,3,2018,1
23,107,Richeze Ariel Maximiliano,35,Quick-Step Floors,3,2018,1
24,105,Jungels Bob,25,Quick-Step Floors,2,2018,1
25,148,Zabel Rick,24,Team Katusha - Alpecin,2,2018,1
26,113,Burghardt Marcus,35,BORA - hansgrohe,1,2018,1
