Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
32,109,5.0,,W\xfcst Marcel,1,Festina - Lotus,,1,2000
33,2,3.0,,Andreu Frankie,2,US Postal Service,,1,2000
31,199,1.0,,Simon Fran\xe7ois,3,Bonjour,,1,2000
32,109,5.0,1.0,W\xfcst Marcel,1,Festina - Lotus,-,2,2000
33,2,3.0,2.0,Andreu Frankie,2,US Postal Service,-,2,2000
31,199,1.0,3.0,Simon Fran\xe7ois,3,Bonjour,-,2,2000
32,109,5.0,1.0,W\xfcst Marcel,1,Festina - Lotus,-,3,2000
33,2,3.0,2.0,Andreu Frankie,2,US Postal Service,-,3,2000
31,199,1.0,3.0,Simon Fran\xe7ois,3,Bonjour,-,3,2000
26,33,13.0,,Bettini Paolo,1,Mapei - Quickstep,-,5,2000
26,134,10.0,,Demarbaix Sebastien,2,Lotto - Adecco,-,5,2000
26,49,8.0,,Zberg Markus,3,Rabobank ProTeam,-,5,2000
30,151,5.0,,Virenque Richard,4,Polti,-,5,2000
33,135,5.0,,Durand Jacky,5,Lotto - Adecco,-,5,2000
32,109,5.0,1.0,W\xfcst Marcel,6,Festina - Lotus,\u25bc5,5,2000
31,199,4.0,3.0,Simon Fran\xe7ois,7,Bonjour,\u25bc4,5,2000
29,43,4.0,,Dekker Erik,8,Rabobank ProTeam,-,5,2000
28,179,4.0,,Voigt Jens,9,Cr\xe9dit Agricole,-,5,2000
33,2,3.0,2.0,Andreu Frankie,10,US Postal Service,\u25bc8,5,2000
26,67,1.0,,Vinokourov Alexandre,11,Team Telekom,-,5,2000
26,33,13.0,1.0,Bettini Paolo,1,Mapei - Quickstep,-,6,2000
26,134,10.0,2.0,Demarbaix Sebastien,2,Lotto - Adecco,-,6,2000
26,49,8.0,3.0,Zberg Markus,3,Rabobank ProTeam,-,6,2000
30,151,5.0,4.0,Virenque Richard,4,Polti,-,6,2000
33,135,5.0,5.0,Durand Jacky,5,Lotto - Adecco,-,6,2000
32,109,5.0,6.0,W\xfcst Marcel,6,Festina - Lotus,-,6,2000
31,199,4.0,7.0,Simon Fran\xe7ois,7,Bonjour,-,6,2000
29,43,4.0,8.0,Dekker Erik,8,Rabobank ProTeam,-,6,2000
28,179,4.0,9.0,Voigt Jens,9,Cr\xe9dit Agricole,-,6,2000
33,2,3.0,10.0,Andreu Frankie,10,US Postal Service,-,6,2000
26,67,1.0,11.0,Vinokourov Alexandre,11,Team Telekom,-,6,2000
26,33,16.0,1.0,Bettini Paolo,1,Mapei - Quickstep,-,7,2000
26,134,10.0,2.0,Demarbaix Sebastien,2,Lotto - Adecco,-,7,2000
26,49,8.0,3.0,Zberg Markus,3,Rabobank ProTeam,-,7,2000
30,82,5.0,,Agnolutto Christophe,4,AG2R Prevoyance,-,7,2000
33,135,5.0,5.0,Durand Jacky,5,Lotto - Adecco,-,7,2000
32,109,5.0,6.0,W\xfcst Marcel,6,Festina - Lotus,-,7,2000
30,151,5.0,4.0,Virenque Richard,7,Polti,\u25bc3,7,2000
29,43,4.0,8.0,Dekker Erik,8,Rabobank ProTeam,-,7,2000
28,179,4.0,9.0,Voigt Jens,9,Cr\xe9dit Agricole,-,7,2000
31,199,4.0,7.0,Simon Fran\xe7ois,10,Bonjour,\u25bc3,7,2000
33,2,3.0,10.0,Andreu Frankie,11,US Postal Service,\u25bc1,7,2000
33,62,1.0,,Bolts Udo,12,Team Telekom,-,7,2000
26,67,1.0,11.0,Vinokourov Alexandre,13,Team Telekom,\u25bc2,7,2000
29,43,29.0,8.0,Dekker Erik,1,Rabobank ProTeam,\u25b27,8,2000
26,33,23.0,1.0,Bettini Paolo,2,Mapei - Quickstep,\u25bc1,8,2000
26,134,10.0,2.0,Demarbaix Sebastien,3,Lotto - Adecco,\u25bc1,8,2000
26,49,8.0,3.0,Zberg Markus,4,Rabobank ProTeam,\u25bc1,8,2000
