Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,Pnt,year,stage
1,,-,98,Mengin Christophe,33,La Fran\xe7aise des Jeux,22.0,2002,1
2,,-,183,Berges Stephane,27,AG2R Pr\xe9voyance,16.0,2002,1
3,,-,155,Dierckxsens Ludo,37,Lampre - Daikin,15.0,2002,1
4,,-,201,Halgand Patrice,28,Jean Delatour,6.0,2002,1
5,,-,208,Lefevre Laurent,26,Jean Delatour,5.0,2002,1
6,,-,72,Bruylandts Dave,25,Domo - Farm Frites,3.0,2002,1
7,,-,71,Virenque Richard,32,Domo - Farm Frites,1.0,2002,1
8,,-,141,Verbrugghe Rik,27,Lotto - Adecco,1.0,2002,1
9,3.0,\u25bc6,81,Basso Ivan,24,Fassa Bortolo,1.0,2002,1
1,2.0,\u25b21,183,Berges Stephane,27,AG2R Pr\xe9voyance,26.0,2002,2
2,1.0,\u25bc1,98,Mengin Christophe,33,La Fran\xe7aise des Jeux,23.0,2002,2
3,3.0,-,155,Dierckxsens Ludo,37,Lampre - Daikin,15.0,2002,2
4,4.0,-,201,Halgand Patrice,28,Jean Delatour,6.0,2002,2
5,,-,114,Chavanel Sylvain,23,Bonjour,6.0,2002,2
6,5.0,\u25bc1,208,Lefevre Laurent,26,Jean Delatour,5.0,2002,2
7,6.0,\u25bc1,72,Bruylandts Dave,25,Domo - Farm Frites,3.0,2002,2
8,7.0,\u25bc1,71,Virenque Richard,32,Domo - Farm Frites,1.0,2002,2
9,8.0,\u25bc1,141,Verbrugghe Rik,27,Lotto - Adecco,1.0,2002,2
10,9.0,\u25bc1,81,Basso Ivan,24,Fassa Bortolo,1.0,2002,2
11,,-,64,Hushovd Thor,24,Cr\xe9dit Agricole,1.0,2002,2
1,2.0,\u25b21,98,Mengin Christophe,33,La Fran\xe7aise des Jeux,29.0,2002,3
2,1.0,\u25bc1,183,Berges Stephane,27,AG2R Pr\xe9voyance,26.0,2002,3
3,3.0,-,155,Dierckxsens Ludo,37,Lampre - Daikin,15.0,2002,3
4,4.0,-,201,Halgand Patrice,28,Jean Delatour,9.0,2002,3
5,5.0,-,114,Chavanel Sylvain,23,Bonjour,6.0,2002,3
6,,-,118,Renier Franck,28,Bonjour,5.0,2002,3
7,6.0,\u25bc1,208,Lefevre Laurent,26,Jean Delatour,5.0,2002,3
8,7.0,\u25bc1,72,Bruylandts Dave,25,Domo - Farm Frites,3.0,2002,3
9,,-,95,Durand Jacky,35,La Fran\xe7aise des Jeux,3.0,2002,3
10,8.0,\u25bc2,71,Virenque Richard,32,Domo - Farm Frites,1.0,2002,3
11,9.0,\u25bc2,141,Verbrugghe Rik,27,Lotto - Adecco,1.0,2002,3
12,10.0,\u25bc2,81,Basso Ivan,24,Fassa Bortolo,1.0,2002,3
13,,-,185,Flickinger Andy,23,AG2R Pr\xe9voyance,1.0,2002,3
14,11.0,\u25bc3,64,Hushovd Thor,24,Cr\xe9dit Agricole,1.0,2002,3
1,1.0,-,98,Mengin Christophe,33,La Fran\xe7aise des Jeux,29.0,2002,5
2,2.0,-,183,Berges Stephane,27,AG2R Pr\xe9voyance,26.0,2002,5
3,3.0,-,155,Dierckxsens Ludo,37,Lampre - Daikin,15.0,2002,5
4,4.0,-,201,Halgand Patrice,28,Jean Delatour,9.0,2002,5
5,5.0,-,114,Chavanel Sylvain,23,Bonjour,6.0,2002,5
6,6.0,-,118,Renier Franck,28,Bonjour,5.0,2002,5
7,7.0,-,208,Lefevre Laurent,26,Jean Delatour,5.0,2002,5
8,8.0,-,72,Bruylandts Dave,25,Domo - Farm Frites,3.0,2002,5
9,9.0,-,95,Durand Jacky,35,La Fran\xe7aise des Jeux,3.0,2002,5
10,10.0,-,81,Basso Ivan,24,Fassa Bortolo,1.0,2002,5
11,11.0,-,71,Virenque Richard,32,Domo - Farm Frites,1.0,2002,5
12,13.0,\u25b21,185,Flickinger Andy,23,AG2R Pr\xe9voyance,1.0,2002,5
13,12.0,\u25bc1,141,Verbrugghe Rik,27,Lotto - Adecco,1.0,2002,5
14,14.0,-,64,Hushovd Thor,24,Cr\xe9dit Agricole,1.0,2002,5
1,1.0,-,98,Mengin Christophe,33,La Fran\xe7aise des Jeux,39.0,2002,6
2,2.0,-,183,Berges Stephane,27,AG2R Pr\xe9voyance,26.0,2002,6
3,3.0,-,155,Dierckxsens Ludo,37,Lampre - Daikin,15.0,2002,6
4,4.0,-,201,Halgand Patrice,28,Jean Delatour,12.0,2002,6
5,5.0,-,114,Chavanel Sylvain,23,Bonjour,6.0,2002,6
6,6.0,-,118,Renier Franck,28,Bonjour,5.0,2002,6
7,7.0,-,208,Lefevre Laurent,26,Jean Delatour,5.0,2002,6
8,8.0,-,72,Bruylandts Dave,26,Domo - Farm Frites,3.0,2002,6
9,9.0,-,95,Durand Jacky,35,La Fran\xe7aise des Jeux,3.0,2002,6
10,,-,56,Sandst\xf8d Michael,34,CSC ProTeam - Tiscali,3.0,2002,6
11,10.0,\u25bc1,81,Basso Ivan,24,Fassa Bortolo,1.0,2002,6
12,11.0,\u25bc1,71,Virenque Richard,32,Domo - Farm Frites,1.0,2002,6
13,,-,75,Konecny Tomas,28,Domo - Farm Frites,1.0,2002,6
14,,-,207,Goubert Stephane,32,Jean Delatour,1.0,2002,6
15,12.0,\u25bc3,185,Flickinger Andy,23,AG2R Pr\xe9voyance,1.0,2002,6
16,14.0,\u25bc2,64,Hushovd Thor,24,Cr\xe9dit Agricole,1.0,2002,6
1,1.0,-,98,Mengin Christophe,33,La Fran\xe7aise des Jeux,39.0,2002,7
2,2.0,-,183,Berges Stephane,27,AG2R Pr\xe9voyance,26.0,2002,7
3,3.0,-,155,Dierckxsens Ludo,37,Lampre - Daikin,15.0,2002,7
4,4.0,-,201,Halgand Patrice,28,Jean Delatour,12.0,2002,7
5,6.0,\u25b21,118,Renier Franck,28,Bonjour,9.0,2002,7
6,,-,66,Morin Anthony,28,Cr\xe9dit Agricole,8.0,2002,7
7,5.0,\u25bc2,114,Chavanel Sylvain,23,Bonjour,6.0,2002,7
8,,-,78,van Bon L\xe9on,30,Domo - Farm Frites,6.0,2002,7
9,7.0,\u25bc2,208,Lefevre Laurent,26,Jean Delatour,5.0,2002,7
10,8.0,\u25bc2,72,Bruylandts Dave,26,Domo - Farm Frites,3.0,2002,7
11,9.0,\u25bc2,95,Durand Jacky,35,La Fran\xe7aise des Jeux,3.0,2002,7
12,10.0,\u25bc2,56,Sandst\xf8d Michael,34,CSC ProTeam - Tiscali,3.0,2002,7
13,11.0,\u25bc2,81,Basso Ivan,24,Fassa Bortolo,1.0,2002,7
14,12.0,\u25bc2,71,Virenque Richard,32,Domo - Farm Frites,1.0,2002,7
15,13.0,\u25bc2,75,Konecny Tomas,28,Domo - Farm Frites,1.0,2002,7
16,14.0,\u25bc2,207,Goubert Stephane,32,Jean Delatour,1.0,2002,7
17,15.0,\u25bc2,185,Flickinger Andy,23,AG2R Pr\xe9voyance,1.0,2002,7
