Age,BIB,Pnt,Prev,Rider,Rnk,Team,UCI,\u25bc\u25b2,stage,year
27,186,2,,Phinney Taylor,1,Cannondale-Drapac Pro Cycling Team,,,2,2017
25,184,3,,Brown Nathan,1,Cannondale-Drapac Pro Cycling Team,,-,3,2017
27,111,2,,Sagan Peter,2,BORA - hansgrohe,,-,3,2017
27,186,2,1.0,Phinney Taylor,3,Cannondale-Drapac Pro Cycling Team,,\u25bc2,3,2017
23,128,2,,Politt Nils,4,Team Katusha - Alpecin,,-,3,2017
24,173,1,,Calmejane Lilian,5,Direct Energie,,-,3,2017
26,141,1,,Matthews Michael,6,Team Sunweb,,-,3,2017
25,184,3,1.0,Brown Nathan,1,Cannondale-Drapac Pro Cycling Team,,-,4,2017
27,111,2,2.0,Sagan Peter,2,BORA - hansgrohe,,-,4,2017
27,186,2,3.0,Phinney Taylor,3,Cannondale-Drapac Pro Cycling Team,,-,4,2017
23,128,2,4.0,Politt Nils,4,Team Katusha - Alpecin,,-,4,2017
24,173,1,5.0,Calmejane Lilian,5,Direct Energie,,-,4,2017
26,208,1,,van Keirsbulck Guillaume,6,Wanty - Groupe Gobert,,-,4,2017
26,141,1,6.0,Matthews Michael,7,Team Sunweb,,\u25bc1,4,2017
27,51,10,,Aru Fabio,1,Astana Pro Team,,-,5,2017
30,105,8,,Martin Daniel,2,Quick-Step Floors,,-,5,2017
32,1,6,,Froome Christopher,3,Team Sky,,-,5,2017
32,41,4,,Porte Richie,4,BMC Racing Team,,-,5,2017
25,184,3,1.0,Brown Nathan,5,Cannondale-Drapac Pro Cycling Team,,\u25bc4,5,2017
31,12,2,,Bakelants Jan,6,AG2R La Mondiale,,-,5,2017
27,186,2,3.0,Phinney Taylor,7,Cannondale-Drapac Pro Cycling Team,,\u25bc4,5,2017
23,128,2,4.0,Politt Nils,8,Team Katusha - Alpecin,,\u25bc4,5,2017
26,11,2,,Bardet Romain,9,AG2R La Mondiale,,-,5,2017
24,173,1,5.0,Calmejane Lilian,10,Direct Energie,,\u25bc5,5,2017
26,208,1,6.0,van Keirsbulck Guillaume,11,Wanty - Groupe Gobert,,\u25bc5,5,2017
24,89,1,,Yates Simon,12,ORICA-Scott,,-,5,2017
30,216,1,,Perichon Pierre-Luc,13,Fortuneo - Oscaro,,-,5,2017
26,141,1,7.0,Matthews Michael,14,Team Sunweb,,\u25bc7,5,2017
27,51,10,1.0,Aru Fabio,1,Astana Pro Team,,-,6,2017
30,105,8,2.0,Martin Daniel,2,Quick-Step Floors,,-,6,2017
32,1,6,3.0,Froome Christopher,3,Team Sky,,-,6,2017
32,41,4,4.0,Porte Richie,4,BMC Racing Team,,-,6,2017
25,184,3,5.0,Brown Nathan,5,Cannondale-Drapac Pro Cycling Team,,-,6,2017
31,12,2,6.0,Bakelants Jan,6,AG2R La Mondiale,,-,6,2017
33,177,2,,Quemeneur Perrig,7,Direct Energie,,-,6,2017
27,186,2,7.0,Phinney Taylor,8,Cannondale-Drapac Pro Cycling Team,,\u25bc1,6,2017
23,128,2,8.0,Politt Nils,9,Team Katusha - Alpecin,,\u25bc1,6,2017
26,11,2,9.0,Bardet Romain,10,AG2R La Mondiale,,\u25bc1,6,2017
