Age,Avg,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
30,52.714,31,1,+0:00,100.0,,Moreau Christophe,1,Festina,9:20 9:20,,,0,2001
27,52.433,24,2,+0:03,70.0,,Gonzalez De Galdeano Igor,2,O.N.C.E. - Eroski,0:03 0:03,,,0,2001
29,52.34,1,3*,+0:04,,,Armstrong Lance,3*,US Postal Service,0:04 0:04,,,0,2001
27,52.063,11,4,+0:07,40.0,,Ullrich Jan,4,Team Telekom,0:07 0:07,,,0,2001
25,52.063,32,5,+0:07,32.0,,Brard Florent,5,Festina,",, 0:07",,,0,2001
28,51.788999999999994,151,6,+0:10,26.0,,Botero Santiago,6,Kelme - Costa Blanca,0:10 0:10,,,0,2001
27,51.518,21,7,+0:13,22.0,,Beloki Joseba,7,O.N.C.E. - Eroski,0:13 0:13,,,0,2001
27,51.518,107,8,+0:13,18.0,,O'Grady Stuart,8,Cr\xe9dit Agricole,",, 0:13",,,0,2001
26,51.428999999999995,28,9,+0:14,14.0,,Sastre Carlos,9,O.N.C.E. - Eroski,0:14 0:14,,,0,2001
27,51.428999999999995,158,10,+0:14,10.0,,Tauler Toni,10,Kelme - Costa Blanca,",, 0:14",,,0,2001
31,51.339,127,11,+0:15,8.0,,Kirsipuu Jaan,11,AG2R Pr\xe9voyance,0:15 0:15,,,0,2001
25,51.339,186,12,+0:15,6.0,,McGee Bradley,12,La Fran\xe7aise des Jeux,",, 0:15",,,0,2001
32,51.339,59,13,+0:15,4.0,,Wauters Marc,13,Rabobank ProTeam,",, 0:15",,,0,2001
27,51.25,155,14,+0:16,2.0,,Gutierrez Jose Enrique,14,Kelme - Costa Blanca,0:16 0:16,,,0,2001
30,51.25,161,15,+0:16,1.0,,Rous Didier,15,Bonjour,",, 0:16",,,0,2001
33,51.25,141,16,+0:16,,,Brochard Laurent,16,Jean Delatour,",, 0:16",,,0,2001
28,51.25,33,17,+0:16,,,Casero Angel Luis,17,Festina,",, 0:16",,,0,2001
28,51.25,6,18,+0:16,,,Kjaergaard Steffen,18,US Postal Service,",, 0:16",,,0,2001
23,51.161,104,19,+0:17,,,Hushovd Thor,19,Cr\xe9dit Agricole,0:17 0:17,,,0,2001
35,51.161,3,20,+0:17,,,Ekimov Viatcheslav,20,US Postal Service,",, 0:17",,,0,2001
27,51.161,22,21,+0:17,,,Gonzalez Santos,21,O.N.C.E. - Eroski,",, 0:17",,,0,2001
24,51.073,26,22,+0:18,,,Jaksche Jorg,22,O.N.C.E. - Eroski,0:18 0:18,,,0,2001
28,50.983999999999995,5,23,+0:19,,,Hincapie George,23,US Postal Service,0:19 0:19,,,0,2001
26,50.983999999999995,15,24,+0:19,,,Kl\xf6den Andr\xe9as,24,Team Telekom,",, 0:19",,,0,2001
31,50.722,82,26,+0:22,,,Bartoli Michele,26,Mapei - Quickstep,0:22 0:22,,,0,2001
30,50.722,93,27,+0:22,,,Brozyna Tomasz,27,Ibanesto.com,",, 0:22",,,0,2001
32,50.722,131,28,+0:22,,,Jalabert Laurent,28,CSC ProTeam - Tiscali,",, 0:22",,,0,2001
34,50.635,183,29,+0:23,,,Durand Jacky,29,La Fran\xe7aise des Jeux,0:23 0:23,,,0,2001
26,50.635,61,30,+0:23,,,Verbrugghe Rik,30,Lotto - Adecco,",, 0:23",,,0,2001
26,50.635,154,31,+0:23,,,Gonzalez Jimenez Aitor,31,Kelme - Costa Blanca,",, 0:23",,,0,2001
