Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,stage,year
27,52.466,96,1,+0:00,100.0,McGee Bradley,1,Fdjeux.com,7:26 7:26,0,2003
26,52.466,61,2,+0:00,70.0,Millar David,2,Cofidis,",, ,,",0,2003
26,52.232,179,3,+0:02,50.0,Zubeldia Haimar,3,Euskaltel - Euskadi,0:02 0:02,0,2003
29,52.232,131,4,+0:02,40.0,Ullrich Jan,4,Team Bianchi,",, 0:02",0,2003
28,51.77,8,5,+0:06,32.0,Pe\xf1a Victor Hugo,5,US Postal Service,0:06 0:06,0,2003
32,51.77,71,6,+0:06,26.0,Hamilton Tyler,6,CSC ProTeam,",, 0:06",0,2003
31,51.656000000000006,1,7*,+0:07,,Armstrong Lance,7*,US Postal Service,0:07 0:07,0,2003
29,51.428999999999995,11,8,+0:09,18.0,Beloki Joseba,8,O.N.C.E. - Eroski,0:09 0:09,0,2003
30,51.428999999999995,21,9,+0:09,14.0,Botero Santiago,9,Team Telekom,",, 0:09",0,2003
37,51.316,4,10,+0:11,10.0,Ekimov Viatcheslav,10,US Postal Service,0:10 0:10,0,2003
33,51.316,196,11,+0:11,8.0,Rich Michael,11,Gerolsteiner,",, 0:10",0,2003
29,51.20399999999999,41,12*,+0:11,,Leipheimer Levi,12*,Rabobank ProTeam,0:11 0:11,0,2003
30,51.20399999999999,5,13,+0:11,4.0,Hincapie George,13,US Postal Service,",, 0:11",0,2003
22,51.092,34,14,+0:12,2.0,Karpets Vladimir,14,Ibanesto.com,0:12 0:12,0,2003
23,51.092,152,15,+0:12,1.0,Astarloza Mikel,15,AG2R Pr\xe9voyance,",, 0:12",0,2003
29,51.092,102,16,+0:12,,Gutierrez Jose Enrique,16,Kelme - Costa Blanca,",, 0:12",0,2003
26,51.092,112,17,+0:13,,Bodrogi Laszlo,17,Quickstep - Davitamon,",, 0:12",0,2003
25,51.092,125,18,+0:13,,Hushovd Thor,18,Cr\xe9dit Agricole,",, 0:12",0,2003
23,50.98,117,19,+0:13,,Rogers Michael,19,Quickstep - Davitamon,0:13 0:13,0,2003
35,50.98,151,20,+0:13,,Brochard Laurent,20,AG2R Pr\xe9voyance,",, 0:13",0,2003
31,50.98,51,21,+0:13,,Simoni Gilberto,21,Saeco,",, 0:13",0,2003
26,50.87,15,22,+0:14,,Jaksche Jorg,22,O.N.C.E. - Eroski,0:14 0:14,0,2003
32,50.87,139,23,+0:14,,Steinhauser Tobias,23,Team Bianchi,",, 0:14",0,2003
34,50.75899999999999,48,24,+0:16,,Wauters Marc,24,Rabobank ProTeam,0:15 0:15,0,2003
25,50.648999999999994,132,25,+0:16,,Becke Daniel,25,Team Bianchi,0:16 0:16,0,2003
29,50.54,195,26,+0:17,,Pollack Olaf,26,Gerolsteiner,0:17 0:17,0,2003
31,50.54,197,27,+0:17,,Schmidt Torsten,27,Gerolsteiner,",, 0:17",0,2003
29,50.54,108,28,+0:17,,Tauler Toni,28,Kelme - Costa Blanca,",, 0:17",0,2003
34,50.431000000000004,194,29,+0:18,,Peschel Uwe,29,Gerolsteiner,0:18 0:18,0,2003
30,50.431000000000004,64,30,+0:18,,Gaumont Philippe,30,Cofidis,",, 0:18",0,2003
25,50.431000000000004,193,31,+0:18,,Haselbacher Rene,31,Gerolsteiner,",, 0:18",0,2003
24,50.431000000000004,155,32,+0:18,,Flickinger Andy,32,AG2R Pr\xe9voyance,",, 0:18",0,2003
27,50.431000000000004,44,33,+0:18,,Freire Oscar,33,Rabobank ProTeam,",, 0:18",0,2003
26,50.431000000000004,219,34,+0:18,,Nazon Jean-Patrick,34,Jean Delatour,",, 0:18",0,2003
32,50.431000000000004,181,35,+0:19,,Rous Didier,35,Brioches La Boulang\xe8re,",, 0:18",0,2003
33,50.323,156,36,+0:19,,Kirsipuu Jaan,36,AG2R Pr\xe9voyance,0:19 0:19,0,2003
28,50.323,149,37,+0:19,,Verbrugghe Rik,37,Lotto - Domo,",, 0:19",0,2003
31,50.323,76,38,+0:19,,Peron Andrea,38,CSC ProTeam,",, 0:19",0,2003
29,50.323,165,39,+0:19,,Mazzoleni Eddy,39,Vini Calderola - So.di,",, 0:19",0,2003
31,50.323,129,40,+0:19,,Voigt Jens,40,Cr\xe9dit Agricole,",, 0:19",0,2003
25,50.323,171,41,+0:19,,Mayo Iban,41,Euskaltel - Euskadi,",, 0:19",0,2003
33,50.215,138,42,+0:20,,Plaza David,42,Team Bianchi,0:20 0:20,0,2003
28,50.215,114,43,+0:20,,Ca\xf1ada David,43,Quickstep - Davitamon,",, 0:20",0,2003
34,50.215,137,44,+0:20,,Liese Thomas,44,Team Bianchi,",, 0:20",0,2003
24,50.215,93,45,+0:20,,Cooke Baden,45,Fdjeux.com,",, 0:20",0,2003
25,50.215,104,46,+0:20,,Manzano Jesus Maria,46,Kelme - Costa Blanca,",, 0:20",0,2003
25,50.215,16,47,+0:20,,Nozal Isidro,47,O.N.C.E. - Eroski,",, 0:20",0,2003
27,50.215,47,48,+0:20,,Niermann Grischa,48,Rabobank ProTeam,",, 0:20",0,2003
