Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
29,53.4,13,1,+0:00,100.0,Cancellara Fabian,1,Saxo Bank,10:00 10:00,20.0,0,2010
25,52.525,115,2,+0:10,70.0,Martin Tony,2,Team HTC - Columbia,0:10 0:10,10.0,0,2010
33,51.677,57,3,+0:20,50.0,Millar David,3,Team Garmin - Transitions,0:20 0:20,6.0,0,2010
38,51.511,21,4,+0:22,40.0,Armstrong Lance,4,RadioShack,0:22 0:22,4.0,0,2010
24,51.428999999999995,39,5,+0:23,32.0,Thomas Geraint,5,Sky Procycling,0:23 0:23,2.0,0,2010
27,51.1,1,6*,+0:27,,Contador Alberto,6*,Astana,0:27 0:27,,0,2010
26,51.019,53,6,+0:28,26.0,Farrar Tyler,6,Team Garmin - Transitions,0:28 0:28,,0,2010
36,51.019,25,7,+0:28,22.0,Leipheimer Levi,7,RadioShack,",, 0:28",,0,2010
23,50.696000000000005,36,8,+0:32,18.0,Boasson Hagen Edvald,8,Sky Procycling,0:32 0:32,,0,2010
27,50.457,141,9,+0:35,14.0,Gerdemann Linus,9,Milram,0:35 0:35,,0,2010
26,50.457,123,10,+0:35,10.0,Bookwalter Brent,10,BMC Racing Team,",, 0:35",,0,2010
22,50.457,207,11,+0:35,8.0,Malori Adriano,11,Lampre - Farnese Vini,",, 0:35",,0,2010
26,50.457,22,12,+0:35,6.0,Brajkovi\u010d Janez,12,RadioShack,",, 0:35",,0,2010
30,50.457,118,13,+0:35,4.0,Rogers Michael,13,Team HTC - Columbia,",, 0:35",,0,2010
30,50.376999999999995,168,14,+0:36,2.0,Plaza Rub\xe9n,14,Caisse d'Epargne,0:36 0:36,,0,2010
26,50.376999999999995,148,15,+0:36,1.0,Terpstra Niki,15,Milram,",, 0:36",,0,2010
35,50.376999999999995,24,16,+0:36,,Kl\xf6den Andr\xe9as,16,RadioShack,",, 0:36",,0,2010
29,50.218999999999994,165,17,+0:38,,Kiryienka Vasil,17,Caisse d'Epargne,0:38 0:38,,0,2010
36,50.218999999999994,9,18,+0:38,,Vinokourov Alexandre,18,Astana,",, 0:38",,0,2010
24,50.218999999999994,44,19,+0:38,,Kreuziger Roman,19,Liquigas - Doimo,",, 0:38",,0,2010
33,50.141000000000005,55,20,+0:39,,Hunter Robert,20,Team Garmin - Transitions,0:39 0:39,,0,2010
26,50.141000000000005,161,21,+0:39,,Sanchez Luis Leon,21,Caisse d'Epargne,",, 0:39",,0,2010
33,50.141000000000005,121,22,+0:39,,Evans Cadel,22,BMC Racing Team,",, 0:39",,0,2010
26,50.063,3,23,+0:40,,Grivko Andrei,23,Astana,0:40 0:40,,0,2010
31,50.063,59,24,+0:40,,Zabriskie David,24,Team Garmin - Transitions,",, 0:40",,0,2010
29,50.063,71,25,+0:40,,Karpets Vladimir,25,Team Katusha,",, 0:40",,0,2010
30,49.983999999999995,47,26,+0:41,,Quinziato Manuel,26,Liquigas - Doimo,0:41 0:41,,0,2010
27,49.983999999999995,128,27,+0:41,,Morabito Steve,27,BMC Racing Team,",, 0:41",,0,2010
27,49.983999999999995,116,28,+0:41,,Monfort Maxime,28,Team HTC - Columbia,",, 0:41",,0,2010
23,49.907,43,29,+0:42,,Koren Kristijan,29,Liquigas - Doimo,0:42 0:42,,0,2010
23,49.82899999999999,46,30,+0:43,,Oss Daniel,30,Liquigas - Doimo,0:43 0:43,,0,2010
24,49.751999999999995,192,31,+0:44,,Boom Lars,31,Rabobank ProTeam,0:44 0:44,,0,2010
24,49.751999999999995,97,32,+0:44,,Konovalovas Ignatas,32,Cervelo Test Team,",, 0:44",,0,2010
23,49.674,171,33,+0:45,,Taaram\xe4e Rein,33,Cofidis Le Credit en Ligne,0:45 0:45,,0,2010
29,49.598,132,35*,+0:46,,Barredo Carlos,35*,Quickstep - Innergetic,0:46 0:46,,0,2010
32,49.598,34,34,+0:46,,Flecha Juan Antonio,34,Sky Procycling,",, 0:46",,0,2010
29,49.598,54,35,+0:46,,Hesjedal Ryder,35,Team Garmin - Transitions,",, 0:46",,0,2010
27,49.521,178,36,+0:47,,Monier Damien,36,Cofidis Le Credit en Ligne,0:47 0:47,,0,2010
36,49.443999999999996,208,37,+0:48,,Petacchi Alessandro,37,Lampre - Farnese Vini,0:48 0:48,,0,2010
26,49.443999999999996,37,38,+0:48,,L\xf6fkvist Thomas,38,Sky Procycling,",, 0:48",,0,2010
30,49.368,98,39,+0:49,,Lancaster Brett,39,Cervelo Test Team,0:49 0:49,,0,2010
32,49.368,199,40,+0:49,,Tjallingii Maarten,40,Rabobank ProTeam,",, 0:49",,0,2010
23,49.368,162,41,+0:49,,Costa Rui,41,Caisse d'Epargne,",, 0:49",,0,2010
