Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,UCI.1,stage,year
30,,139,,,,Voss Paul,1,Bora - Argon 18,,1.0,,1,2016
26,,32,1.0,+0:00,100.0,Sagan Peter,1,Tinkoff,4:20:51 4:20:51,20.0,120.0,2,2016
24,,182,2.0,+0:08,70.0,Alaphilippe Julian,2,Etixx - Quick Step,",, ,,",10.0,50.0,2,2016
36,,12,3.0,+0:10,50.0,Valverde Alejandro,3,Movistar Team,",, ,,",6.0,25.0,2,2016
29,,184,10.0,+0:14,40.0,Martin Daniel,4,Etixx - Quick Step,",, ,,",4.0,15.0,2,2016
25,,207,19.0,+0:14,32.0,Matthews Michael,5,ORICA-BikeExchange,",, ,,",2.0,5.0,2,2016
25,,51,15.0,+0:14,26.0,Kelderman Wilco,6,Team LottoNL-Jumbo,",, ,,",,,2,2016
28,,165,13.0,+0:14,22.0,Gallopin Tony,7,Lotto Soudal,",, ,,",,,2,2016
31,,98,6.0,+0:14,18.0,Van Avermaet Greg,8,BMC Racing Team,",, ,,",,,2,2016
29,,61,23.0,+0:14,14.0,Mollema Bauke,9,Trek - Segafredo,",, ,,",,,2,2016
31,,1,5.0,+0:14,10.0,Froome Christopher,10,Team Sky,",, ,,",,,2,2016
36,,201,9.0,+0:14,8.0,Gerrans Simon,11,ORICA-BikeExchange,",, ,,",,,2,2016
29,,81,12.0,+0:14,6.0,Rolland Pierre,12,Cannondale-Drapac Pro Cycling Team,",, ,,",,,2,2016
23,,209,21.0,+0:14,4.0,Yates Adam,13,ORICA-BikeExchange,",, ,,",,,2,2016
24,,111,4.0,+0:14,2.0,Barguil Warren,14,Team Giant - Alpecin,",, ,,",,,2,2016
37,,141,26.0,+0:14,1.0,Rodr\xedguez Joaquim,15,Team Katusha,",, ,,",,,2,2016
26,,21,11.0,+0:14,,Aru Fabio,16,Astana Pro Team,",, ,,",,,2,2016
26,,11,7.0,+0:14,,Quintana Nairo,17,Movistar Team,",, ,,",,,2,2016
29,,151,20.0,+0:14,,Costa Rui,18,Lampre - Merida,",, ,,",,,2,2016
27,,99,18.0,+0:14,,van Garderen Tejay,19,BMC Racing Team,",, ,,",,,2,2016
33,,147,16.0,+0:14,,Van den Broeck Jurgen,20,Team Katusha,",, ,,",,,2,2016
26,,4,24.0,+0:14,,Landa Mikel,21,Team Sky,",, ,,",,,2,2016
27,,129,25.0,+0:14,,Vichot Arthur,22,FDJ,",, ,,",,,2,2016
30,,36,8.0,+0:14,,Kreuziger Roman,23,Tinkoff,",, ,,",,,2,2016
25,,41,17.0,+0:14,,Bardet Romain,24,AG2R La Mondiale,",, ,,",,,2,2016
25,,114,14.0,+0:14,,Dumoulin Tom,25,Team Giant - Alpecin,",, ,,",,,2,2016
28,,2,22.0,+0:14,,Henao Sergio Luis,26,Team Sky,",, ,,",,,2,2016
29,,71,27.0,+0:24,,Frank Mathias,27,IAM Cycling,0:10 0:10,,,2,2016
27,,126,30.0,+0:25,,Reichenbach Sebastien,28,FDJ,0:11 0:11,,,2,2016
31,,22,28.0,+0:25,,Nibali Vincenzo,29,Astana Pro Team,",, 0:11",,,2,2016
26,,121,31.0,+0:25,,Pinot Thibaut,30,FDJ,",, 0:11",,,2,2016
24,,157,32.0,+0:25,,Meintjes Louis,31,Lampre - Merida,",, 0:11",,,2,2016
27,,79,29.0,+0:25,,Pantano Jarlinson,32,IAM Cycling,",, 0:11",,,2,2016
28,,49,34.0,+0:29,,Vuillermoz Alexis,33,AG2R La Mondiale,0:15 0:15,,,2,2016
32,,28,33.0,+0:29,,Sanchez Luis Leon,34,Astana Pro Team,",, 0:15",,,2,2016
24,,83,35.0,+0:31,,Craddock Lawson,35,Cannondale-Drapac Pro Cycling Team,0:17 0:17,,,2,2016
39,,69,41.0,+0:31,,Zubeldia Haimar,36,Trek - Segafredo,",, 0:17",,,2,2016
27,,88,43.0,+0:31,,Slagter Tom-Jelte,37,Cannondale-Drapac Pro Cycling Team,",, 0:17",,,2,2016
32,,107,36.0,+0:31,,Pauwels Serge,38,Team Dimension Data,",, 0:17",,,2,2016
24,,137,42.0,+0:31,,Konrad Patrick,39,Bora - Argon 18,",, 0:17",,,2,2016
23,,131,39.0,+0:31,,Buchmann Emanuel,40,Bora - Argon 18,",, 0:17",,,2,2016
25,,211,38.0,+0:31,,Sep\xfalveda Eduardo,41,Fortuneo - Vital Concept,",, 0:17",,,2,2016
29,,25,40.0,+0:31,,Kangert Tanel,42,Astana Pro Team,",, 0:17",,,2,2016
25,,15,44.0,+0:35,,Herrada Jes\xfas,43,Movistar Team,0:21 0:21,,,2,2016
28,,177,37.0,+0:31,,Sicard Romain,44,Direct Energie,0:17 0:17,,,2,2016
28,,46,45.0,+0:35,,Gautier Cyril,45,AG2R La Mondiale,0:21 0:21,,,2,2016
30,,9,46.0,+0:38,,Thomas Geraint,46,Team Sky,0:24 0:24,,,2,2016
32,,198,47.0,+0:40,,Mat\xe9 Luis \xc1ngel,47,"Cofidis, Solutions Cr\xe9dits",0:26 0:26,,,2,2016
30,,195,48.0,+0:40,,Jeannesson Arnold,48,"Cofidis, Solutions Cr\xe9dits",",, 0:26",,,2,2016
36,,65,49.0,+0:46,,Schleck Fr\xe4nk,49,Trek - Segafredo,0:32 0:32,,,2,2016
24,,159,51.0,+0:49,,Polanc Jan,50,Lampre - Merida,0:35 0:35,,,2,2016
33,,124,54.0,+0:49,,Morabito Steve,51,FDJ,",, 0:35",,,2,2016
34,,145,52.0,+0:49,,Losada Alberto,52,Team Katusha,",, 0:35",,,2,2016
30,,42,53.0,+0:49,,Bakelants Jan,53,AG2R La Mondiale,",, 0:35",,,2,2016
34,,18,50.0,+0:49,,Moreno Daniel,54,Movistar Team,",, 0:35",,,2,2016
32,,5,59.0,+0:55,,Nieve Mikel,55,Team Sky,0:41 0:41,,,2,2016
35,,44,55.0,+0:55,,Dumoulin Samuel,56,AG2R La Mondiale,",, 0:41",,,2,2016
30,,214,56.0,+0:55,,Feillu Brice,57,Fortuneo - Vital Concept,",, 0:41",,,2,2016
31,,175,57.0,+0:55,,Jeandesboz Fabrice,58,Direct Energie,",, 0:41",,,2,2016
26,,149,58.0,+0:55,,Zakarin Ilnur,59,Team Katusha,",, 0:41",,,2,2016
29,,35,63.0,+1:02,,Ki\u0161erlovski Robert,60,Tinkoff,0:48 0:48,,,2,2016
33,,31,62.0,+1:02,,Contador Alberto,61,Tinkoff,",, 0:48",,,2,2016
30,,43,61.0,+1:02,,Ch\xe9rel Micka\xebl,62,AG2R La Mondiale,",, 0:48",,,2,2016
35,,118,65.0,+1:02,,ten Dam Laurens,63,Team Giant - Alpecin,",, 0:48",,,2,2016
28,,66,64.0,+1:02,,Stetina Peter,64,Trek - Segafredo,",, 0:48",,,2,2016
33,,186,60.0,+1:02,,Richeze Ariel Maximiliano,65,Etixx - Quick Step,",, 0:48",,,2,2016
24,,67,66.0,+1:11,,Stuyven Jasper,66,Trek - Segafredo,0:57 0:57,,,2,2016
37,,172,68.0,+1:21,,Chavanel Sylvain,67,Direct Energie,1:07 1:07,,,2,2016
24,,171,67.0,+1:21,,Coquard Bryan,68,Direct Energie,",, 1:07",,,2,2016
29,,217,69.0,+1:27,,Perichon Pierre-Luc,69,Fortuneo - Vital Concept,1:13 1:13,,,2,2016
26,,116,70.0,+1:27,,Preidler Georg,70,Team Giant - Alpecin,",, 1:13",,,2,2016
30,,115,71.0,+1:27,,Geschke Simon,71,Team Giant - Alpecin,",, 1:13",,,2,2016
29,,103,73.0,+1:36,,Boasson Hagen Edvald,72,Team Dimension Data,1:22 1:22,,,2,2016
22,,75,72.0,+1:36,,Enger Sondre Holst,73,IAM Cycling,",, 1:22",,,2,2016
35,,62,74.0,+1:42,,Cancellara Fabian,74,Trek - Segafredo,1:28 1:28,,,2,2016
27,,17,115.0,+4:41,,Izagirre Ion,75,Movistar Team,1:39 1:39,,,2,2016
25,,68,76.0,+1:53,,Theuns Edward,76,Trek - Segafredo,",, 1:39",,,2,2016
25,,78,77.0,+1:53,,Naesen Oliver,77,IAM Cycling,",, 1:39",,,2,2016
35,,202,78.0,+1:53,,Albasini Michael,78,ORICA-BikeExchange,",, 1:39",,,2,2016
29,,127,80.0,+1:53,,Roux Anthony,79,FDJ,",, 1:39",,,2,2016
22,,158,79.0,+1:53,,Pibernik Luka,80,Lampre - Merida,",, 1:39",,,2,2016
31,,91,81.0,+1:59,,Porte Richie,81,BMC Racing Team,1:45 1:45,,,2,2016
33,,48,85.0,+1:59,,Pozzovivo Domenico,82,AG2R La Mondiale,",, 1:45",,,2,2016
27,,57,83.0,+1:59,,Vanmarcke Sep,83,Team LottoNL-Jumbo,",, 1:45",,,2,2016
28,,45,84.0,+1:59,,Gastauer Ben,84,AG2R La Mondiale,",, 1:45",,,2,2016
28,,6,103.0,+3:32,,Poels Wout,85,Team Sky,",, 1:45",,,2,2016
31,,101,75.0,+1:49,,Cavendish Mark,86,Team Dimension Data,",, 1:45",,,2,2016
30,,76,82.0,+1:59,,Hollenstein Reto,87,IAM Cycling,",, 1:45",,,2,2016
25,,178,132.0,+6:10,,Tulik Angelo,88,Direct Energie,1:51 1:51,,,2,2016
27,,106,86.0,+2:20,,Janse van Rensburg Reinardt,89,Team Dimension Data,2:06 2:06,,,2,2016
28,,94,87.0,+2:24,,Caruso Damiano,90,BMC Racing Team,2:10 2:10,,,2,2016
33,,72,88.0,+2:38,,Clement Stef,91,IAM Cycling,2:24 2:24,,,2,2016
32,,24,89.0,+2:43,,Grivko Andrei,92,Astana Pro Team,2:29 2:29,,,2,2016
28,,194,125.0,+5:17,,Edet Nicolas,93,"Cofidis, Solutions Cr\xe9dits",2:52 2:52,,,2,2016
31,,205,98.0,+3:06,,Impey Daryl,94,ORICA-BikeExchange,",, 2:52",,,2,2016
27,,215,97.0,+3:06,,Fonseca Armindo,95,Fortuneo - Vital Concept,",, 2:52",,,2,2016
24,,39,96.0,+3:06,,Valgren Michael,96,Tinkoff,",, 2:52",,,2,2016
36,,63,94.0,+3:06,,Irizar Markel,97,Trek - Segafredo,",, 2:52",,,2,2016
32,,55,95.0,+3:06,,Martens Paul,98,Team LottoNL-Jumbo,",, 2:52",,,2,2016
27,,19,93.0,+3:06,,Oliveira Nelson,99,Movistar Team,",, 2:52",,,2,2016
28,,16,99.0,+3:06,,Izagirre Gorka,100,Movistar Team,",, 2:52",,,2,2016
31,,82,91.0,+3:06,,Breschel Matti,101,Cannondale-Drapac Pro Cycling Team,",, 2:52",,,2,2016
31,,23,114.0,+4:39,,Fuglsang Jakob,102,Astana Pro Team,",, 2:52",,,2,2016
35,,3,100.0,+3:06,,Kiryienka Vasil,103,Team Sky,",, 2:52",,,2,2016
31,,123,126.0,+5:27,,Ladagnous Matthieu,104,FDJ,",, 2:52",,,2,2016
36,,64,92.0,+3:06,,Rast Gregory,105,Trek - Segafredo,",, 2:52",,,2,2016
31,,168,101.0,+3:06,,Roelandts Jurgen,106,Lotto Soudal,",, 2:52",,,2,2016
34,,122,102.0,+3:06,,Bonnet William,107,FDJ,",, 2:52",,,2,2016
23,,196,90.0,+3:06,,Laporte Christophe,108,"Cofidis, Solutions Cr\xe9dits",",, 2:52",,,2,2016
30,,139,127.0,+5:41,,Voss Paul,109,Bora - Argon 18,3:07 3:07,,,2,2016
26,,189,133.0,+6:30,,Vermote Julien,110,Etixx - Quick Step,3:09 3:09,,,2,2016
28,,87,104.0,+3:33,,Navardauskas Ramunas,111,Cannondale-Drapac Pro Cycling Team,3:19 3:19,,,2,2016
31,,86,105.0,+3:33,,Langeveld Sebastian,112,Cannondale-Drapac Pro Cycling Team,",, 3:19",,,2,2016
38,,29,106.0,+3:38,,Tiralongo Paolo,113,Astana Pro Team,3:24 3:24,,,2,2016
23,,188,107.0,+3:44,,Vakoc Petr,114,Etixx - Quick Step,3:30 3:30,,,2,2016
33,,197,108.0,+4:01,,Lemoine Cyril,115,"Cofidis, Solutions Cr\xe9dits",3:47 3:47,,,2,2016
38,,204,109.0,+4:05,,Hayman Mathew,116,ORICA-BikeExchange,3:51 3:51,,,2,2016
25,,203,110.0,+4:05,,Durbridge Luke,117,ORICA-BikeExchange,",, 3:51",,,2,2016
26,,213,129.0,+6:03,,Delaplace Anthony,118,Fortuneo - Vital Concept,4:16 4:16,,,2,2016
34,,96,112.0,+4:30,,Moinard Ama\xebl,119,BMC Racing Team,",, 4:16",,,2,2016
29,,73,113.0,+4:30,,Coppel J\xe9rome,120,IAM Cycling,",, 4:16",,,2,2016
28,,199,111.0,+4:30,,Soupe Geoffrey,121,"Cofidis, Solutions Cr\xe9dits",",, 4:16",,,2,2016
27,,13,121.0,+5:00,,Anacona Winner,122,Movistar Team,4:46 4:46,,,2,2016
27,,54,120.0,+5:00,,Lindeman Bert-Jan,123,Team LottoNL-Jumbo,",, 4:46",,,2,2016
33,,93,118.0,+5:00,,Burghardt Marcus,124,BMC Racing Team,",, 4:46",,,2,2016
36,,112,119.0,+5:00,,Curvers Roy,125,Team Giant - Alpecin,",, 4:46",,,2,2016
27,,193,183.0,+8:32,,Cousin J\xe9r\xf4me,126,"Cofidis, Solutions Cr\xe9dits",",, 4:46",,,2,2016
32,,153,123.0,+5:00,,Bono Matteo,127,Lampre - Merida,",, 4:46",,,2,2016
31,,185,124.0,+5:00,,Martin Tony,128,Etixx - Quick Step,",, 4:46",,,2,2016
32,,191,122.0,+5:00,,Navarro Daniel,129,"Cofidis, Solutions Cr\xe9dits",",, 4:46",,,2,2016
26,,164,117.0,+5:00,,Debusschere Jens,130,Lotto Soudal,",, 4:46",,,2,2016
28,,144,116.0,+5:00,,Kristoff Alexander,131,Team Katusha,",, 4:46",,,2,2016
39,,148,128.0,+5:59,,Vicioso \xc1ngel,132,Team Katusha,5:45 5:45,,,2,2016
26,,212,130.0,+6:07,,Breen Vegard,133,Fortuneo - Vital Concept,5:53 5:53,,,2,2016
29,,97,131.0,+6:10,,Schar Michael,134,BMC Racing Team,5:56 5:56,,,2,2016
32,,92,187.0,+8:58,,Bookwalter Brent,135,BMC Racing Team,",, 5:56",,,2,2016
29,,163,186.0,+8:47,,De Gendt Thomas,136,Lotto Soudal,6:15 6:15,,,2,2016
33,,58,140.0,+7:05,,Wagner Robert,137,Team LottoNL-Jumbo,6:51 6:51,,,2,2016
27,,113,135.0,+7:05,,Degenkolb John,138,Team Giant - Alpecin,",, 6:51",,,2,2016
27,,117,137.0,+7:05,,Sinkeldam Ramon,139,Team Giant - Alpecin,",, 6:51",,,2,2016
31,,119,136.0,+7:05,,Timmer Albert,140,Team Giant - Alpecin,",, 6:51",,,2,2016
31,,125,149.0,+7:05,,Pineau C\xe9dric,141,FDJ,",, 6:51",,,2,2016
33,,128,152.0,+7:05,,Roy J\xe9r\xe9my,142,FDJ,",, 6:51",,,2,2016
24,,156,184.0,+8:38,,Grmay Tsgabu,143,Lampre - Merida,",, 6:51",,,2,2016
