Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,,+ -8:50,,,1,Astana,27:48 27:48,,0,2007
,,,+ -8:50,,,2,CSC ProTeam,0:02 0:02,,0,2007
,,,+ -8:50,,,3,Discovery Channel,0:05 0:05,,0,2007
,,,+ -8:50,,,4,Caisse d'Epargne,0:18 0:18,,0,2007
,,,+ -8:50,,,5,Cofidis,0:20 0:20,,0,2007
,,,+ -8:50,,,6,T-Mobile Team,0:45 0:45,,0,2007
,,,+ -8:50,,,7,Rabobank ProTeam,0:47 0:47,,0,2007
,,,+ -8:50,,,8,Fran\xe7aise des Jeux,0:48 0:48,,0,2007
,,,+ -8:50,,,9,Liquigas,0:52 0:52,,0,2007
,,,+ -8:50,,,10,Gerolsteiner,0:54 0:54,,0,2007
,,,+ -8:50,,,11,Quickstep - Innergetic,",, 0:54",,0,2007
,,,+ -8:50,,,12,Cr\xe9dit Agricole,",, 0:54",,0,2007
,,,+ -8:50,,,13,Euskaltel - Euskadi,0:57 0:57,,0,2007
,,,+ -8:50,,,14,Milram,1:01 1:01,,0,2007
,,,+ -8:50,,,15,Predictor - Lotto,",, 1:01",,0,2007
,,,+ -8:50,,,16,Bouygues Telecom,1:03 1:03,,0,2007
,,,+ -8:50,,,17,Lampre-Fondital,1:10 1:10,,0,2007
,,,+ -8:50,,,18,Saunier Duval,",, 1:10",,0,2007
,,,+ -8:50,,,19,Barloworld,1:23 1:23,,0,2007
,,,+ -8:50,,,20,Agritubel,1:25 1:25,,0,2007
,,,+ -8:50,,,21,AG2R Pr\xe9voyance,",, 1:25",,0,2007
,,,+ -4:47:51,1.0,,1,Astana,14:24:51 14:24:51,-,1,2007
,,,+ -4:47:51,2.0,,2,CSC ProTeam,0:02 0:02,-,1,2007
,,,+ -4:47:51,3.0,,3,Discovery Channel,0:05 0:05,-,1,2007
,,,+ -4:47:51,4.0,,4,Caisse d'Epargne,0:18 0:18,-,1,2007
,,,+ -4:47:51,5.0,,5,Cofidis,0:20 0:20,-,1,2007
,,,+ -4:47:51,6.0,,6,T-Mobile Team,0:45 0:45,-,1,2007
,,,+ -4:47:51,7.0,,7,Rabobank ProTeam,0:47 0:47,-,1,2007
,,,+ -4:47:51,8.0,,8,Fran\xe7aise des Jeux,0:48 0:48,-,1,2007
,,,+ -4:47:51,9.0,,9,Liquigas,0:52 0:52,-,1,2007
,,,+ -4:47:51,11.0,,10,Quickstep - Innergetic,0:54 0:54,\u25b21,1,2007
,,,+ -4:47:51,12.0,,11,Cr\xe9dit Agricole,",, 0:54",\u25b21,1,2007
,,,+ -4:47:51,10.0,,12,Gerolsteiner,",, 0:54",\u25bc2,1,2007
,,,+ -4:47:51,13.0,,13,Euskaltel - Euskadi,0:57 0:57,-,1,2007
,,,+ -4:47:51,15.0,,14,Predictor - Lotto,1:01 1:01,\u25b21,1,2007
,,,+ -4:47:51,14.0,,15,Milram,",, 1:01",\u25bc1,1,2007
,,,+ -4:47:51,16.0,,16,Bouygues Telecom,1:03 1:03,-,1,2007
,,,+ -4:47:51,17.0,,17,Lampre-Fondital,1:10 1:10,-,1,2007
,,,+ -4:47:51,18.0,,18,Saunier Duval,",, 1:10",-,1,2007
,,,+ -4:47:51,19.0,,19,Barloworld,1:23 1:23,-,1,2007
,,,+ -4:47:51,21.0,,20,AG2R Pr\xe9voyance,1:25 1:25,\u25b21,1,2007
,,,+ -4:47:51,20.0,,21,Agritubel,",, 1:25",\u25bc1,1,2007
,,,+ -8:36:13,1.0,,1,Astana,25:49:57 25:49:57,-,2,2007
,,,+ -8:36:13,2.0,,2,CSC ProTeam,0:02 0:02,-,2,2007
,,,+ -8:36:13,3.0,,3,Discovery Channel,0:05 0:05,-,2,2007
,,,+ -8:36:13,4.0,,4,Caisse d'Epargne,0:18 0:18,-,2,2007
,,,+ -8:36:13,5.0,,5,Cofidis,0:20 0:20,-,2,2007
,,,+ -8:36:13,6.0,,6,T-Mobile Team,0:45 0:45,-,2,2007
,,,+ -8:36:13,7.0,,7,Rabobank ProTeam,0:47 0:47,-,2,2007
,,,+ -8:36:13,8.0,,8,Fran\xe7aise des Jeux,0:48 0:48,-,2,2007
,,,+ -8:36:13,9.0,,9,Liquigas,0:52 0:52,-,2,2007
,,,+ -8:36:13,10.0,,10,Quickstep - Innergetic,0:54 0:54,-,2,2007
,,,+ -8:36:13,11.0,,11,Cr\xe9dit Agricole,",, 0:54",-,2,2007
,,,+ -8:36:13,12.0,,12,Gerolsteiner,",, 0:54",-,2,2007
,,,+ -8:36:13,13.0,,13,Euskaltel - Euskadi,0:57 0:57,-,2,2007
,,,+ -8:36:13,15.0,,14,Milram,1:01 1:01,\u25b21,2,2007
,,,+ -8:36:13,14.0,,15,Predictor - Lotto,",, 1:01",\u25bc1,2,2007
,,,+ -8:36:13,16.0,,16,Bouygues Telecom,1:03 1:03,-,2,2007
,,,+ -8:36:13,17.0,,17,Lampre-Fondital,1:10 1:10,-,2,2007
,,,+ -8:36:13,18.0,,18,Saunier Duval,",, 1:10",-,2,2007
,,,+ -8:36:13,19.0,,19,Barloworld,1:23 1:23,-,2,2007
,,,+ -8:36:13,21.0,,20,Agritubel,1:25 1:25,\u25b21,2,2007
,,,+ -8:36:13,20.0,,21,AG2R Pr\xe9voyance,",, 1:25",\u25bc1,2,2007
,,,+ - 15:12:08,1.0,,1,Astana,45:38:42 45:38:42,-,3,2007
,,,+ - 15:12:08,2.0,,2,CSC ProTeam,0:02 0:02,-,3,2007
,,,+ - 15:12:08,3.0,,3,Discovery Channel,0:05 0:05,-,3,2007
,,,+ - 15:12:08,4.0,,4,Caisse d'Epargne,0:18 0:18,-,3,2007
,,,+ - 15:12:08,5.0,,5,Cofidis,0:20 0:20,-,3,2007
