BIB,GC,GC-Time,Prev,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,+ -19:32,,1,Astana,59:46 59:46,,1,2009
,,+ -19:32,,2,Saxo Bank,0:31 0:31,,1,2009
,,+ -19:32,,3,Team Garmin - Slipstream,0:44 0:44,,1,2009
,,+ -4:49:34,1.0,1,Astana,14:29:52 14:29:52,-,2,2009
,,+ -4:49:34,2.0,2,Saxo Bank,0:31 0:31,-,2,2009
,,+ -4:49:34,3.0,3,Team Garmin - Slipstream,0:44 0:44,-,2,2009
,,+ -9:50:58,1.0,1,Astana,29:34:04 29:34:04,-,3,2009
,,+ -9:50:58,,2,Team Columbia Women,1:46 1:46,-,3,2009
,,+ -9:50:58,2.0,3,Saxo Bank,1:53 1:53,\u25bc1,3,2009
,,+ - 10:38:07,1.0,1,Astana,30:20:33 30:20:33,-,4,2009
,,+ - 10:38:07,3.0,2,Saxo Bank,2:33 2:33,\u25b21,4,2009
,,+ - 10:38:07,,3,Team Columbia - HTC,2:45 2:45,-,4,2009
,,+ - 10:38:07,,4,Team Garmin - Slipstream,3:05 3:05,-,4,2009
,,+ - 10:38:07,,5,Liquigas,4:26 4:26,-,4,2009
,,+ - 10:38:07,,6,Cervelo Test Team,5:25 5:25,-,4,2009
,,+ - 10:38:07,,7,Euskaltel - Euskadi,5:34 5:34,-,4,2009
,,+ - 10:38:07,,8,"Cofidis, Solutions Cr\xe9dits",6:12 6:12,-,4,2009
,,+ - 10:38:07,,9,Milram,6:33 6:33,-,4,2009
,,+ - 10:38:07,,10,Quickstep - Innergetic,",, 6:33",-,4,2009
,,+ - 10:38:07,,11,Team Katusha,6:36 6:36,-,4,2009
,,+ - 10:38:07,,12,AG2R La Mondiale,6:46 6:46,-,4,2009
,,+ - 10:38:07,,13,Silence - Lotto,6:51 6:51,-,4,2009
,,+ - 10:38:07,,14,Caisse d'Epargne,6:57 6:57,-,4,2009
,,+ - 10:38:07,,15,Rabobank ProTeam,7:27 7:27,-,4,2009
,,+ - 10:38:07,,16,Fran\xe7aise des Jeux,7:29 7:29,-,4,2009
,,+ - 10:38:07,,17,Lampre - NGC,8:24 8:24,-,4,2009
,,+ - 10:38:07,,18,Agritubel,8:48 8:48,-,4,2009
,,+ - 10:38:07,,19,Bbox Bouygues Telekom,9:41 9:41,-,4,2009
,,+ - 10:38:07,,20,Skil - Shimano,10:08 10:08,-,4,2009
,,+ - 15:07:49,1.0,1,Astana,43:49:39 43:49:39,-,5,2009
,,+ - 15:07:49,2.0,2,Saxo Bank,2:33 2:33,-,5,2009
,,+ - 15:07:49,3.0,3,Team Columbia - HTC,2:45 2:45,-,5,2009
,,+ - 15:07:49,4.0,4,Team Garmin - Slipstream,3:05 3:05,-,5,2009
,,+ - 15:07:49,5.0,5,Liquigas,4:26 4:26,-,5,2009
,,+ - 15:07:49,6.0,6,Cervelo Test Team,5:25 5:25,-,5,2009
,,+ - 15:07:49,7.0,7,Euskaltel - Euskadi,5:34 5:34,-,5,2009
,,+ - 15:07:49,8.0,8,"Cofidis, Solutions Cr\xe9dits",6:12 6:12,-,5,2009
,,+ - 15:07:49,9.0,9,Milram,6:33 6:33,-,5,2009
,,+ - 15:07:49,10.0,10,Quickstep - Innergetic,",, 6:33",-,5,2009
,,+ - 15:07:49,11.0,11,Team Katusha,6:36 6:36,-,5,2009
,,+ - 15:07:49,12.0,12,AG2R La Mondiale,6:46 6:46,-,5,2009
,,+ - 15:07:49,13.0,13,Silence - Lotto,6:51 6:51,-,5,2009
,,+ - 15:07:49,14.0,14,Caisse d'Epargne,6:57 6:57,-,5,2009
,,+ - 15:07:49,15.0,15,Rabobank ProTeam,7:27 7:27,-,5,2009
