BIB,GC,GC-Time,Prev,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,+ -6:12,,1,Festina - Lotus,18:57 18:57,,0,1998
,,+ -6:12,,2,GAN,0:07 0:07,,0,1998
,,+ -6:12,,3,Cofidis,0:16 0:16,,0,1998
,,+ -4:36:10,1.0,1,Festina - Lotus,13:48:52 13:48:52,-,1,1998
,,+ -4:36:10,2.0,2,GAN,0:07 0:07,-,1,1998
,,+ -4:36:10,3.0,3,Cofidis,0:16 0:16,-,1,1998
,,+ - 10:21:16,1.0,1,Festina - Lotus,31:04:21 31:04:21,-,2,1998
,,+ - 10:21:16,2.0,2,GAN,0:07 0:07,-,2,1998
,,+ - 10:21:16,3.0,3,Cofidis,0:16 0:16,-,2,1998
,,+ - 13:55:00,,1,Casino - AG2R,41:46:59 41:46:59,-,3,1998
,,+ - 13:55:00,1.0,2,Festina - Lotus,0:32 0:32,\u25bc1,3,1998
,,+ - 13:55:00,2.0,3,GAN,0:39 0:39,\u25bc1,3,1998
,,+ - 19:43:29,1.0,1,Casino - AG2R,59:12:59 59:12:59,-,4,1998
,,+ - 19:43:29,3.0,2,GAN,0:31 0:31,\u25b21,4,1998
,,+ - 19:43:29,2.0,3,Festina - Lotus,0:32 0:32,\u25bc1,4,1998
,,+ - 25:02:18,1.0,1,Casino - AG2R,75:09:26 75:09:26,-,5,1998
,,+ - 25:02:18,2.0,2,GAN,0:31 0:31,-,5,1998
,,+ - 25:02:18,3.0,3,Festina - Lotus,0:32 0:32,-,5,1998
,,+ - 30:07:48,1.0,1,Casino - AG2R,90:26:02 90:26:02,-,6,1998
,,+ - 30:07:48,2.0,2,GAN,0:31 0:31,-,6,1998
,,+ - 30:07:48,3.0,3,Festina - Lotus,0:32 0:32,-,6,1998
,,+ - 31:24:37,,1,Team Telekom - ARD,94:19:44 94:19:44,-,7,1998
,,+ - 31:24:37,,2,US Postal Service,0:34 0:34,-,7,1998
,,+ - 31:24:37,,3,Cofidis,1:38 1:38,-,7,1998
,,+ - 36:09:56,3.0,1,Cofidis,108:33:26 108:33:26,\u25b22,8,1998
,,+ - 36:09:56,,2,Casino - AG2R,9:24 9:24,-,8,1998
,,+ - 36:09:56,,3,Polti,12:03 12:03,-,8,1998
,,+ - 41:31:18,1.0,1,Cofidis,124:37:20 124:37:20,-,9,1998
,,+ - 41:31:18,2.0,2,Casino - AG2R,9:24 9:24,-,9,1998
,,+ - 41:31:18,3.0,3,Polti,12:15 12:15,-,9,1998
,,+ - 47:25:18,1.0,1,Cofidis,142:11:15 142:11:15,-,10,1998
,,+ - 47:25:18,2.0,2,Casino - AG2R,10:06 10:06,-,10,1998
,,+ - 47:25:18,,3,Banesto,15:23 15:23,-,10,1998
,,+ - 52:42:25,1.0,1,Cofidis,158:02:08 158:02:08,-,11,1998
,,+ - 52:42:25,2.0,2,Casino - AG2R,18:37 18:37,-,11,1998
,,+ - 52:42:25,3.0,3,Banesto,22:45 22:45,-,11,1998
,,+ - 56:55:16,1.0,1,Cofidis,170:40:41 170:40:41,-,12,1998
,,+ - 56:55:16,2.0,2,Casino - AG2R,18:37 18:37,-,12,1998
,,+ - 56:55:16,3.0,3,Banesto,22:45 22:45,-,12,1998
,,+ - 61:30:53,1.0,1,Cofidis,184:27:32 184:27:32,-,13,1998
,,+ - 61:30:53,2.0,2,Casino - AG2R,18:37 18:37,-,13,1998
,,+ - 61:30:53,3.0,3,Banesto,19:54 19:54,-,13,1998
,,+ - 66:11:51,1.0,1,Cofidis,198:20:21 198:20:21,-,14,1998
,,+ - 66:11:51,3.0,2,Banesto,19:54 19:54,\u25b21,14,1998
,,+ - 66:11:51,2.0,3,Casino - AG2R,28:42 28:42,\u25bc1,14,1998
,,+ - 71:58:37,1.0,1,Cofidis,215:46:56 215:46:56,-,15,1998
,,+ - 71:58:37,2.0,2,Banesto,33:04 33:04,-,15,1998
,,+ - 71:58:37,3.0,3,Casino - AG2R,38:36 38:36,-,15,1998
,,+ - 77:38:24,1.0,1,Cofidis,232:54:17 232:54:17,-,16,1998
,,+ - 77:38:24,,2,Team Telekom - ARD,44:09 44:09,-,16,1998
,,+ - 77:38:24,2.0,3,Banesto,51:32 51:32,\u25bc1,16,1998
,,+ - 82:31:51,1.0,1,Cofidis,247:34:38 247:34:38,-,18,1998
,,+ - 82:31:51,2.0,2,Team Telekom - ARD,44:09 44:09,-,18,1998
,,+ - 82:31:51,,3,Casino - AG2R,52:04 52:04,-,18,1998
,,+ - 87:58:43,1.0,1,Cofidis,263:55:14 263:55:14,-,19,1998
,,+ - 87:58:43,3.0,2,Casino - AG2R,19:38 19:38,\u25b21,19,1998
,,+ - 87:58:43,,3,US Postal Service,39:03 39:03,-,19,1998
,,+ - 89:05:10,1.0,1,Cofidis,267:16:10 267:16:10,-,20,1998
,,+ - 89:05:10,2.0,2,Casino - AG2R,29:09 29:09,-,20,1998
,,+ - 89:05:10,3.0,3,US Postal Service,41:40 41:40,-,20,1998
