Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
23,44,2,+0:05,,K\xfcng Stefan,1,BMC Racing Team,16:09 16:09,,1,2017
23,17,17,+0:25,,Latour Pierre,2,AG2R La Mondiale,0:20 0:20,,1,2017
24,57,20,+0:29,,Lutsenko Alexey,3,Astana Pro Team,0:24 0:24,,1,2017
24,167,26,+0:34,,Roosen Timo,4,Team LottoNL-Jumbo,0:29 0:29,,1,2017
24,89,29,+0:37,,Yates Simon,5,ORICA-Scott,0:32 0:32,,1,2017
24,113,33,+0:40,,Buchmann Emanuel,6,BORA - hansgrohe,0:35 0:35,,1,2017
24,28,36,+0:41,,S\xfctterlin Jasha,7,Movistar Team,0:36 0:36,,1,2017
24,148,37,+0:41,,Teunissen Mike,8,Team Sunweb,",, 0:36",,1,2017
23,128,38,+0:41,,Politt Nils,9,Team Katusha - Alpecin,",, 0:36",,1,2017
24,85,41,+0:43,,Howson Damien,10,ORICA-Scott,0:38 0:38,,1,2017
25,189,44,+0:44,,van Baarle Dylan,11,Cannondale-Drapac Pro Cycling Team,0:39 0:39,,1,2017
23,182,64,+0:52,,Bettiol Alberto,12,Cannondale-Drapac Pro Cycling Team,0:47 0:47,,1,2017
24,173,67,+0:53,,Calmejane Lilian,13,Direct Energie,0:48 0:48,,1,2017
25,58,73,+0:55,,Valgren Michael,14,Astana Pro Team,0:50 0:50,,1,2017
24,116,109,+1:10,,McCarthy Jay,15,BORA - hansgrohe,1:05 1:05,,1,2017
23,35,110,+1:10,,Gogl Michael,16,Trek - Segafredo,",, 1:05",,1,2017
25,61,113,+1:12,,Meintjes Louis,17,UAE Team Emirates,1:07 1:07,,1,2017
25,211,114,+1:12,,McLay Daniel,18,Fortuneo - Oscaro,",, 1:07",,1,2017
24,154,120,+1:14,,Laporte Christophe,19,"Cofidis, Solutions Cr\xe9dits",1:09 1:09,,1,2017
23,133,123,+1:15,,Benoot Tiesj,20,Lotto Soudal,1:10 1:10,,1,2017
23,76,135,+1:20,,Le Gac Olivier,21,FDJ,1:15 1:15,,1,2017
22,214,138,+1:20,,Gesbert Elie,22,Fortuneo - Oscaro,",, 1:15",,1,2017
23,158,146,+1:24,,S\xe9n\xe9chal Florian,23,"Cofidis, Solutions Cr\xe9dits",1:19 1:19,,1,2017
23,172,149,+1:27,,Boudat Thomas,24,Direct Energie,1:22 1:22,,1,2017
25,56,152,+1:28,,Kozhatayev Bakhtiyar,25,Astana Pro Team,1:23 1:23,,1,2017
24,201,167,+1:42,,Martin Guillaume,26,Wanty - Groupe Gobert,1:37 1:37,,1,2017
24,207,178,+1:47,,Smith Dion,27,Wanty - Groupe Gobert,1:42 1:42,,1,2017
24,163,185,+1:55,,Groenewegen Dylan,28,Team LottoNL-Jumbo,1:50 1:50,,1,2017
23,129,190,+2:12,,Zabel Rick,29,Team Katusha - Alpecin,2:07 2:07,,1,2017
23,44,2,+0:05,1.0,K\xfcng Stefan,1,BMC Racing Team,4:53:15 4:53:15,-,2,2017
23,17,16,+0:25,2.0,Latour Pierre,2,AG2R La Mondiale,0:20 0:20,-,2,2017
24,57,18,+0:29,3.0,Lutsenko Alexey,3,Astana Pro Team,0:24 0:24,-,2,2017
24,167,24,+0:34,4.0,Roosen Timo,4,Team LottoNL-Jumbo,0:29 0:29,-,2,2017
24,89,26,+0:37,5.0,Yates Simon,5,ORICA-Scott,0:32 0:32,-,2,2017
24,113,30,+0:40,6.0,Buchmann Emanuel,6,BORA - hansgrohe,0:35 0:35,-,2,2017
24,28,33,+0:41,7.0,S\xfctterlin Jasha,7,Movistar Team,0:36 0:36,-,2,2017
24,148,34,+0:41,8.0,Teunissen Mike,8,Team Sunweb,",, 0:36",-,2,2017
23,128,35,+0:41,9.0,Politt Nils,9,Team Katusha - Alpecin,",, 0:36",-,2,2017
24,85,38,+0:43,10.0,Howson Damien,10,ORICA-Scott,0:38 0:38,-,2,2017
23,182,57,+0:52,12.0,Bettiol Alberto,11,Cannondale-Drapac Pro Cycling Team,0:47 0:47,\u25b21,2,2017
24,173,60,+0:53,13.0,Calmejane Lilian,12,Direct Energie,0:48 0:48,\u25b21,2,2017
25,58,66,+0:55,14.0,Valgren Michael,13,Astana Pro Team,0:50 0:50,\u25b21,2,2017
24,116,98,+1:10,15.0,McCarthy Jay,14,BORA - hansgrohe,1:05 1:05,\u25b21,2,2017
23,35,99,+1:10,16.0,Gogl Michael,15,Trek - Segafredo,",, 1:05",\u25b21,2,2017
25,61,102,+1:12,17.0,Meintjes Louis,16,UAE Team Emirates,1:07 1:07,\u25b21,2,2017
25,211,103,+1:12,18.0,McLay Daniel,17,Fortuneo - Oscaro,",, 1:07",\u25b21,2,2017
24,154,109,+1:14,19.0,Laporte Christophe,18,"Cofidis, Solutions Cr\xe9dits",1:09 1:09,\u25b21,2,2017
23,133,112,+1:15,20.0,Benoot Tiesj,19,Lotto Soudal,1:10 1:10,\u25b21,2,2017
23,158,124,+1:24,23.0,S\xe9n\xe9chal Florian,20,"Cofidis, Solutions Cr\xe9dits",1:19 1:19,\u25b23,2,2017
24,201,138,+1:42,26.0,Martin Guillaume,21,Wanty - Groupe Gobert,1:37 1:37,\u25b25,2,2017
24,207,149,+1:47,27.0,Smith Dion,22,Wanty - Groupe Gobert,1:42 1:42,\u25b25,2,2017
24,163,156,+1:55,28.0,Groenewegen Dylan,23,Team LottoNL-Jumbo,1:50 1:50,\u25b25,2,2017
23,129,161,+2:12,29.0,Zabel Rick,24,Team Katusha - Alpecin,2:07 2:07,\u25b25,2,2017
22,214,168,+2:20,22.0,Gesbert Elie,25,Fortuneo - Oscaro,2:15 2:15,\u25bc3,2,2017
23,172,173,+2:50,24.0,Boudat Thomas,26,Direct Energie,2:45 2:45,\u25bc2,2,2017
23,76,177,+3:06,21.0,Le Gac Olivier,27,FDJ,3:01 3:01,\u25bc6,2,2017
25,189,180,+6:31,11.0,van Baarle Dylan,28,Cannondale-Drapac Pro Cycling Team,6:26 6:26,\u25bc17,2,2017
25,56,183,+7:15,25.0,Kozhatayev Bakhtiyar,29,Astana Pro Team,7:10 7:10,\u25bc4,2,2017
23,17,6,+0:25,2.0,Latour Pierre,1,AG2R La Mondiale,10:00:56 10:00:56,\u25b21,3,2017
24,57,11,+0:37,3.0,Lutsenko Alexey,2,Astana Pro Team,0:12 0:12,\u25b21,3,2017
23,44,12,+0:38,1.0,K\xfcng Stefan,3,BMC Racing Team,0:13 0:13,\u25bc2,3,2017
24,113,13,+0:40,6.0,Buchmann Emanuel,4,BORA - hansgrohe,0:15 0:15,\u25b22,3,2017
24,89,18,+0:45,5.0,Yates Simon,5,ORICA-Scott,0:20 0:20,-,3,2017
23,182,25,+0:52,11.0,Bettiol Alberto,6,Cannondale-Drapac Pro Cycling Team,0:27 0:27,\u25b25,3,2017
25,61,42,+1:12,16.0,Meintjes Louis,7,UAE Team Emirates,0:47 0:47,\u25b29,3,2017
23,133,45,+1:15,19.0,Benoot Tiesj,8,Lotto Soudal,0:50 0:50,\u25b211,3,2017
24,201,54,+1:42,21.0,Martin Guillaume,9,Wanty - Groupe Gobert,1:17 1:17,\u25b212,3,2017
25,58,62,+1:58,13.0,Valgren Michael,10,Astana Pro Team,1:33 1:33,\u25b23,3,2017
24,173,75,+2:28,12.0,Calmejane Lilian,11,Direct Energie,2:03 2:03,\u25b21,3,2017
24,148,76,+2:28,8.0,Teunissen Mike,12,Team Sunweb,",, 2:03",\u25bc4,3,2017
24,85,77,+2:30,10.0,Howson Damien,13,ORICA-Scott,2:05 2:05,\u25bc3,3,2017
22,214,80,+2:33,25.0,Gesbert Elie,14,Fortuneo - Oscaro,2:08 2:08,\u25b211,3,2017
24,116,83,+2:45,14.0,McCarthy Jay,15,BORA - hansgrohe,2:20 2:20,\u25bc1,3,2017
24,207,105,+3:22,22.0,Smith Dion,16,Wanty - Groupe Gobert,2:57 2:57,\u25b26,3,2017
24,167,107,+3:24,4.0,Roosen Timo,17,Team LottoNL-Jumbo,2:59 2:59,\u25bc13,3,2017
23,129,124,+3:59,24.0,Zabel Rick,18,Team Katusha - Alpecin,3:34 3:34,\u25b26,3,2017
25,211,126,+4:02,17.0,McLay Daniel,19,Fortuneo - Oscaro,3:37 3:37,\u25bc2,3,2017
