Rnk,BIB,Rider,Age,Team,GC,GC-Time,Time,year,stage
1,103,Gaviria Fernando,23,Quick-Step Floors,1,+0:00,4:23:22 4:23:22,2018,1
2,163,Groenewegen Dylan,25,Team LottoNL-Jumbo,7,+0:10,0:10 0:10,2018,1
3,182,Boudat Thomas,24,Direct Energie,14,+0:10,",, 0:10",2018,1
4,172,Benoot Tiesj,24,Lotto Soudal,30,+0:10,",, 0:10",2018,1
5,148,Zabel Rick,24,Team Katusha - Alpecin,39,+0:10,",, 0:10",2018,1
6,208,Turgis Anthony,24,"Cofidis, Solutions Cr\xe9dits",48,+0:10,",, 0:10",2018,1
7,217,Smith Dion,25,Wanty - Groupe Gobert,49,+0:10,",, 0:10",2018,1
8,147,Politt Nils,24,Team Katusha - Alpecin,51,+0:10,",, 0:10",2018,1
9,36,Andersen S\xf8ren Kragh,23,Team Sunweb,60,+0:10,",, 0:10",2018,1
10,98,Troia Oliviero,23,UAE-Team Emirates,67,+0:42,0:42 0:42,2018,1
11,167,Roosen Timo,25,Team LottoNL-Jumbo,69,+0:44,0:44 0:44,2018,1
12,126,Cort Nielsen Magnus,25,Astana Pro Team,74,+0:52,0:52 0:52,2018,1
13,195,Gogl Michael,24,Trek - Segafredo,80,+0:52,",, 0:52",2018,1
14,168,Tolhoek Antwan,24,Team LottoNL-Jumbo,89,+1:01,1:01 1:01,2018,1
15,211,Martin Guillaume,25,Wanty - Groupe Gobert,103,+1:01,",, 1:01",2018,1
16,2,Bernal Egan Arley,21,Team Sky,113,+1:25,1:25 1:25,2018,1
17,164,Jansen Amund Grondahl,24,Team LottoNL-Jumbo,119,+1:28,1:28 1:28,2018,1
18,43,Gesbert Elie,23,Team Fortuneo - Samsic,123,+1:37,1:37 1:37,2018,1
19,115,M\xfchlberger Gregor,24,BORA - hansgrohe,124,+1:40,1:40 1:40,2018,1
20,5,Moscon Gianni,24,Team Sky,127,+1:48,1:48 1:48,2018,1
21,26,Latour Pierre,24,AG2R La Mondiale,130,+2:21,2:21 2:21,2018,1
22,14,Martinez Daniel Felipe,22,Team EF Education First-Drapac p/b Cannondale,133,+2:29,2:29 2:29,2018,1
23,186,Grellier Fabien,23,Direct Energie,136,+2:34,2:34 2:34,2018,1
24,152,Gaudu David,21,Groupama - FDJ,139,+2:34,",, 2:34",2018,1
25,77,Soler Marc,24,Movistar Team,140,+2:34,",, 2:34",2018,1
26,85,K\xfcng Stefan,24,BMC Racing Team,143,+2:34,",, 2:34",2018,1
27,173,de Buyst Jasper,24,Lotto Soudal,162,+3:12,3:12 3:12,2018,1
28,45,Ledanois Kevin,24,Team Fortuneo - Samsic,163,+3:12,",, 3:12",2018,1
29,154,Le Gac Olivier,24,Groupama - FDJ,174,+6:33,6:33 6:33,2018,1
