Rider,year,stage_scores_giro,nr_stages_giro,Giro_max_total
Acevedo Janier Alexis,2015,0.0,20,0.0
Adyeyev Sergiy,2002,0.0,2,0.0
Adyeyev Sergiy,2003,0.0,21,0.0
Adyeyev Sergiy,2004,8.0,21,8.0
Aebersold Niki,2000,9.0,22,9.0
Aebersold Niki,2004,6.0,21,9.0
Aerts Mario,2001,0.0,21,0.0
Aerts Mario,2007,42.0,20,42.0
Aggiano Elio,1998,0.0,16,0.0
Aggiano Elio,2000,47.0,22,47.0
Aggiano Elio,2003,0.0,12,47.0
Aggiano Elio,2007,0.0,20,47.0
Agirre Josu,2008,0.0,20,0.0
Agnoli Valerio,2009,8.0,20,8.0
Agnoli Valerio,2010,0.0,20,8.0
Agnoli Valerio,2011,0.0,19,8.0
Agnoli Valerio,2012,0.0,1,8.0
Agnoli Valerio,2013,32.0,20,32.0
Agnoli Valerio,2014,0.0,20,32.0
Agnoli Valerio,2016,0.0,12,32.0
Agnoli Valerio,2017,0.0,21,32.0
Alafaci Eugenio,2014,12.0,20,12.0
Alafaci Eugenio,2015,0.0,20,12.0
Alafaci Eugenio,2016,0.0,21,12.0
Alafaci Eugenio,2017,0.0,21,12.0
Albanese Vincenzo,2017,7.0,16,7.0
Albasini Michael,2004,16.0,21,16.0
Albasini Michael,2010,0.0,20,16.0
Alberto Contreras Carlos,2001,88.0,21,88.0
Alberto Contreras Carlos,2002,0.0,3,88.0
Albizuri Benat,2006,0.0,20,0.0
Albizuri Benat,2007,0.0,6,0.0
Aldape Moises,2006,0.0,12,0.0
Amador Andrey,2010,11.0,20,11.0
Amador Andrey,2012,0.0,1,11.0
Amador Andrey,2014,0.0,20,11.0
Amador Andrey,2015,157.0,20,157.0
Amador Andrey,2016,168.0,21,168.0
Amador Andrey,2017,95.0,21,168.0
Amezqueta Julen,2016,14.0,21,14.0
Amezqueta Julen,2017,15.0,21,15.0
Anacona Winner,2014,10.0,20,10.0
Anacona Winner,2017,16.0,21,16.0
Andersson Michael,1998,0.0,17,0.0
Andreetta Simone,2016,0.0,21,0.0
Andreetta Simone,2017,24.0,21,24.0
Andriato Rafael,2013,9.0,20,9.0
Andriotto Dario,1998,0.0,18,0.0
Andriotto Dario,2001,0.0,21,0.0
Andriotto Dario,2002,0.0,17,0.0
Andriotto Dario,2003,0.0,21,0.0
Andriotto Dario,2004,0.0,21,0.0
Andriotto Dario,2005,14.0,21,14.0
Andriotto Dario,2006,0.0,20,14.0
Andriotto Dario,2007,7.0,20,14.0
Andriotto Dario,2009,0.0,17,14.0
Andriotto Dario,2010,0.0,20,14.0
Andrle Ren\xe9,2001,26.0,21,26.0
Andrle Ren\xe9,2005,11.0,21,26.0
Anton Igor,2005,0.0,21,0.0
Anton Igor,2011,126.0,19,126.0
Anton Igor,2014,0.0,20,126.0
Anton Igor,2015,18.0,20,126.0
Anton Igor,2016,10.0,21,126.0
Anton Igor,2017,11.0,21,126.0
Anza Santo,2006,0.0,20,0.0
Aparicio Vicente,1998,10.0,23,10.0
Aperribay Lander,2008,0.0,15,0.0
Apollonio Massimo,1998,0.0,7,0.0
Apollonio Massimo,1999,0.0,22,0.0
Apollonio Massimo,2002,0.0,21,0.0
Apollonio Massimo,2003,0.0,18,0.0
Appollonio Davide,2011,116.0,11,116.0
Appollonio Davide,2013,34.0,20,116.0
Appollonio Davide,2014,54.0,10,116.0
Appollonio Davide,2015,119.0,20,119.0
Aramendia Javier,2011,0.0,19,0.0
Aranaga Andoni,2004,0.0,7,0.0
Aranaga Andoni,2006,0.0,13,0.0
Arashiro Yukiya,2010,52.0,20,52.0
Arashiro Yukiya,2014,0.0,20,52.0
Arazzi Francesco,1998,92.0,17,92.0
Arazzi Francesco,1999,72.0,22,92.0
Ardila Mauricio Alberto,2004,28.0,21,28.0
Ardila Mauricio Alberto,2005,86.0,21,86.0
Ardila Mauricio Alberto,2006,7.0,20,86.0
Ardila Mauricio Alberto,2007,0.0,20,86.0
Ardila Mauricio Alberto,2008,17.0,20,86.0
Ardila Mauricio Alberto,2009,18.0,20,86.0
Ardila Mauricio Alberto,2010,35.0,20,86.0
Ardila Mauricio Alberto,2011,0.0,19,86.0
Arekeev Alexander,2007,24.0,12,24.0
Arm\xe9e Sander,2014,8.0,20,8.0
Arm\xe9e Sander,2015,0.0,20,8.0
Armstrong Lance,2009,68.0,20,68.0
Arndt Nikias,2015,0.0,20,0.0
Arndt Nikias,2016,109.0,21,109.0
Arredondo Juli\xe1n David,2014,76.0,20,76.0
Arrieta Jose Luis,1999,0.0,22,0.0
Arrieta Jose Luis,2001,76.0,21,76.0
Arroyo David,2007,115.0,20,115.0
Arroyo David,2009,115.0,20,115.0
Arroyo David,2010,134.0,20,134.0
Arroyo David,2011,119.0,19,134.0
Aru Fabio,2013,52.0,20,52.0
Aru Fabio,2014,173.0,20,173.0
Aru Fabio,2015,250.0,20,250.0
Arvesen Kurt-Asle,2003,80.0,18,80.0
