,Age,BIB,Rider,year,gc_extra_scores,gc_stage_scores,green_extra_scores,green_stage_scores,polka_extra_scores,polka_stage_scores,stage_scores,youth_extra_scores,youth_stage_scores,score
0,15,0.0,Martinez Juan Jesus,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,19,208.0,van Poppel Danny,2013,0.0,13.0,0.0,42.0,0.0,0.0,73.0,0.0,4.0,132.0
2,20,68.0,Lutsenko Alexey,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,20,167.0,van Poppel Danny,2014,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,38.0
4,20,216.0,Felline Fabio,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,21,0.0,Insausti Jon Ander,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,21,2.0,Bernal Egan Arley,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,21,44.0,Ciolek Gerald,2008,0.0,0.0,1.0,3.0,0.0,0.0,112.0,0.0,0.0,116.0
8,21,52.0,Augustyn John Lee,2008,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,13.0
9,21,54.0,Guti\xe9rrez Jos\xe9 Iv\xe1n,2000,0.0,4.0,0.0,9.0,0.0,0.0,28.0,0.0,24.0,65.0
10,21,97.0,Sanchez Luis Leon,2005,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,15.0
11,21,146.0,Jaksche Jorg,1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
12,21,152.0,Gaudu David,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,21,153.0,Casper Jimmy,1999,0.0,0.0,0.0,33.0,0.0,0.0,123.0,0.0,0.0,156.0
14,21,163.0,Delage Micka\xebl,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,21,164.0,Di Gr\xe9gorio R\xe9my,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,21,176.0,S\xe9n\xe9chal Florian,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,21,177.0,L\xf6fkvist Thomas,2005,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0
18,21,185.0,Grivko Andrei,2005,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,23.0
19,21,189.0,Yates Simon,2014,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
20,21,213.0,Delaplace Anthony,2011,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,14.0
21,21,215.0,Thomas Geraint,2007,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0
22,21,216.0,Kudus Merhawi,2015,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0
23,22,14.0,Martinez Daniel Felipe,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,22,17.0,Moser Moreno,2013,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0
25,22,23.0,Cavendish Mark,2007,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,33.0
26,22,25.0,Guti\xe9rrez Jos\xe9 Iv\xe1n,2001,0.0,3.0,0.0,9.0,0.0,0.0,17.0,0.0,28.0,57.0
27,22,26.0,Jaksche Jorg,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,22,34.0,Karpets Vladimir,2003,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,30.0,42.0
29,22,47.0,Pozzato Filippo,2004,0.0,0.0,0.0,1.0,0.0,0.0,50.0,0.0,0.0,51.0
30,22,54.0,Dekker Thomas,2007,0.0,7.0,0.0,3.0,0.0,0.0,34.0,0.0,31.0,75.0
31,22,55.0,Nerz Dominik,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,22,57.0,Sagan Peter,2012,0.0,3.0,10.0,199.0,0.0,20.0,300.0,0.0,20.0,552.0
33,22,65.0,Kreuziger Roman,2008,28.0,0.0,0.0,0.0,0.0,0.0,99.0,3.0,55.0,185.0
34,22,73.0,Bouhanni Nacer,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,22,73.0,Corioni Claudio,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,22,75.0,Enger Sondre Holst,2016,0.0,0.0,0.0,1.0,0.0,0.0,83.0,0.0,0.0,84.0
37,22,82.0,Bardet Romain,2013,22.0,1.0,0.0,2.0,0.0,0.0,72.0,1.0,40.0,138.0
38,22,92.0,Delaplace Anthony,2012,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
