Team,Rank_team,stage,year
US Postal Service,1,0,1999
O.N.C.E. - Deutsche Bank,2,0,1999
Credit agricole,3,0,1999
US Postal Service,1,1,1999
O.N.C.E. - Deutsche Bank,2,1,1999
Credit agricole,3,1,1999
Lampre - Daikin - Colnago,1,2,1999
Vitalicio Seguros - Grupo Generali,2,2,1999
Festina - Lotus,3,2,1999
Mercatone Uno - Bianchi,4,2,1999
Credit agricole,5,2,1999
Mapei - Quickstep,6,2,1999
Mercatone Uno - Bianchi,7,2,1999
US Postal Service,1,3,1999
O.N.C.E. - Deutsche Bank,2,3,1999
Credit agricole,3,3,1999
US Postal Service,1,4,1999
O.N.C.E. - Deutsche Bank,2,4,1999
Credit agricole,3,4,1999
US Postal Service,1,5,1999
O.N.C.E. - Deutsche Bank,2,5,1999
Credit agricole,3,5,1999
US Postal Service,1,6,1999
O.N.C.E. - Deutsche Bank,2,6,1999
Credit agricole,3,6,1999
US Postal Service,1,7,1999
O.N.C.E. - Deutsche Bank,2,7,1999
Credit agricole,3,7,1999
US Postal Service,1,8,1999
O.N.C.E. - Deutsche Bank,2,8,1999
Credit agricole,3,8,1999
US Postal Service,1,9,1999
O.N.C.E. - Deutsche Bank,2,9,1999
Festina - Lotus,3,9,1999
O.N.C.E. - Deutsche Bank,1,10,1999
Mapei - Quickstep,2,10,1999
US Postal Service,3,10,1999
Festina - Lotus,1,11,1999
Lotto - Mobistar,2,11,1999
O.N.C.E. - Deutsche Bank,3,11,1999
Festina - Lotus,1,12,1999
O.N.C.E. - Deutsche Bank,2,12,1999
Kelme - Costa Blanca,3,12,1999
O.N.C.E. - Deutsche Bank,1,13,1999
Banesto,2,13,1999
Kelme - Costa Blanca,3,13,1999
Festina - Lotus,1,14,1999
O.N.C.E. - Deutsche Bank,2,14,1999
Mapei - Quickstep,3,14,1999
Banesto,1,15,1999
O.N.C.E. - Deutsche Bank,2,15,1999
Festina - Lotus,3,15,1999
Banesto,1,16,1999
O.N.C.E. - Deutsche Bank,2,16,1999
Festina - Lotus,3,16,1999
Banesto,1,17,1999
O.N.C.E. - Deutsche Bank,2,17,1999
Festina - Lotus,3,17,1999
Banesto,1,18,1999
O.N.C.E. - Deutsche Bank,2,18,1999
Festina - Lotus,3,18,1999
Banesto,1,19,1999
O.N.C.E. - Deutsche Bank,2,19,1999
Festina - Lotus,3,19,1999
Banesto,1,20,1999
O.N.C.E. - Deutsche Bank,2,20,1999
Festina - Lotus,3,20,1999
Kelme - Costa Blanca,4,20,1999
Mapei - Quickstep,5,20,1999
Team Telekom,6,20,1999
Vitalicio Seguros - Grupo Generali,7,20,1999
US Postal Service,8,20,1999
Cofidis,9,20,1999
Lotto - Mobistar,10,20,1999
Casino - AG2R,11,20,1999
Saeco - Cannondale,12,20,1999
Polti,13,20,1999
La Fran\xe7aise des Jeux,14,20,1999
Mercatone Uno - Bianchi,15,20,1999
BigMat - Auber 93,16,20,1999
Credit agricole,17,20,1999
Lampre - Daikin - Colnago,18,20,1999
Rabobank ProTeam,19,20,1999
Cantina Tollo - Alexia Alluminio,20,20,1999
US Postal Service,1,1,2000
O.N.C.E. - Deutsche Bank,2,1,2000
Festina - Lotus,3,1,2000
US Postal Service,1,2,2000
O.N.C.E. - Deutsche Bank,2,2,2000
Festina - Lotus,3,2,2000
US Postal Service,1,3,2000
O.N.C.E. - Deutsche Bank,2,3,2000
Festina - Lotus,3,3,2000
O.N.C.E. - Deutsche Bank,1,4,2000
US Postal Service,2,4,2000
Team Telekom,3,4,2000
O.N.C.E. - Deutsche Bank,1,5,2000
US Postal Service,2,5,2000
Team Telekom,3,5,2000
Rabobank ProTeam,1,6,2000
Team Telekom,2,6,2000
Cr\xe9dit Agricole,3,6,2000
Rabobank ProTeam,1,7,2000
Team Telekom,2,7,2000
Cr\xe9dit Agricole,3,7,2000
Rabobank ProTeam,1,8,2000
Team Telekom,2,8,2000
Cr\xe9dit Agricole,3,8,2000
Rabobank ProTeam,1,9,2000
Team Telekom,2,9,2000
Cr\xe9dit Agricole,3,9,2000
Rabobank ProTeam,1,10,2000
Banesto,2,10,2000
Festina - Lotus,3,10,2000
Rabobank ProTeam,1,11,2000
Banesto,2,11,2000
Festina - Lotus,3,11,2000
Banesto,1,12,2000
Rabobank ProTeam,2,12,2000
Kelme - Costa Blanca,3,12,2000
Banesto,1,13,2000
Rabobank ProTeam,2,13,2000
Kelme - Costa Blanca,3,13,2000
Banesto,1,14,2000
Kelme - Costa Blanca,2,14,2000
Festina - Lotus,3,14,2000
Banesto,1,15,2000
Kelme - Costa Blanca,2,15,2000
Festina - Lotus,3,15,2000
Kelme - Costa Blanca,1,16,2000
Banesto,2,16,2000
Festina - Lotus,3,16,2000
Kelme - Costa Blanca,1,17,2000
Banesto,2,17,2000
Festina - Lotus,3,17,2000
Kelme - Costa Blanca,1,18,2000
Banesto,2,18,2000
Festina - Lotus,3,18,2000
Kelme - Costa Blanca,1,19,2000
Festina - Lotus,2,19,2000
Banesto,3,19,2000
Kelme - Costa Blanca,1,20,2000
Festina - Lotus,2,20,2000
Banesto,3,20,2000
Kelme - Costa Blanca,1,21,2000
Festina - Lotus,2,21,2000
Banesto,3,21,2000
Team Telekom,4,21,2000
Lotto - Adecco,5,21,2000
Rabobank ProTeam,6,21,2000
O.N.C.E. - Deutsche Bank,7,21,2000
US Postal Service,8,21,2000
Mapei - Quickstep,9,21,2000
Cofidis,10,21,2000
Mercatone Uno - Albacom,11,21,2000
Polti,12,21,2000
Saeco,13,21,2000
Vini Caldirola - Sidermec,14,21,2000
Bonjour,15,21,2000
AG2R Prevoyance,16,21,2000
Cr\xe9dit Agricole,17,21,2000
MemoryCard - Jack & Jones,18,21,2000
La Fran\xe7aise des Jeux,19,21,2000
Farm Frites,20,21,2000
Festina,1,0,2001
O.N.C.E. - Eroski,2,0,2001
US Postal Service,3,0,2001
Festina,1,1,2001
O.N.C.E. - Eroski,2,1,2001
US Postal Service,3,1,2001
Cr\xe9dit Agricole,1,2,2001
Festina,2,2,2001
Lampre - Daikin,3,2,2001
