Rider,year,stage_scores
Abraham Emile,2007,0.0
Acevedo Janier Alexis,2013,84.0
Acevedo Janier Alexis,2014,44.0
Acevedo Janier Alexis,2017,23.0
Acton Alejandro,2007,30.0
Aerts Mario,2007,7.0
Ait El Abdia Anass,2018,0.0
Alaphilippe Julian,2015,111.0
Alaphilippe Julian,2016,115.0
Albers Kirk,2006,8.0
Aldape Antonio,2006,0.0
Aldape Moises,2009,0.0
Alzate Carlos Eduardo,2012,0.0
Ambrose Scott,2015,0.0
Andersen S\xf8ren Kragh,2016,24.0
Andersen S\xf8ren Kragh,2017,0.0
Anderson Ryan,2010,0.0
Anderson Ryan,2011,0.0
Anderson Ryan,2012,19.0
Anderson Ryan,2014,0.0
Anderson Ryan,2016,0.0
Anthony Jesse,2010,0.0
Anthony Jesse,2011,0.0
Anthony Jesse,2013,0.0
Anthony Jesse,2015,0.0
Anthony Jesse,2016,7.0
Antogna Jose Fernando,2011,0.0
Ardila Mauricio Alberto,2007,31.0
Ardila Mauricio Alberto,2008,28.0
Ardila Mauricio Alberto,2009,0.0
Armstrong Lance,2009,70.0
Armstrong Lance,2010,20.0
Arndt Nikias,2018,9.0
Arredondo Juli\xe1n David,2016,0.0
Artacho Gustavo,2006,0.0
Artacho Gustavo,2007,0.0
Arvesen Kurt-Asle,2011,0.0
Asgreen Kasper,2018,6.0
Atapuma John Darwin,2012,30.0
Atkins Joshua,2012,0.0
B\xe1rta Jan,2011,0.0
Ba\u0161ka Erik,2016,0.0
Ba\u0161ka Erik,2017,0.0
Bagot Yoann,2017,0.0
Bajadali Andrew,2006,0.0
Bajadali Andrew,2007,0.0
Bajadali Andrew,2008,0.0
Bajadali Andrew,2011,0.0
Bajadali Andrew,2012,0.0
Bak Lars Ytting,2006,6.0
Bak Lars Ytting,2010,30.0
Baldwin Christopher,2006,11.0
Baldwin Christopher,2007,0.0
Baldwin Christopher,2009,20.0
Baldwin Christopher,2010,0.0
Baldwin Christopher,2011,0.0
Baldwin Christopher,2012,6.0
Baldwin Christopher,2013,19.0
Bardet Romain,2012,37.0
Barguil Warren,2015,0.0
Barredo Carlos,2009,6.0
Barredo Carlos,2010,6.0
Barry Michael,2006,29.0
Barry Michael,2007,0.0
Barry Michael,2009,0.0
Barta William,2016,0.0
Barta William,2018,33.0
Basso Ivan,2007,17.0
Basso Ivan,2009,24.0
Bauer Jack,2017,0.0
Bauer Jack,2018,19.0
Belgy Julien,2008,0.0
Bell Zach,2010,0.0
Bell Zach,2011,0.0
Bellotti Francesco,2010,15.0
Bellotti Francesco,2011,14.0
Belohvosciks Raivis,2008,7.0
Benedetti Cesare,2013,11.0
Benitez Jos\xe9 Alberto,2006,0.0
Bennati Daniele,2015,22.0
Bennett George,2012,0.0
Bennett George,2014,29.0
Bennett George,2016,46.0
Bennett George,2017,96.0
Bennett Sean,2017,0.0
Bennett Sean,2018,69.0
Beppu Fumiyuki,2013,0.0
Bernal Egan Arley,2018,100.0
Bernard Julien,2016,0.0
Berry Joshua,2017,0.0
Bertogliati Rubens,2008,11.0
Bertogliati Rubens,2011,0.0
Bettini Paolo,2007,99.0
Bettini Paolo,2008,40.0
Bettiol Alberto,2017,0.0
Bevin Patrick,2012,0.0
Bevin Patrick,2016,30.0
Bevin Patrick,2018,50.0
Beyer Chad,2007,0.0
Beyer Chad,2010,0.0
Beyer Chad,2013,14.0
Bjerg Mikkel,2018,20.0
Blackgrove Heath,2006,12.0
Blackgrove Heath,2007,0.0
Blackgrove Heath,2008,0.0
Blythe Adam,2016,0.0
Boasson Hagen Edvald,2008,22.0
Bobridge Jack,2014,38.0
Bodnar Maciej,2013,0.0
Bodnar Maciej,2014,7.0
Bodnar Maciej,2015,0.0
Bodnar Maciej,2017,18.0
Bodnar Maciej,2018,17.0
Bodrogi Laszlo,2011,9.0
Boeckmans Kris,2013,30.0
Bohli Tom,2017,14.0
Boily David,2010,6.0
Boily David,2012,0.0
Boily Eric,2010,0.0
Boivin Guillaume,2010,35.0
Boivin Guillaume,2012,35.0
Boivin Guillaume,2013,24.0
Boivin Guillaume,2014,31.0
Boivin Guillaume,2015,69.0
Bolivar Isaac,2014,0.0
Bonifazio Niccolo,2016,62.0
Bonnafond Guillaume,2017,0.0
Bookwalter Brent,2007,0.0
Bookwalter Brent,2011,30.0
Bookwalter Brent,2012,14.0
Bookwalter Brent,2013,0.0
Bookwalter Brent,2016,115.0
Bookwalter Brent,2017,103.0
Bookwalter Brent,2018,39.0
Boom Lars,2010,32.0
Boom Lars,2011,0.0
Boom Lars,2014,19.0
Boonen Tom,2008,35.0
Boonen Tom,2009,92.0
Boonen Tom,2010,0.0
Boonen Tom,2012,80.0
Boonen Tom,2014,0.0
Boonen Tom,2016,33.0
Borrajo Alejandro Alberto,2009,0.0
Borrajo Alejandro Alberto,2011,27.0
Borrajo Anibal Andres,2009,0.0
Borrajo Anibal Andres,2011,17.0
Bos Theo,2010,24.0
Bos Theo,2015,0.0
Boswell Ian,2012,0.0
Boswell Ian,2014,0.0
Boswell Ian,2015,26.0
Boswell Ian,2017,50.0
Boswell Ian,2018,0.0
Bouet Maxime,2012,0.0
Bouet Maxime,2016,0.0
Bouwman Koen,2017,0.0
Bowman Dan,2008,0.0
Bowman Dan,2011,0.0
Br\xf8chner Nicolai,2014,28.0
Braico Alexandr,2015,0.0
Brajkovi\u010d Janez,2006,7.0
Brajkovi\u010d Janez,2008,19.0
Brajkovi\u010d Janez,2009,44.0
Brajkovi\u010d Janez,2010,73.0
Brajkovi\u010d Janez,2015,0.0
Brajkovi\u010d Janez,2016,13.0
Brammeier Matthew,2013,36.0
Brammeier Matthew,2015,0.0
Brammeier Matthew,2016,0.0
Brenes Gregory,2014,11.0
Brenes Gregory,2015,0.0
Breschel Matti,2010,0.0
Breschel Matti,2015,0.0
Breschel Matti,2017,12.0
Britton Rob,2010,0.0
Britton Rob,2011,0.0
Britton Rob,2015,26.0
Britton Rob,2016,40.0
Britton Rob,2017,52.0
Britton Rob,2018,18.0
Brooks Benjamin,2006,0.0
Brown Graeme,2007,77.0
Brown Graeme,2015,11.0
Brown Nathan,2012,8.0
Brown Nathan,2013,0.0
Brown Nathan,2014,15.0
Brown Nathan,2017,0.0
Bryce Mead,2007,0.0
Bryce Mead,2008,0.0
Bryon Miguel,2018,34.0
Burghardt Marcus,2010,20.0
Busche Matthew,2011,10.0
Busche Matthew,2012,21.0
Busche Matthew,2013,62.0
Busche Matthew,2014,16.0
Busche Matthew,2015,0.0
Butler Chris,2010,0.0
Butler Chris,2013,6.0
Butler Chris,2015,0.0
Bystr\xf8m Sven Erik,2018,0.0
Ca\xf1ada David,2008,0.0
Calabria Fabio,2009,0.0
Cama\xf1o Iker,2008,26.0
Cama\xf1o Iker,2014,8.0
Cancellara Fabian,2006,40.0
Cancellara Fabian,2007,46.0
Cancellara Fabian,2008,81.0
Cancellara Fabian,2009,35.0
Cancellara Fabian,2010,10.0
Candelario Alex,2006,72.0
Candelario Alex,2007,43.0
Candelario Alex,2008,52.0
Candelario Alex,2010,32.0
Candelario Alex,2011,65.0
Candelario Alex,2012,68.0
Candelario Alex,2013,57.0
Candelario Alex,2014,0.0
Canola Marco,2015,0.0
Canola Marco,2016,39.0
Cantwell Jonathan,2009,0.0
Cantwell Jonathan,2010,44.0
Cantwell Jonathan,2013,10.0
Canty Brendan,2017,0.0
Capecchi Eros,2008,0.0
Capelli Ermano,2008,0.0
Carlsen Kirk,2014,0.0
Carlstr\xf6m Kjell,2007,0.0
Carlstr\xf6m Kjell,2009,0.0
Carpenter Robin,2015,30.0
Carpenter Robin,2016,27.0
Carpenter Robin,2018,0.0
Caruso Damiano,2011,40.0
Castillo Ulises Alfredo,2017,0.0
Cavendish Mark,2008,64.0
Cavendish Mark,2009,107.0
Cavendish Mark,2010,61.0
Cavendish Mark,2014,89.0
Cavendish Mark,2015,166.0
Cavendish Mark,2016,35.0
Cavendish Mark,2018,16.0
Ch\xe9rel Micka\xebl,2012,12.0
Chadwick Glen,2006,0.0
Chadwick Glen,2007,0.0
Chadwick Glen,2009,11.0
Champion Dimitri,2008,0.0
Chavanel Sylvain,2013,69.0
Chaves Johan Esteban,2014,53.0
Chevrier Cl\xe9ment,2014,0.0
Cheyne Jordan,2016,0.0
Cheyne Jordan,2017,0.0
Chicchi Francesco,2009,50.0
Chicchi Francesco,2010,42.0
Chodroff Jonathan,2010,0.0
Christian Mark,2016,0.0
Cimolai Davide,2010,0.0
Ciolek Gerald,2007,52.0
Ciolek Gerald,2008,95.0
Ciolek Gerald,2012,34.0
Ciolek Gerald,2015,0.0
Cipollini Mario,2008,42.0
Clancy Stephen,2016,0.0
Clark Oscar,2015,0.0
Clark Oscar,2016,0.0
Clarke Hilton,2007,50.0
Clarke Hilton,2008,0.0
Clarke Jonathan,2008,0.0
Clarke Jonathan,2009,0.0
Clarke Jonathan,2012,0.0
Clarke Jonathan,2014,20.0
Clarke Jonathan,2015,0.0
Clarke Jonathan,2016,11.0
Clarke Jonathan,2017,0.0
Clarke Jonathan,2018,0.0
Clarke Simon,2018,7.0
Clarke William,2015,0.0
Clement Stef,2009,17.0
Clement Stef,2010,0.0
Colby Anthony,2007,0.0
Coledan Marco,2017,0.0
Companioni Ruben,2018,0.0
Conci Nicola,2018,22.0
Consonni Simone,2017,42.0
Cooke Baden,2011,0.0
Cooke Baden,2013,10.0
Cooke Matt,2012,0.0
Cooke Matt,2014,22.0
Cooper Marsh,2013,0.0
Coquard Bryan,2016,76.0
Cosnefroy Benoit,2018,0.0
Cozza Steven,2007,0.0
Cozza Steven,2008,16.0
Cozza Steven,2009,10.0
Cozza Steven,2010,0.0
Craddock Lawson,2012,50.0
Craddock Lawson,2013,43.0
Craddock Lawson,2014,90.0
Craddock Lawson,2015,43.0
Craddock Lawson,2016,58.0
Craddock Lawson,2017,0.0
Craddock Lawson,2018,24.0
Crane Matthew,2008,13.0
Crane Matthew,2009,0.0
Crane Matthew,2010,0.0
Creed Michael,2006,0.0
Creed Michael,2008,0.0
Creed Michael,2011,0.0
Creed Michael,2012,0.0
Cruz Antonio,2006,26.0
Cruz Antonio,2007,9.0
Cruz Antonio,2008,0.0
Cuesta \xcd\xf1igo,2009,7.0
Cummings Stephen,2012,0.0
Curran Geoffrey,2015,0.0
Curran Geoffrey,2016,14.0
Curvers Roy,2014,0.0
Curvers Roy,2015,0.0
Curvers Roy,2016,0.0
Curvers Roy,2017,0.0
Da Dalto Mauro,2007,11.0
Da Dalto Mauro,2011,0.0
Da Dalto Mauro,2012,0.0
Da Dalto Mauro,2013,0.0
Da Silva Correira Joao,2010,0.0
Dahlheim Andrew,2012,0.0
Dal-cin Matteo,2017,0.0
Damiani Luca,2011,0.0
Damuseau Thomas,2012,36.0
Damuseau Thomas,2014,30.0
Daniel Gregory,2014,30.0
Daniel Gregory,2015,0.0
Daniel Gregory,2016,0.0
Daniel Gregory,2017,0.0
Danielson Thomas,2006,36.0
Danielson Thomas,2007,21.0
Danielson Thomas,2008,0.0
Danielson Thomas,2009,47.0
Danielson Thomas,2010,42.0
Danielson Thomas,2011,85.0
Danielson Thomas,2012,53.0
Danielson Thomas,2014,26.0
Davidenko Vassili,2006,15.0
Davies Scott,2018,0.0
Davis Allan,2007,50.0
Davis Scott,2006,25.0
Davis Scott,2009,0.0
Day Benjamin,2007,35.0
Day Benjamin,2008,9.0
Day Benjamin,2009,0.0
Day Benjamin,2010,0.0
Day Benjamin,2011,0.0
De Gendt Thomas,2013,27.0
De Mesmaeker Kevin,2014,26.0
De Mesmaeker Kevin,2015,0.0
De Plus Laurens,2018,40.0
De Tier Floris,2017,0.0
De Tier Floris,2018,0.0
De Vos Adam,2016,30.0
De Vos Adam,2017,0.0
De Vos Adam,2018,0.0
De Weert Kevin,2009,0.0
De Weert Kevin,2013,0.0
Deeny Sheldon,2007,0.0
Degenkolb John,2014,97.0
Degenkolb John,2016,47.0
Degenkolb John,2017,72.0
Deignan Philip,2010,0.0
Deignan Philip,2012,8.0
Deignan Philip,2013,60.0
Deignan Philip,2015,0.0
Del Nero Jes\xfas,2011,0.0
Dempster Zakkari,2013,30.0
Dempster Zakkari,2014,51.0
Denifl Stefan,2011,0.0
Dennis Rohan,2013,41.0
Dennis Rohan,2014,97.0
Dennis Rohan,2016,89.0
Dessel Cyril,2009,0.0
Devenyns Dries,2012,13.0
Devine John,2007,0.0
Devolder Stijn,2015,8.0
Diaz Andr\xe8s Miguel,2012,0.0
Dibben Jonathan,2017,35.0
Dickeson William,2010,0.0
Dickeson William,2011,0.0
Didier Laurent,2013,7.0
Didier Laurent,2015,0.0
Dietrich Michael,2006,0.0
Dietziker Andreas,2011,0.0
Dillier Silvan,2018,15.0
Dionne Charles,2006,30.0
Dionne Charles,2007,0.0
Dionne Charles,2010,18.0
Docker Mitchell,2013,18.0
Dockx Bart,2006,0.0
Dockx Bart,2007,13.0
Doi Yukihiro,2012,0.0
Dombrowski Joe,2012,24.0
Dombrowski Joe,2014,12.0
Dombrowski Joe,2015,40.0
Dominguez Ivan,2006,0.0
Dominguez Ivan,2007,18.0
Dominguez Ivan,2008,0.0
Donald Jason,2007,30.0
Donald Jason,2011,0.0
Dougall Nick,2017,0.0
Doull Owain,2016,23.0
Doull Owain,2017,0.0
Downing Russell,2007,40.0
Dowsett Alex,2011,0.0
Driscoll James,2011,0.0
Driscoll James,2013,0.0
Drucker Jean-Pierre,2015,101.0
Drucker Jean-Pierre,2016,36.0
Drucker Jean-Pierre,2017,44.0
Duarte Fabio,2012,37.0
Duchesne Antoine,2013,0.0
Duchesne Antoine,2016,0.0
Dugan William,2011,0.0
Duggan Timothy,2011,0.0
Duggan Timothy,2012,0.0
Duggan Timothy,2013,0.0
Dumoulin Tom,2012,58.0
Dupont Hubert,2009,16.0
Durasek Kristijan,2017,0.0
Durasek Kristijan,2018,34.0
Durbridge Luke,2012,47.0
Dziewa Brian,2007,0.0
Earle Nathan,2014,0.0
Earle Nathan,2015,0.0
Eastman Ryan,2012,0.0
Eastman Ryan,2013,0.0
Eastman Ryan,2014,12.0
Eaton Daniel,2015,0.0
Eaton Daniel,2016,0.0
Eaton Daniel,2017,0.0
Edet Nicolas,2017,48.0
Edmondson Joshua,2014,7.0
Efimkin Alexander,2011,20.0
Eijssen Yannick,2011,0.0
Eijssen Yannick,2012,0.0
Eisel Bernhard,2010,6.0
Eisel Bernhard,2011,0.0
Eisel Bernhard,2016,0.0
Eisel Bernhard,2017,0.0
Eisenhart Taylor,2018,0.0
Ekimov Viatcheslav,2006,11.0
Elmiger Martin,2006,18.0
Elmiger Martin,2009,70.0
Elmiger Martin,2017,17.0
Eltink Theo,2007,7.0
Engels Addy,2009,16.0
England Justin,2006,0.0
England Justin,2007,0.0
England Richard,2008,12.0
English Nathaniel,2013,12.0
Esparza Fausto Marcelino,2006,20.0
Euser Lucas,2006,0.0
Euser Lucas,2007,0.0
Euser Lucas,2010,0.0
Euser Lucas,2011,0.0
Euser Lucas,2012,0.0
Euser Lucas,2013,13.0
Euser Lucas,2014,13.0
Evans Cadel,2006,57.0
Evans Cameron,2009,0.0
Ewan Caleb,2018,112.0
F\xf6rster Robert,2007,52.0
F\xf6rster Robert,2011,32.0
Fabbro Matteo,2018,8.0
Facci Mauro,2007,0.0
Fairly Caleb,2007,0.0
Fairly Caleb,2013,0.0
Fairly Caleb,2014,0.0
Fairly Caleb,2016,0.0
Farrar Tyler,2008,66.0
Farrar Tyler,2009,58.0
Farrar Tyler,2013,117.0
Farrar Tyler,2015,82.0
Farrar Tyler,2016,0.0
Farrar Tyler,2017,0.0
Feng Chun Kai,2013,0.0
Fenn Andrew,2016,15.0
Fisher Steve,2014,0.0
Fisher Steve,2015,0.0
Flakemore Campbell,2015,0.0
Flaksis Andzs,2015,0.0
Flaksis Andzs,2016,0.0
Flecha Juan Antonio,2013,27.0
Fofonov Dimitri,2007,32.0
Fominykh Daniil,2017,0.0
Fr\xf6hlinger Johannes,2008,0.0
Fr\xf6hlinger Johannes,2017,0.0
Fr\xf6hlinger Johannes,2018,0.0
Frank Mathias,2008,0.0
Frank Mathias,2009,12.0
Frank Mathias,2013,84.0
Frank Mathias,2018,46.0
Fraser Gordon,2006,77.0
Frattini Davide,2006,0.0
Frattini Davide,2007,0.0
Frattini Davide,2009,15.0
Frattini Davide,2010,0.0
Frei Thomas,2009,0.0
Freire Oscar,2008,38.0
Freire Oscar,2009,40.0
Freire Oscar,2011,41.0
Freter Johnathan,2015,0.0
Friedick Mariano,2006,0.0
Friedman Michael,2006,0.0
Friedman Michael,2010,0.0
Friedman Michael,2011,0.0
Friedman Michael,2012,0.0
Frischkorn William,2007,0.0
Froome Christopher,2011,9.0
Fuglsang Jakob,2010,17.0
Fuglsang Jakob,2011,19.0
G\xf3mez Marchante Jose Angel,2006,20.0
Gadret John,2009,0.0
Gaimon Phillip,2009,0.0
Gaimon Phillip,2011,0.0
