Rider,year,stage_scores
Ackermann Pascal,2017,54.0
Ackermann Pascal,2018,61.0
Aerts Mario,1999,23.0
Aerts Mario,2005,18.0
Aerts Mario,2008,0.0
Aerts Mario,2010,0.0
Aggiano Elio,1999,0.0
Agnoli Valerio,2008,16.0
Agnolutto Christophe,1998,16.0
Agnolutto Christophe,2000,0.0
Agnolutto Christophe,2001,6.0
Alaphilippe Julian,2014,12.0
Alaphilippe Julian,2015,54.0
Alaphilippe Julian,2016,129.0
Alaphilippe Julian,2018,113.0
Albizu lizaso Joseba,2004,0.0
Albizu lizaso Joseba,2006,0.0
Albizuri Benat,2008,0.0
Aldag Rolf,1998,8.0
Amador Andrey,2011,0.0
Amador Andrey,2012,0.0
Amorison Fr\xe9d\xe9ric,2004,0.0
Anacona Winner,2014,0.0
Anton Igor,2007,32.0
Anton Igor,2009,46.0
Anton Igor,2014,28.0
Anton Igor,2016,0.0
Anza Santo,2011,0.0
Appollonio Davide,2010,13.0
Arashiro Yukiya,2009,15.0
Arashiro Yukiya,2011,0.0
Arashiro Yukiya,2017,12.0
Arashiro Yukiya,2018,0.0
Arcas Jorge,2017,0.0
Arcas Jorge,2018,0.0
Archbold Shane,2016,0.0
Ardila Mauricio Alberto,2005,0.0
Arm\xe9e Sander,2017,0.0
Armirail Bruno,2018,0.0
Armstrong Lance,1999,132.0
Armstrong Lance,2000,136.0
Armstrong Lance,2002,106.0
Armstrong Lance,2003,127.0
Armstrong Lance,2004,58.0
Armstrong Lance,2005,91.0
Arndt Nikias,2013,0.0
Arndt Nikias,2014,35.0
Arreitunandia Pedro,2000,0.0
Arrieta Jose Luis,2006,0.0
Arrieta Jose Luis,2007,7.0
Arrieta Jose Luis,2008,0.0
Arrieta Jose Luis,2009,22.0
Arrizabalaga Gorka,2002,15.0
Arroyo David,2005,26.0
Arroyo David,2006,14.0
Arroyo David,2012,0.0
Artetxe Mikel,2000,0.0
Aru Fabio,2016,35.0
Aru Fabio,2017,62.0
Arvesen Kurt-Asle,2005,0.0
Arvesen Kurt-Asle,2006,0.0
Asmaker Olivier,2002,19.0
Astarloa Ascasibar Igor,2007,0.0
Astarloza Mikel,2002,7.0
Astarloza Mikel,2003,46.0
Astarloza Mikel,2004,6.0
Astarloza Mikel,2005,15.0
Astarloza Mikel,2006,10.0
Astarloza Mikel,2007,40.0
Astarloza Mikel,2008,59.0
Astarloza Mikel,2009,62.0
Astarloza Mikel,2013,0.0
Atapuma John Darwin,2014,8.0
Auge St\xe9phane,2006,0.0
Auge St\xe9phane,2007,0.0
Auge St\xe9phane,2008,0.0
Auge St\xe9phane,2009,15.0
Auge St\xe9phane,2010,0.0
Auger Guillaume,1999,0.0
Auger Guillaume,2003,0.0
Auger Guillaume,2004,0.0
Auger Ludovic,1998,0.0
Auger Ludovic,2001,10.0
Auger Ludovic,2003,0.0
Augustyn John Lee,2010,0.0
Axelsson Niklas,2001,8.0
Azanza Jorge,2007,0.0
Azanza Jorge,2010,0.0
Azanza Jorge,2012,0.0
Azevedo Jos\xe9 Bento Carvalho,2004,35.0
Azevedo Jos\xe9 Bento Carvalho,2005,0.0
Azevedo Jos\xe9 Bento Carvalho,2006,64.0
B\xe1rta Jan,2013,18.0
B\xe1rta Jan,2014,15.0
B\xe1rta Jan,2015,0.0
B\xe4ckstedt Magnus,2005,0.0
B\xe4ckstedt Magnus,2007,0.0
Backaert Frederik,2016,0.0
Backaert Frederik,2017,26.0
Backaert Frederik,2018,0.0
Bagot Yoann,2012,0.0
Bagot Yoann,2013,11.0
Bagot Yoann,2014,0.0
Baguet Serge,2001,20.0
Baguet Serge,2002,23.0
Baguet Serge,2005,23.0
Bak Lars Ytting,2006,0.0
Bak Lars Ytting,2008,64.0
Bak Lars Ytting,2009,37.0
Bak Lars Ytting,2010,0.0
Bakelants Jan,2014,63.0
Bakelants Jan,2016,24.0
Balloni Alfredo,2010,0.0
Bandiera Marco,2009,42.0
Bandiera Marco,2010,0.0
Bandiera Marco,2011,19.0
Baranowski Dariusz,1998,105.0
Baranowski Dariusz,1999,8.0
Baranowski Dariusz,2001,0.0
Baranowski Dariusz,2002,0.0
Baranowski Dariusz,2006,0.0
Barbosa Candido,2001,42.0
Bardet Romain,2014,94.0
Bardet Romain,2015,84.0
Bardet Romain,2016,110.0
Bardet Romain,2017,61.0
Bardet Romain,2018,107.0
Barguil Warren,2013,40.0
Barguil Warren,2017,0.0
Barguil Warren,2018,7.0
Barredo Carlos,2006,0.0
Barredo Carlos,2008,35.0
Barredo Carlos,2011,0.0
Barredo Carlos,2012,0.0
Barry Michael,2006,14.0
Barry Michael,2008,0.0
Barry Michael,2009,0.0
Barthe St\xe9phane,1998,65.0
Barthe St\xe9phane,1999,41.0
Bartoli Michele,2004,0.0
Basso Ivan,2004,30.0
Basso Ivan,2009,0.0
Basso Ivan,2011,7.0
Bassons Christophe,1999,35.0
Bassons Christophe,2000,0.0
Battaglin Enrico,2017,43.0
Bauer Jack,2013,0.0
Bauer Jack,2014,0.0
Bauer Jack,2015,0.0
Bauer Jack,2016,10.0
Bauhaus Phil,2017,73.0
Bauhaus Phil,2018,0.0
Bayarri Gonzalo,2003,0.0
Bazayev Assan,2013,0.0
Becke Daniel,2005,14.0
Becke Daniel,2006,0.0
Belkov Maxim,2011,0.0
Belkov Maxim,2012,0.0
Belli Wladimir,1999,123.0
Bellotti Francesco,2010,0.0
Bellotti Francesco,2011,0.0
Belohvosciks Raivis,2007,10.0
Beloki Joseba,1999,102.0
Beloki Joseba,2000,63.0
Beltran Edward,2014,0.0
Beltran Edward,2015,0.0
Beltran Manuel,2003,34.0
Beltran Manuel,2004,7.0
Beltran Manuel,2005,20.0
Beltran Manuel,2007,52.0
Beltran Manuel,2008,27.0
Benedetti Cesare,2014,14.0
Benedetti Cesare,2016,0.0
Beneteau Walter,2000,12.0
Beneteau Walter,2001,18.0
Beneteau Walter,2002,19.0
Beneteau Walter,2003,40.0
Beneteau Walter,2004,0.0
Beneteau Walter,2006,23.0
Benitez Francisco,1998,13.0
Benitez Jos\xe9 Alberto,2010,7.0
Bennati Daniele,2010,0.0
Bennett George,2014,0.0
Bennett George,2015,0.0
Bennett George,2016,22.0
Bennett Sam,2016,63.0
Benoot Tiesj,2015,73.0
Benoot Tiesj,2017,54.0
Benoot Tiesj,2018,60.0
Beppu Fumiyuki,2013,0.0
Beppu Fumiyuki,2014,0.0
Beppu Fumiyuki,2015,14.0
Beppu Fumiyuki,2016,0.0
Beppu Fumiyuki,2017,0.0
Berhane Natnael,2013,0.0
Berhane Natnael,2014,0.0
Berhane Natnael,2017,0.0
Bernard J\xe9r\xf4me,1998,0.0
Bernard J\xe9r\xf4me,1999,8.0
Bernard J\xe9r\xf4me,2001,0.0
Bernard J\xe9r\xf4me,2002,24.0
Bernard Julien,2016,0.0
Bernaudeau Giovanni,2010,0.0
Bernaudeau Giovanni,2012,0.0
Bertagnolli Leonardo,2006,0.0
Berzin Yewgeni,1998,0.0
Bessy Cyril,2011,0.0
Bessy Fr\xe9d\xe9ric,1999,21.0
Bessy Fr\xe9d\xe9ric,2000,0.0
Bessy Fr\xe9d\xe9ric,2001,0.0
Bessy Fr\xe9d\xe9ric,2002,26.0
Bessy Fr\xe9d\xe9ric,2003,0.0
Bessy Fr\xe9d\xe9ric,2004,0.0
Bessy Fr\xe9d\xe9ric,2005,24.0
Bessy Fr\xe9d\xe9ric,2006,0.0
Bettiol Alberto,2017,32.0
Beuchat Roger,2003,0.0
Bevin Patrick,2018,40.0
Bideau Jean Marc,2013,0.0
Bilbao Pello,2011,0.0
Bilbao Pello,2012,0.0
Bilbao Pello,2013,0.0
Bilbao Pello,2018,50.0
Bille Gaetan,2013,0.0
Bindi Emanuele,2008,0.0
Blanco Santiago,1998,7.0
Blaudzun Michael,2003,0.0
Boardman Christopher,1998,70.0
Boardman Christopher,1999,9.0
Boasson Hagen Edvald,2010,26.0
Boasson Hagen Edvald,2011,83.0
Boasson Hagen Edvald,2012,24.0
Boasson Hagen Edvald,2013,77.0
Boasson Hagen Edvald,2015,74.0
Boasson Hagen Edvald,2016,81.0
Boasson Hagen Edvald,2017,53.0
Boasson Hagen Edvald,2018,30.0
Bobridge Jack,2014,0.0
Bochmann Lasse,2009,0.0
Bodnar Maciej,2009,7.0
Bodnar Maciej,2013,6.0
Bodnar Maciej,2014,33.0
Bodo Thomas,2001,0.0
Bodo Thomas,2002,20.0
Bodrogi Laszlo,2009,9.0
Bodrogi Laszlo,2010,17.0
Boeckmans Kris,2013,0.0
Boeckmans Kris,2014,30.0
Boeckmans Kris,2015,0.0
Boeckmans Kris,2016,0.0
Bohli Tom,2018,0.0
Bole Grega,2010,86.0
Bole Grega,2011,32.0
Bole Grega,2017,13.0
Bolts Udo,1998,0.0
Bonifazio Niccolo,2016,39.0
Bonnafond Guillaume,2010,0.0
Bonnafond Guillaume,2014,0.0
Bonnet William,2008,0.0
Bonnet William,2009,18.0
Bonnet William,2011,22.0
Bonnet William,2014,0.0
Bonnet William,2016,0.0
Bono Matteo,2006,0.0
Bono Matteo,2013,0.0
Bono Matteo,2015,0.0
Bono Matteo,2017,0.0
Bonomi Giosue,2005,7.0
Boogerd Michael,1998,53.0
Boogerd Michael,2003,0.0
Boogerd Michael,2005,0.0
Bookwalter Brent,2009,18.0
Bookwalter Brent,2013,0.0
Bookwalter Brent,2016,14.0
Bookwalter Brent,2017,22.0
Bookwalter Brent,2018,38.0
Boom Lars,2011,35.0
Boom Lars,2014,32.0
Boom Lars,2015,13.0
Boom Lars,2018,7.0
Boonen Tom,2003,24.0
Boonen Tom,2007,49.0
Boonen Tom,2009,26.0
Bordenave Philippe,1998,0.0
Bordenave Philippe,1999,16.0
Bordenave Philippe,2001,0.0
Bortolami Gianluca,2005,18.0
Bossoni Paolo,2005,33.0
Boswell Ian,2015,0.0
Boswell Ian,2017,0.0
Boswell Ian,2018,0.0
Botcharov Alexandre,2000,0.0
Botcharov Alexandre,2001,13.0
Botcharov Alexandre,2002,24.0
Botcharov Alexandre,2003,29.0
Botcharov Alexandre,2004,38.0
Botcharov Alexandre,2005,6.0
Botcharov Alexandre,2007,58.0
Botcharov Alexandre,2009,6.0
Botero Santiago,2000,60.0
Botero Santiago,2002,85.0
Botero Santiago,2005,95.0
Boucher David,2014,0.0
Bouet Maxime,2010,18.0
