Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,UCI.1,\u25bc\u25b2,stage,year
26,77,,,,,Howard Leigh,1,IAM Cycling,,,20.0,,,1,2016
31,133,,,,,B\xe1rta Jan,2,Bora - Argon 18,,,17.0,,,1,2016
28,84,,,,,Howes Alex,3,Cannondale-Drapac Pro Cycling Team,,,15.0,,,1,2016
26,213,,,,,Delaplace Anthony,4,Fortuneo - Vital Concept,,,13.0,,,1,2016
33,161,,,,,Greipel Andr\xe9,5,Lotto Soudal,,,11.0,,,1,2016
28,181,,,,,Kittel Marcel,6,Etixx - Quick Step,,,10.0,,,1,2016
26,32,,,,,Sagan Peter,7,Tinkoff,,,9.0,,,1,2016
24,171,,,,,Coquard Bryan,8,Direct Energie,,,8.0,,,1,2016
31,98,,,,,Van Avermaet Greg,9,BMC Racing Team,,,7.0,,,1,2016
31,101,,,,,Cavendish Mark,10,Team Dimension Data,,,6.0,,,1,2016
31,187,,,,,Sabatini Fabio,11,Etixx - Quick Step,,,5.0,,,1,2016
33,186,,,,,Richeze Ariel Maximiliano,12,Etixx - Quick Step,,,4.0,,,1,2016
31,146,,,,,M\xf8rk\xf8v Michael,13,Team Katusha,,,3.0,,,1,2016
28,144,,,,,Kristoff Alexander,14,Team Katusha,,,2.0,,,1,2016
29,103,,,,,Boasson Hagen Edvald,15,Team Dimension Data,,,1.0,,,1,2016
26,32,1.0,+0:00,,3.0,Sagan Peter,1,Tinkoff,8:34:42 8:34:42,+0:00,25.0,,\u25b22,2,2016
24,182,2.0,+0:08,,14.0,Alaphilippe Julian,2,Etixx - Quick Step,0:08 0:08,+0:04,,,\u25b212,2,2016
36,12,3.0,+0:10,,33.0,Valverde Alejandro,3,Movistar Team,0:10 0:10,+0:06,,,\u25b230,2,2016
24,111,4.0,+0:14,,13.0,Barguil Warren,4,Team Giant - Alpecin,0:14 0:14,+0:10,,,\u25b29,2,2016
31,1,5.0,+0:14,,25.0,Froome Christopher,5,Team Sky,",, 0:14",+0:10,,,\u25b220,2,2016
31,98,6.0,+0:14,,32.0,Van Avermaet Greg,6,BMC Racing Team,",, 0:14",+0:10,,,\u25b226,2,2016
26,11,7.0,+0:14,,30.0,Quintana Nairo,7,Movistar Team,",, 0:14",+0:10,,,\u25b223,2,2016
30,36,8.0,+0:14,,24.0,Kreuziger Roman,8,Tinkoff,",, 0:14",+0:10,,,\u25b216,2,2016
36,201,9.0,+0:14,,46.0,Gerrans Simon,9,ORICA-BikeExchange,",, 0:14",+0:10,,,\u25b237,2,2016
29,184,10.0,+0:14,,54.0,Martin Daniel,10,Etixx - Quick Step,",, 0:14",+0:10,,,\u25b244,2,2016
26,21,11.0,+0:14,,44.0,Aru Fabio,11,Astana Pro Team,",, 0:14",+0:10,,,\u25b233,2,2016
29,81,12.0,+0:14,,55.0,Rolland Pierre,12,Cannondale-Drapac Pro Cycling Team,",, 0:14",+0:10,,,\u25b243,2,2016
28,165,13.0,+0:14,,63.0,Gallopin Tony,13,Lotto Soudal,",, 0:14",+0:10,,,\u25b250,2,2016
25,114,14.0,+0:14,,49.0,Dumoulin Tom,14,Team Giant - Alpecin,",, 0:14",+0:10,,,\u25b235,2,2016
25,51,15.0,+0:14,,73.0,Kelderman Wilco,15,Team LottoNL-Jumbo,",, 0:14",+0:10,,,\u25b258,2,2016
33,147,16.0,+0:14,,59.0,Van den Broeck Jurgen,16,Team Katusha,",, 0:14",+0:10,,,\u25b243,2,2016
25,41,17.0,+0:14,,56.0,Bardet Romain,17,AG2R La Mondiale,",, 0:14",+0:10,,,\u25b239,2,2016
27,99,18.0,+0:14,,68.0,van Garderen Tejay,18,BMC Racing Team,",, 0:14",+0:10,,,\u25b250,2,2016
25,207,19.0,+0:14,,90.0,Matthews Michael,19,ORICA-BikeExchange,",, 0:14",+0:10,,,\u25b271,2,2016
29,151,20.0,+0:14,,81.0,Costa Rui,20,Lampre - Merida,",, 0:14",+0:10,,,\u25b261,2,2016
23,209,21.0,+0:14,,87.0,Yates Adam,21,ORICA-BikeExchange,",, 0:14",+0:10,,,\u25b266,2,2016
28,2,22.0,+0:14,,77.0,Henao Sergio Luis,22,Team Sky,",, 0:14",+0:10,,,\u25b255,2,2016
29,61,23.0,+0:14,,107.0,Mollema Bauke,23,Trek - Segafredo,",, 0:14",+0:10,,,\u25b284,2,2016
26,4,24.0,+0:14,,114.0,Landa Mikel,24,Team Sky,",, 0:14",+0:10,,,\u25b290,2,2016
27,129,25.0,+0:14,,113.0,Vichot Arthur,25,FDJ,",, 0:14",+0:10,,,\u25b288,2,2016
37,141,26.0,+0:14,,160.0,Rodr\xedguez Joaquim,26,Team Katusha,",, 0:14",+0:10,,,\u25b2134,2,2016
29,71,27.0,+0:24,,96.0,Frank Mathias,27,IAM Cycling,0:24 0:24,+0:20,,,\u25b269,2,2016
31,22,28.0,+0:25,,43.0,Nibali Vincenzo,28,Astana Pro Team,0:25 0:25,+0:21,,,\u25b215,2,2016
27,79,29.0,+0:25,,83.0,Pantano Jarlinson,29,IAM Cycling,",, 0:25",+0:21,,,\u25b254,2,2016
27,126,30.0,+0:25,,112.0,Reichenbach Sebastien,30,FDJ,",, 0:25",+0:21,,,\u25b282,2,2016
26,121,31.0,+0:25,,111.0,Pinot Thibaut,31,FDJ,",, 0:25",+0:21,,,\u25b280,2,2016
24,157,32.0,+0:25,,123.0,Meintjes Louis,32,Lampre - Merida,",, 0:25",+0:21,,,\u25b291,2,2016
32,28,33.0,+0:29,,27.0,Sanchez Luis Leon,33,Astana Pro Team,0:29 0:29,+0:25,,,\u25bc6,2,2016
28,49,34.0,+0:29,,103.0,Vuillermoz Alexis,34,AG2R La Mondiale,",, 0:29",+0:25,,,\u25b269,2,2016
24,83,35.0,+0:31,,51.0,Craddock Lawson,35,Cannondale-Drapac Pro Cycling Team,0:31 0:31,+0:27,,,\u25b216,2,2016
32,107,36.0,+0:31,,64.0,Pauwels Serge,36,Team Dimension Data,",, 0:31",+0:27,,,\u25b228,2,2016
28,177,37.0,+0:31,,74.0,Sicard Romain,37,Direct Energie,",, 0:31",+0:27,,,\u25b237,2,2016
25,211,38.0,+0:31,,82.0,Sep\xfalveda Eduardo,38,Fortuneo - Vital Concept,",, 0:31",+0:27,,,\u25b244,2,2016
23,131,39.0,+0:31,,99.0,Buchmann Emanuel,39,Bora - Argon 18,",, 0:31",+0:27,,,\u25b260,2,2016
29,25,40.0,+0:31,,108.0,Kangert Tanel,40,Astana Pro Team,",, 0:31",+0:27,,,\u25b268,2,2016
39,69,41.0,+0:31,,116.0,Zubeldia Haimar,41,Trek - Segafredo,",, 0:31",+0:27,,,\u25b275,2,2016
24,137,42.0,+0:31,,122.0,Konrad Patrick,42,Bora - Argon 18,",, 0:31",+0:27,,,\u25b280,2,2016
27,88,43.0,+0:31,,150.0,Slagter Tom-Jelte,43,Cannondale-Drapac Pro Cycling Team,",, 0:31",+0:27,,,\u25b2107,2,2016
25,15,44.0,+0:35,,50.0,Herrada Jes\xfas,44,Movistar Team,0:35 0:35,+0:31,,,\u25b26,2,2016
28,46,45.0,+0:35,,98.0,Gautier Cyril,45,AG2R La Mondiale,",, 0:35",+0:31,,,\u25b253,2,2016
30,9,46.0,+0:38,,167.0,Thomas Geraint,46,Team Sky,0:38 0:38,+0:34,,,\u25b2121,2,2016
32,198,47.0,+0:40,,62.0,Mat\xe9 Luis \xc1ngel,47,"Cofidis, Solutions Cr\xe9dits",0:40 0:40,+0:36,,,\u25b215,2,2016
30,195,48.0,+0:40,,174.0,Jeannesson Arnold,48,"Cofidis, Solutions Cr\xe9dits",",, 0:40",+0:36,,,\u25b2126,2,2016
36,65,49.0,+0:46,,145.0,Schleck Fr\xe4nk,49,Trek - Segafredo,0:46 0:46,+0:42,,,\u25b296,2,2016
34,18,50.0,+0:49,,110.0,Moreno Daniel,50,Movistar Team,0:49 0:49,+0:45,,,\u25b260,2,2016
24,159,51.0,+0:49,,131.0,Polanc Jan,51,Lampre - Merida,",, 0:49",+0:45,,,\u25b280,2,2016
34,145,52.0,+0:49,,161.0,Losada Alberto,52,Team Katusha,",, 0:49",+0:45,,,\u25b2109,2,2016
30,42,53.0,+0:49,,168.0,Bakelants Jan,53,AG2R La Mondiale,",, 0:49",+0:45,,,\u25b2115,2,2016
33,124,54.0,+0:49,,171.0,Morabito Steve,54,FDJ,",, 0:49",+0:45,,,\u25b2117,2,2016
35,44,55.0,+0:55,,53.0,Dumoulin Samuel,55,AG2R La Mondiale,0:55 0:55,+0:51,,,\u25bc2,2,2016
30,214,56.0,+0:55,,109.0,Feillu Brice,56,Fortuneo - Vital Concept,",, 0:55",+0:51,,,\u25b253,2,2016
31,175,57.0,+0:55,,129.0,Jeandesboz Fabrice,57,Direct Energie,",, 0:55",+0:51,,,\u25b272,2,2016
26,149,58.0,+0:55,,158.0,Zakarin Ilnur,58,Team Katusha,",, 0:55",+0:51,,,\u25b2100,2,2016
32,5,59.0,+0:55,,164.0,Nieve Mikel,59,Team Sky,",, 0:55",+0:51,,,\u25b2105,2,2016
33,186,60.0,+1:02,,20.0,Richeze Ariel Maximiliano,60,Etixx - Quick Step,1:02 1:02,+0:58,,,\u25bc40,2,2016
30,43,61.0,+1:02,,76.0,Ch\xe9rel Micka\xebl,61,AG2R La Mondiale,",, 1:02",+0:58,,,\u25b215,2,2016
33,31,62.0,+1:02,,86.0,Contador Alberto,62,Tinkoff,",, 1:02",+0:58,,,\u25b224,2,2016
29,35,63.0,+1:02,,91.0,Ki\u0161erlovski Robert,63,Tinkoff,",, 1:02",+0:58,,,\u25b228,2,2016
28,66,64.0,+1:02,,126.0,Stetina Peter,64,Trek - Segafredo,",, 1:02",+0:58,,,\u25b262,2,2016
35,118,65.0,+1:02,,139.0,ten Dam Laurens,65,Team Giant - Alpecin,",, 1:02",+0:58,,,\u25b274,2,2016
24,67,66.0,+1:11,,12.0,Stuyven Jasper,66,Trek - Segafredo,1:11 1:11,+1:07,,,\u25bc54,2,2016
24,171,67.0,+1:21,,7.0,Coquard Bryan,67,Direct Energie,1:21 1:21,+1:17,,,\u25bc60,2,2016
37,172,68.0,+1:21,,35.0,Chavanel Sylvain,68,Direct Energie,",, 1:21",+1:17,,,\u25bc33,2,2016
