Rnk,Rider,Age,Team,Pnt,Time won/lost,year,stage
1,De Las Cuevas Armand,29.0,Banesto,250,+0:00,1998,7
2,Pe\xf1a Miguel \xc1ngel,27.0,Banesto,190,+0:00,1998,7
3,Teteriouk Andrei,30.0,Lotto - Mobistar,160,+0:00,1998,7
4,Baranowski Dariusz,25.0,US Postal Service,140,+0:00,1998,7
5,Jimenez Jose Maria,27.0,Banesto,120,+0:00,1998,7
6,Virenque Richard,28.0,Festina - Lotus,110,+0:00,1998,7
7,Voigt Jens,26.0,GAN,100,+0:00,1998,7
8,Bourguignon Thierry,35.0,BigMat - Auber 93,90,+0:00,1998,7
9,Jonker Patrick,29.0,Rabobank ProTeam,80,+0:00,1998,7
10,Robin Jean-Cyril,28.0,US Postal Service,70,+0:00,1998,7
11,van de Wouwer Kurt,26.0,Lotto - Mobistar,60,+0:00,1998,7
12,Verbrugghe Rik,23.0,Lotto - Mobistar,55,+0:00,1998,7
13,Boogerd Michael,26.0,Rabobank ProTeam,50,+0:00,1998,7
14,Zarrabeitia Mikel,28.0,O.N.C.E.,45,+0:00,1998,7
15,Salmon Benoit,24.0,Casino - AG2R,40,+0:00,1998,7
16,Madouas Laurent,31.0,Lotto - Mobistar,36,+0:00,1998,7
17,Moreau Christophe,27.0,Festina - Lotus,32,+0:00,1998,7
18,Livingston Kevin,25.0,Cofidis,28,+0:00,1998,7
19,Totschnig Georg,27.0,Team Telekom - ARD,24,+0:00,1998,7
20,Lebreton Lylian,26.0,BigMat - Auber 93,20,+0:00,1998,7
21,Brochard Laurent,30.0,Festina - Lotus,18,+0:00,1998,7
22,Blanco Santiago,24.0,Vitalicio Seguros,16,+0:00,1998,7
23,Vinokourov Alexandre,24.0,Casino - AG2R,14,+0:00,1998,7
24,Vasseur C\xe9dric,27.0,GAN,12,+0:00,1998,7
25,Teyssier Francisque,29.0,Mutuelle de Seine-et-Marne,10,+0:00,1998,7
26,Meinert-Nielsen Peter,32.0,US Postal Service,9,+0:00,1998,7
27,Serrano Marcos Antonio,25.0,Kelme - Costa Blanca,8,+0:00,1998,7
28,Leproux Denis,33.0,,7,+0:00,1998,7
29,Odriozola Jon,27.0,Banesto,6,+0:00,1998,7
30,Bordenave Philippe,29.0,BigMat - Auber 93,5,+0:00,1998,7
31,Delrieu David,27.0,Mutuelle de Seine-et-Marne,5,+0:00,1998,7
32,Hamburger Bo,28.0,Casino - AG2R,5,+0:00,1998,7
33,Berzin Yewgeni,28.0,La Fran\xe7aise des Jeux,5,+0:00,1998,7
34,Garcia David,28.0,Vitalicio Seguros,5,+0:00,1998,7
35,Djavanian Viatcheslav,29.0,BigMat - Auber 93,5,+0:00,1998,7
36,Perez Luis,23.0,O.N.C.E.,5,+0:00,1998,7
37,Casero Angel Luis,25.0,Vitalicio Seguros,5,+0:00,1998,7
38,Goubert Stephane,28.0,Cofidis,5,+0:00,1998,7
39,Jonasson Danny,23.0,Rabobank ProTeam,5,+0:00,1998,7
40,Jalabert Nicolas,25.0,Cofidis,5,+0:00,1998,7
41,Genty Laurent,27.0,BigMat - Auber 93,5,+0:00,1998,7
42,Julich Bobby,26.0,Cofidis,5,+0:00,1998,7
43,Rous Didier,27.0,Festina - Lotus,5,+0:00,1998,7
44,Agnolutto Christophe,28.0,Casino - AG2R,5,+0:00,1998,7
45,Heppner Jens,33.0,Team Telekom - ARD,5,+0:00,1998,7
46,Gouvenou Thierry,29.0,BigMat - Auber 93,5,+0:00,1998,7
47,Sciandri Maximilian,31.0,La Fran\xe7aise des Jeux,5,+0:00,1998,7
48,Saugrain Cyril,24.0,Cofidis,5,+0:00,1998,7
49,Rodriguez Jos\xe9 Luis,32.0,Kelme - Costa Blanca,5,+0:00,1998,7
50,Boardman Christopher,29.0,GAN,5,+0:00,1998,7
51,Contreras Alberto,,,5,+0:00,1998,7
52,Moerenhout Koos,24.0,Rabobank ProTeam,5,+0:00,1998,7
53,Cuesta \xcd\xf1igo,29.0,O.N.C.E.,5,+0:00,1998,7
54,Mauleon Francisco Javier,32.0,O.N.C.E.,5,+0:00,1998,7
55,Massi Rodolfo,32.0,Casino - AG2R,5,+0:00,1998,7
56,Simon Fran\xe7ois,29.0,GAN,5,+0:00,1998,7
57,Vaughters Jonathan,25.0,US Postal Service,5,+0:00,1998,7
58,Verheyen Geert,25.0,Lotto - Mobistar,5,+0:00,1998,7
59,Petilleau Stephane,27.0,GAN,5,+0:00,1998,7
60,Benitez Francisco,27.0,Vitalicio Seguros,5,+0:00,1998,7
61,Jan Xavier,28.0,La Fran\xe7aise des Jeux,5,+0:00,1998,7
62,Morin Anthony,23.0,La Fran\xe7aise des Jeux,5,+0:00,1998,7
63,Bruyneel Johan,33.0,O.N.C.E.,5,+0:00,1998,7
64,Aldag Rolf,29.0,Team Telekom - ARD,5,+0:00,1998,7
65,Indurain Prudencio,30.0,Vitalicio Seguros,5,+0:00,1998,7
66,Sastre Carlos,23.0,O.N.C.E.,5,+0:00,1998,7
67,Steinhauser Tobias,27.0,Vitalicio Seguros,5,+0:00,1998,7
68,Dojwa Jean-philippe,30.0,,5,+0:00,1998,7
69,Hundertmarck Kai,29.0,Team Telekom - ARD,5,+0:00,1998,7
70,Laukka Joona,25.0,Lotto - Mobistar,5,+0:00,1998,7
71,Farazijn Peter,29.0,Lotto - Mobistar,5,+0:00,1998,7
72,Chanteur Pascal,30.0,Casino - AG2R,5,+0:00,1998,7
73,Vidal Jos\xe9 Angel,28.0,Kelme - Costa Blanca,5,+0:00,1998,7
74,Cabello Francisco,29.0,Kelme - Costa Blanca,5,+0:00,1998,7
75,S\xf8rensen Rolf,33.0,Rabobank ProTeam,5,+0:00,1998,7
76,Lamour Claude,28.0,Mutuelle de Seine-et-Marne,5,+0:00,1998,7
77,Lotz Marc,24.0,Rabobank ProTeam,5,+0:00,1998,7
78,Vierhouten Aart,28.0,Rabobank ProTeam,5,+0:00,1998,7
79,Poli Eros,34.0,GAN,5,+0:00,1998,7
80,Teutenberg Sven,25.0,US Postal Service,5,+0:00,1998,7
