Age,GC,GC-Time,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
28,1,+0:00,,Lopez De Munain Alberto,1,Euskaltel - Euskadi,8:56 8:56,+0:00,,0,2000
28,2,+0:11,,Armstrong Lance,2,US Postal Service,0:11 0:11,+0:11,,0,2000
29,3,+0:16,,Jimenez Jose Maria,3,Banesto,0:16 0:16,+0:16,,0,2000
31,4,+0:17,,Z\xfclle Alex,4,Banesto,0:17 0:17,+0:17,,0,2000
23,5,+0:18,,Zubeldia Haimar,5,Euskaltel - Euskadi,0:18 0:18,+0:18,,0,2000
31,6,+0:18,,Jalabert Laurent,6,O.N.C.E. - Deutsche Bank,",, 0:18",+0:18,,0,2000
29,7,+0:23,,Pe\xf1a Miguel \xc1ngel,7,O.N.C.E. - Deutsche Bank,0:23 0:23,+0:23,,0,2000
29,8,+0:24,,Hamilton Tyler,8,US Postal Service,0:24 0:24,+0:24,,0,2000
26,9,+0:27,,Beloki Joseba,9,Festina - Lotus,0:27 0:27,+0:27,,0,2000
25,10,+0:30,,Pradera Mikel,10,O.N.C.E. - Deutsche Bank,0:30 0:30,+0:30,,0,2000
28,1,+0:00,1.0,Lopez De Munain Alberto,1,Euskaltel - Euskadi,4:42:56 4:42:56,+0:00,-,1,2000
28,2,+0:11,2.0,Armstrong Lance,2,US Postal Service,0:11 0:11,+0:00,-,1,2000
29,3,+0:17,3.0,Jimenez Jose Maria,3,Banesto,0:17 0:17,+0:01,-,1,2000
31,4,+0:17,4.0,Z\xfclle Alex,4,Banesto,",, 0:17",+0:00,-,1,2000
23,5,+0:18,5.0,Zubeldia Haimar,5,Euskaltel - Euskadi,0:18 0:18,+0:00,-,1,2000
31,6,+0:18,6.0,Jalabert Laurent,6,O.N.C.E. - Deutsche Bank,",, 0:18",+0:00,-,1,2000
29,7,+0:23,7.0,Pe\xf1a Miguel \xc1ngel,7,O.N.C.E. - Deutsche Bank,0:23 0:23,+0:00,-,1,2000
29,8,+0:24,8.0,Hamilton Tyler,8,US Postal Service,0:24 0:24,+0:00,-,1,2000
26,9,+0:27,9.0,Beloki Joseba,9,Festina - Lotus,0:27 0:27,+0:00,-,1,2000
25,10,+0:30,10.0,Pradera Mikel,10,O.N.C.E. - Deutsche Bank,0:30 0:30,+0:00,-,1,2000
28,1,+0:00,1.0,Lopez De Munain Alberto,1,Euskaltel - Euskadi,9:48:07 9:48:07,+0:00,-,2,2000
28,2,+0:11,2.0,Armstrong Lance,2,US Postal Service,0:11 0:11,+0:00,-,2,2000
29,3,+0:17,3.0,Jimenez Jose Maria,3,Banesto,0:17 0:17,+0:00,-,2,2000
31,4,+0:17,4.0,Z\xfclle Alex,4,Banesto,",, 0:17",+0:00,-,2,2000
23,5,+0:18,5.0,Zubeldia Haimar,5,Euskaltel - Euskadi,0:18 0:18,+0:00,-,2,2000
31,6,+0:18,6.0,Jalabert Laurent,6,O.N.C.E. - Deutsche Bank,",, 0:18",+0:00,-,2,2000
29,7,+0:23,7.0,Pe\xf1a Miguel \xc1ngel,7,O.N.C.E. - Deutsche Bank,0:23 0:23,+0:00,-,2,2000
29,8,+0:24,8.0,Hamilton Tyler,8,US Postal Service,0:24 0:24,+0:00,-,2,2000
26,9,+0:27,9.0,Beloki Joseba,9,Festina - Lotus,0:27 0:27,+0:00,-,2,2000
28,10,+0:28,,Gougot Fabrice,10,Cr\xe9dit Agricole,0:28 0:28,+283:24,-,2,2000
28,1,+0:00,2.0,Armstrong Lance,1,US Postal Service,10:35:14 10:35:14,+0:00,\u25b21,3,2000
23,2,+0:28,5.0,Zubeldia Haimar,2,Euskaltel - Euskadi,0:28 0:28,+0:21,\u25b23,3,2000
29,3,+0:45,8.0,Hamilton Tyler,3,US Postal Service,0:45 0:45,+0:32,\u25b25,3,2000
26,4,+1:15,9.0,Beloki Joseba,4,Festina - Lotus,1:15 1:15,+0:59,\u25b25,3,2000
23,5,+1:25,,Millar David,5,Cofidis,1:25 1:25,+589:43,-,3,2000
31,6,+1:48,4.0,Z\xfclle Alex,6,Banesto,1:48 1:48,+1:42,\u25bc2,3,2000
31,7,+2:14,6.0,Jalabert Laurent,7,O.N.C.E. - Deutsche Bank,2:14 2:14,+2:07,\u25bc1,3,2000
29,8,+2:17,7.0,Pe\xf1a Miguel \xc1ngel,8,O.N.C.E. - Deutsche Bank,2:17 2:17,+2:05,\u25bc1,3,2000
28,9,+2:17,,Julich Bobby,9,Cr\xe9dit Agricole,",, 2:17",+590:35,-,3,2000
30,10,+2:21,,Olano Abraham,10,O.N.C.E. - Deutsche Bank,2:21 2:21,+590:39,-,3,2000
25,11,+2:28,,Pradera Mikel,11,O.N.C.E. - Deutsche Bank,2:28 2:28,+590:46,-,3,2000
23,1,+0:00,2.0,Zubeldia Haimar,1,Euskaltel - Euskadi,14:57:22 14:57:22,+0:00,\u25b21,4,2000
29,2,+0:03,3.0,Hamilton Tyler,2,US Postal Service,0:03 0:03,+-1:46,\u25b21,4,2000
28,3,+0:51,1.0,Armstrong Lance,3,US Postal Service,0:51 0:51,+1:19,\u25bc2,4,2000
31,4,+1:10,6.0,Z\xfclle Alex,4,Banesto,1:10 1:10,+-1:50,\u25b22,4,2000
26,5,+2:22,,Vaughters Jonathan,5,Cr\xe9dit Agricole,2:22 2:22,+638:04,-,4,2000
29,6,+3:07,,Moreau Christophe,6,Festina - Lotus,3:07 3:07,+638:49,-,4,2000
28,7,+3:25,,van de Wouwer Kurt,7,Lotto - Adecco,3:25 3:25,+639:07,-,4,2000
25,8,+3:57,11.0,Pradera Mikel,8,O.N.C.E. - Deutsche Bank,3:57 3:57,+1:57,\u25b23,4,2000
27,9,+4:01,,Luttenberger Peter,9,O.N.C.E. - Deutsche Bank,4:01 4:01,+639:43,-,4,2000
26,10,+4:23,,Kivilev Andrei,10,AG2R Prevoyance,4:23 4:23,+640:05,-,4,2000
31,11,+4:53,7.0,Jalabert Laurent,11,O.N.C.E. - Deutsche Bank,4:53 4:53,+3:07,\u25bc4,4,2000
29,1,+0:00,2.0,Hamilton Tyler,1,US Postal Service,20:22:38 20:22:38,+0:00,\u25b21,5,2000
23,2,+0:44,1.0,Zubeldia Haimar,2,Euskaltel - Euskadi,0:44 0:44,+0:47,\u25bc1,5,2000
28,3,+0:48,3.0,Armstrong Lance,3,US Postal Service,0:48 0:48,+0:00,-,5,2000
31,4,+1:54,4.0,Z\xfclle Alex,4,Banesto,1:54 1:54,+0:47,-,5,2000
26,5,+3:06,5.0,Vaughters Jonathan,5,Cr\xe9dit Agricole,3:06 3:06,+0:47,-,5,2000
29,6,+3:51,6.0,Moreau Christophe,6,Festina - Lotus,3:51 3:51,+0:47,-,5,2000
25,7,+4:41,8.0,Pradera Mikel,7,O.N.C.E. - Deutsche Bank,4:41 4:41,+0:47,\u25b21,5,2000
27,8,+4:45,9.0,Luttenberger Peter,8,O.N.C.E. - Deutsche Bank,4:45 4:45,+0:47,\u25b21,5,2000
28,9,+4:50,7.0,van de Wouwer Kurt,9,Lotto - Adecco,4:50 4:50,+1:28,\u25bc2,5,2000
26,10,+5:07,10.0,Kivilev Andrei,10,AG2R Prevoyance,5:07 5:07,+0:47,-,5,2000
29,1,+0:00,1.0,Hamilton Tyler,1,US Postal Service,26:49:37 26:49:37,+0:00,-,6,2000
23,2,+0:31,2.0,Zubeldia Haimar,2,Euskaltel - Euskadi,0:31 0:31,+-1:47,-,6,2000
28,3,+0:36,3.0,Armstrong Lance,3,US Postal Service,0:36 0:36,+-1:48,-,6,2000
31,4,+1:42,4.0,Z\xfclle Alex,4,Banesto,1:42 1:42,+-1:48,-,6,2000
27,5,+2:56,5.0,Vaughters Jonathan,5,Cr\xe9dit Agricole,2:56 2:56,+-1:50,-,6,2000
29,6,+3:36,6.0,Moreau Christophe,6,Festina - Lotus,3:36 3:36,+-1:45,-,6,2000
25,7,+3:56,7.0,Pradera Mikel,7,O.N.C.E. - Deutsche Bank,3:56 3:56,+-1:15,-,6,2000
27,8,+4:44,8.0,Luttenberger Peter,8,O.N.C.E. - Deutsche Bank,4:44 4:44,+-1:59,-,6,2000
26,9,+5:07,10.0,Kivilev Andrei,9,AG2R Prevoyance,5:07 5:07,+0:00,\u25b21,6,2000
33,10,+5:21,,Gonzalez Arrieta Jose R\xe1mon,10,,5:21 5:21,+1227:59,-,6,2000
