Age,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,Time won/lost,stage,year
27,1,+0:00,,Zabriskie David,1,CSC ProTeam,4:35 4:35,+0:00,0,2006
32,2,+0:02,,Hincapie George,2,Discovery Channel,0:02 0:02,+0:02,0,2006
32,3,+0:06,,O'Grady Stuart,3,CSC ProTeam,0:06 0:06,+0:06,0,2006
26,4,+0:07,,Lang Sebastian,4,Gerolsteiner,0:07 0:07,+0:07,0,2006
25,5,+0:08,,Posthuma Joost,5,Rabobank ProTeam,0:08 0:08,+0:08,0,2006
26,6,+0:08,,Devolder Stijn,6,Discovery Channel,",, 0:08",+0:08,0,2006
26,7,+0:08,,Valverde Alejandro,7,Caisse d'Epargne - Illes Balears,",, 0:08",+0:08,0,2006
23,8,+0:08,,Gusev Vladimir,8,Discovery Channel,",, 0:08",+0:08,0,2006
30,9,+0:08,,Landis Floyd,9,Phonak Hearing Systems,",, 0:08",+0:08,0,2006
26,10,+0:09,,Kashechkin Andrey,10,Astana - W\xfcrth Team,0:09 0:09,+0:09,0,2006
23,11,+0:09,,Mazur Piotr,11,,",, 0:09",+0:09,0,2006
35,12,+0:09,,Moreau Christophe,12,AG2R Pr\xe9voyance,",, 0:09",+0:09,0,2006
30,13,+0:09,,Grabsch Bert,13,Phonak Hearing Systems,",, 0:09",+0:09,0,2006
28,14,+0:10,,Hushovd Thor,14,Cr\xe9dit Agricole,0:10 0:10,+0:10,0,2006
32,15,+0:10,,Vinokourov Alexandre,15,Astana - W\xfcrth Team,",, 0:10",+0:10,0,2006
25,16,+0:10,,Hesjedal Ryder,16,Phonak Hearing Systems,",, 0:10",+0:10,0,2006
28,17,+0:11,,Pereiro Oscar,17,Caisse d'Epargne - Illes Balears,0:11 0:11,+0:11,0,2006
26,18,+0:11,,Quinziato Manuel,18,Liquigas,",, 0:11",+0:11,0,2006
21,19,+0:11,,Nibali Vincenzo,19,Liquigas,",, 0:11",+0:11,0,2006
28,20,+0:11,,Menchov Denis,20,Rabobank ProTeam,",, 0:11",+0:11,0,2006
26,21,+0:11,,Wiggins Bradley,21,Cofidis,",, 0:11",+0:11,0,2006
28,22,+0:11,,Scholz Ronny,22,Gerolsteiner,",, 0:11",+0:11,0,2006
21,23,+0:12,,Dekker Thomas,23,Rabobank ProTeam,0:12 0:12,+0:12,0,2006
23,24,+0:12,,Gilbert Philippe,24,Fran\xe7aise des Jeux,",, 0:12",+0:12,0,2006
35,25,+0:12,,Dekker Erik,25,Rabobank ProTeam,",, 0:12",+0:12,0,2006
35,26,+0:12,,Rous Didier,26,Bouygues Telecom,",, 0:12",+0:12,0,2006
30,27,+0:12,,Barry Michael,27,Discovery Channel,",, 0:12",+0:12,0,2006
27,28,+0:12,,Cama\xf1o Iker,28,Euskaltel - Euskadi,",, 0:12",+0:12,0,2006
26,29,+0:13,,Popovych Yaroslav,29,Discovery Channel,0:13 0:13,+0:13,0,2006
28,30,+0:13,,Wielinga Remmert,30,Quickstep - Innergetic,",, 0:13",+0:13,0,2006
24,31,+0:13,,Vandborg Brian,31,CSC ProTeam,",, 0:13",+0:13,0,2006
30,32,+0:13,,Brard Florent,32,Caisse d'Epargne - Illes Balears,",, 0:13",+0:13,0,2006
30,33,+0:13,,Pinotti Marco,33,Saunier Duval - Prodir,",, 0:13",+0:13,0,2006
22,34,+0:14,,Grivko Andrei,34,Milram,0:14 0:14,+0:14,0,2006
24,35,+0:14,,Hernandez Gutierrez Aitor,35,Euskaltel - Euskadi,",, 0:14",+0:14,0,2006
24,36,+0:14,,Barredo Carlos,36,Astana - W\xfcrth Team,",, 0:14",+0:14,0,2006
33,37,+0:14,,Jalabert Nicolas,37,Phonak Hearing Systems,",, 0:14",+0:14,0,2006
26,38,+0:14,,Edaleine Christophe,38,Cr\xe9dit Agricole,",, 0:14",+0:14,0,2006
24,39,+0:14,,Pozzato Filippo,39,Quickstep - Innergetic,",, 0:14",+0:14,0,2006
34,40,+0:15,,Horner Chris,40,Saunier Duval - Prodir,0:15 0:15,+0:15,0,2006
27,41,+0:15,,Noval Benjamin,41,Discovery Channel,",, 0:15",+0:15,0,2006
30,42,+0:15,,Mancebo Francisco,42,AG2R Pr\xe9voyance,",, 0:15",+0:15,0,2006
31,43,+0:15,,Horrillo Pedro,43,Rabobank ProTeam,",, 0:15",+0:15,0,2006
26,44,+0:15,,Astarloza Mikel,44,AG2R Pr\xe9voyance,",, 0:15",+0:15,0,2006
31,45,+0:16,,Arvesen Kurt-Asle,45,CSC ProTeam,0:16 0:16,+0:16,0,2006
24,46,+0:16,,Vaugrenard Benoit,46,Fran\xe7aise des Jeux,",, 0:16",+0:16,0,2006
23,47,+0:16,,Renshaw Mark,47,Cr\xe9dit Agricole,",, 0:16",+0:16,0,2006
32,48,+0:16,,Leipheimer Levi,48,Gerolsteiner,",, 0:16",+0:16,0,2006
26,49,+0:16,,Joly S\xe9bastien,49,Fran\xe7aise des Jeux,",, 0:16",+0:16,0,2006
33,50,+0:16,,H\xf8j Frank,50,Gerolsteiner,",, 0:16",+0:16,0,2006
28,51,+0:16,,Siedler Sebastian,51,Milram,",, 0:16",+0:16,0,2006
31,52,+0:16,,S\xf8rensen Nicki,52,CSC ProTeam,",, 0:16",+0:16,0,2006
33,53,+0:16,,Garcia Jose Vicente,53,Caisse d'Epargne - Illes Balears,",, 0:16",+0:16,0,2006
25,54,+0:17,,Duenas Moises,54,Agritubel,0:17 0:17,+0:17,0,2006
25,55,+0:17,,Martias Rony,55,Bouygues Telecom,",, 0:17",+0:17,0,2006
32,56,+0:17,,Azevedo Jos\xe9 Bento Carvalho,56,Discovery Channel,",, 0:17",+0:17,0,2006
27,57,+0:17,,Flickinger Andy,57,Bouygues Telecom,",, 0:17",+0:17,0,2006
24,58,+0:17,,Lorenzetto Mirco,58,Milram,",, 0:17",+0:17,0,2006
24,59,+0:17,,Dekkers Hans,59,Agritubel,",, 0:17",+0:17,0,2006
27,60,+0:17,,Portal Nicolas,60,Caisse d'Epargne - Illes Balears,",, 0:17",+0:17,0,2006
26,61,+0:17,,Chavanel Sylvain,61,Cofidis,",, 0:17",+0:17,0,2006
29,62,+0:17,,Sevilla Oscar,62,T-Mobile Team,",, 0:17",+0:17,0,2006
27,63,+0:18,,Kuyckx Jan,63,Davitamon - Lotto,0:18 0:18,+0:18,0,2006
33,64,+0:18,,Nardello Daniele,64,T-Mobile Team,",, 0:18",+0:18,0,2006
27,65,+0:18,,Fritsch Nicolas,65,Saunier Duval - Prodir,",, 0:18",+0:18,0,2006
35,66,+0:18,,Vasseur C\xe9dric,66,Quickstep - Innergetic,",, 0:18",+0:18,0,2006
23,67,+0:18,,Giling Bas,67,T-Mobile Team,",, 0:18",+0:18,0,2006
26,68,+0:18,,Bak Lars Ytting,68,CSC ProTeam,",, 0:18",+0:18,0,2006
33,69,+0:18,,Baranowski Dariusz,69,Astana - W\xfcrth Team,",, 0:18",+0:18,0,2006
29,70,+0:18,,Gustov Volodymyr,70,CSC ProTeam,",, 0:18",+0:18,0,2006
36,71,+0:18,,Milesi Marco,71,Liquigas,",, 0:18",+0:18,0,2006
28,72,+0:18,,Becke Daniel,72,Milram,",, 0:18",+0:18,0,2006
25,73,+0:18,,Wegmann Fabian,73,Gerolsteiner,",, 0:18",+0:18,0,2006
33,74,+0:19,,Luttenberger Peter,74,CSC ProTeam,0:19 0:19,+0:19,0,2006
25,75,+0:19,,Da Dalto Mauro,75,Liquigas,",, 0:19",+0:19,0,2006
31,76,+0:19,,Dessel Cyril,76,AG2R Pr\xe9voyance,",, 0:19",+0:19,0,2006
26,77,+0:19,,Voeckler Thomas,77,Bouygues Telecom,",, 0:19",+0:19,0,2006
33,78,+0:19,,Beneteau Walter,78,Bouygues Telecom,",, 0:19",+0:19,0,2006
28,79,+0:19,,Martinez Egoi,79,Discovery Channel,",, 0:19",+0:19,0,2006
25,80,+0:19,,Mertens Pieter,80,Davitamon - Lotto,",, 0:19",+0:19,0,2006
25,81,+0:19,,Pena Aketza,81,Euskaltel - Euskadi,",, 0:19",+0:19,0,2006
34,82,+0:19,,Arrieta Jose Luis,82,AG2R Pr\xe9voyance,",, 0:19",+0:19,0,2006
26,83,+0:19,,Paulinho S\xe9rgio,83,Astana - W\xfcrth Team,",, 0:19",+0:19,0,2006
31,84,+0:19,,Murn Uros,84,Phonak Hearing Systems,",, 0:19",+0:19,0,2006
27,85,+0:20,,Schreck Stephan,85,T-Mobile Team,0:20 0:20,+0:20,0,2006
