Rnk,Prev,\u25bc\u25b2,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,Time won/lost,year,stage
1,1,-,Wiggins Bradley,32,Sky Procycling,100.0,250,1,+0:00,26:40:46 26:40:46,+0:00,2012,7
2,2,-,Rogers Michael,32,Sky Procycling,80.0,190,2,+1:17,1:17 1:17,+0:00,2012,7
3,3,-,Evans Cadel,35,BMC Racing Team,70.0,160,3,+1:26,1:26 1:26,+0:00,2012,7
4,4,-,Froome Christopher,27,Sky Procycling,60.0,140,4,+1:45,1:45 1:45,+0:00,2012,7
5,5,-,Van den Broeck Jurgen,29,Lotto Belisol Team,50.0,120,5,+2:12,2:12 2:12,+0:00,2012,7
6,6,-,Kiryienka Vasil,30,Movistar Team,40.0,110,6,+2:58,2:58 2:58,+0:00,2012,7
7,7,-,Brajkovi\u010d Janez,28,Astana Pro Team,30.0,100,7,+3:07,3:07 3:07,+0:00,2012,7
8,8,-,Kelderman Wilco,21,Rabobank Cycling Team,20.0,90,8,+3:26,3:26 3:26,+0:00,2012,7
9,9,-,Porte Richie,27,Sky Procycling,10.0,80,9,+3:34,3:34 3:34,+0:00,2012,7
10,10,-,Zubeldia Haimar,35,RadioShack - Nissan,4.0,70,10,+3:50,3:50 3:50,+0:00,2012,7
11,11,-,Weening Pieter,31,Orica GreenEDGE,,60,11,+3:55,3:55 3:55,+0:00,2012,7
12,12,-,Sanchez Luis Leon,28,Rabobank Cycling Team,,55,12,+3:57,3:57 3:57,+0:00,2012,7
13,13,-,Moreno Daniel,30,Team Katusha,,50,13,+4:34,4:34 4:34,+0:00,2012,7
14,14,-,van Garderen Tejay,23,BMC Racing Team,,45,14,+4:49,4:49 4:49,+0:00,2012,7
15,15,-,Pires Bruno,31,Team Saxo Bank - Tinkoff Bank,,40,15,+5:21,5:21 5:21,+0:00,2012,7
16,16,-,Navarro Daniel,28,Team Saxo Bank - Tinkoff Bank,,36,16,+5:39,5:39 5:39,+0:00,2012,7
17,17,-,Coppel J\xe9rome,25,Saur - Sojasun,,32,17,+5:53,5:53 5:53,+0:00,2012,7
18,18,-,Machado Tiago,26,RadioShack - Nissan,,28,18,+6:44,6:44 6:44,+0:00,2012,7
19,19,-,Nocentini Rinaldo,34,AG2R La Mondiale,,24,19,+9:06,9:06 9:06,+0:00,2012,7
20,20,-,Silin Egor,24,Astana Pro Team,,20,20,+9:17,9:17 9:17,+0:00,2012,7
21,21,-,Rolland Pierre,25,Team Europcar,,18,21,+9:59,9:59 9:59,+0:00,2012,7
22,22,-,Mederel Maxime,31,Saur - Sojasun,,16,22,+10:15,10:15 10:15,+0:00,2012,7
23,23,-,Martin Tony,27,Omega Pharma - Quick-Step,,14,23,+10:16,10:16 10:16,+0:00,2012,7
24,24,-,Jeandesboz Fabrice,27,Saur - Sojasun,,12,24,+11:13,11:13 11:13,+0:00,2012,7
25,25,-,Levarlet Guillaume,26,Saur - Sojasun,,10,25,+12:02,12:02 12:02,+0:00,2012,7
26,26,-,Amador Andrey,25,Movistar Team,,9,26,+12:31,12:31 12:31,+0:00,2012,7
27,27,-,Geniez Alexandre,24,Argos - Shimano,,8,27,+14:04,14:04 14:04,+0:00,2012,7
28,28,-,Nibali Vincenzo,27,Liquigas - Cannondale,,7,28,+14:36,14:36 14:36,+0:00,2012,7
29,29,-,Carrara Matteo,33,Vacansoleil - DCM,,6,29,+14:52,14:52 14:52,+0:00,2012,7
30,30,-,Di Gr\xe9gorio R\xe9my,26,Cofidis Le Credit en Ligne,,5,30,+15:40,15:40 15:40,+0:00,2012,7
