Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
29,1,1,+0:00,,,Froome Christopher,1,Team Sky,13:13 13:13,+0:00,,,1,2014
31,21,2,+0:08,,,Contador Alberto,2,Tinkoff - Saxo,0:08 0:08,+0:08,,,1,2014
21,111,3,+0:09,,,Jungels Bob,3,Trek Factory Racing,0:09 0:09,+0:09,,,1,2014
25,168,4,+0:11,,,Talansky Andrew,4,Garmin Sharp,0:11 0:11,+0:11,,,1,2014
23,191,5,+0:11,,,Kelderman Wilco,5,Belkin-Pro Cycling Team,",, 0:11",+0:11,,,1,2014
28,193,6,+0:12,,,Boom Lars,6,Belkin-Pro Cycling Team,0:12 0:12,+0:12,,,1,2014
32,2,7,+0:12,,,Kiryienka Vasil,7,Team Sky,",, 0:12",+0:12,,,1,2014
29,11,8,+0:13,,,Nibali Vincenzo,8,Astana Pro Team,0:13 0:13,+0:13,,,1,2014
25,121,9,+0:13,,,van Garderen Tejay,9,BMC Racing Team,",, 0:13",+0:13,,,1,2014
24,92,10,+0:13,,,Br\xe4ndle Matthias,10,IAM Cycling,",, 0:13",+0:13,,,1,2014
29,202,11,+0:13,,,B\xe1rta Jan,11,Team NetApp \u2013 Endura,",, 0:13",+0:13,,,1,2014
29,103,12,+0:13,,,Bodnar Maciej,12,Cannondale,",, 0:13",+0:13,,,1,2014
28,55,13,+0:14,,,Intxausti Be\xf1at,13,Movistar Team,0:14 0:14,+0:14,,,1,2014
21,142,14,+0:14,,,Alaphilippe Julian,14,Omega Pharma - Quick-Step,",, 0:14",+0:14,,,1,2014
32,98,15,+0:14,,,Saramotins Aleksejs,15,IAM Cycling,",, 0:14",+0:14,,,1,2014
28,7,16,+0:14,,,Thomas Geraint,16,Team Sky,",, 0:14",+0:14,,,1,2014
31,81,17,+0:15,,,Van den Broeck Jurgen,17,Lotto Belisol,0:15 0:15,+0:15,,,1,2014
26,195,18,+0:15,,,Keizer Martijn,18,Belkin-Pro Cycling Team,",, 0:15",+0:15,,,1,2014
34,91,19,+0:16,,,Chavanel Sylvain,19,IAM Cycling,0:16 0:16,+0:16,,,1,2014
24,141,20,+0:16,,,Kwiatkowski Michal,20,Omega Pharma - Quick-Step,",, 0:16",+0:16,,,1,2014
26,201,21,+0:17,,,K\xf6nig Leopold,21,Team NetApp \u2013 Endura,0:17 0:17,+0:17,,,1,2014
29,44,22,+0:17,,,Impey Daryl,22,Orica GreenEDGE,",, 0:17",+0:17,,,1,2014
29,6,23,+0:19,,,Porte Richie,23,Team Sky,0:19 0:19,+0:19,,,1,2014
29,12,24,+0:19,,,Fuglsang Jakob,24,Astana Pro Team,",, 0:19",+0:19,,,1,2014
33,95,25,+0:20,,,Larsson Gustav,25,IAM Cycling,0:20 0:20,+0:20,,,1,2014
21,43,26,+0:21,,,Howson Damien,26,Orica GreenEDGE,0:21 0:21,+0:21,,,1,2014
27,101,27,+0:22,,,Koren Kristijan,27,Cannondale,0:22 0:22,+0:22,,,1,2014
27,63,28,+0:22,,,Bouet Maxime,28,AG2R La Mondiale,",, 0:22",+0:22,,,1,2014
27,135,29,+0:22,,,Spilak Simon,29,Team Katusha,",, 0:22",+0:22,,,1,2014
31,17,30,+0:22,,,Westra Lieuwe,30,Astana Pro Team,",, 0:22",+0:22,,,1,2014
30,173,31,+0:23,,,Devenyns Dries,31,Team Giant - Shimano,0:23 0:23,+0:23,,,1,2014
30,13,32,+0:23,,,Grivko Andrei,32,Astana Pro Team,",, 0:23",+0:23,,,1,2014
26,93,33,+0:24,,,Denifl Stefan,33,IAM Cycling,0:24 0:24,+0:24,,,1,2014
33,161,34,+0:24,,,Hesjedal Ryder,34,Garmin Sharp,",, 0:24",+0:24,,,1,2014
27,33,35,+0:24,,,Coppel J\xe9rome,35,"Cofidis, Solutions Cr\xe9dits",",, 0:24",+0:24,,,1,2014
27,84,36,+0:26,,,De Clercq Bart,36,Lotto Belisol,0:26 0:26,+0:26,,,1,2014
27,38,37,+0:27,,,Taaram\xe4e Rein,37,"Cofidis, Solutions Cr\xe9dits",0:27 0:27,+0:27,,,1,2014
37,118,38,+0:27,,,Zubeldia Haimar,38,Trek Factory Racing,",, 0:27",+0:27,,,1,2014
34,113,39,+0:27,,,Irizar Markel,39,Trek Factory Racing,",, 0:27",+0:27,,,1,2014
34,71,40,+0:28,,,Voeckler Thomas,40,Team Europcar,0:28 0:28,+0:28,,,1,2014
28,143,41,+0:29,,,Bakelants Jan,41,Omega Pharma - Quick-Step,0:29 0:29,+0:29,,,1,2014
33,3,42,+0:30,,,Lopez David,42,Team Sky,0:30 0:30,+0:30,,,1,2014
33,204,43,+0:30,,,Huzarski Bartosz,43,Team NetApp \u2013 Endura,",, 0:30",+0:30,,,1,2014
34,41,44,+0:30,,,Gerrans Simon,44,Orica GreenEDGE,",, 0:30",+0:30,,,1,2014
27,15,45,+0:30,,,Kangert Tanel,45,Astana Pro Team,",, 0:30",+0:30,,,1,2014
25,114,46,+0:31,,,Nizzolo Giacomo,46,Trek Factory Racing,0:31 0:31,+0:31,,,1,2014
21,178,47,+0:31,,,Olivier Daan,47,Team Giant - Shimano,",, 0:31",+0:31,,,1,2014
25,175,48,+0:31,,,Haga Chad,48,Team Giant - Shimano,",, 0:31",+0:31,,,1,2014
24,192,49,+0:31,,,Bobridge Jack,49,Belkin-Pro Cycling Team,",, 0:31",+0:31,,,1,2014
32,28,50,+0:32,,,Sutherland Rory,50,Tinkoff - Saxo,0:32 0:32,+0:32,,,1,2014
30,52,51,+0:32,,,Erviti Imanol,51,Movistar Team,",, 0:32",+0:32,,,1,2014
31,152,52,+0:32,,,Bonnet William,52,FDJ.fr,",, 0:32",+0:32,,,1,2014
42,117,53,+0:33,,,Voigt Jens,53,Trek Factory Racing,0:33 0:33,+0:33,,,1,2014
26,134,54,+0:34,,,Silin Egor,54,Team Katusha,0:34 0:34,+0:34,,,1,2014
28,87,55,+0:36,,,Roelandts Jurgen,55,Lotto Belisol,0:36 0:36,+0:36,,,1,2014
29,46,56,+0:36,,,Meier Christian,56,Orica GreenEDGE,",, 0:36",+0:36,,,1,2014
23,61,57,+0:36,,,Bardet Romain,57,AG2R La Mondiale,",, 0:36",+0:36,,,1,2014
34,153,58,+0:37,,,Boucher David,58,FDJ.fr,0:37 0:37,+0:37,,,1,2014
