Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
28,95.0,,,,,McGee Bradley,1,Fdjeux.com,,+0:00,,0,2004
30,114.0,,,,,Pollack Olaf,1,Gerolsteiner,,+0:00,-,1,2004
28,95.0,,,,,McGee Bradley,1,Fdjeux.com,,+0:00,-,2,2004
32,1.0,,,,,Simoni Gilberto,1,Saeco,,+0:00,-,3,2004
32,1.0,,,,1.0,Simoni Gilberto,1,Saeco,,+0:00,-,4,2004
32,1.0,,,,1.0,Simoni Gilberto,1,Saeco,,+0:00,-,5,2004
32,1.0,,,,1.0,Simoni Gilberto,1,Saeco,,+0:00,-,6,2004
22,3.0,,,,,Cunego Damiano,1,Saeco,,+0:00,-,7,2004
22,3.0,,,,1.0,Cunego Damiano,1,Saeco,,+0:00,-,8,2004
22,3.0,,,,1.0,Cunego Damiano,1,Saeco,,+0:00,-,9,2004
22,3.0,,,,1.0,Cunego Damiano,1,Saeco,,+0:00,-,10,2004
22,3.0,,,,1.0,Cunego Damiano,1,Saeco,,+0:00,-,11,2004
22,3.0,,,,1.0,Cunego Damiano,1,Saeco,,+0:00,-,12,2004
24,135.0,,,,,Popovych Yaroslav,1,Landbouwkrediet - Colnago,,+0:00,-,13,2004
24,135.0,,,,1.0,Popovych Yaroslav,1,Landbouwkrediet - Colnago,,+0:00,-,14,2004
24,135.0,,,,1.0,Popovych Yaroslav,1,Landbouwkrediet - Colnago,,+0:00,-,15,2004
22,3.0,,,,,Cunego Damiano,1,Saeco,,+0:00,-,16,2004
22,3.0,,,,1.0,Cunego Damiano,1,Saeco,,+0:00,-,17,2004
22,3.0,,,,1.0,Cunego Damiano,1,Saeco,,+0:00,-,18,2004
22,3.0,,,,1.0,Cunego Damiano,1,Saeco,,+0:00,-,19,2004
22,3.0,1,+0:00,400.0,1.0,Cunego Damiano,1,Saeco,88:40:43 88:40:43,+0:00,-,20,2004
33,61.0,2,+2:02,290.0,,Honchar Serhiy,2,De Nardi,2:02 2:02,+2:02,-,20,2004
32,1.0,3,+2:05,240.0,,Simoni Gilberto,3,Saeco,2:05 2:05,+2:05,-,20,2004
29,82.0,4,+4:36,220.0,,Cioni Dario,4,Fassa Bortolo,4:36 4:36,+4:36,-,20,2004
24,135.0,5,+5:05,200.0,,Popovych Yaroslav,5,Landbouwkrediet - Colnago,5:05 5:05,+5:05,-,20,2004
30,181.0,6,+5:31,190.0,,Garzelli Stefano,6,Vini Caldirola - Nobili Rubinetterie,5:31 5:31,+5:31,-,20,2004
33,122.0,7,+6:12,180.0,,Belli Wladimir,7,Lampre,6:12 6:12,+6:12,-,20,2004
28,95.0,8,+6:15,170.0,,McGee Bradley,8,Fdjeux.com,6:15 6:15,+6:15,-,20,2004
27,159.0,9,+6:34,160.0,,Valjavec Tadej,9,Phonak Hearing Systems,6:34 6:34,+6:34,-,20,2004
28,121.0,10,+7:47,150.0,,Garate Juan Manuel,10,Lampre,7:47 7:47,+7:47,-,20,2004
26,28.0,11,+9:45,140.0,,Pellizotti Franco,11,Alessio - Bianchi,9:45 9:45,+9:45,-,20,2004
23,37.0,12,+10:26,130.0,,Sella Emanuele,12,Ceramica Panaria - Margres,10:26 10:26,+10:26,-,20,2004
