Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
25,71,,,,4.0,Cavendish Mark,1,HTC - High Road,,+0:00,,\u25b23,1,2011
34,207,,,,,Millar David,1,Team Garmin - Cerv\xe9lo,,+0:00,,-,2,2011
30,179,,,,,Weening Pieter,1,Rabobank Cycling Team,,+0:00,,-,4,2011
30,179,,,,1.0,Weening Pieter,1,Rabobank Cycling Team,,+0:00,,-,5,2011
30,179,,,,1.0,Weening Pieter,1,Rabobank Cycling Team,,+0:00,,-,6,2011
30,179,,,,1.0,Weening Pieter,1,Rabobank Cycling Team,,+0:00,,-,7,2011
28,181,,,,,Contador Alberto,1,Saxo Bank - Sungard,,+0:00,,-,8,2011
28,181,,,,1.0,Contador Alberto,1,Saxo Bank - Sungard,,+0:00,,-,9,2011
28,181,,,,1.0,Contador Alberto,1,Saxo Bank - Sungard,,+0:00,,-,10,2011
28,181,,,,1.0,Contador Alberto,1,Saxo Bank - Sungard,,+0:00,,-,11,2011
28,181,,,,1.0,Contador Alberto,1,Saxo Bank - Sungard,,+0:00,,-,12,2011
28,181,,,,1.0,Contador Alberto,1,Saxo Bank - Sungard,,+0:00,,-,13,2011
28,181,,,,1.0,Contador Alberto,1,Saxo Bank - Sungard,,+0:00,,-,14,2011
28,181,,,,1.0,Contador Alberto,1,Saxo Bank - Sungard,,+0:00,,-,15,2011
28,181,,,,1.0,Contador Alberto,1,Saxo Bank - Sungard,,+0:00,,-,16,2011
28,181,,,,1.0,Contador Alberto,1,Saxo Bank - Sungard,,+0:00,,-,17,2011
28,181,,,,1.0,Contador Alberto,1,Saxo Bank - Sungard,,+0:00,,-,18,2011
28,181,,,,1.0,Contador Alberto,1,Saxo Bank - Sungard,,+0:00,,-,19,2011
28,181,1*,+ -6:10,,1.0,Contador Alberto,1*,Saxo Bank - Sungard,83:35:01 83:35:01,+5015:01,,\u25b21,20,2011
31,91,1,+0:00,400.0,,Scarponi Michele,1,Lampre - ISD,84:11:24 84:11:24,+0:00,170.0,-,20,2011
26,111,2,+0:46,290.0,,Nibali Vincenzo,2,Liquigas - Cannondale,0:46 0:46,+0:46,130.0,-,20,2011
32,16,3,+4:07,240.0,,Gadret John,3,AG2R La Mondiale,4:07 4:07,+4:07,100.0,-,20,2011
