Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,Time won/lost,year,stage
1,1,-,214,Hesjedal Ryder,31,Team Garmin - Barracuda,170.0,400,1,+0:00,91:39:02 91:39:02,+0:00,2012,20
2,2,-,36,Rodr\xedguez Joaquim,33,Team Katusha,130.0,290,2,+0:16,0:16 0:16,+0:00,2012,20
3,3,-,48,De Gendt Thomas,25,Vacansoleil - DCM,100.0,240,3,+1:39,1:39 1:39,+0:00,2012,20
4,4,-,66,Scarponi Michele,32,Lampre - ISD,90.0,220,4,+2:05,2:05 2:05,+0:00,2012,20
5,5,-,126,Basso Ivan,34,Liquigas - Cannondale,80.0,200,5,+3:44,3:44 3:44,+0:00,2012,20
6,6,-,61,Cunego Damiano,30,Lampre - ISD,70.0,190,6,+4:40,4:40 4:40,+0:00,2012,20
7,7,-,105,Uran Rigoberto,25,Sky Procycling,60.0,180,7,+5:57,5:57 5:57,+0:00,2012,20
8,8,-,7,Pozzovivo Domenico,29,Colnago CSF Bardiani,52.0,170,8,+6:28,6:28 6:28,+0:00,2012,20
9,9,-,102,Henao Sergio Luis,24,Sky Procycling,44.0,160,9,+7:50,7:50 7:50,+0:00,2012,20
10,10,-,173,Nieve Mikel,28,Euskaltel - Euskadi,38.0,150,10,+8:08,8:08 8:08,+0:00,2012,20
11,11,-,112,Gadret John,33,AG2R La Mondiale,32.0,140,11,+9:12,9:12 9:12,+0:00,2012,20
12,12,-,56,Cataldo Dario,27,Omega Pharma - Quick-Step,26.0,130,12,+11:59,11:59 11:59,+0:00,2012,20
13,13,-,4,Brambilla Gianluca,24,Colnago CSF Bardiani,22.0,120,13,+14:20,14:20 14:20,+0:00,2012,20
14,14,-,141,Tschopp Johann,29,BMC Racing Team,18.0,110,14,+14:27,14:27 14:27,+0:00,2012,20
15,15,-,77,Kreuziger Roman,26,Astana Pro Team,14.0,100,15,+19:58,19:58 19:58,+0:00,2012,20
16,16,-,114,Dupont Hubert,31,AG2R La Mondiale,10.0,90,16,+20:59,20:59 20:59,+0:00,2012,20
17,17,-,86,Bruseghin Marzio,37,Movistar Team,8.0,85,17,+25:39,25:39 25:39,+0:00,2012,20
18,18,-,81,Pardilla Sergio,28,Movistar Team,6.0,80,18,+29:19,29:19 29:19,+0:00,2012,20
19,19,-,165,de Greef Francis,27,Lotto Belisol Team,4.0,75,19,+35:00,35:00 35:00,+0:00,2012,20
20,20,-,37,Moreno Daniel,30,Team Katusha,2.0,70,20,+36:17,36:17 36:17,+0:00,2012,20
21,21,-,68,Ulissi Diego,22,Lampre - ISD,,65,21,+37:17,37:17 37:17,+0:00,2012,20
22,22,-,217,Vande Velde Christian,36,Team Garmin - Barracuda,,60,22,+38:23,38:23 38:23,+0:00,2012,20
23,23,-,79,Tiralongo Paolo,34,Astana Pro Team,,55,23,+41:36,41:36 41:36,+0:00,2012,20
24,24,-,127,Caruso Damiano,24,Liquigas - Cannondale,,50,24,+49:45,49:45 49:45,+0:00,2012,20
25,25,-,199,Casar Sandy,33,FDJ - BigMat,,45,25,+49:57,49:57 49:57,+0:00,2012,20
26,26,-,78,Kangert Tanel,25,Astana Pro Team,,40,26,+50:49,50:49 50:49,+0:00,2012,20
27,27,-,218,Stetina Peter,24,Team Garmin - Barracuda,,35,27,+54:25,54:25 54:25,+0:00,2012,20
28,28,-,123,Szmyd Sylwester,34,Liquigas - Cannondale,,30,28,+54:28,54:28 54:28,+0:00,2012,20
29,29,-,83,Amador Andrey,25,Movistar Team,,25,29,+54:40,54:40 54:40,+0:00,2012,20
30,30,-,187,Slagter Tom-Jelte,22,Rabobank Cycling Team,,20,30,+57:21,57:21 57:21,+-1:57,2012,20
31,31,-,207,Rohregger Thomas,29,RadioShack - Nissan,,20,31,+1:05:43,1:05:43 1:05:43,+0:00,2012,20
32,32,-,46,Lagutin Sergey,31,Vacansoleil - DCM,,20,32,+1:10:35,1:10:35 1:10:35,+0:00,2012,20
33,33,-,72,Seeldraeyers Kevin,25,Astana Pro Team,,20,33,+1:18:10,1:18:10 1:18:10,+0:00,2012,20
34,34,-,206,Bakelants Jan,26,RadioShack - Nissan,,20,34,+1:21:39,1:21:39 1:21:39,+0:00,2012,20
35,35,-,47,Larsson Gustav,31,Vacansoleil - DCM,,20,35,+1:24:31,1:24:31 1:24:31,+0:00,2012,20
36,36,-,103,Flecha Juan Antonio,34,Sky Procycling,,20,36,+1:25:04,1:25:04 1:25:04,+0:00,2012,20
37,37,-,129,Capecchi Eros,25,Liquigas - Cannondale,,20,37,+1:26:08,1:26:08 1:26:08,+0:00,2012,20
38,38,-,85,Intxausti Be\xf1at,26,Movistar Team,,20,38,+1:26:42,1:26:42 1:26:42,+0:00,2012,20
39,39,-,63,Niemiec Przemyslaw,32,Lampre - ISD,,20,39,+1:33:01,1:33:01 1:33:01,+0:00,2012,20
40,40,-,168,De Clercq Bart,25,Lotto Belisol Team,,20,40,+1:33:36,1:33:36 1:33:36,+0:00,2012,20
41,41,-,148,Pinotti Marco,36,BMC Racing Team,,20,41,+1:34:37,1:34:37 1:34:37,+0:00,2012,20
42,42,-,175,Txurruka Amets,29,Euskaltel - Euskadi,,20,42,+1:34:42,1:34:42 1:34:42,+0:00,2012,20
43,43,-,87,Samoilau Branislau,27,Movistar Team,,20,43,+1:38:40,1:38:40 1:38:40,+0:00,2012,20
44,44,-,88,Herrada Jos\xe9,26,Movistar Team,,20,44,+1:39:30,1:39:30 1:39:30,+0:00,2012,20
45,45,-,152,Sella Emanuele,31,Androni Giocattoli - Venezuela,,20,45,+1:39:47,1:39:47 1:39:47,+0:00,2012,20
46,46,-,3,Pirazzi Stefano,25,Colnago CSF Bardiani,,20,46,+1:40:57,1:40:57 1:40:57,+0:00,2012,20
47,47,-,54,Pauwels Serge,28,Omega Pharma - Quick-Step,,20,47,+1:43:59,1:43:59 1:43:59,+0:00,2012,20
48,48,-,174,Izagirre Ion,23,Euskaltel - Euskadi,,20,48,+1:48:54,1:48:54 1:48:54,+0:00,2012,20
49,49,-,156,Rodriguez Jackson,27,Androni Giocattoli - Venezuela,,20,49,+1:54:04,1:54:04 1:54:04,+0:00,2012,20
50,50,-,158,Felline Fabio,22,Androni Giocattoli - Venezuela,,20,50,+1:58:26,1:58:26 1:58:26,+0:00,2012,20
51,51,-,179,Oroz Juan Jos\xe9,31,Euskaltel - Euskadi,,20,51,+1:59:28,1:59:28 1:59:28,+0:00,2012,20
52,52,-,144,Santaromita Ivan,28,BMC Racing Team,,20,52,+2:04:38,2:04:38 2:04:38,+0:00,2012,20
53,53,-,113,Perget Mathieu,27,AG2R La Mondiale,,20,53,+2:10:03,2:10:03 2:10:03,+0:00,2012,20
54,54,-,33,Losada Alberto,30,Team Katusha,,20,54,+2:13:50,2:13:50 2:13:50,+0:00,2012,20
55,55,-,185,Niermann Grischa,36,Rabobank Cycling Team,,20,55,+2:19:29,2:19:29 2:19:29,+0:00,2012,20
56,56,-,201,Zaugg Oliver,31,RadioShack - Nissan,,20,56,+2:20:04,2:20:04 2:20:04,+0:00,2012,20
57,57,-,128,Agnoli Valerio,27,Liquigas - Cannondale,,20,57,+2:24:50,2:24:50 2:24:50,+0:00,2012,20
58,58,-,133,Failli Francesco,28,Farnese Vini-Neri-Sottoli,,20,58,+2:26:42,2:26:42 2:26:42,+0:00,2012,20
59,59,-,183,Garate Juan Manuel,36,Rabobank Cycling Team,,20,59,+2:27:05,2:27:05 2:27:05,+0:00,2012,20
60,60,-,139,Rabottini Matteo,24,Farnese Vini-Neri-Sottoli,,20,60,+2:29:35,2:29:35 2:29:35,+0:00,2012,20
61,61,-,71,Petrov Evgeni,34,Astana Pro Team,,20,61,+2:30:19,2:30:19 2:30:19,+0:00,2012,20
62,62,-,151,Rubiano Miguel Angel,27,Androni Giocattoli - Venezuela,,20,62,+2:31:16,2:31:16 2:31:16,+0:00,2012,20
63,63,-,91,Gustov Volodymyr,35,Team Saxo Bank - Tinkoff Bank,,20,63,+2:33:28,2:33:28 2:33:28,+0:00,2012,20
64,64,-,204,Oliveira Nelson,23,RadioShack - Nissan,,20,64,+2:34:10,2:34:10 2:34:10,+0:00,2012,20
65,65,-,15,B\xe1rta Jan,27,Team Netapp,,20,65,+2:34:27,2:34:27 2:34:27,+0:00,2012,20
66,66,-,76,Gasparotto Enrico,30,Astana Pro Team,,20,66,+2:35:48,2:35:48 2:35:48,+0:00,2012,20
67,67,-,116,Gastauer Ben,24,AG2R La Mondiale,,20,67,+2:37:24,2:37:24 2:37:24,+0:00,2012,20
68,68,-,69,Malori Adriano,24,Lampre - ISD,,20,68,+2:37:43,2:37:43 2:37:43,+0:00,2012,20
69,69,-,39,Vicioso \xc1ngel,35,Team Katusha,,20,69,+2:39:57,2:39:57 2:39:57,+0:00,2012,20
70,70,-,17,Huzarski Bartosz,31,Team Netapp,,20,70,+2:42:39,2:42:39 2:42:39,+0:00,2012,20
71,71,-,189,Clement Stef,29,Rabobank Cycling Team,,20,71,+2:45:03,2:45:03 2:45:03,+0:00,2012,20
72,72,-,169,Bak Lars Ytting,32,Lotto Belisol Team,,20,72,+2:52:12,2:52:12 2:52:12,+0:00,2012,20
73,73,-,202,Hermans Ben,25,RadioShack - Nissan,,20,73,+2:53:41,2:53:41 2:53:41,+0:00,2012,20
74,74,-,5,Battaglin Enrico,22,Colnago CSF Bardiani,,20,74,+2:54:56,2:54:56 2:54:56,+0:00,2012,20
75,75,-,45,Denifl Stefan,24,Vacansoleil - DCM,,20,75,+2:56:07,2:56:07 2:56:07,+0:00,2012,20
76,76,-,198,Soupe Geoffrey,24,FDJ - BigMat,,20,76,+2:58:19,2:58:19 2:58:19,+0:00,2012,20
77,77,-,65,Spezialetti Alessandro,37,Lampre - ISD,,20,77,+2:59:00,2:59:00 2:59:00,+0:00,2012,20
78,78,-,195,Mourey Francis,31,FDJ - BigMat,,20,78,+2:59:10,2:59:10 2:59:10,+0:00,2012,20
79,79,-,125,Sabatini Fabio,27,Liquigas - Cannondale,,20,79,+2:59:14,2:59:14 2:59:14,+0:00,2012,20
80,80,-,109,Thomas Geraint,26,Sky Procycling,,20,80,+2:59:32,2:59:32 2:59:32,+0:00,2012,20
81,81,-,119,Montaguti Matteo,28,AG2R La Mondiale,,20,81,+3:02:52,3:02:52 3:02:52,+0:00,2012,20
82,82,-,143,Wyss Danilo,26,BMC Racing Team,,20,82,+3:04:18,3:04:18 3:04:18,+0:00,2012,20
83,83,-,145,Frank Mathias,25,BMC Racing Team,,20,83,+3:04:39,3:04:39 3:04:39,+0:00,2012,20
84,84,-,35,Smukulis Gatis,25,Team Katusha,,20,84,+3:05:20,3:05:20 3:05:20,+0:00,2012,20
85,85,-,74,Zeits Andrey,25,Astana Pro Team,,20,85,+3:07:46,3:07:46 3:07:46,+0:00,2012,20
86,86,-,142,Santambrogio Mauro,27,BMC Racing Team,,20,86,+3:09:36,3:09:36 3:09:36,+0:00,2012,20
87,87,-,157,Serpa Jose Rodolfo,33,Androni Giocattoli - Venezuela,,20,87,+3:09:53,3:09:53 3:09:53,+0:00,2012,20
88,88,-,73,Ponzi Simone,25,Astana Pro Team,,20,88,+3:10:14,3:10:14 3:10:14,+0:00,2012,20
89,89,-,57,Vermote Julien,22,Omega Pharma - Quick-Step,,20,89,+3:10:33,3:10:33 3:10:33,+0:00,2012,20
90,90,-,118,Bonnafond Guillaume,24,AG2R La Mondiale,,20,90,+3:12:37,3:12:37 3:12:37,+0:00,2012,20
91,91,-,62,Pietropolli Daniele,31,Lampre - ISD,,20,91,+3:13:06,3:13:06 3:13:06,+0:00,2012,20
92,92,-,89,Ventoso Francisco,30,Movistar Team,,20,92,+3:13:09,3:13:09 3:13:09,+0:00,2012,20
93,93,-,59,Go\u0142a\u015b Micha\u0142,28,Omega Pharma - Quick-Step,,20,93,+3:14:12,3:14:12 3:14:12,+0:00,2012,20
94,94,-,163,Hansen Adam,31,Lotto Belisol Team,,20,94,+3:14:30,3:14:30 3:14:30,+0:00,2012,20
95,95,-,31,Brutt Pavel,30,Team Katusha,,20,95,+3:18:53,3:18:53 3:18:53,+0:00,2012,20
96,96,-,42,Carrara Matteo,33,Vacansoleil - DCM,,20,96,+3:19:18,3:19:18 3:19:18,+0:00,2012,20
97,97,-,1,Pagani Angelo,23,Colnago CSF Bardiani,,20,97,+3:21:50,3:21:50 3:21:50,+0:00,2012,20
98,98,-,159,De Marchi Alessandro,26,Androni Giocattoli - Venezuela,,20,98,+3:23:34,3:23:34 3:23:34,+0:00,2012,20
99,99,-,64,Bono Matteo,28,Lampre - ISD,,20,99,+3:27:26,3:27:26 3:27:26,+0:02,2012,20
100,100,-,8,Colbrelli Sonny,22,Colnago CSF Bardiani,,20,100,+3:27:27,3:27:27 3:27:27,+0:00,2012,20
