Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
30,1,+0:00,,,Jalabert Laurent,1,O.N.C.E. - Deutsche Bank,7:12 7:12,+0:00,,0,1999
25,3,+0:11,,,Schnider Daniel,3,,0:11 0:11,+0:11,,0,1999
28,4,+0:11,,,Petito Roberto,4,Saeco - Cannondale,",, 0:11",+0:11,,0,1999
28,5,+0:13,,,Dekker Erik,5,Rabobank ProTeam,0:13 0:13,+0:13,,0,1999
30,6,+0:13,,,Wauters Marc,6,Rabobank ProTeam,",, 0:13",+0:13,,0,1999
28,7,+0:13,,,Wesemann Steffen,7,Team Telekom,",, 0:13",+0:13,,0,1999
28,8,+0:14,,,Zberg Beat,8,Rabobank ProTeam,0:14 0:14,+0:14,,0,1999
29,9,+0:14,,,Hvastija Martin,9,,",, 0:14",+0:14,,0,1999
29,10,+0:14,,,Zarrabeitia Mikel,10,O.N.C.E. - Deutsche Bank,",, 0:14",+0:14,,0,1999
30,1,+0:00,,1.0,Jalabert Laurent,1,O.N.C.E. - Deutsche Bank,4:53:13 4:53:13,+0:00,-,1,1999
28,2,+0:18,,4.0,Petito Roberto,2,Saeco - Cannondale,0:18 0:18,+0:07,\u25b22,1,1999
35,3,+0:19,,,Richard Pascal,3,Mobilvetta Design - Northwave,0:19 0:19,+7:31,-,1,1999
30,4,+0:23,,,Dufaux Laurent,4,Saeco - Cannondale,0:23 0:23,+7:35,-,1,1999
27,5,+0:23,,,Camenzind Oscar,5,Lampre - Daikin - Colnago,",, 0:23",+7:35,-,1,1999
28,6,+0:24,,8.0,Zberg Beat,6,Rabobank ProTeam,0:24 0:24,+0:10,\u25b22,1,1999
25,7,+0:27,,,White Matthew,7,Vini Caldirola - Sidermec,0:27 0:27,+7:39,-,1,1999
29,8,+0:27,,,Meier Armin,8,Saeco - Cannondale,",, 0:27",+7:39,-,1,1999
25,9,+0:28,,3.0,Schnider Daniel,9,,0:28 0:28,+0:17,\u25bc6,1,1999
27,10,+0:29,,,Simoni Gilberto,10,,0:29 0:29,+7:41,-,1,1999
30,1,+0:00,,1.0,Jalabert Laurent,1,O.N.C.E. - Deutsche Bank,10:37:11 10:37:11,+0:00,-,2,1999
28,2,+0:14,,2.0,Petito Roberto,2,Saeco - Cannondale,0:14 0:14,+-1:56,-,2,1999
35,3,+0:19,,3.0,Richard Pascal,3,Mobilvetta Design - Northwave,0:19 0:19,+0:00,-,2,1999
27,4,+0:22,,5.0,Camenzind Oscar,4,Lampre - Daikin - Colnago,0:22 0:22,+-1:59,\u25b21,2,1999
30,5,+0:23,,4.0,Dufaux Laurent,5,Saeco - Cannondale,0:23 0:23,+0:00,\u25bc1,2,1999
28,6,+0:23,,6.0,Zberg Beat,6,Rabobank ProTeam,",, 0:23",+-1:59,-,2,1999
24,7,+0:24,,,Zberg Markus,7,Rabobank ProTeam,0:24 0:24,+293:37,-,2,1999
29,8,+0:24,,8.0,Meier Armin,8,Saeco - Cannondale,",, 0:24",+-1:57,-,2,1999
25,9,+0:26,,9.0,Schnider Daniel,9,,0:26 0:26,+-1:58,-,2,1999
27,10,+0:28,,10.0,Simoni Gilberto,10,,0:28 0:28,+-1:59,-,2,1999
30,1,+0:00,,1.0,Jalabert Laurent,1,O.N.C.E. - Deutsche Bank,14:46:06 14:46:06,+0:00,-,3,1999
28,2,+0:18,,,Missaglia Gabriele,2,Lampre - Daikin - Colnago,0:18 0:18,+637:29,-,3,1999
29,3,+0:20,,8.0,Meier Armin,3,Saeco - Cannondale,0:20 0:20,+-1:56,\u25b25,3,1999
27,4,+0:22,,4.0,Camenzind Oscar,4,Lampre - Daikin - Colnago,0:22 0:22,+0:00,-,3,1999
29,5,+0:22,,,Zarrabeitia Mikel,5,O.N.C.E. - Deutsche Bank,",, 0:22",+637:33,-,3,1999
30,6,+0:23,,5.0,Dufaux Laurent,6,Saeco - Cannondale,0:23 0:23,+0:00,\u25bc1,3,1999
28,7,+0:26,,2.0,Petito Roberto,7,Saeco - Cannondale,0:26 0:26,+0:12,\u25bc5,3,1999
27,8,+0:28,,10.0,Simoni Gilberto,8,,0:28 0:28,+0:00,\u25b22,3,1999
35,9,+0:31,,3.0,Richard Pascal,9,Mobilvetta Design - Northwave,0:31 0:31,+0:12,\u25bc6,3,1999
28,10,+0:32,,,Casagrande Francesco,10,Vini Caldirola - Sidermec,0:32 0:32,+637:43,-,3,1999
27,1,+0:00,,8.0,Simoni Gilberto,1,,20:10:23 20:10:23,+0:00,\u25b27,4,1999
28,2,+0:08,,10.0,Casagrande Francesco,2,Vini Caldirola - Sidermec,0:08 0:08,+0:04,\u25b28,4,1999
30,3,+0:25,,1.0,Jalabert Laurent,3,O.N.C.E. - Deutsche Bank,0:25 0:25,+0:53,\u25bc2,4,1999
27,4,+0:51,,4.0,Camenzind Oscar,4,Lampre - Daikin - Colnago,0:51 0:51,+0:57,-,4,1999
30,5,+0:52,,6.0,Dufaux Laurent,5,Saeco - Cannondale,0:52 0:52,+0:57,\u25b21,4,1999
25,6,+2:25,,,Sgambelluri Roberto,6,Cantina Tollo - Alexia Alluminio,2:25 2:25,+888:59,-,4,1999
23,7,+2:49,,,Montgomery Sven,7,,2:49 2:49,+889:23,-,4,1999
29,8,+3:16,,,Guerini Giuseppe,8,Team Telekom,3:16 3:16,+889:50,-,4,1999
28,9,+3:42,,,Zberg Beat,9,Rabobank ProTeam,3:42 3:42,+890:16,-,4,1999
29,10,+3:48,,5.0,Zarrabeitia Mikel,10,O.N.C.E. - Deutsche Bank,3:48 3:48,+3:54,\u25bc5,4,1999
