Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
33,1,+0:00,,,Z\xfclle Alex,1,Team Coast,7:37 7:37,+0:00,,,0,2002
28,2,+0:05,,,Di Grande Giuseppe,2,,0:05 0:05,+0:05,,,0,2002
33,3,+0:06,,,Dufaux Laurent,3,Alessio,0:06 0:06,+0:06,,,0,2002
30,4,+0:07,,,Rebellin Davide,4,Gerolsteiner,0:07 0:07,+0:07,,,0,2002
31,5,+0:07,,,Steinhauser Tobias,5,Gerolsteiner,",, 0:07",+0:07,,,0,2002
33,6,+0:10,,,Peschel Uwe,6,Gerolsteiner,0:10 0:10,+0:10,,,0,2002
29,7,+0:10,,,Savoldelli Paolo,7,,",, 0:10",+0:10,,,0,2002
30,8,+0:12,,,Julich Bobby,8,Team Telekom,0:12 0:12,+0:12,,,0,2002
31,9,+0:12,,,Casagrande Francesco,9,Fassa Bortolo,",, 0:12",+0:12,,,0,2002
28,10,+0:12,,,Schnider Daniel,10,Phonak Hearing Systems,",, 0:12",+0:12,,,0,2002
21,1,+0:00,,,Lembo Eddy,1,,4:26:32 4:26:32,+0:00,426.0,-,1,2002
33,2,+0:49,,1.0,Z\xfclle Alex,2,Team Coast,0:49 0:49,+-7:12,,\u25bc1,1,2002
28,3,+0:55,,2.0,Di Grande Giuseppe,3,,0:55 0:55,+-7:13,1.0,\u25bc1,1,2002
33,4,+0:56,,3.0,Dufaux Laurent,4,Alessio,0:56 0:56,+-7:13,1.0,\u25bc1,1,2002
30,5,+0:56,,4.0,Rebellin Davide,5,Gerolsteiner,",, 0:56",+-7:12,5.0,\u25bc1,1,2002
31,6,+0:56,,5.0,Steinhauser Tobias,6,Gerolsteiner,",, 0:56",+-7:12,,\u25bc1,1,2002
33,7,+0:59,,6.0,Peschel Uwe,7,Gerolsteiner,0:59 0:59,+-7:12,1.0,\u25bc1,1,2002
29,8,+1:00,,7.0,Savoldelli Paolo,8,,1:00 1:00,+-7:13,1.0,\u25bc1,1,2002
30,9,+1:01,,8.0,Julich Bobby,9,Team Telekom,1:01 1:01,+-7:12,1.0,\u25bc1,1,2002
31,10,+1:01,,9.0,Casagrande Francesco,10,Fassa Bortolo,",, 1:01",+-7:12,10.0,\u25bc1,1,2002
21,1,+0:00,,1.0,Lembo Eddy,1,,8:41:52 8:41:52,+0:00,,-,2,2002
33,2,+0:49,,2.0,Z\xfclle Alex,2,Team Coast,0:49 0:49,+0:00,,-,2,2002
28,3,+0:55,,3.0,Di Grande Giuseppe,3,,0:55 0:55,+0:00,,-,2,2002
33,4,+0:56,,4.0,Dufaux Laurent,4,Alessio,0:56 0:56,+0:00,,-,2,2002
30,5,+0:56,,5.0,Rebellin Davide,5,Gerolsteiner,",, 0:56",+0:00,,-,2,2002
31,6,+0:56,,6.0,Steinhauser Tobias,6,Gerolsteiner,",, 0:56",+0:00,,-,2,2002
33,7,+0:59,,7.0,Peschel Uwe,7,Gerolsteiner,0:59 0:59,+0:00,,-,2,2002
29,8,+1:00,,8.0,Savoldelli Paolo,8,,1:00 1:00,+0:00,,-,2,2002
31,9,+1:00,,10.0,Casagrande Francesco,9,Fassa Bortolo,",, 1:00",+-1:59,,\u25b21,2,2002
30,10,+1:01,,9.0,Julich Bobby,10,Team Telekom,1:01 1:01,+0:00,,\u25bc1,2,2002
33,1,+0:00,,2.0,Z\xfclle Alex,1,Team Coast,13:06:07 13:06:07,+0:00,,\u25b21,3,2002
28,2,+0:06,,,Vinokourov Alexandre,2,Team Telekom,0:06 0:06,+522:47,,-,3,2002
33,3,+0:09,,4.0,Dufaux Laurent,3,Alessio,0:09 0:09,+0:02,,\u25b21,3,2002
29,4,+0:30,,,Wadecki Piotr,4,Domo - Farm Frites,0:30 0:30,+523:11,,-,3,2002
23,5,+0:38,,,Fritsch Nicolas,5,La Fran\xe7aise des Jeux,0:38 0:38,+523:19,,-,3,2002
33,6,+0:49,,,Tonkov Pavel,6,Lampre - Daikin,0:49 0:49,+523:30,,-,3,2002
29,7,+0:52,,,Luttenberger Peter,7,Tacconi Sport,0:52 0:52,+523:33,,-,3,2002
23,8,+1:07,,,Kirchen Kim,8,Fassa Bortolo,1:07 1:07,+523:48,,-,3,2002
23,9,+1:41,,,Trampusch Gerhard,9,Mapei - Quickstep,1:41 1:41,+524:22,,-,3,2002
31,10,+1:48,,,Totschnig Georg,10,Gerolsteiner,1:48 1:48,+524:29,,-,3,2002
33,1,+0:00,,1.0,Z\xfclle Alex,1,Team Coast,17:29:37 17:29:37,+0:00,,-,4,2002
28,2,+0:06,,2.0,Vinokourov Alexandre,2,Team Telekom,0:06 0:06,+0:00,,-,4,2002
33,3,+0:09,,3.0,Dufaux Laurent,3,Alessio,0:09 0:09,+0:00,,-,4,2002
29,4,+0:30,,4.0,Wadecki Piotr,4,Domo - Farm Frites,0:30 0:30,+0:00,,-,4,2002
23,5,+0:38,,5.0,Fritsch Nicolas,5,La Fran\xe7aise des Jeux,0:38 0:38,+0:00,,-,4,2002
33,6,+0:49,,6.0,Tonkov Pavel,6,Lampre - Daikin,0:49 0:49,+0:00,,-,4,2002
29,7,+0:52,,7.0,Luttenberger Peter,7,Tacconi Sport,0:52 0:52,+0:00,,-,4,2002
23,8,+1:41,,9.0,Trampusch Gerhard,8,Mapei - Quickstep,1:41 1:41,+0:00,,\u25b21,4,2002
31,9,+1:48,,10.0,Totschnig Georg,9,Gerolsteiner,1:48 1:48,+0:00,,\u25b21,4,2002
25,10,+1:52,,,Valjavec Tadej,10,Fassa Bortolo,1:52 1:52,+787:59,,-,4,2002
33,1,+0:00,,1.0,Z\xfclle Alex,1,Team Coast,22:07:27 22:07:27,+0:00,,-,5,2002
33,2,+0:09,,3.0,Dufaux Laurent,2,Alessio,0:09 0:09,+0:00,,\u25b21,5,2002
29,3,+0:25,,4.0,Wadecki Piotr,3,Domo - Farm Frites,0:25 0:25,+-1:55,,\u25b21,5,2002
23,4,+0:38,,5.0,Fritsch Nicolas,4,La Fran\xe7aise des Jeux,0:38 0:38,+0:00,,\u25b21,5,2002
33,5,+0:49,,6.0,Tonkov Pavel,5,Lampre - Daikin,0:49 0:49,+0:00,,\u25b21,5,2002
29,6,+0:52,,7.0,Luttenberger Peter,6,Tacconi Sport,0:52 0:52,+0:00,,\u25b21,5,2002
31,7,+1:47,,9.0,Totschnig Georg,7,Gerolsteiner,1:47 1:47,+-1:59,,\u25b22,5,2002
25,8,+1:52,,10.0,Valjavec Tadej,8,Fassa Bortolo,1:52 1:52,+0:00,,\u25b22,5,2002
28,9,+2:09,,,Di Grande Giuseppe,9,,2:09 2:09,+1051:46,,-,5,2002
23,10,+4:13,,8.0,Trampusch Gerhard,10,Mapei - Quickstep,4:13 4:13,+2:32,,\u25bc2,5,2002
33,1,+0:00,,1.0,Z\xfclle Alex,1,Team Coast,26:29:18 26:29:18,+0:00,,-,6,2002
33,2,+0:11,,2.0,Dufaux Laurent,2,Alessio,0:11 0:11,+0:02,,-,6,2002
