Rnk,Rider,Age,Team,Pnt,GC,GC-Time,Time,Time won/lost,year,stage
1,Kreuziger Roman,22,Liquigas,250,1,+0:00,35:43:46 35:43:46,+0:00,2008,9
2,Kl\xf6den Andr\xe9as,33,Astana,190,2,+0:49,0:49 0:49,+0:49,2008,9
3,Anton Igor,25,Euskaltel - Euskadi,160,3,+1:55,1:55 1:55,+1:55,2008,9
4,Cunego Damiano,26,Lampre,140,4,+2:11,2:11 2:11,+2:11,2008,9
5,L\xf6fkvist Thomas,24,Team Columbia,120,5,+2:37,2:37 2:37,+2:37,2008,9
6,Schleck Andy,23,CSC ProTeam,110,6,+2:57,2:57 2:57,+2:57,2008,9
7,Kirchen Kim,29,Team Columbia,100,7,+2:58,2:58 2:58,+2:58,2008,9
8,Fothen Markus,26,Gerolsteiner,90,8,+4:08,4:08 4:08,+4:08,2008,9
9,Knees Christian,27,Milram,80,9,+4:18,4:18 4:18,+4:18,2008,9
10,ten Dam Laurens,27,Rabobank ProTeam,70,10,+4:26,4:26 4:26,+4:26,2008,9
11,Ivanov Serguei,33,Astana,60,11,+4:38,4:38 4:38,+4:38,2008,9
12,Albasini Michael,27,Liquigas,55,12,+5:10,5:10 5:10,+5:10,2008,9
13,Moreno Daniel,26,Caisse d'Epargne,50,13,+6:39,6:39 6:39,+6:39,2008,9
14,Kangert Tanel,21,AG2R La Mondiale,45,14,+7:03,7:03 7:03,+7:03,2008,9
15,Caucchioli Pietro,32,Cr\xe9dit Agricole,40,15,+7:14,7:14 7:14,+7:14,2008,9
16,Moos Alexandre,35,BMC Racing Team,36,16,+7:21,7:21 7:21,+7:21,2008,9
17,Botcharov Alexandre,33,Cr\xe9dit Agricole,32,17,+7:28,7:28 7:28,+7:28,2008,9
18,Devolder Stijn,28,Quickstep - Innergetic,28,18,+7:37,7:37 7:37,+7:37,2008,9
19,Del Nero Jes\xfas,26,Scott - American Beef,24,19,+7:59,7:59 7:59,+7:59,2008,9
20,Gustov Volodymyr,31,CSC ProTeam,20,20,+12:22,12:22 12:22,+12:22,2008,9
21,Stalder Florian,25,Team Volksbank,18,21,+13:28,13:28 13:28,+13:28,2008,9
22,Guti\xe9rrez Jos\xe9 Iv\xe1n,29,Caisse d'Epargne,16,22,+13:39,13:39 13:39,+13:39,2008,9
23,Morabito Steve,25,Astana,14,23,+13:42,13:42 13:42,+13:42,2008,9
24,Florencio Xavier,28,Bouygues Telecom,12,24,+14:30,14:30 14:30,+14:30,2008,9
25,Berthou Eric,28,Cr\xe9dit Agricole,10,25,+14:54,14:54 14:54,+14:54,2008,9
26,Bertogliati Rubens,29,Scott - American Beef,9,26,+15:33,15:33 15:33,+15:33,2008,9
27,Talabardon Yannick,26,Cr\xe9dit Agricole,8,27,+15:56,15:56 15:56,+15:56,2008,9
28,Gilbert Philippe,25,Fran\xe7aise des Jeux,7,28,+17:12,17:12 17:12,+17:12,2008,9
29,Tiralongo Paolo,30,Lampre,6,29,+17:46,17:46 17:46,+17:46,2008,9
30,Voigt Jens,36,CSC ProTeam,5,30,+18:18,18:18 18:18,+18:18,2008,9
31,Mourey Francis,27,Fran\xe7aise des Jeux,5,31,+19:39,19:39 19:39,+19:39,2008,9
32,Scheirlinckx Staf,29,Cofidis,5,32,+21:01,21:01 21:01,+21:01,2008,9
33,Vansummeren Johan,27,Silence - Lotto,5,33,+21:07,21:07 21:07,+21:07,2008,9
34,Dietziker Andreas,25,Team Volksbank,5,34,+21:24,21:24 21:24,+21:24,2008,9
35,Jerome Vincent,23,Bouygues Telecom,5,35,+21:53,21:53 21:53,+21:53,2008,9
36,Frank Mathias,21,Gerolsteiner,5,36,+22:13,22:13 22:13,+22:13,2008,9
37,Pineau J\xe9rome,28,Bouygues Telecom,5,37,+22:15,22:15 22:15,+22:15,2008,9
38,Gomez Gomez Angel,27,Scott - American Beef,5,38,+23:31,23:31 23:31,+23:31,2008,9
39,Muravyev Dmitriy,28,Astana,5,39,+23:43,23:43 23:43,+23:43,2008,9
40,Tjallingii Maarten,30,Silence - Lotto,5,40,+24:06,24:06 24:06,+24:06,2008,9
41,Zberg Markus,33,Gerolsteiner,5,41,+25:49,25:49 25:49,+25:49,2008,9
42,Perget Mathieu,23,Caisse d'Epargne,5,42,+26:21,26:21 26:21,+26:21,2008,9
43,Tschopp Johann,25,Bouygues Telecom,5,43,+26:29,26:29 26:29,+26:29,2008,9
44,Deignan Philip,24,AG2R La Mondiale,5,44,+27:15,27:15 27:15,+27:15,2008,9
45,Iglinskiy Maxim,27,Astana,5,45,+28:15,28:15 28:15,+28:15,2008,9
46,Dion Renaud,30,AG2R La Mondiale,5,46,+29:57,29:57 29:57,+29:57,2008,9
47,Bodrogi Laszlo,31,Cr\xe9dit Agricole,5,47,+30:40,30:40 30:40,+30:40,2008,9
48,Zampieri Steve,31,Cofidis,5,48,+30:50,30:50 30:50,+30:50,2008,9
49,Duque Leonardo,28,Cofidis,5,49,+32:44,32:44 32:44,+32:44,2008,9
50,Julich Bobby,36,CSC ProTeam,5,50,+34:08,34:08 34:08,+34:08,2008,9
51,Schmaeh Elias,21,Team Volksbank,5,51,+34:44,34:44 34:44,+34:44,2008,9
52,Elmiger Martin,29,AG2R La Mondiale,5,52,+34:46,34:46 34:46,+34:46,2008,9
53,Verdugo Gorka,29,Euskaltel - Euskadi,5,53,+34:56,34:56 34:56,+34:56,2008,9
54,Van Avermaet Greg,23,Silence - Lotto,5,54,+34:56,",, 34:56",+34:56,2008,9
55,Jacobs Pieter,22,Silence - Lotto,5,55,+35:07,35:07 35:07,+35:07,2008,9
56,Rojas Jos\xe9 Joaqu\xedn,23,Caisse d'Epargne,5,56,+35:26,35:26 35:26,+35:26,2008,9
57,Zabel Erik,37,Milram,5,57,+35:34,35:34 35:34,+35:34,2008,9
58,Lastras Pablo,32,Caisse d'Epargne,5,58,+36:51,36:51 36:51,+36:51,2008,9
59,Rujano Jos\xe9 Humberto,26,Caisse d'Epargne,5,59,+37:06,37:06 37:06,+37:06,2008,9
60,Loosli David,28,Lampre,5,60,+38:00,38:00 38:00,+38:00,2008,9
61,Azanza Jorge,26,Euskaltel - Euskadi,5,61,+38:03,38:03 38:03,+38:03,2008,9
62,Tankink Bram,29,Rabobank ProTeam,5,62,+38:08,38:08 38:08,+38:08,2008,9
63,Fischer Murilo Antonio,29,Liquigas,5,63,+38:44,38:44 38:44,+38:44,2008,9
64,Sonnery Blaise,23,AG2R La Mondiale,5,64,+39:55,39:55 39:55,+39:55,2008,9
65,Vaugrenard Benoit,26,Fran\xe7aise des Jeux,5,65,+40:36,40:36 40:36,+40:36,2008,9
66,Bovay Steve,23,BMC Racing Team,5,66,+41:30,41:30 41:30,+41:30,2008,9
67,Scholz Ronny,30,Gerolsteiner,5,67,+41:39,41:39 41:39,+41:39,2008,9
68,Schwab Hubert,26,Quickstep - Innergetic,5,68,+41:58,41:58 41:58,+41:58,2008,9
69,Zandio Xabier,31,Caisse d'Epargne,5,69,+42:19,42:19 42:19,+42:19,2008,9
70,Perez Francisco,29,Caisse d'Epargne,5,70,+42:21,42:21 42:21,+42:21,2008,9
71,Rasch Gabriel,32,Cr\xe9dit Agricole,5,71,+42:21,",, 42:21",+42:21,2008,9
72,Guesdon Fr\xe9d\xe9ric,36,Fran\xe7aise des Jeux,5,72,+43:00,43:00 43:00,+43:00,2008,9
73,Louder Jeff,30,BMC Racing Team,5,73,+45:46,45:46 45:46,+45:46,2008,9
74,Roelandts Jurgen,22,Silence - Lotto,5,74,+46:08,46:08 46:08,+46:08,2008,9
75,de Maar Marc,24,Rabobank ProTeam,5,75,+46:56,46:56 46:56,+46:56,2008,9
76,Eltink Theo,26,Rabobank ProTeam,5,76,+46:58,46:58 46:58,+46:58,2008,9
77,Marzano Marco,28,Lampre,5,77,+47:26,47:26 47:26,+47:26,2008,9
78,Hinault S\xe9bastien,34,Cr\xe9dit Agricole,5,78,+47:43,47:43 47:43,+47:43,2008,9
79,Cancellara Fabian,27,CSC ProTeam,5,79,+48:35,48:35 48:35,+48:35,2008,9
80,Santaromita Ivan,24,Liquigas,5,80,+49:08,49:08 49:08,+49:08,2008,9
81,Wyss Danilo,22,BMC Racing Team,5,81,+49:20,49:20 49:20,+49:20,2008,9
82,Lill Darren,25,BMC Racing Team,5,82,+50:10,50:10 50:10,+50:10,2008,9
83,Portal S\xe9bastien,26,Cofidis,5,83,+50:26,50:26 50:26,+50:26,2008,9
84,Bonnaire Olivier,25,Bouygues Telecom,5,84,+50:40,50:40 50:40,+50:40,2008,9
85,Franzoi Enrico,25,Liquigas,5,85,+51:44,51:44 51:44,+51:44,2008,9
86,Grabsch Ralf,35,Milram,5,86,+52:23,52:23 52:23,+52:23,2008,9
87,O'Grady Stuart,34,CSC ProTeam,5,87,+52:30,52:30 52:30,+52:30,2008,9
88,Hoste Leif,30,Silence - Lotto,5,88,+53:25,53:25 53:25,+53:25,2008,9
89,Tosatto Matteo,34,Quickstep - Innergetic,5,89,+54:55,54:55 54:55,+54:55,2008,9
90,Delage Micka\xebl,22,Fran\xe7aise des Jeux,5,90,+55:14,55:14 55:14,+55:14,2008,9
91,Geslin Anthony,28,Bouygues Telecom,5,91,+55:18,55:18 55:18,+55:18,2008,9
92,Landaluze Inigo,31,Euskaltel - Euskadi,5,92,+55:43,55:43 55:43,+55:43,2008,9
93,Schreck Stephan,29,Gerolsteiner,5,93,+56:18,56:18 56:18,+56:18,2008,9
94,Ballan Alessandro,28,Lampre,5,94,+57:01,57:01 57:01,+57:01,2008,9
95,Possoni Morris,23,Team Columbia,5,95,+57:35,57:35 57:35,+57:35,2008,9
96,Weissinger Ren\xe9,29,Team Volksbank,5,96,+57:45,57:45 57:45,+57:45,2008,9
97,Kohler Martin,22,BMC Racing Team,5,97,+59:12,59:12 59:12,+59:12,2008,9
98,Musiol Daniel,25,Team Volksbank,5,98,+59:57,59:57 59:57,+59:57,2008,9
99,Pozzato Filippo,26,Liquigas,5,99,+1:00:28,1:00:28 1:00:28,+60:28,2008,9
100,Usov Alexandre,30,AG2R La Mondiale,5,100,+1:00:31,1:00:31 1:00:31,+60:31,2008,9
101,Scarselli Leonardo,33,Quickstep - Innergetic,5,101,+1:00:58,1:00:58 1:00:58,+60:58,2008,9
102,Vanotti Alessandro,27,Liquigas,5,102,+1:01:01,1:01:01 1:01:01,+61:01,2008,9
103,Mengin Christophe,39,Fran\xe7aise des Jeux,5,103,+1:01:24,1:01:24 1:01:24,+61:24,2008,9
104,Arvesen Kurt-Asle,33,CSC ProTeam,5,104,+1:01:26,1:01:26 1:01:26,+61:26,2008,9
105,Duclos-Lassalle Herv\xe9,28,Cofidis,5,105,+1:01:52,1:01:52 1:01:52,+61:52,2008,9
106,Corioni Claudio,25,Liquigas,5,106,+1:02:11,1:02:11 1:02:11,+62:11,2008,9
107,Burghardt Marcus,24,Team Columbia,5,107,+1:02:15,1:02:15 1:02:15,+62:15,2008,9
108,M\xfcller Martin,34,Milram,5,108,+1:02:52,1:02:52 1:02:52,+62:52,2008,9
109,Mondory Lloyd,26,AG2R La Mondiale,5,109,+1:03:31,1:03:31 1:03:31,+63:31,2008,9
110,Gonzalez Baeza Hector,22,Scott - American Beef,5,110,+1:03:34,1:03:34 1:03:34,+63:34,2008,9
111,Morscher Harald,36,Team Volksbank,5,111,+1:04:43,1:04:43 1:04:43,+64:43,2008,9
112,Roux Anthony,21,Fran\xe7aise des Jeux,5,112,+1:04:56,1:04:56 1:04:56,+64:56,2008,9
113,Belgy Julien,25,Bouygues Telecom,5,113,+1:05:53,1:05:53 1:05:53,+65:53,2008,9
114,Galparsoro Dionisio,29,Euskaltel - Euskadi,5,114,+1:06:29,1:06:29 1:06:29,+66:29,2008,9
115,Bono Matteo,24,Lampre,5,115,+1:06:46,1:06:46 1:06:46,+66:46,2008,9
116,Korff Andre,35,Team Volksbank,5,116,+1:06:58,1:06:58 1:06:58,+66:58,2008,9
117,Steegmans Gert,27,Quickstep - Innergetic,5,117,+1:07:43,1:07:43 1:07:43,+67:43,2008,9
118,de Jongh Steven,34,Quickstep - Innergetic,5,118,+1:08:22,1:08:22 1:08:22,+68:22,2008,9
119,F\xf6rster Robert,30,Gerolsteiner,5,119,+1:08:43,1:08:43 1:08:43,+68:43,2008,9
120,Mori Massimiliano,34,Lampre,5,120,+1:08:53,1:08:53 1:08:53,+68:53,2008,9
121,Ciolek Gerald,21,Team Columbia,5,121,+1:08:53,",, 1:08:53",+68:53,2008,9
122,Terpstra Niki,24,Milram,5,122,+1:08:56,1:08:56 1:08:56,+68:56,2008,9
123,Renshaw Mark,25,Cr\xe9dit Agricole,5,123,+1:08:56,",, 1:08:56",+68:56,2008,9
124,Vansevenant Wim,36,Silence - Lotto,5,124,+1:08:56,",, 1:08:56",+68:56,2008,9
125,Reynes Vicente,26,Team Columbia,5,125,+1:08:56,",, 1:08:56",+68:56,2008,9
126,Alarc\xf3n Ra\xfal,22,Scott - American Beef,5,126,+1:08:56,",, 1:08:56",+68:56,2008,9
127,H\xf8j Frank,35,Cofidis,5,127,+1:08:56,",, 1:08:56",+68:56,2008,9
128,Rosseler Sebastien,26,Quickstep - Innergetic,5,128,+1:08:56,",, 1:08:56",+68:56,2008,9
129,Hernandez Gutierrez Aitor,26,Euskaltel - Euskadi,5,129,+1:08:56,",, 1:08:56",+68:56,2008,9
130,Lafuente Andoni,22,Euskaltel - Euskadi,5,130,+1:08:56,",, 1:08:56",+68:56,2008,9
