Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
25,137,1,+0:00,,1,Meyer Cameron,1,Orica GreenEDGE,2:53:06 2:53:06,+0:00,,-,2,2013
32,62,2,+0:03,,9,Hesjedal Ryder,2,Garmin Sharp,0:03 0:03,+-1:44,,\u25b27,2,2013
26,73,3,+0:05,,12,Frank Mathias,3,BMC Racing Team,0:05 0:05,+-1:44,,\u25b29,2,2013
30,8,4,+0:12,,11,Visconti Giovanni,4,Movistar Team,0:12 0:12,+-1:52,,\u25b27,2,2013
23,166,5,+0:16,,31,Pinot Thibaut,5,FDJ.fr,0:16 0:16,+-1:44,,\u25b226,2,2013
27,121,6,+0:28,,70,Kreuziger Roman,6,Team Saxo - Tinkoff,0:28 0:28,+-1:44,,\u25b264,2,2013
22,107,7,+0:34,,45,Moser Moreno,7,Cannondale Pro Cycling Team,0:34 0:34,+-1:57,,\u25b238,2,2013
26,114,8,+0:34,,56,Mollema Bauke,8,Blanco Pro Cycling Team,",, 0:34",+-1:53,,\u25b248,2,2013
29,52,9,+0:35,,14,Dyachenko Alexandr,9,Astana Pro Team,0:35 0:35,+0:13,,\u25b25,2,2013
30,87,10,+0:36,,71,Pozzovivo Domenico,10,AG2R La Mondiale,0:36 0:36,+-1:52,,\u25b261,2,2013
26,1,11,+0:40,,53,Costa Rui,11,Movistar Team,0:40 0:40,+0:00,,\u25b242,2,2013
26,64,12,+0:42,,117,Martin Daniel,12,Garmin Sharp,0:42 0:42,+-1:44,,\u25b2105,2,2013
29,51,13,+0:42,,60,Brajkovi\u010d Janez,13,Astana Pro Team,",, 0:42",+0:00,,\u25b247,2,2013
23,91,14,+0:43,,77,Ulissi Diego,14,Lampre - Merida,0:43 0:43,+-1:57,,\u25b263,2,2013
33,96,15,+0:44,,121,Scarponi Michele,15,Lampre - Merida,0:44 0:44,+-1:44,,\u25b2106,2,2013
26,56,16,+0:45,,32,Kangert Tanel,16,Astana Pro Team,0:45 0:45,+0:13,,\u25b216,2,2013
36,81,17,+0:47,,72,Peraud Jean-Christophe,17,AG2R La Mondiale,0:47 0:47,+0:02,,\u25b255,2,2013
24,197,18,+0:48,,51,Reichenbach Sebastien,18,IAM Cycling,0:48 0:48,+0:09,,\u25b233,2,2013
