Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
22.0,1,+0:00,,,Sagan Peter,1,Liquigas - Cannondale,4:42:25 4:42:25,+0:00,10.0,,1,2012
28.0,2,+0:04,,,Haussler Heinrich,2,Team Garmin - Barracuda,0:04 0:04,+0:04,,,1,2012
34.0,3,+0:04,,,Louder Jeff,3,UnitedHealthcare Presented by Maxxis,",, 0:04",+0:04,,,1,2012
38.0,4,+0:06,,,Rodriguez Fred,4,Team Exergy,0:06 0:06,+0:06,,,1,2012
33.0,5,+0:06,,,Jacques-Maynes Benjamin,5,Bissell Pro Cycling,",, 0:06",+0:06,,,1,2012
19.0,6,+0:09,,,Atkins Joshua,6,Bontrager Livestrong Team,0:09 0:09,+0:09,,,1,2012
22.0,7,+0:10,,,Howard Leigh,7,Orica GreenEDGE,0:10 0:10,+0:10,,,1,2012
26.0,8,+0:10,,,Van Avermaet Greg,8,BMC Racing Team,",, 0:10",+0:10,,,1,2012
38.0,9,+0:10,,,Hincapie George,9,BMC Racing Team,",, 0:10",+0:10,,,1,2012
24.0,10,+0:10,,,Anderson Ryan,10,Spidertech Powered by C10,",, 0:10",+0:10,,,1,2012
28.0,11,+0:10,,,Vandenbergh Stijn,11,Omega Pharma - Quick-Step,",, 0:10",+0:10,,,1,2012
20.0,12,+0:10,,,Craddock Lawson,12,Bontrager Livestrong Team,",, 0:10",+0:10,,,1,2012
28.0,13,+0:10,,,Sanchez Luis Leon,13,Rabobank Cycling Team,",, 0:10",+0:10,,,1,2012
28.0,14,+0:10,,,Martens Paul,14,Rabobank Cycling Team,",, 0:10",+0:10,,,1,2012
20.0,15,+0:10,,,Mannion Gavin,15,Bontrager Livestrong Team,",, 0:10",+0:10,,,1,2012
28.0,16,+0:10,,,Devenyns Dries,16,Omega Pharma - Quick-Step,",, 0:10",+0:10,,,1,2012
21.0,17,+0:10,,,Bardet Romain,17,AG2R La Mondiale,",, 0:10",+0:10,,,1,2012
25.0,18,+0:10,,,Duarte Fabio,18,Colombia - Coldeportes,",, 0:10",+0:10,,,1,2012
24.0,19,+0:10,,,Meyer Cameron,19,Orica GreenEDGE,",, 0:10",+0:10,,,1,2012
26.0,20,+0:10,,,Machado Tiago,20,RadioShack - Nissan,",, 0:10",+0:10,,,1,2012
21.0,21,+0:10,,,Dumoulin Tom,21,Argos - Shimano,",, 0:10",+0:10,,,1,2012
21.0,22,+0:10,,,Kelderman Wilco,22,Rabobank Cycling Team,",, 0:10",+0:10,,,1,2012
30.0,23,+0:10,,,Sutherland Rory,23,UnitedHealthcare Presented by Maxxis,",, 0:10",+0:10,,,1,2012
27.0,24,+0:10,,,Velits Peter,24,Omega Pharma - Quick-Step,",, 0:10",+0:10,,,1,2012
28.0,25,+0:10,,,de Maar Marc,25,UnitedHealthcare Presented by Maxxis,",, 0:10",+0:10,,,1,2012
40.0,26,+0:10,,,Horner Chris,26,RadioShack - Nissan,",, 0:10",+0:10,,,1,2012
31.0,27,+0:10,,,Weening Pieter,27,Orica GreenEDGE,",, 0:10",+0:10,,,1,2012
23.0,28,+0:10,,,Talansky Andrew,28,Team Garmin - Barracuda,",, 0:10",+0:10,,,1,2012
32.0,29,+0:10,,,Jones Chris,29,UnitedHealthcare Presented by Maxxis,",, 0:10",+0:10,,,1,2012
31.0,30,+0:10,,,Cummings Stephen,30,BMC Racing Team,",, 0:10",+0:10,,,1,2012
25.0,31,+0:10,,,Oss Daniel,31,Liquigas - Cannondale,",, 0:10",+0:10,,,1,2012
29.0,32,+0:10,,,Morabito Steve,32,BMC Racing Team,",, 0:10",+0:10,,,1,2012
24.0,33,+0:10,,,Atapuma John Darwin,33,Colombia - Coldeportes,",, 0:10",+0:10,,,1,2012
27.0,34,+0:10,,,Busche Matthew,34,RadioShack - Nissan,",, 0:10",+0:10,,,1,2012
21.0,35,+0:10,,,Durbridge Luke,35,Orica GreenEDGE,",, 0:10",+0:10,,,1,2012
31.0,36,+0:10,,,ten Dam Laurens,36,Rabobank Cycling Team,",, 0:10",+0:10,,,1,2012
34.0,37,+0:10,,,Danielson Thomas,37,Team Garmin - Barracuda,",, 0:10",+0:10,,,1,2012
28.0,38,+0:10,,,Bookwalter Brent,38,BMC Racing Team,",, 0:10",+0:10,,,1,2012
30.0,39,+0:10,,,Vandborg Brian,39,Spidertech Powered by C10,",, 0:10",+0:10,,,1,2012
27.0,40,+0:10,,,K\xfcnzli Raimond,40,Spidertech Powered by C10,",, 0:10",+0:10,,,1,2012
29.0,41,+0:10,,,Duggan Timothy,41,Liquigas - Cannondale,",, 0:10",+0:10,,,1,2012
33.0,42,+0:10,,,Zabriskie David,42,Team Garmin - Barracuda,",, 0:10",+0:10,,,1,2012
25.0,43,+0:10,,,Gesink Robert,43,Rabobank Cycling Team,",, 0:10",+0:10,,,1,2012
28.0,44,+0:10,,,Diaz Andr\xe8s Miguel,44,Team Exergy,",, 0:10",+0:10,,,1,2012
