Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
23,31,1,+0:00,,,Gaviria Fernando,1,Quick-Step Floors,3:02:13 3:02:13,+0:00,6.0,,1,2018
23,73,2,+0:04,,,Ewan Caleb,2,Mitchelton-Scott,0:04 0:04,+0:04,,,1,2018
26,166,3,+0:04,,,Putt Tanner,3,UnitedHealthcare Pro Cycling Team,",, 0:04",+0:04,,,1,2018
28,11,4,+0:06,,,Sagan Peter,4,BORA - hansgrohe,0:06 0:06,+0:06,,,1,2018
29,155,5,+0:06,,,Krasilnikau Andrei,5,Holowesko - Citadel p/b Arapahoe Resources,",, 0:06",+0:06,,,1,2018
32,41,6,+0:09,,,Cavendish Mark,6,Team Dimension Data,0:09 0:09,+0:09,,,1,2018
21,34,7,+0:09,,,Hodeg \xc1lvaro Jos\xe9,7,Quick-Step Floors,",, 0:09",+0:09,,,1,2018
30,51,8,+0:10,,,Kittel Marcel,8,Team Katusha - Alpecin,0:10 0:10,+0:10,,,1,2018
30,141,9,+0:10,,,Kristoff Alexander,9,UAE-Team Emirates,",, 0:10",+0:10,,,1,2018
20,106,10,+0:10,,,Philipsen Jasper,10,Hagens Berman Axeon,",, 0:10",+0:10,,,1,2018
31,125,11,+0:10,,,Reijnen Kiel,11,Trek - Segafredo,",, 0:10",+0:10,,,1,2018
24,136,12,+0:10,,,Walscheid Max,12,Team Sunweb,",, 0:10",+0:10,,,1,2018
27,65,13,+0:10,,,Magner Ty,13,Rally Cycling,",, 0:10",+0:10,,,1,2018
21,105,14,+0:10,,,Oliveira Ivo,14,Hagens Berman Axeon,",, 0:10",+0:10,,,1,2018
29,164,15,+0:10,,,McCabe Travis,15,UnitedHealthcare Pro Cycling Team,",, 0:10",+0:10,,,1,2018
27,22,16,+0:10,,,Bevin Patrick,16,BMC Racing Team,",, 0:10",+0:10,,,1,2018
