Age,GC,GC-Time,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
24.0,1,+0:00,,Boonen Tom,1,Quickstep - Innergetic,3:45:07 3:45:07,+0:00,,1,2005
37.0,2,+0:04,,Cipollini Mario,2,Liquigas,0:04 0:04,+0:04,,1,2005
27.0,3,+0:04,,Hunter Robert,3,Phonak Hearing Systems,",, 0:04",+0:04,,1,2005
31.0,4,+0:08,,Reinerink Rik,4,Shimano - Memory Corp,0:08 0:08,+0:08,,1,2005
24.0,5,+0:09,,Schr\xf6der Bjorn,5,Team Wiesenhof,0:09 0:09,+0:09,,1,2005
25.0,6,+0:10,,Clerc Aur\xe9lien,6,Phonak Hearing Systems,0:10 0:10,+0:10,,1,2005
28.0,7,+0:10,,Cadamuro Simone,7,Domina Vacanze,",, 0:10",+0:10,,1,2005
31.0,8,+0:10,,Korff Andre,8,T-Mobile Team,",, 0:10",+0:10,,1,2005
22.0,9,+0:10,,Ventoso Francisco,9,Saunier Duval - Prodir,",, 0:10",+0:10,,1,2005
27.0,10,+0:10,,Siedler Sebastian,10,Team Wiesenhof,",, 0:10",+0:10,,1,2005
22.0,11,+0:10,,Mondory Lloyd,11,AG2R Pr\xe9voyance,",, 0:10",+0:10,,1,2005
32.0,12,+0:10,,McEwen Robbie,12,Davitamon - Lotto,",, 0:10",+0:10,,1,2005
31.0,13,+0:10,,Rodriguez Fred,13,Davitamon - Lotto,",, 0:10",+0:10,,1,2005
26.0,14,+0:10,,van Speybroeck Wesley,14,Chocolade Jacques - T Interim,",, 0:10",+0:10,,1,2005
37.0,15,+0:10,,Kemna Rudi,15,Shimano - Memory Corp,",, 0:10",+0:10,,1,2005
27.0,16,+0:10,,Usov Alexandre,16,AG2R Pr\xe9voyance,",, 0:10",+0:10,,1,2005
23.0,17,+0:10,,van Mechelen Wouter,17,Chocolade Jacques - T Interim,",, 0:10",+0:10,,1,2005
22.0,18,+0:10,,Greipel Andr\xe9,18,Team Wiesenhof,",, 0:10",+0:10,,1,2005
31.0,19,+0:10,,Hammond Roger,19,Discovery Channel,",, 0:10",+0:10,,1,2005
32.0,20,+0:10,,Guidi Fabrizio,20,CSC ProTeam,",, 0:10",+0:10,,1,2005
24.0,21,+0:10,,Baumann Eric,21,T-Mobile Team,",, 0:10",+0:10,,1,2005
31.0,22,+0:10,,Zanotti Marco,22,Liquigas,",, 0:10",+0:10,,1,2005
34.0,23,+0:10,,Vierhouten Aart,23,Davitamon - Lotto,",, 0:10",+0:10,,1,2005
23.0,24,+0:10,,Caethoven Steven,24,Chocolade Jacques - T Interim,",, 0:10",+0:10,,1,2005
31.0,25,+0:10,,Jalabert Nicolas,25,Phonak Hearing Systems,",, 0:10",+0:10,,1,2005
35.0,26,+0:10,,Michaelsen Lars,26,CSC ProTeam,",, 0:10",+0:10,,1,2005
25.0,27,+0:10,,Quinziato Manuel,27,Saunier Duval - Prodir,",, 0:10",+0:10,,1,2005
25.0,28,+0:10,,Rast Gregory,28,Phonak Hearing Systems,",, 0:10",+0:10,,1,2005
26.0,29,+0:10,,Flickinger Andy,29,AG2R Pr\xe9voyance,",, 0:10",+0:10,,1,2005
25.0,30,+0:10,,van Katwijk Alain,30,Shimano - Memory Corp,",, 0:10",+0:10,,1,2005
32.0,31,+0:10,,Nardello Daniele,31,T-Mobile Team,",, 0:10",+0:10,,1,2005
29.0,32,+0:10,,Trentin Guido,32,Cofidis,",, 0:10",+0:10,,1,2005
24.0,33,+0:10,,van der Wal Eelke,33,Shimano - Memory Corp,",, 0:10",+0:10,,1,2005
25.0,34,+0:10,,Bos Marco,34,Shimano - Memory Corp,",, 0:10",+0:10,,1,2005
22.0,35,+0:10,,Giling Bas,35,T-Mobile Team,",, 0:10",+0:10,,1,2005
,36,+0:10,,Ulzii-orshikh Jamsran,36,,",, 0:10",+0:10,,1,2005
24.0,37,+0:10,,Kashechkin Andrey,37,Cr\xe9dit Agricole,",, 0:10",+0:10,,1,2005
29.0,38,+0:10,,Joachim Benoit,38,Discovery Channel,",, 0:10",+0:10,,1,2005
22.0,39,+0:10,,Vaitkus Tomas,39,AG2R Pr\xe9voyance,",, 0:10",+0:10,,1,2005
25.0,40,+0:10,,Bak Lars Ytting,40,CSC ProTeam,",, 0:10",+0:10,,1,2005
25.0,41,+0:10,,Herve C\xe9dric,41,Cr\xe9dit Agricole,",, 0:10",+0:10,,1,2005
22.0,42,+0:10,,Ghyllebert Pieter,42,Chocolade Jacques - T Interim,",, 0:10",+0:10,,1,2005
28.0,43,+0:10,,Putsep Erki,43,AG2R Pr\xe9voyance,",, 0:10",+0:10,,1,2005
23.0,44,+0:10,,Hovelijnck Kurt,44,Chocolade Jacques - T Interim,",, 0:10",+0:10,,1,2005
20.0,45,+0:10,,Breschel Matti,45,CSC ProTeam,",, 0:10",+0:10,,1,2005
30.0,46,+0:10,,Mikhailov Guennady,46,Discovery Channel,",, 0:10",+0:10,,1,2005
23.0,47,+0:10,,Kohl Bernhard,47,T-Mobile Team,",, 0:10",+0:10,,1,2005
27.0,48,+0:10,,Tjallingii Maarten,48,,",, 0:10",+0:10,,1,2005
38.0,49,+0:10,,Tafi Andrea,49,Saunier Duval - Prodir,",, 0:10",+0:10,,1,2005
22.0,50,+0:10,,Rigotto Elia,50,Domina Vacanze,",, 0:10",+0:10,,1,2005
28.0,51,+0:10,,Cretskens Wilfried,51,Quickstep - Innergetic,",, 0:10",+0:10,,1,2005
,52,+0:10,,Rhiele Mohcena,52,,",, 0:10",+0:10,,1,2005
,53,+0:10,,Hollands Edmund,53,,",, 0:10",+0:10,,1,2005
24.0,54,+0:10,,Ravaioli Ivan,54,Saunier Duval - Prodir,",, 0:10",+0:10,,1,2005
27.0,55,+0:10,,Esmaeili Tareq,55,,",, 0:10",+0:10,,1,2005
27.0,56,+0:10,,Schmitz Bram,56,T-Mobile Team,",, 0:10",+0:10,,1,2005
29.0,57,+0:10,,Murn Uros,57,Phonak Hearing Systems,",, 0:10",+0:10,,1,2005
29.0,58,+0:10,,Ivanov Serguei,58,T-Mobile Team,",, 0:10",+0:10,,1,2005
21.0,59,+0:10,,Burghardt Marcus,59,T-Mobile Team,",, 0:10",+0:10,,1,2005
21.0,60,+0:10,,Chavanel S\xe9bastien,60,Bouygues Telecom,",, 0:10",+0:10,,1,2005
33.0,61,+0:10,,Mattan Nico,61,Davitamon - Lotto,",, 0:10",+0:10,,1,2005
27.0,62,+0:10,,Furlan Angelo,62,Domina Vacanze,",, 0:10",+0:10,,1,2005
27.0,63,+0:10,,Hoste Leif,63,Discovery Channel,",, 0:10",+0:10,,1,2005
21.0,64,+0:10,,Ravard Anthony,64,Bouygues Telecom,",, 0:10",+0:10,,1,2005
29.0,65,+0:10,,Botcharov Alexandre,65,Cr\xe9dit Agricole,",, 0:10",+0:10,,1,2005
21.0,66,+0:10,,Grivko Andrei,66,Domina Vacanze,",, 0:10",+0:10,,1,2005
24.0,67,+0:10,,de Schrooder Benny,67,Chocolade Jacques - T Interim,",, 0:10",+0:10,,1,2005
22.0,68,+0:10,,De Vocht Wim,68,Davitamon - Lotto,",, 0:10",+0:10,,1,2005
22.0,69,+0:10,,Wynants Maarten,69,Chocolade Jacques - T Interim,",, 0:10",+0:10,,1,2005
23.0,70,+0:10,,Schumacher Stefan,70,Shimano - Memory Corp,",, 0:10",+0:10,,1,2005
22.0,71,+0:10,,Portal S\xe9bastien,71,Cr\xe9dit Agricole,",, 0:10",+0:10,,1,2005
32.0,72,+0:10,,Roesems Bert,72,Davitamon - Lotto,",, 0:10",+0:10,,1,2005
22.0,73,+0:10,,Patour Kilian,73,Cr\xe9dit Agricole,",, 0:10",+0:10,,1,2005
27.0,74,+0:10,,Obst Rene,74,Team Wiesenhof,",, 0:10",+0:10,,1,2005
23.0,75,+0:10,,Mangel Laurent,75,AG2R Pr\xe9voyance,",, 0:10",+0:10,,1,2005
24.0,76,+0:10,,Mori Manuele,76,Saunier Duval - Prodir,",, 0:10",+0:10,,1,2005
30.0,77,+0:10,,Nazon Damien,77,Cr\xe9dit Agricole,",, 0:10",+0:10,,1,2005
25.0,78,+0:10,,Devolder Stijn,78,Discovery Channel,",, 0:10",+0:10,,1,2005
,79,+0:10,,Reauf Mihsien,79,,",, 0:10",+0:10,,1,2005
