Rnk,Rider,Age,Team,Pnt,GC,GC-Time,Time,Time won/lost,year,stage
1,Renshaw Mark,28,HTC - High Road,100.0,1,+0:00,15:31:04 15:31:04,+0:00,2011,5
2,Haussler Heinrich,26,Team Garmin - Cerv\xe9lo,70.0,2,+0:08,0:08 0:08,+0:08,2011,5
3,Bennati Daniele,30,Leopard Trek,50.0,3,+0:17,0:17 0:17,+0:17,2011,5
4,Flecha Juan Antonio,33,Sky Procycling,36.0,4,+0:26,0:26 0:26,+0:26,2011,5
5,Hammond Roger,37,Team Garmin - Cerv\xe9lo,28.0,5,+0:38,0:38 0:38,+0:38,2011,5
6,Hunt Jeremy,36,Sky Procycling,24.0,6,+0:39,0:39 0:39,+0:39,2011,5
7,Rasch Gabriel,34,Team Garmin - Cerv\xe9lo,20.0,7,+0:42,0:42 0:42,+0:42,2011,5
8,Eisel Bernhard,29,HTC - High Road,18.0,8,+1:05,1:05 1:05,+1:05,2011,5
9,Burghardt Marcus,27,BMC Racing Team,16.0,9,+1:33,1:33 1:33,+1:33,2011,5
10,Steegmans Gert,30,Quickstep Cycling Team,14.0,10,+1:35,1:35 1:35,+1:35,2011,5
11,Vansummeren Johan,30,Team Garmin - Cerv\xe9lo,12.0,11,+1:40,1:40 1:40,+1:40,2011,5
12,Maes Nikolas,24,Quickstep Cycling Team,10.0,12,+1:56,1:56 1:56,+1:56,2011,5
13,O'Grady Stuart,37,Leopard Trek,8.0,13,+4:39,4:39 4:39,+4:39,2011,5
14,Boonen Tom,30,Quickstep Cycling Team,7.0,14,+4:45,4:45 4:45,+4:45,2011,5
15,Rollin Dominique,28,FDJ,6.0,15,+5:20,5:20 5:20,+5:20,2011,5
16,Wynants Maarten,28,Rabobank Cycling Team,5.0,16,+5:33,5:33 5:33,+5:33,2011,5
17,Kluge Roger,25,Skil - Shimano,4.0,17,+5:36,5:36 5:36,+5:36,2011,5
18,Hondo Danilo,37,Lampre - ISD,3.0,18,+5:36,",, 5:36",+5:36,2011,5
19,Galimzyanov Denis,23,Team Katusha,2.0,19,+6:00,6:00 6:00,+6:00,2011,5
20,Lorenzetto Mirco,29,Pro Team Astana,1.0,20,+6:23,6:23 6:23,+6:23,2011,5
21,Vigano Davide,26,Leopard Trek,,21,+6:30,6:30 6:30,+6:30,2011,5
22,Tjallingii Maarten,33,Rabobank Cycling Team,,22,+7:01,7:01 7:01,+7:01,2011,5
23,Boom Lars,25,Rabobank Cycling Team,,23,+7:09,7:09 7:09,+7:09,2011,5
24,Clarke Simon,24,Pro Team Astana,,24,+8:10,8:10 8:10,+8:10,2011,5
25,Stannard Ian,23,Sky Procycling,,25,+8:28,8:28 8:28,+8:28,2011,5
26,Vandenbergh Stijn,26,Team Katusha,,26,+8:42,8:42 8:42,+8:42,2011,5
27,Brown Graeme,31,Rabobank Cycling Team,,27,+9:09,9:09 9:09,+9:09,2011,5
28,Offredo Yoann,24,FDJ,,28,+10:26,10:26 10:26,+10:26,2011,5
29,Flens Rick,27,Rabobank Cycling Team,,29,+11:10,11:10 11:10,+11:10,2011,5
30,Paolini Luca,34,Team Katusha,,30,+12:35,12:35 12:35,+12:35,2011,5
31,Wiggins Bradley,30,Sky Procycling,,31,+13:14,13:14 13:14,+13:14,2011,5
32,Weylandt Wouter,26,Leopard Trek,,32,+13:42,13:42 13:42,+13:42,2011,5
33,Pozzato Filippo,29,Team Katusha,,33,+14:09,14:09 14:09,+14:09,2011,5
34,Stamsnijder Tom,25,Leopard Trek,,34,+14:48,14:48 14:48,+14:48,2011,5
35,Chicchi Francesco,30,Quickstep Cycling Team,,35,+16:53,16:53 16:53,+16:53,2011,5
36,Neirynck Stijn,25,Topsport Vlaanderen - Mercator,,36,+17:38,17:38 17:38,+17:38,2011,5
37,Downing Russell,32,Sky Procycling,,37,+18:08,18:08 18:08,+18:08,2011,5
38,Cavendish Mark,25,HTC - High Road,,38,+20:21,20:21 20:21,+20:21,2011,5
39,Veelers Tom,26,Skil - Shimano,,39,+20:42,20:42 20:42,+20:42,2011,5
40,Bos Theo,27,Rabobank Cycling Team,,40,+20:46,20:46 20:46,+20:46,2011,5
41,Kristoff Alexander,23,BMC Racing Team,,41,+20:55,20:55 20:55,+20:55,2011,5
42,Ladagnous Matthieu,26,FDJ,,42,+21:33,21:33 21:33,+21:33,2011,5
43,Hoste Leif,33,Team Katusha,,43,+21:34,21:34 21:34,+21:34,2011,5
44,Tankink Bram,32,Rabobank Cycling Team,,44,+22:19,22:19 22:19,+22:19,2011,5
45,Robert Fr\xe9derique,22,Quickstep Cycling Team,,45,+23:11,23:11 23:11,+23:11,2011,5
46,Bagdonas Gediminas,25,,,46,+23:18,23:18 23:18,+23:18,2011,5
47,Gatto Oscar,26,Farnese Vini-Neri-Sottoli,,47,+25:00,25:00 25:00,+25:00,2011,5
48,Gourov Maxim,32,Pro Team Astana,,48,+25:05,25:05 25:05,+25:05,2011,5
49,van Winden Dennis,23,Rabobank Cycling Team,,49,+25:33,25:33 25:33,+25:33,2011,5
50,Kangert Tanel,23,Pro Team Astana,,50,+27:27,27:27 27:27,+27:27,2011,5
51,van Zandbeek Ronan,22,Skil - Shimano,,51,+36:19,36:19 36:19,+36:19,2011,5
52,Fenn Andrew,20,An Post-M.Donnelly-Grant Thornton-Sean Kelly Team,,52,+36:37,36:37 36:37,+36:37,2011,5
53,Cancellara Fabian,29,Leopard Trek,,53,+38:08,38:08 38:08,+38:08,2011,5
54,Trusov Nikolay,25,Team Katusha,,54,+39:12,39:12 39:12,+39:12,2011,5
55,Bak Lars Ytting,31,HTC - High Road,,55,+39:17,39:17 39:17,+39:17,2011,5
56,de Kort Koen,28,Skil - Shimano,,56,+39:42,39:42 39:42,+39:42,2011,5
57,Stauff Andreas,24,Quickstep Cycling Team,,57,+39:59,39:59 39:59,+39:59,2011,5
58,Klier Andreas,35,Team Garmin - Cerv\xe9lo,,58,+42:20,42:20 42:20,+42:20,2011,5
59,Vaitkus Tomas,29,Pro Team Astana,,59,+45:48,45:48 45:48,+45:48,2011,5
60,Van Avermaet Greg,25,BMC Racing Team,,60,+46:00,46:00 46:00,+46:00,2011,5
61,Arvesen Kurt-Asle,36,Sky Procycling,,61,+46:09,46:09 46:09,+46:09,2011,5
62,Dowsett Alex,22,Sky Procycling,,62,+46:17,46:17 46:17,+46:17,2011,5
63,Kuchynski Aliaksandr,31,Team Katusha,,63,+46:42,46:42 46:42,+46:42,2011,5
64,Schar Michael,24,BMC Racing Team,,64,+46:43,46:43 46:43,+46:43,2011,5
65,Kump Marko,22,Geox-TMC Transformers,,65,+46:58,46:58 46:58,+46:58,2011,5
66,Gretsch Patrick,23,HTC - High Road,,66,+47:17,47:17 47:17,+47:17,2011,5
67,Kroon Karsten,35,BMC Racing Team,,67,+47:26,47:26 47:26,+47:26,2011,5
68,Meyer Travis,21,Team Garmin - Cerv\xe9lo,,68,+47:57,47:57 47:57,+47:57,2011,5
69,Brammeier Matthew,25,HTC - High Road,,69,+48:06,48:06 48:06,+48:06,2011,5
70,Geschke Simon,24,Skil - Shimano,,70,+48:36,48:36 48:36,+48:36,2011,5
71,Murphy John,26,BMC Racing Team,,71,+50:38,50:38 50:38,+50:38,2011,5
72,Smukulis Gatis,23,HTC - High Road,,72,+50:41,50:41 50:41,+50:41,2011,5
73,Florencio Xavier,31,Geox-TMC Transformers,,73,+50:44,50:44 50:44,+50:44,2011,5
74,Wyss Danilo,25,BMC Racing Team,,74,+50:47,50:47 50:47,+50:47,2011,5
75,Sinkewitz Patrik,30,Farnese Vini-Neri-Sottoli,,75,+50:49,50:49 50:49,+50:49,2011,5
76,Krivtsov Dmytro,25,Lampre - ISD,,76,+50:50,50:50 50:50,+50:50,2011,5
77,Mori Manuele,30,Lampre - ISD,,77,+50:51,50:51 50:51,+50:51,2011,5
78,Pelucchi Matteo,22,Geox-TMC Transformers,,78,+50:52,50:52 50:52,+50:52,2011,5
79,Wallays Jelle,21,Topsport Vlaanderen - Mercator,,79,+51:01,51:01 51:01,+51:01,2011,5
80,Giordani Leonardo,33,Farnese Vini-Neri-Sottoli,,80,+51:15,51:15 51:15,+51:15,2011,5
81,Serry Pieter,22,Topsport Vlaanderen - Mercator,,81,+51:44,51:44 51:44,+51:44,2011,5
82,Lloyd Daniel,30,Team Garmin - Cerv\xe9lo,,82,+53:09,53:09 53:09,+53:09,2011,5
83,Iglinskiy Valentin,26,Pro Team Astana,,83,+53:13,53:13 53:13,+53:13,2011,5
84,Quinziato Manuel,31,BMC Racing Team,,84,+54:05,54:05 54:05,+54:05,2011,5
85,Van Impe Kevin,29,Quickstep Cycling Team,,85,+54:09,54:09 54:09,+54:09,2011,5
86,Van Hecke Preben,28,Topsport Vlaanderen - Mercator,,86,+54:14,54:14 54:14,+54:14,2011,5
87,Guardini Andrea,21,Farnese Vini-Neri-Sottoli,,87,+54:45,54:45 54:45,+54:45,2011,5
88,Debusschere Maxim,24,An Post-M.Donnelly-Grant Thornton-Sean Kelly Team,,88,+54:48,54:48 54:48,+54:48,2011,5
89,van Staeyen Michael,22,Topsport Vlaanderen - Mercator,,89,+54:50,54:50 54:50,+54:50,2011,5
90,Guesdon Fr\xe9d\xe9ric,39,FDJ,,90,+54:55,54:55 54:55,+54:55,2011,5
91,Mcnally Mark,21,An Post-M.Donnelly-Grant Thornton-Sean Kelly Team,,91,+55:21,55:21 55:21,+55:21,2011,5
92,van Hummel Kenny,28,Skil - Shimano,,92,+55:27,55:27 55:27,+55:27,2011,5
93,Ricci Davide,26,Farnese Vini-Neri-Sottoli,,93,+55:30,55:30 55:30,+55:30,2011,5
94,Caccia Diego,29,Farnese Vini-Neri-Sottoli,,94,+56:00,56:00 56:00,+56:00,2011,5
95,Nordhaug Lars Petter,26,Sky Procycling,,95,+56:00,",, 56:00",+56:00,2011,5
96,Malori Adriano,23,Lampre - ISD,,96,+56:01,56:01 56:01,+56:01,2011,5
97,Klemme Dominic,24,Leopard Trek,,97,+57:31,57:31 57:31,+57:31,2011,5
98,Cassidy Mark,25,An Post-M.Donnelly-Grant Thornton-Sean Kelly Team,,98,+57:36,57:36 57:36,+57:36,2011,5
99,Grivko Andrei,27,Pro Team Astana,,99,+57:39,57:39 57:39,+57:39,2011,5
100,Ratto Daniele,21,Geox-TMC Transformers,,100,+58:14,58:14 58:14,+58:14,2011,5
101,Ignatyev Mikhail,25,Team Katusha,,101,+58:37,58:37 58:37,+58:37,2011,5
102,Eeckhout Niko,40,,,102,+58:41,58:41 58:41,+58:41,2011,5
103,Bono Matteo,27,Lampre - ISD,,103,+58:46,58:46 58:46,+58:46,2011,5
104,Ghyselinck Jan,22,HTC - High Road,,104,+59:53,59:53 59:53,+59:53,2011,5
105,Claeys Kevin,22,An Post-M.Donnelly-Grant Thornton-Sean Kelly Team,,105,+59:55,59:55 59:55,+59:55,2011,5
106,Steurs Geert,29,Topsport Vlaanderen - Mercator,,106,+1:00:01,1:00:01 1:00:01,+60:01,2011,5
107,Guti\xe9rrez David,28,Geox-TMC Transformers,,107,+1:00:12,1:00:12 1:00:12,+60:12,2011,5
108,Kozonchuk Dmitry,26,Geox-TMC Transformers,,108,+1:00:17,1:00:17 1:00:17,+60:17,2011,5
109,Kondrut Vitaliy,26,Lampre - ISD,,109,+1:00:29,1:00:29 1:00:29,+60:29,2011,5
110,Geslin Anthony,30,FDJ,,110,+1:00:32,1:00:32 1:00:32,+60:32,2011,5
111,Alberio Tomas,21,Geox-TMC Transformers,,111,+1:00:34,1:00:34 1:00:34,+60:34,2011,5
112,Corti Marco,24,Geox-TMC Transformers,,112,+1:00:37,1:00:37 1:00:37,+60:37,2011,5
113,Posthuma Joost,29,Leopard Trek,,113,+1:00:38,1:00:38 1:00:38,+60:38,2011,5
114,Bennett Sam,20,An Post-M.Donnelly-Grant Thornton-Sean Kelly Team,,114,+1:01:02,1:01:02 1:01:02,+61:02,2011,5
115,Casar Sandy,32,FDJ,,115,+1:01:41,1:01:41 1:01:41,+61:41,2011,5
