Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
30,11,1,+0:00,,,Cavendish Mark,1,Team Dimension Data,3:28:31 3:28:31,+0:00,5.0,,1,2016
28,131,2,+0:08,,,Modolo Sacha,2,Lampre - Merida,0:08 0:08,+0:08,,,1,2016
26,61,3,+0:11,,,Guardini Andrea,3,Astana Pro Team,0:11 0:11,+0:11,,,1,2016
28,1,4,+0:12,,,Kristoff Alexander,4,Team Katusha,0:12 0:12,+0:12,,,1,2016
26,8,5,+0:13,,,Kuznetsov Viacheslav,5,Team Katusha,0:13 0:13,+0:13,,,1,2016
30,31,6,+0:14,,,Van Avermaet Greg,6,BMC Racing Team,0:14 0:14,+0:14,,,1,2016
25,41,7,+0:15,,,Bennett Sam,7,Bora - Argon 18,0:15 0:15,+0:15,,,1,2016
28,12,8,+0:15,,,Boasson Hagen Edvald,8,Team Dimension Data,",, 0:15",+0:15,,,1,2016
36,35,9,+0:15,,,Quinziato Manuel,9,BMC Racing Team,",, 0:15",+0:15,,,1,2016
31,53,10,+0:15,,,Gerard Arnaud,10,Fortuneo - Vital Concept,",, 0:15",+0:15,,,1,2016
21,21,11,+0:15,,,Andersen S\xf8ren Kragh,11,Team Giant - Alpecin,",, 0:15",+0:15,,,1,2016
29,37,12,+0:15,,,Schar Michael,12,BMC Racing Team,",, 0:15",+0:15,,,1,2016
28,43,13,+0:15,,,Dempster Zakkari,13,Bora - Argon 18,",, 0:15",+0:15,,,1,2016
24,2,14,+0:15,,,Bystr\xf8m Sven Erik,14,Team Katusha,",, 0:15",+0:15,,,1,2016
26,47,15,+0:20,,,Selig R\xfcdiger,15,Bora - Argon 18,0:20 0:20,+0:20,,,1,2016
30,6,16,+0:33,,,M\xf8rk\xf8v Michael,16,Team Katusha,0:33 0:33,+0:33,,,1,2016
27,135,17,+1:58,,,Kump Marko,17,Lampre - Merida,1:58 1:58,+1:58,,,1,2016
24,81,18,+1:58,,,Hofland Moreno,18,Team LottoNL-Jumbo,",, 1:58",+1:58,,,1,2016
25,173,19,+1:58,,,Haddi Soufiane,19,Skydive Dubai Pro Cycling Team - Al Ahli Club,",, 1:58",+1:58,,,1,2016
24,14,20,+1:58,,,Debesay Mekseb,20,Team Dimension Data,",, 1:58",+1:58,,,1,2016
26,75,21,+1:58,,,Steels Stijn,21,Topsport Vlaanderen - Baloise,",, 1:58",+1:58,,,1,2016
32,152,22,+1:58,,,Alzate Carlos Eduardo,22,UnitedHealthcare Pro Cycling Team,",, 1:58",+1:58,,,1,2016
28,66,23,+1:58,,,Tleubayev Ruslan,23,Astana Pro Team,",, 1:58",+1:58,,,1,2016
28,78,24,+1:58,,,Vanspeybrouck Pieter,24,Topsport Vlaanderen - Baloise,",, 1:58",+1:58,,,1,2016
27,144,25,+1:58,,,Kurek Adrian,25,CCC Sprandi Polkowice,",, 1:58",+1:58,,,1,2016
26,178,26,+1:58,,,Palini Andrea,26,Skydive Dubai Pro Cycling Team - Al Ahli Club,",, 1:58",+1:58,,,1,2016
29,63,27,+1:58,,,Gruzdev Dmitriy,27,Astana Pro Team,",, 1:58",+1:58,,,1,2016
30,86,28,+1:58,,,van Emden Jos,28,Team LottoNL-Jumbo,",, 1:58",+1:58,,,1,2016
36,167,29,+1:58,,,Reihs Michael,29,St\xf6lting Service Group,",, 1:58",+1:58,,,1,2016
31,118,30,+1:58,,,Turgot S\xe9bastien,30,AG2R La Mondiale,",, 1:58",+1:58,,,1,2016
25,48,31,+1:58,,,Thwaites Scott,31,Bora - Argon 18,",, 1:58",+1:58,,,1,2016
26,95,32,+1:58,,,Mcnally Mark,32,Wanty - Groupe Gobert,",, 1:58",+1:58,,,1,2016
31,91,33,+1:58,,,Marcato Marco,33,Wanty - Groupe Gobert,",, 1:58",+1:58,,,1,2016
29,33,34,+1:58,,,Drucker Jean-Pierre,34,BMC Racing Team,",, 1:58",+1:58,,,1,2016
33,71,35,+1:58,,,Van Hecke Preben,35,Topsport Vlaanderen - Baloise,",, 1:58",+1:58,,,1,2016
29,18,36,+1:58,,,Thomson Jay Robert,36,Team Dimension Data,",, 1:58",+1:58,,,1,2016
36,155,37,+1:58,,,Jones Chris,37,UnitedHealthcare Pro Cycling Team,",, 1:58",+1:58,,,1,2016
21,177,38,+1:58,,,Kamberaj Giuliano,38,Skydive Dubai Pro Cycling Team - Al Ahli Club,",, 1:58",+1:58,,,1,2016
