Rider,year,stages_cycled
Acevedo Janier Alexis,2015,20
Adyeyev Sergiy,2002,2
Adyeyev Sergiy,2003,21
Adyeyev Sergiy,2004,21
Aebersold Niki,2000,22
Aebersold Niki,2004,21
Aerts Mario,2001,21
Aerts Mario,2007,20
Aggiano Elio,1998,16
Aggiano Elio,2000,22
Aggiano Elio,2003,12
Aggiano Elio,2007,20
Agirre Josu,2008,20
Agnoli Valerio,2009,20
Agnoli Valerio,2010,20
Agnoli Valerio,2011,19
Agnoli Valerio,2012,1
Agnoli Valerio,2013,20
Agnoli Valerio,2014,20
Agnoli Valerio,2016,12
Agnoli Valerio,2017,21
Alafaci Eugenio,2014,20
Alafaci Eugenio,2015,20
Alafaci Eugenio,2016,21
Alafaci Eugenio,2017,21
Albanese Vincenzo,2017,16
Albasini Michael,2004,21
Albasini Michael,2010,20
Alberto Contreras Carlos,2001,21
Alberto Contreras Carlos,2002,3
Albizuri Benat,2006,20
Albizuri Benat,2007,6
Aldape Moises,2006,12
Amador Andrey,2010,20
Amador Andrey,2012,1
Amador Andrey,2014,20
Amador Andrey,2015,20
Amador Andrey,2016,21
Amador Andrey,2017,21
Amezqueta Julen,2016,21
Amezqueta Julen,2017,21
Anacona Winner,2014,20
Anacona Winner,2017,21
Andersson Michael,1998,17
Andreetta Simone,2016,21
Andreetta Simone,2017,21
Andriato Rafael,2013,20
Andriotto Dario,1998,18
Andriotto Dario,2001,21
Andriotto Dario,2002,17
Andriotto Dario,2003,21
Andriotto Dario,2004,21
Andriotto Dario,2005,21
Andriotto Dario,2006,20
Andriotto Dario,2007,20
Andriotto Dario,2009,17
Andriotto Dario,2010,20
Andrle Ren\xe9,2001,21
Andrle Ren\xe9,2005,21
Anton Igor,2005,21
Anton Igor,2011,19
Anton Igor,2014,20
Anton Igor,2015,20
Anton Igor,2016,21
Anton Igor,2017,21
Anza Santo,2006,20
Aparicio Vicente,1998,23
Aperribay Lander,2008,15
Apollonio Massimo,1998,7
Apollonio Massimo,1999,22
Apollonio Massimo,2002,21
Apollonio Massimo,2003,18
Appollonio Davide,2011,11
Appollonio Davide,2013,20
Appollonio Davide,2014,10
Appollonio Davide,2015,20
Aramendia Javier,2011,19
Aranaga Andoni,2004,7
Aranaga Andoni,2006,13
Arashiro Yukiya,2010,20
Arashiro Yukiya,2014,20
Arazzi Francesco,1998,17
Arazzi Francesco,1999,22
Ardila Mauricio Alberto,2004,21
Ardila Mauricio Alberto,2005,21
Ardila Mauricio Alberto,2006,20
Ardila Mauricio Alberto,2007,20
Ardila Mauricio Alberto,2008,20
Ardila Mauricio Alberto,2009,20
Ardila Mauricio Alberto,2010,20
Ardila Mauricio Alberto,2011,19
Arekeev Alexander,2007,12
Arm\xe9e Sander,2014,20
Arm\xe9e Sander,2015,20
Armstrong Lance,2009,20
Arndt Nikias,2015,20
Arndt Nikias,2016,21
Arredondo Juli\xe1n David,2014,20
Arrieta Jose Luis,1999,22
Arrieta Jose Luis,2001,21
Arroyo David,2007,20
Arroyo David,2009,20
Arroyo David,2010,20
Arroyo David,2011,19
Aru Fabio,2013,20
Aru Fabio,2014,20
Aru Fabio,2015,20
Arvesen Kurt-Asle,2003,18
Arvesen Kurt-Asle,2007,20
Asmaker Olivier,1999,18
Astarloa Ascasibar Igor,2002,21
Astarloa Ascasibar Igor,2004,21
Atapuma John Darwin,2013,20
Atapuma John Darwin,2015,20
Atapuma John Darwin,2016,21
Atienza Daniel,2005,21
Aug Andrus,2003,18
Aug Andrus,2004,8
Augustyn John Lee,2009,20
Avila Edwin,2013,20
Avila Edwin,2014,8
Axelsson Niklas,1998,23
Axelsson Niklas,1999,22
Axelsson Niklas,2000,8
Azanza Jorge,2011,19
Azanza Jorge,2013,20
Azevedo Jos\xe9 Bento Carvalho,2001,21
B\xe1rta Jan,2012,1
B\xe1rta Jan,2017,21
B\xe4ckstedt Magnus,2003,21
B\xe4ckstedt Magnus,2004,16
B\xe4ckstedt Magnus,2008,8
B\xe9rard Julien,2011,19
B\xe9rard Julien,2012,1
B\xe9rard Julien,2013,8
B\xe9rard Julien,2014,20
B\xe9rard Julien,2015,20
B\xe9rard Julien,2017,21
Baguet Serge,2006,16
Bailetti Paolo,2008,20
Bak Lars Ytting,2003,18
Bak Lars Ytting,2009,20
Bak Lars Ytting,2011,19
Bak Lars Ytting,2012,1
Bak Lars Ytting,2013,20
Bak Lars Ytting,2014,20
Bak Lars Ytting,2015,20
Bak Lars Ytting,2016,21
Bak Lars Ytting,2017,21
Bakelants Jan,2010,20
Bakelants Jan,2011,19
Bakelants Jan,2012,1
Baldato Fabio,1998,17
Baldato Fabio,1999,22
Baldato Fabio,2000,2
Baldato Fabio,2001,21
Baldato Fabio,2003,21
Baldato Fabio,2005,21
Baldato Fabio,2008,20
Baldo Filippo,1999,13
Baldo Filippo,2000,22
Balducci Gabriele,1999,22
Balducci Gabriele,2003,14
Balducci Gabriele,2007,10
Baliani Fortunato,2000,22
Baliani Fortunato,2001,21
Baliani Fortunato,2002,7
Baliani Fortunato,2003,21
Baliani Fortunato,2004,21
Baliani Fortunato,2006,20
Baliani Fortunato,2007,20
Baliani Fortunato,2008,20
Ballan Alessandro,2012,1
