Rank,Rider,Team,Points,stage_nr
1,Thomas Geraint,Team Sky,20,4
2,KÃ¼ng Stefan,BMC Racing Team,17,4
3,Kiryienka Vasil,Team Sky,15,4
4,Martin Tony,Team Katusha - Alpecin,13,4
5,Trentin Matteo,Quick-Step Floors,11,4
6,Froome Christopher,Team Sky,10,4
7,van Emden Jos,Team LottoNL-Jumbo,9,4
8,Kwiatkowski Michal,Team Sky,8,4
9,Kittel Marcel,Quick-Step Floors,7,4
10,Boasson Hagen Edvald,Team Dimension Data,6,4
11,Arndt Nikias,Team Sunweb,5,4
12,Phinney Taylor,Cannondale-Drapac Pro Cycling Team,4,4
13,Grivko Andrei,Astana Pro Team,3,4
14,Impey Daryl,ORICA-Scott,2,4
15,Castroviejo Jonathan,,1,4
1,Boudat Thomas,Direct Energie,20,4
2,Phinney Taylor,Cannondale-Drapac Pro Cycling Team,17,4
3,Pichon Laurent,Fortuneo - Oscaro,15,4
4,Offredo Yoann,Wanty - Groupe Gobert,13,4
5,Kristoff Alexander,Team Katusha - Alpecin,11,4
6,Colbrelli Sonny,Bahrain Merida Pro Cycling Team,10,4
7,Matthews Michael,Team Sunweb,9,4
8,Démare Arnaud,FDJ,8,4
9,Sagan Peter,BORA - hansgrohe,7,4
10,Kittel Marcel,Quick-Step Floors,6,4
11,Greipel André,,5,4
12,Cavendish Mark,Team Dimension Data,4,4
13,Swift Ben,UAE Team Emirates,3,4
14,Zabel Rick,Team Katusha - Alpecin,2,4
15,Teunissen Mike,Team Sunweb,1,4
1,Politt Nils,Team Katusha - Alpecin,20,4
2,Backaert Frederik,Wanty - Groupe Gobert,17,4
3,Sicard Romain,Direct Energie,15,4
4,Hansen Adam,,13,4
5,Hardy Romain,Fortuneo - Oscaro,11,4
6,Brown Nathan,Cannondale-Drapac Pro Cycling Team,10,4
7,Cavendish Mark,Team Dimension Data,9,4
8,Colbrelli Sonny,Bahrain Merida Pro Cycling Team,8,4
9,Swift Ben,UAE Team Emirates,7,4
10,Sagan Peter,BORA - hansgrohe,6,4
11,Greipel André,,5,4
12,Démare Arnaud,FDJ,4,4
13,Kittel Marcel,Quick-Step Floors,3,4
14,Matthews Michael,Team Sunweb,2,4
15,Selig Rüdiger,BORA - hansgrohe,1,4
1,van Keirsbulck Guillaume,Wanty - Groupe Gobert,20,4
