Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
30,31,,,15.0,,Moreau Christophe,1,Festina,,,0,2001
27,24,,,12.0,,Gonzalez De Galdeano Igor,2,O.N.C.E. - Eroski,,,0,2001
27,11,,,8.0,,Ullrich Jan,4,Team Telekom,,,0,2001
25,32,,,6.0,,Brard Florent,5,Festina,,,0,2001
28,151,,,5.0,,Botero Santiago,6,Kelme - Costa Blanca,,,0,2001
27,21,,,4.0,,Beloki Joseba,7,O.N.C.E. - Eroski,,,0,2001
27,107,,,3.0,,O'Grady Stuart,8,Cr\xe9dit Agricole,,,0,2001
26,28,,,2.0,,Sastre Carlos,9,O.N.C.E. - Eroski,,,0,2001
27,158,,,1.0,,Tauler Toni,10,Kelme - Costa Blanca,,,0,2001
31,19,,,35.0,,Zabel Erik,1,Team Telekom,,-,1,2001
28,191,,,30.0,,Vainsteins Romans,2,Domo - Farm Frites,,-,1,2001
31,127,,,30.0,,Kirsipuu Jaan,3,AG2R Pr\xe9voyance,,-,1,2001
23,182,,,26.0,,Casper Jimmy,4,La Fran\xe7aise des Jeux,,-,1,2001
23,104,,,24.0,,Hushovd Thor,5,Cr\xe9dit Agricole,,-,1,2001
27,165,,,20.0,,Nazon Damien,6,Bonjour,,-,1,2001
27,53,,,19.0,,de Jongh Steven,7,Rabobank ProTeam,,-,1,2001
33,204,,,18.0,,Capelle Christophe,8,BigMat - Auber 93,,-,1,2001
32,178,,,18.0,,Svorada Jan,9,Lampre - Daikin,,-,1,2001
27,107,,,17.0,8.0,O'Grady Stuart,10,Cr\xe9dit Agricole,,\u25bc2,1,2001
28,39,,,17.0,,Teutenberg Sven,11,Festina,,-,1,2001
29,76,,,16.0,,Mattan Nico,12,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",,-,1,2001
30,31,,,15.0,1.0,Moreau Christophe,13,Festina,,\u25bc12,1,2001
26,45,,,15.0,,Ivanov Serguei,14,Fassa Bortolo,,-,1,2001
29,64,,,13.0,,Blijlevens Jeroen,15,Lotto - Adecco,,-,1,2001
27,24,,,12.0,2.0,Gonzalez De Galdeano Igor,16,O.N.C.E. - Eroski,,\u25bc14,1,2001
27,11,,,12.0,4.0,Ullrich Jan,17,Team Telekom,,\u25bc13,1,2001
27,111,,,11.0,,Etxebarria David,18,Euskaltel - Euskadi,,-,1,2001
27,66,,,10.0,,Mikhailov Guennady,20,Lotto - Adecco,,-,1,2001
28,146,,,10.0,,Oriol Christophe,21,Jean Delatour,,-,1,2001
34,183,,,10.0,,Durand Jacky,22,La Fran\xe7aise des Jeux,,-,1,2001
27,47,,,9.0,,Petacchi Alessandro,23,Fassa Bortolo,,-,1,2001
27,83,,,8.0,,Bettini Paolo,24,Mapei - Quickstep,,-,1,2001
27,56,,,7.0,,Lotz Marc,25,Rabobank ProTeam,,-,1,2001
25,32,,,6.0,5.0,Brard Florent,26,Festina,,\u25bc21,1,2001
29,208,,,6.0,,Sivakov Alexei,27,BigMat - Auber 93,,-,1,2001
28,151,,,5.0,6.0,Botero Santiago,28,Kelme - Costa Blanca,,\u25bc22,1,2001
29,101,,,5.0,,Julich Bobby,29,Cr\xe9dit Agricole,,-,1,2001
27,21,,,4.0,7.0,Beloki Joseba,30,O.N.C.E. - Eroski,,\u25bc23,1,2001
32,169,,,3.0,,Simon Fran\xe7ois,31,Bonjour,,-,1,2001
26,28,,,2.0,9.0,Sastre Carlos,32,O.N.C.E. - Eroski,,\u25bc23,1,2001
25,125,,,2.0,,Capelle Ludovic,33,AG2R Pr\xe9voyance,,-,1,2001
27,49,,,2.0,,Tosatto Matteo,34,Fassa Bortolo,,-,1,2001
27,158,,,1.0,10.0,Tauler Toni,35,Kelme - Costa Blanca,,\u25bc25,1,2001
28,132,,,1.0,,Blaudzun Michael,36,CSC ProTeam - Tiscali,,-,1,2001
31,127,,,45.0,3.0,Kirsipuu Jaan,1,AG2R Pr\xe9voyance,,\u25b22,2,2001
27,107,,,43.0,10.0,O'Grady Stuart,2,Cr\xe9dit Agricole,,\u25b28,2,2001
31,19,,,40.0,1.0,Zabel Erik,3,Team Telekom,,\u25bc2,2,2001
32,59,,,35.0,,Wauters Marc,4,Rabobank ProTeam,,-,2,2001
