Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
28,118,15.0,,Hushovd Thor,1,Cr\xe9dit Agricole,,0,2006
33,3,,,Hincapie George,2*,Discovery Channel,,0,2006
27,18,,,Zabriskie David,3*,CSC ProTeam,,0,2006
26,44,10.0,,Lang Sebastian,3,Gerolsteiner,,0,2006
26,91,8.0,,Valverde Alejandro,4,Caisse d'Epargne - Illes Balears,,0,2006
32,13,6.0,,O'Grady Stuart,5,CSC ProTeam,,0,2006
26,26,5.0,,Rogers Michael,6,T-Mobile Team,,0,2006
33,9,4.0,,Savoldelli Paolo,7,Discovery Channel,,0,2006
30,71,,,Landis Floyd,9*,Phonak Hearing Systems,,0,2006
25,96,3.0,,Karpets Vladimir,8,Caisse d'Epargne - Illes Balears,,0,2006
28,133,35.0,,Casper Jimmy,1,Cofidis,-,1,2006
28,118,32.0,1,Hushovd Thor,2,Cr\xe9dit Agricole,\u25bc1,1,2006
34,65,30.0,,McEwen Robbie,3,Davitamon - Lotto,-,1,2006
35,181,26.0,,Zabel Erik,4,Milram,-,1,2006
32,13,24.0,5,O'Grady Stuart,5,CSC ProTeam,-,1,2006
25,83,24.0,,Bennati Daniele,6,Lampre-Fondital,-,1,2006
29,168,22.0,,Paolini Luca,7,Liquigas,-,1,2006
31,94,20.0,,G\xe1lvez Isaac,8,Caisse d'Epargne - Illes Balears,-,1,2006
25,153,18.0,,Eisel Bernhard,9,Fran\xe7aise des Jeux,-,1,2006
33,3,,2*,Hincapie George,10*,Discovery Channel,-,1,2006
33,172,16.0,,Beneteau Walter,11,Bouygues Telecom,-,1,2006
30,56,16.0,,Freire Oscar,12,Rabobank ProTeam,-,1,2006
32,48,15.0,,Wrolich Peter,13,Gerolsteiner,-,1,2006
29,125,14.0,,Isasi Inaki,14,Euskaltel - Euskadi,-,1,2006
25,101,13.0,,Boonen Tom,15,Quickstep - Innergetic,-,1,2006
24,149,12.0,,Ventoso Francisco,16,Saunier Duval - Prodir,-,1,2006
29,73,11.0,,Hunter Robert,17,Phonak Hearing Systems,-,1,2006
24,159,10.0,,Vaugrenard Benoit,18,Fran\xe7aise des Jeux,-,1,2006
27,18,,3*,Zabriskie David,19*,CSC ProTeam,-,1,2006
38,173,10.0,,Brochard Laurent,19,Bouygues Telecom,-,1,2006
26,177,10.0,,Pineau J\xe9rome,20,Bouygues Telecom,-,1,2006
26,44,9.0,3,Lang Sebastian,21,Gerolsteiner,\u25bc18,1,2006
23,154,8.0,,Gilbert Philippe,22,Fran\xe7aise des Jeux,-,1,2006
31,152,8.0,,Da Cruz Carlos,23,Fran\xe7aise des Jeux,-,1,2006
26,91,7.0,4,Valverde Alejandro,24,Caisse d'Epargne - Illes Balears,\u25bc20,1,2006
32,66,6.0,,Rodriguez Fred,25,Davitamon - Lotto,-,1,2006
31,163,6.0,,B\xe4ckstedt Magnus,26,Liquigas,-,1,2006
26,26,5.0,6,Rogers Michael,27,T-Mobile Team,\u25bc21,1,2006
28,4,4.0,,Martinez Egoi,28,Discovery Channel,-,1,2006
32,117,4.0,,Hinault S\xe9bastien,29,Cr\xe9dit Agricole,-,1,2006
33,9,4.0,7,Savoldelli Paolo,30,Discovery Channel,\u25bc23,1,2006
30,71,,9*,Landis Floyd,32*,Phonak Hearing Systems,-,1,2006
24,179,3.0,,Sprick Matthieu,31,Bouygues Telecom,-,1,2006
33,123,2.0,,Etxebarria Unai,32,Euskaltel - Euskadi,-,1,2006
28,196,2.0,,Laurent Christophe,33,Agritubel,-,1,2006
25,96,2.0,8,Karpets Vladimir,34,Caisse d'Epargne - Illes Balears,\u25bc26,1,2006
29,146,2.0,,Millar David,35,Saunier Duval - Prodir,-,1,2006
34,65,65.0,3,McEwen Robbie,1,Davitamon - Lotto,\u25b22,2,2006
28,118,62.0,2,Hushovd Thor,2,Cr\xe9dit Agricole,-,2,2006
25,101,49.0,15,Boonen Tom,3,Quickstep - Innergetic,\u25b212,2,2006
25,83,46.0,6,Bennati Daniele,4,Lampre-Fondital,\u25b22,2,2006
32,13,43.0,5,O'Grady Stuart,5,CSC ProTeam,-,2,2006
35,181,43.0,4,Zabel Erik,6,Milram,\u25bc2,2,2006
29,168,42.0,7,Paolini Luca,7,Liquigas,-,2,2006
30,56,40.0,12,Freire Oscar,8,Rabobank ProTeam,\u25b24,2,2006
25,153,36.0,9,Eisel Bernhard,9,Fran\xe7aise des Jeux,-,2,2006
28,133,35.0,1,Casper Jimmy,10,Cofidis,\u25bc9,2,2006
32,48,31.0,13,Wrolich Peter,11,Gerolsteiner,\u25b22,2,2006
29,125,28.0,14,Isasi Inaki,12,Euskaltel - Euskadi,\u25b22,2,2006
24,149,24.0,16,Ventoso Francisco,13,Saunier Duval - Prodir,\u25b23,2,2006
33,3,,10*,Hincapie George,14*,Discovery Channel,-,2,2006
31,94,20.0,8,G\xe1lvez Isaac,15,Caisse d'Epargne - Illes Balears,\u25bc7,2,2006
23,154,19.0,22,Gilbert Philippe,16,Fran\xe7aise des Jeux,\u25b26,2,2006
25,143,18.0,,De La Fuente David,17,Saunier Duval - Prodir,-,2,2006
33,172,16.0,11,Beneteau Walter,18,Bouygues Telecom,\u25bc7,2,2006
33,136,15.0,,Moreni Cristian,19,Cofidis,-,2,2006
26,26,14.0,27,Rogers Michael,20,T-Mobile Team,\u25b27,2,2006
26,91,13.0,24,Valverde Alejandro,21,Caisse d'Epargne - Illes Balears,\u25b23,2,2006
25,162,13.0,,Albasini Michael,22,Liquigas,-,2,2006
29,73,11.0,17,Hunter Robert,23,Phonak Hearing Systems,\u25bc6,2,2006
24,159,10.0,18,Vaugrenard Benoit,24,Fran\xe7aise des Jeux,\u25bc6,2,2006
27,18,,19*,Zabriskie David,25*,CSC ProTeam,-,2,2006
38,173,10.0,19,Brochard Laurent,25,Bouygues Telecom,\u25bc6,2,2006
31,21,10.0,,Kl\xf6den Andr\xe9as,26,T-Mobile Team,-,2,2006
26,177,9.0,20,Pineau J\xe9rome,27,Bouygues Telecom,\u25bc7,2,2006
26,44,9.0,21,Lang Sebastian,28,Gerolsteiner,\u25bc7,2,2006
29,61,8.0,,Evans Cadel,29,Davitamon - Lotto,-,2,2006
24,124,8.0,,Hernandez Gutierrez Aitor,30,Euskaltel - Euskadi,-,2,2006
31,152,8.0,23,Da Cruz Carlos,31,Fran\xe7aise des Jeux,\u25bc8,2,2006
26,7,7.0,,Popovych Yaroslav,32,Discovery Channel,-,2,2006
32,66,6.0,25,Rodriguez Fred,33,Davitamon - Lotto,\u25bc8,2,2006
31,163,6.0,26,B\xe4ckstedt Magnus,34,Liquigas,\u25bc8,2,2006
29,146,5.0,35,Millar David,35,Saunier Duval - Prodir,-,2,2006
32,25,4.0,,Mazzoleni Eddy,36,T-Mobile Team,-,2,2006
28,4,4.0,28,Martinez Egoi,37,Discovery Channel,\u25bc9,2,2006
32,117,4.0,29,Hinault S\xe9bastien,38,Cr\xe9dit Agricole,\u25bc9,2,2006
33,9,4.0,30,Savoldelli Paolo,39,Discovery Channel,\u25bc9,2,2006
30,71,,32*,Landis Floyd,41*,Phonak Hearing Systems,-,2,2006
24,179,3.0,31,Sprick Matthieu,40,Bouygues Telecom,\u25bc9,2,2006
33,123,2.0,32,Etxebarria Unai,41,Euskaltel - Euskadi,\u25bc9,2,2006
31,142,2.0,,Ca\xf1ada David,42,Saunier Duval - Prodir,-,2,2006
28,196,2.0,33,Laurent Christophe,43,Agritubel,\u25bc10,2,2006
25,96,2.0,34,Karpets Vladimir,44,Caisse d'Epargne - Illes Balears,\u25bc10,2,2006
27,134,2.0,,Chavanel Sylvain,45,Cofidis,-,2,2006
25,101,67.0,3,Boonen Tom,1,Quickstep - Innergetic,\u25b22,3,2006
25,83,66.0,4,Bennati Daniele,2,Lampre-Fondital,\u25b22,3,2006
34,65,65.0,1,McEwen Robbie,3,Davitamon - Lotto,\u25bc2,3,2006
28,118,62.0,2,Hushovd Thor,4,Cr\xe9dit Agricole,\u25bc2,3,2006
35,181,59.0,6,Zabel Erik,5,Milram,\u25b21,3,2006
29,168,57.0,7,Paolini Luca,6,Liquigas,\u25b21,3,2006
30,56,54.0,8,Freire Oscar,7,Rabobank ProTeam,\u25b21,3,2006
32,13,43.0,5,O'Grady Stuart,8,CSC ProTeam,\u25bc3,3,2006
26,26,36.0,20,Rogers Michael,9,T-Mobile Team,\u25b211,3,2006
25,153,36.0,9,Eisel Bernhard,10,Fran\xe7aise des Jeux,\u25bc1,3,2006
28,133,35.0,10,Casper Jimmy,11,Cofidis,\u25bc1,3,2006
32,48,31.0,11,Wrolich Peter,12,Gerolsteiner,\u25bc1,3,2006
33,3,,14*,Hincapie George,13*,Discovery Channel,-,3,2006
29,125,28.0,12,Isasi Inaki,14,Euskaltel - Euskadi,\u25bc2,3,2006
27,24,25.0,,Kessler Matthias,15,T-Mobile Team,-,3,2006
24,149,24.0,13,Ventoso Francisco,16,Saunier Duval - Prodir,\u25bc3,3,2006
31,94,20.0,15,G\xe1lvez Isaac,17,Caisse d'Epargne - Illes Balears,\u25bc2,3,2006
23,154,19.0,16,Gilbert Philippe,18,Fran\xe7aise des Jeux,\u25bc2,3,2006
25,143,18.0,17,De La Fuente David,19,Saunier Duval - Prodir,\u25bc2,3,2006
32,25,17.0,36,Mazzoleni Eddy,20,T-Mobile Team,\u25b216,3,2006
33,172,16.0,18,Beneteau Walter,21,Bouygues Telecom,\u25bc3,3,2006
