Age,BIB,Pnt,Prev,Rider,Rnk,Team,UCI,\u25bc\u25b2,stage,year
31,9,20,,Thomas Geraint,1,Team Sky,,,1,2017
23,44,17,,K\xfcng Stefan,2,BMC Racing Team,,,1,2017
36,3,15,,Kiryienka Vasil,3,Team Sky,,,1,2017
32,121,13,,Martin Tony,4,Team Katusha - Alpecin,,,1,2017
27,108,11,,Trentin Matteo,5,Quick-Step Floors,,,1,2017
32,1,10,,Froome Christopher,6,Team Sky,,,1,2017
32,168,9,,van Emden Jos,7,Team LottoNL-Jumbo,,,1,2017
27,5,8,,Kwiatkowski Michal,8,Team Sky,,,1,2017
29,101,7,,Kittel Marcel,9,Quick-Step Floors,,,1,2017
30,92,6,,Boasson Hagen Edvald,10,Team Dimension Data,,,1,2017
25,142,5,,Arndt Nikias,11,Team Sunweb,,,1,2017
27,186,4,,Phinney Taylor,12,Cannondale-Drapac Pro Cycling Team,,,1,2017
33,54,3,,Grivko Andrei,13,Astana Pro Team,,,1,2017
32,86,2,,Impey Daryl,14,ORICA-Scott,,,1,2017
30,25,1,,Castroviejo Jonathan,15,Movistar Team,,,1,2017
29,101,63,9.0,Kittel Marcel,1,Quick-Step Floors,,\u25b28,2,2017
25,71,38,,D\xe9mare Arnaud,2,FDJ,,-,2,2017
34,131,25,,Greipel Andr\xe9,3,Lotto Soudal,,-,2,2017
27,197,24,,Colbrelli Sonny,4,Bahrain Merida Pro Cycling Team,,-,2,2017
32,91,22,,Cavendish Mark,5,Team Dimension Data,,-,2,2017
27,186,21,12.0,Phinney Taylor,6,Cannondale-Drapac Pro Cycling Team,,\u25b26,2,2017
31,9,20,1.0,Thomas Geraint,7,Team Sky,,\u25bc6,2,2017
23,172,20,,Boudat Thomas,8,Direct Energie,,-,2,2017
23,44,17,2.0,K\xfcng Stefan,9,BMC Racing Team,,\u25bc7,2,2017
26,141,17,,Matthews Michael,10,Team Sunweb,,-,2,2017
24,163,16,,Groenewegen Dylan,11,Team LottoNL-Jumbo,,-,2,2017
36,3,15,3.0,Kiryienka Vasil,12,Team Sky,,\u25bc9,2,2017
29,68,15,,Swift Ben,13,UAE Team Emirates,,-,2,2017
30,217,15,,Pichon Laurent,14,Fortuneo - Oscaro,,-,2,2017
27,111,14,,Sagan Peter,15,BORA - hansgrohe,,-,2,2017
29,125,13,,Kristoff Alexander,16,Team Katusha - Alpecin,,-,2,2017
30,205,13,,Offredo Yoann,17,Wanty - Groupe Gobert,,-,2,2017
32,121,13,4.0,Martin Tony,18,Team Katusha - Alpecin,,\u25bc14,2,2017
27,108,11,5.0,Trentin Matteo,19,Quick-Step Floors,,\u25bc14,2,2017
32,1,10,6.0,Froome Christopher,20,Team Sky,,\u25bc14,2,2017
26,151,10,,Bouhanni Nacer,21,"Cofidis, Solutions Cr\xe9dits",,-,2,2017
32,168,9,7.0,van Emden Jos,22,Team LottoNL-Jumbo,,\u25bc15,2,2017
