Rnk,Rider,Age,Team,Pnt,year,stage
1,Vinokourov Alexandre,33,Astana,70,2007,7
2,Moreau Christophe,36,AG2R Pr\xe9voyance,67,2007,7
3,Evans Cadel,30,Predictor - Lotto,49,2007,7
4,Kashechkin Andrey,27,Astana,48,2007,7
5,Haussler Heinrich,23,Gerolsteiner,43,2007,7
6,Leipheimer Levi,33,Discovery Channel,38,2007,7
7,Menchov Denis,29,Rabobank ProTeam,35,2007,7
8,Zabriskie David,28,CSC ProTeam,34,2007,7
9,Duque Leonardo,27,Cofidis,33,2007,7
10,Botcharov Alexandre,32,Cr\xe9dit Agricole,28,2007,7
11,Redondo Jose Antonio,22,Astana,28,2007,7
12,Martinez Egoi,29,Discovery Channel,26,2007,7
13,Iglinskiy Maxim,26,Astana,25,2007,7
14,Colom Antonio,29,Astana,25,2007,7
15,Wiggins Bradley,27,Cofidis,25,2007,7
16,Clement Stef,24,Bouygues Telecom,24,2007,7
17,Hushovd Thor,29,Cr\xe9dit Agricole,23,2007,7
18,Beltran Manuel,36,Liquigas,22,2007,7
19,Pereiro Oscar,29,Caisse d'Epargne,20,2007,7
20,Contador Alberto,24,Discovery Channel,17,2007,7
21,Valjavec Tadej,30,Lampre-Fondital,16,2007,7
22,Fedrigo Pierrick,28,Bouygues Telecom,16,2007,7
23,Anton Igor,24,Euskaltel - Euskadi,16,2007,7
24,Chavanel Sylvain,27,Cofidis,14,2007,7
25,Piepoli Leonardo,35,Saunier Duval,14,2007,7
26,Gilbert Philippe,24,Fran\xe7aise des Jeux,14,2007,7
27,Di Gr\xe9gorio R\xe9my,21,Fran\xe7aise des Jeux,13,2007,7
28,Mugerli Matej,26,Liquigas,13,2007,7
29,Chavanel S\xe9bastien,24,Fran\xe7aise des Jeux,13,2007,7
30,Kuchynski Aliaksandr,27,Liquigas,12,2007,7
31,Millar David,30,Saunier Duval,11,2007,7
32,Greipel Andr\xe9,24,T-Mobile Team,11,2007,7
33,Astarloza Mikel,27,Euskaltel - Euskadi,10,2007,7
34,Zubeldia Haimar,30,Euskaltel - Euskadi,10,2007,7
35,Van Hecke Preben,24,Predictor - Lotto,10,2007,7
36,Geslin Anthony,27,Bouygues Telecom,10,2007,7
37,Charteau Anthony,28,Cr\xe9dit Agricole,9,2007,7
38,Perez Ruben,25,Euskaltel - Euskadi,9,2007,7
39,Siedler Sebastian,29,Milram,9,2007,7
40,Fofonov Dimitri,30,Cr\xe9dit Agricole,8,2007,7
41,Nuyens Nick,27,Cofidis,8,2007,7
42,Quinziato Manuel,27,Liquigas,7,2007,7
43,Wrolich Peter,33,Gerolsteiner,7,2007,7
44,Joly S\xe9bastien,27,Fran\xe7aise des Jeux,6,2007,7
45,Sieberg Marcel,25,Milram,6,2007,7
46,Paulinho S\xe9rgio,27,Discovery Channel,5,2007,7
47,Gustov Volodymyr,30,CSC ProTeam,4,2007,7
48,Kohl Bernhard,25,Gerolsteiner,4,2007,7
49,Voeckler Thomas,27,Bouygues Telecom,4,2007,7
50,Garcia Jose Vicente,34,Caisse d'Epargne,4,2007,7
51,Diudia Volodymyr,24,,4,2007,7
52,Verbrugghe Rik,32,Cofidis,3,2007,7
53,Weening Pieter,26,Rabobank ProTeam,2,2007,7
54,Fothen Markus,25,Gerolsteiner,2,2007,7
55,Cama\xf1o Iker,28,Saunier Duval,2,2007,7
56,Franzoi Enrico,24,Lampre-Fondital,2,2007,7
57,Casar Sandy,28,Fran\xe7aise des Jeux,1,2007,7
