Rnk,Rider,Age,Team,year,stage
1,Evans Cadel,35,BMC Racing Team,2012,7
2,Moreno Daniel,30,Team Katusha,2012,7
3,Gallopin Tony,24,RadioShack - Nissan,2012,7
4,Wiggins Bradley,32,Sky Procycling,2012,7
5,Boasson Hagen Edvald,25,Sky Procycling,2012,7
6,Ciolek Gerald,25,Omega Pharma - Quick-Step,2012,7
7,Simon Julien,26,Saur - Sojasun,2012,7
8,Bozic Borut,31,Astana Pro Team,2012,7
9,Sanchez Luis Leon,28,Rabobank Cycling Team,2012,7
10,Van den Broeck Jurgen,29,Lotto Belisol Team,2012,7
11,Nocentini Rinaldo,34,AG2R La Mondiale,2012,7
12,Martin Tony,27,Omega Pharma - Quick-Step,2012,7
13,Kashechkin Andrey,32,Astana Pro Team,2012,7
14,Coppel J\xe9rome,25,Saur - Sojasun,2012,7
15,Grivko Andrei,28,Astana Pro Team,2012,7
16,Kluge Roger,26,Argos - Shimano,2012,7
17,Rogers Michael,32,Sky Procycling,2012,7
18,Ratto Daniele,22,Liquigas - Cannondale,2012,7
19,Froome Christopher,27,Sky Procycling,2012,7
20,Fischer Murilo Antonio,32,Team Garmin - Barracuda,2012,7
21,Quintana Nairo,22,Movistar Team,2012,7
22,Vichot Arthur,23,FDJ - BigMat,2012,7
23,Cimolai Davide,22,Lampre - ISD,2012,7
24,Brajkovi\u010d Janez,28,Astana Pro Team,2012,7
25,Millar David,35,Team Garmin - Barracuda,2012,7
26,Matthews Michael,21,Rabobank Cycling Team,2012,7
27,Barredo Carlos,31,Rabobank Cycling Team,2012,7
28,Hinault S\xe9bastien,38,AG2R La Mondiale,2012,7
29,Weening Pieter,31,Orica GreenEDGE,2012,7
30,Martens Paul,28,Rabobank Cycling Team,2012,7
31,Cantwell Jonathan,30,Team Saxo Bank - Tinkoff Bank,2012,7
32,Porte Richie,27,Sky Procycling,2012,7
33,Nerz Dominik,22,Liquigas - Cannondale,2012,7
34,Fofonov Dimitri,35,Astana Pro Team,2012,7
35,Chavanel Sylvain,32,Omega Pharma - Quick-Step,2012,7
36,Lemoine Cyril,29,Saur - Sojasun,2012,7
37,Kelderman Wilco,21,Rabobank Cycling Team,2012,7
38,Nibali Vincenzo,27,Liquigas - Cannondale,2012,7
39,Di Gr\xe9gorio R\xe9my,26,Cofidis Le Credit en Ligne,2012,7
40,Duque Leonardo,32,Cofidis Le Credit en Ligne,2012,7
41,Dehaes Kenny,27,Lotto Belisol Team,2012,7
42,Gautier Cyril,24,Team Europcar,2012,7
43,Sarmiento Jose Cayetano,25,Liquigas - Cannondale,2012,7
44,Losada Alberto,30,Team Katusha,2012,7
45,Vanendert Jelle,27,Lotto Belisol Team,2012,7
46,Gerrans Simon,32,Orica GreenEDGE,2012,7
47,Kiryienka Vasil,30,Movistar Team,2012,7
48,Navarro Daniel,28,Team Saxo Bank - Tinkoff Bank,2012,7
49,Mederel Maxime,31,Saur - Sojasun,2012,7
50,Devenyns Dries,28,Omega Pharma - Quick-Step,2012,7
51,Carrara Matteo,33,Vacansoleil - DCM,2012,7
52,Bouet Maxime,25,AG2R La Mondiale,2012,7
53,Martinez Egoi,34,Euskaltel - Euskadi,2012,7
54,Peraud Jean-Christophe,35,AG2R La Mondiale,2012,7
55,Zubeldia Haimar,35,RadioShack - Nissan,2012,7
56,Pires Bruno,31,Team Saxo Bank - Tinkoff Bank,2012,7
57,Amador Andrey,25,Movistar Team,2012,7
58,Landa Mikel,22,Euskaltel - Euskadi,2012,7
