Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
29.0,1.0,15,,Froome Christopher,1,Team Sky,,1,2014
31.0,21.0,12,,Contador Alberto,2,Tinkoff - Saxo,,1,2014
21.0,111.0,10,,Jungels Bob,3,Trek Factory Racing,,1,2014
25.0,168.0,8,,Talansky Andrew,4,Garmin Sharp,,1,2014
23.0,191.0,6,,Kelderman Wilco,5,Belkin-Pro Cycling Team,,1,2014
28.0,193.0,5,,Boom Lars,6,Belkin-Pro Cycling Team,,1,2014
32.0,2.0,4,,Kiryienka Vasil,7,Team Sky,,1,2014
29.0,11.0,3,,Nibali Vincenzo,8,Astana Pro Team,,1,2014
25.0,121.0,2,,van Garderen Tejay,9,BMC Racing Team,,1,2014
24.0,92.0,1,,Br\xe4ndle Matthias,10,IAM Cycling,,1,2014
29.0,1.0,30,1.0,Froome Christopher,1,Team Sky,-,2,2014
31.0,21.0,24,2.0,Contador Alberto,2,Tinkoff - Saxo,-,2,2014
23.0,191.0,16,5.0,Kelderman Wilco,3,Belkin-Pro Cycling Team,\u25b22,2,2014
25.0,168.0,14,4.0,Talansky Andrew,4,Garmin Sharp,-,2,2014
21.0,111.0,10,3.0,Jungels Bob,5,Trek Factory Racing,\u25bc2,2,2014
31.0,81.0,8,,Van den Broeck Jurgen,6,Lotto Belisol,-,2,2014
29.0,11.0,8,8.0,Nibali Vincenzo,7,Astana Pro Team,\u25b21,2,2014
24.0,92.0,6,10.0,Br\xe4ndle Matthias,8,IAM Cycling,\u25b22,2,2014
28.0,193.0,5,6.0,Boom Lars,9,Belkin-Pro Cycling Team,\u25bc3,2,2014
31.0,51.0,4,,Anton Igor,10,Movistar Team,-,2,2014
32.0,2.0,4,7.0,Kiryienka Vasil,11,Team Sky,\u25bc4,2,2014
21.0,48.0,3,,Yates Adam,12,Orica GreenEDGE,-,2,2014
25.0,171.0,3,,Damuseau Thomas,13,Team Giant - Shimano,-,2,2014
25.0,97.0,2,,Reichenbach Sebastien,14,IAM Cycling,-,2,2014
25.0,121.0,2,9.0,van Garderen Tejay,15,BMC Racing Team,\u25bc6,2,2014
30.0,31.0,1,,Navarro Daniel,16,"Cofidis, Solutions Cr\xe9dits",-,2,2014
28.0,105.0,1,,De Marchi Alessandro,17,Cannondale,-,2,2014
29.0,1.0,30,1.0,Froome Christopher,1,Team Sky,-,3,2014
31.0,21.0,24,2.0,Contador Alberto,2,Tinkoff - Saxo,-,3,2014
23.0,191.0,16,3.0,Kelderman Wilco,3,Belkin-Pro Cycling Team,-,3,2014
22.0,172.0,15,,Arndt Nikias,4,Team Giant - Shimano,-,3,2014
25.0,168.0,14,4.0,Talansky Andrew,5,Garmin Sharp,\u25bc1,3,2014
27.0,82.0,12,,Boeckmans Kris,6,Lotto Belisol,-,3,2014
21.0,111.0,10,5.0,Jungels Bob,7,Trek Factory Racing,\u25bc2,3,2014
25.0,177.0,10,,Janse van Rensburg Reinardt,8,Team Giant - Shimano,-,3,2014
31.0,81.0,8,6.0,Van den Broeck Jurgen,9,Lotto Belisol,\u25bc3,3,2014
29.0,11.0,8,7.0,Nibali Vincenzo,10,Astana Pro Team,\u25bc3,3,2014
26.0,76.0,8,,Martinez Yannick,11,Team Europcar,-,3,2014
24.0,92.0,6,8.0,Br\xe4ndle Matthias,12,IAM Cycling,\u25bc4,3,2014
24.0,183.0,6,,Cimolai Davide,13,Lampre - Merida,-,3,2014
26.0,203.0,5,,Benedetti Cesare,14,Team NetApp \u2013 Endura,-,3,2014
25.0,45.0,5,,Keukeleire Jens,15,Orica GreenEDGE,-,3,2014
28.0,193.0,5,9.0,Boom Lars,16,Belkin-Pro Cycling Team,\u25bc7,3,2014
31.0,51.0,4,10.0,Anton Igor,17,Movistar Team,\u25bc7,3,2014
24.0,136.0,4,,Tsatevich Alexey,18,Team Katusha,-,3,2014
32.0,2.0,4,11.0,Kiryienka Vasil,19,Team Sky,\u25bc8,3,2014
21.0,48.0,3,12.0,Yates Adam,20,Orica GreenEDGE,\u25bc8,3,2014
25.0,171.0,3,13.0,Damuseau Thomas,21,Team Giant - Shimano,\u25bc8,3,2014
22.0,155.0,3,,D\xe9mare Arnaud,22,FDJ.fr,-,3,2014
23.0,72.0,3,,Berhane Natnael,23,Team Europcar,-,3,2014
25.0,97.0,2,14.0,Reichenbach Sebastien,24,IAM Cycling,\u25bc10,3,2014
25.0,121.0,2,15.0,van Garderen Tejay,25,BMC Racing Team,\u25bc10,3,2014
28.0,146.0,2,,Meersman Gianni,26,Omega Pharma - Quick-Step,-,3,2014
30.0,31.0,1,16.0,Navarro Daniel,27,"Cofidis, Solutions Cr\xe9dits",\u25bc11,3,2014
27.0,67.0,1,,Kadri Blel,28,AG2R La Mondiale,-,3,2014
30.0,106.0,1,,Marcato Marco,29,Cannondale,-,3,2014
28.0,105.0,1,17.0,De Marchi Alessandro,30,Cannondale,\u25bc13,3,2014
29.0,1.0,30,1.0,Froome Christopher,1,Team Sky,-,4,2014
