Rnk,BIB,Rider,Age,Team,year,stage
1,85,Petacchi Alessandro,30,Fassa Bortolo,2004,20
2,3,Cunego Damiano,22,Saeco,2004,20
3,114,Pollack Olaf,30,Gerolsteiner,2004,20
4,158,Usov Alexandre,26,Phonak Hearing Systems,2004,20
5,189,Zanotti Marco,30,Vini Caldirola - Nobili Rubinetterie,2004,20
6,16,Rodriguez Fred,30,Acqua & Sapone - Caffe Mokambo,2004,20
7,95,McGee Bradley,28,Fdjeux.com,2004,20
8,1,Simoni Gilberto,32,Saeco,2004,20
9,181,Garzelli Stefano,30,Vini Caldirola - Nobili Rubinetterie,2004,20
10,61,Honchar Serhiy,33,De Nardi,2004,20
11,135,Popovych Yaroslav,24,Landbouwkrediet - Colnago,2004,20
12,39,Borrajo Alejandro Alberto,24,Ceramica Panaria - Margres,2004,20
13,5,Mazzoleni Eddy,30,Saeco,2004,20
14,15,D' Amore Crescenzo,25,Acqua & Sapone - Caffe Mokambo,2004,20
15,78,Nauduzs Andris,28,Domina Vacanze,2004,20
16,63,Cadamuro Simone,27,De Nardi,2004,20
17,28,Pellizotti Franco,26,Alessio - Bianchi,2004,20
18,82,Cioni Dario,29,Fassa Bortolo,2004,20
19,182,Tonkov Pavel,35,Vini Caldirola - Nobili Rubinetterie,2004,20
20,22,Furlan Angelo,26,Alessio - Bianchi,2004,20
21,55,Illiano Raffaele,27,Colombia - Selle Italia,2004,20
22,26,Moreni Cristian,31,Alessio - Bianchi,2004,20
23,13,Nocentini Rinaldo,26,Acqua & Sapone - Caffe Mokambo,2004,20
24,37,Sella Emanuele,23,Ceramica Panaria - Margres,2004,20
25,112,F\xf6rster Robert,26,Gerolsteiner,2004,20
26,23,Bertolini Alessandro,32,Alessio - Bianchi,2004,20
27,52,Perez Marlon Alirio,28,Colombia - Selle Italia,2004,20
28,145,Vierhouten Aart,34,Lotto - Domo,2004,20
29,121,Garate Juan Manuel,28,Lampre,2004,20
30,89,Velo Marco,30,Fassa Bortolo,2004,20
31,155,Moos Alexandre,31,Phonak Hearing Systems,2004,20
32,122,Belli Wladimir,33,Lampre,2004,20
33,106,Di Grande Giuseppe,30,Formaggi Pinzolo Fiav,2004,20
34,127,Piccoli Mariano,33,Lampre,2004,20
35,32,Perez Cuapio Julio Alberto,26,Ceramica Panaria - Margres,2004,20
36,11,Marzoli Ruggero,28,Acqua & Sapone - Caffe Mokambo,2004,20
37,27,Noe Andrea,35,Alessio - Bianchi,2004,20
38,161,Bertogliati Rubens,25,Saunier Duval - Prodir,2004,20
39,159,Valjavec Tadej,27,Phonak Hearing Systems,2004,20
40,14,Hamburger Bo,34,Acqua & Sapone - Caffe Mokambo,2004,20
41,94,Gilbert Philippe,21,Fdjeux.com,2004,20
42,68,Vanotti Alessandro,23,De Nardi,2004,20
43,128,Righi Daniele,28,Lampre,2004,20
44,81,Bruseghin Marzio,29,Fassa Bortolo,2004,20
45,123,Astarloa Ascasibar Igor,28,Lampre,2004,20
46,46,Rudenko Maksyim,24,Chocolade Jacques - Wincor Nixdorf,2004,20
47,58,van Hout Russell,27,Colombia - Selle Italia,2004,20
48,165,Lobato Ruben,25,Saunier Duval - Prodir,2004,20
49,188,Zampieri Steve,26,Vini Caldirola - Nobili Rubinetterie,2004,20
50,107,Muraglia Giuseppe,24,Formaggi Pinzolo Fiav,2004,20
51,174,Loda Nicola,32,Tenax,2004,20
52,142,Brandt Christophe,27,Lotto - Domo,2004,20
53,108,Laverde Luis Felipe,24,Formaggi Pinzolo Fiav,2004,20
54,25,Miholjevic Vladimir,30,Alessio - Bianchi,2004,20
55,175,Mazzoleni Renzo,27,Tenax,2004,20
56,167,Mori Manuele,23,Saunier Duval - Prodir,2004,20
57,92,Derepas David,26,Fdjeux.com,2004,20
58,129,Javier Vila Francisco,28,Lampre,2004,20
59,24,Ljungqvist Marcus,29,Alessio - Bianchi,2004,20
60,64,Gasparre Graziano,25,De Nardi,2004,20
61,151,Albasini Michael,23,Phonak Hearing Systems,2004,20
62,66,Gobbi Michele,26,De Nardi,2004,20
63,152,Aebersold Niki,31,Phonak Hearing Systems,2004,20
64,19,Trampusch Gerhard,25,Acqua & Sapone - Caffe Mokambo,2004,20
65,118,Wegmann Fabian,23,Gerolsteiner,2004,20
66,38,Baliani Fortunato,29,Ceramica Panaria - Margres,2004,20
67,164,Gomis Lopez Juan,26,Saunier Duval - Prodir,2004,20
68,79,Scirea Mario,39,Domina Vacanze,2004,20
69,143,Gardeyn Gorik,24,Lotto - Domo,2004,20
70,57,Schnyder Philippe,26,Colombia - Selle Italia,2004,20
71,148,Steegmans Gert,23,Lotto - Domo,2004,20
72,179,Rogina Radoslav,25,Tenax,2004,20
73,117,Strauss Marcel,27,Gerolsteiner,2004,20
74,184,Gerosa Mauro,29,Vini Caldirola - Nobili Rubinetterie,2004,20
75,125,Hauptman Andrej,29,Lampre,2004,20
76,138,Verstrepen Johan,36,Landbouwkrediet - Colnago,2004,20
77,172,Ginestri Giancarlo,25,Tenax,2004,20
78,36,Mazzanti Luca,30,Ceramica Panaria - Margres,2004,20
79*,2,Bertagnolli Leonardo,26,Saeco,2004,20
79,17,Pospyeyev Kyrylo,28,Acqua & Sapone - Caffe Mokambo,2004,20
80,44,Kostyuk Denys,22,Chocolade Jacques - Wincor Nixdorf,2004,20
81,7,Stangelj Gorazd,31,Saeco,2004,20
82,96,Mourey Francis,23,Fdjeux.com,2004,20
