Rnk,BIB,Rider,Age,Team,Pnt,year,stage
1,1,Evans Cadel,33,BMC Racing Team,150,2010,21
2,41,Vinokourov Alexandre,36,Astana,128,2010,21
3,132,Nibali Vincenzo,25,Liquigas - Doimo,116,2010,21
4,31,Scarponi Michele,30,Androni Giocattoli - Serramenti PVC Diquigiovanni,110,2010,21
5,131,Basso Ivan,32,Liquigas - Doimo,105,2010,21
6,182,Pinotti Marco,34,Team HTC - Columbia,74,2010,21
7,154,Pineau J\xe9rome,30,Quickstep - Innergetic,69,2010,21
8,191,Pozzato Filippo,28,Katyusha,67,2010,21
9,121,Cunego Damiano,28,Lampre - Farnese Vini,64,2010,21
10,24,Gadret John,31,AG2R La Mondiale,64,2010,21
11,177,Henderson Gregory,33,Sky Procycling,59,2010,21
12,171,Wiggins Bradley,30,Sky Procycling,53,2010,21
13,63,Arroyo David,30,Caisse d'Epargne,50,2010,21
14,198,Petrov Evgeni,32,Katyusha,48,2010,21
15,137,Sabatini Fabio,25,Liquigas - Doimo,46,2010,21
16,166,Stamsnijder Tom,25,Rabobank ProTeam,43,2010,21
17,213,S\xf8rensen Chris Anker,25,Saxo Bank,40,2010,21
18,202,F\xf6rster Robert,32,Milram,37,2010,21
19,71,Sastre Carlos,35,Cervelo Test Team,36,2010,21
20,147,Lloyd Matthew,27,Omega Pharma-Lotto,34,2010,21
21,215,Larsson Gustav,29,Saxo Bank,34,2010,21
22,167,Mollema Bauke,23,Rabobank ProTeam,31,2010,21
23,201,Gerdemann Linus,27,Milram,31,2010,21
24,23,Efimkin Alexander,28,AG2R La Mondiale,31,2010,21
25,59,Tschopp Johann,27,Bbox Bouygues Telecom,29,2010,21
26,89,Monier Damien,27,Cofidis Le Credit en Ligne,28,2010,21
27,34,Bertogliati Rubens,31,Androni Giocattoli - Serramenti PVC Diquigiovanni,28,2010,21
28,86,Fouchard Julien,23,Cofidis Le Credit en Ligne,26,2010,21
29,51,Voeckler Thomas,30,Bbox Bouygues Telecom,25,2010,21
30,25,Hinault S\xe9bastien,36,AG2R La Mondiale,25,2010,21
31,156,Samoilau Branislau,25,Quickstep - Innergetic,23,2010,21
32,161,Kruijswijk Steven,22,Rabobank ProTeam,21,2010,21
33,85,Duque Leonardo,30,Cofidis Le Credit en Ligne,21,2010,21
34,219,Porte Richie,25,Saxo Bank,20,2010,21
35,146,Kaisen Olivier,27,Omega Pharma-Lotto,18,2010,21
36,106,Mayoz Echeverria Iban,28,Footon-Servetto,18,2010,21
37,65,Kiryienka Vasil,28,Caisse d'Epargne,18,2010,21
38,174,Cummings Stephen,29,Sky Procycling,18,2010,21
39,75,Konovalovas Ignatas,24,Cervelo Test Team,18,2010,21
40,2,Bookwalter Brent,26,BMC Racing Team,17,2010,21
41,141,Lang Sebastian,30,Omega Pharma-Lotto,16,2010,21
42,135,Dall'Antonia Tiziano,26,Liquigas - Doimo,16,2010,21
43,148,Moreno Daniel,28,Omega Pharma-Lotto,15,2010,21
44,142,Bakelants Jan,24,Omega Pharma-Lotto,13,2010,21
45,186,Lewis Craig,25,Team HTC - Columbia,13,2010,21
46,163,Brown Graeme,31,Rabobank ProTeam,13,2010,21
47,68,Uran Rigoberto,23,Caisse d'Epargne,12,2010,21
48,136,Ki\u0161erlovski Robert,23,Liquigas - Doimo,10,2010,21
49,105,Eibegger Markus,25,Footon-Servetto,10,2010,21
50,22,Dupont Hubert,29,AG2R La Mondiale,9,2010,21
51,214,S\xf8rensen Nicki,35,Saxo Bank,9,2010,21
52,123,Simoni Gilberto,38,Lampre - Farnese Vini,8,2010,21
53,196,Ignatyev Mikhail,25,Katyusha,7,2010,21
54,172,Barry Michael,34,Sky Procycling,7,2010,21
55,128,Righi Daniele,34,Lampre - Farnese Vini,7,2010,21
56,37,Rodriguez Jackson,25,Androni Giocattoli - Serramenti PVC Diquigiovanni,7,2010,21
57,153,Facci Mauro,28,Quickstep - Innergetic,7,2010,21
58,36,Ochoa Carlos Jos\xe9,29,Androni Giocattoli - Serramenti PVC Diquigiovanni,6,2010,21
59,195,Horrach Joan,36,Katyusha,6,2010,21
60,73,Gustov Volodymyr,33,Cervelo Test Team,6,2010,21
61,81,Moncouti\xe9 David,35,Cofidis Le Credit en Ligne,6,2010,21
62,149,Wegelius Charles,32,Omega Pharma-Lotto,5,2010,21
63,98,Stortoni Simone,24,Colnago - CSF Inox,5,2010,21
64,126,Marzano Marco,29,Lampre - Farnese Vini,5,2010,21
65,38,Serpa Jose Rodolfo,31,Androni Giocattoli - Serramenti PVC Diquigiovanni,4,2010,21
66,15,Failli Francesco,26,Acqua & Sapone,4,2010,21
67,29,Turpin Ludovic,35,AG2R La Mondiale,4,2010,21
68,94,Bisolti Alessandro,25,Colnago - CSF Inox,4,2010,21
69,14,Donati Alessandro,31,Acqua & Sapone,4,2010,21
70,26,Krivtsov Yuriy,31,AG2R La Mondiale,4,2010,21
71,197,Mazzanti Luca,36,Katyusha,3,2010,21
72,192,Karpets Vladimir,29,Katyusha,2,2010,21
73,77,Wyss Marcel,23,Cervelo Test Team,2,2010,21
74,117,Martin Daniel,23,Team Garmin - Transitions,2,2010,21
75,52,Arashiro Yukiya,25,Bbox Bouygues Telecom,2,2010,21
76,199,Klimov Sergey,29,Katyusha,2,2010,21
77,183,Albasini Michael,29,Team HTC - Columbia,2,2010,21
78,162,Ardila Mauricio Alberto,31,Rabobank ProTeam,1,2010,21
79,18,Miholjevic Vladimir,36,Acqua & Sapone,1,2010,21
80,138,Szmyd Sylwester,32,Liquigas - Doimo,1,2010,21
81,102,Br\xe4ndle Matthias,20,Footon-Servetto,1,2010,21
82,97,Marangoni Alan,25,Colnago - CSF Inox,1,2010,21
