Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
25,171,50,,Kittel Marcel,1,Team Giant - Shimano,,2,2014
23,81,40,,Bouhanni Nacer,2,FDJ.fr,,2,2014
25,216,34,,Nizzolo Giacomo,3,Trek Factory Racing,,2,2014
31,104,32,,Ferrari Roberto,4,Lampre - Merida,,2,2014
25,69,28,,Viviani Elia,5,Cannondale,,2,2014
26,199,26,,Swift Ben,6,Team Sky,,2,2014
28,22,22,,Belletti Manuel,7,Androni Giocattoli - Venezuela,,2,2014
22,136,20,,Fedi Andrea,8,Neri Sottoli,,2,2014
23,155,18,,Matthews Michael,9,Orica GreenEDGE,,2,2014
24,12,16,,Appollonio Davide,10,AG2R La Mondiale,,2,2014
28,116,16,,Arm\xe9e Sander,11,Lotto Belisol,,2,2014
29,94,14,,Farrar Tyler,12,Garmin Sharp,,2,2014
24,42,12,,Bol Jetse,13,Belkin-Pro Cycling Team,,2,2014
36,48,12,,Tjallingii Maarten,14,Belkin-Pro Cycling Team,,2,2014
33,134,10,,Chicchi Francesco,15,Neri Sottoli,,2,2014
24,78,9,,Romero Jeffry,16,Team Colombia,,2,2014
23,117,8,,Van der Sande Tosh,17,Lotto Belisol,,2,2014
34,75,7,,Duque Leonardo,18,Team Colombia,,2,2014
23,38,6,,Ruffoni Nicola,19,Bardiani - CSF Pro Team,,2,2014
26,164,5,,Hurel Tony,20,Team Europcar,,2,2014
24,73,4,,Avila Edwin,21,Team Colombia,,2,2014
33,194,4,,Eisel Bernhard,22,Team Sky,,2,2014
23,174,3,,Ludvigsson Tobias,23,Team Giant - Shimano,,2,2014
23,36,3,,Colbrelli Sonny,24,Bardiani - CSF Pro Team,,2,2014
26,192,2,,Boasson Hagen Edvald,25,Team Sky,,2,2014
30,102,2,,Bono Matteo,26,Lampre - Merida,,2,2014
23,41,1,,Kelderman Wilco,27,Belkin-Pro Cycling Team,,2,2014
33,64,1,,Longo Borghini Paolo,28,Cannondale,,2,2014
26,171,100,1.0,Kittel Marcel,1,Team Giant - Shimano,-,3,2014
26,199,69,6.0,Swift Ben,2,Team Sky,\u25b24,3,2014
25,69,68,5.0,Viviani Elia,3,Cannondale,\u25b22,3,2014
23,81,65,2.0,Bouhanni Nacer,4,FDJ.fr,\u25bc2,3,2014
31,104,56,4.0,Ferrari Roberto,5,Lampre - Merida,\u25bc1,3,2014
25,216,50,3.0,Nizzolo Giacomo,6,Trek Factory Racing,\u25bc3,3,2014
24,12,44,10.0,Appollonio Davide,7,AG2R La Mondiale,\u25b23,3,2014
36,48,32,14.0,Tjallingii Maarten,8,Belkin-Pro Cycling Team,\u25b26,3,2014
28,22,32,7.0,Belletti Manuel,9,Androni Giocattoli - Venezuela,\u25bc2,3,2014
29,94,28,12.0,Farrar Tyler,10,Garmin Sharp,\u25b22,3,2014
26,192,24,25.0,Boasson Hagen Edvald,11,Team Sky,\u25b214,3,2014
23,155,23,9.0,Matthews Michael,12,Orica GreenEDGE,\u25bc3,3,2014
33,134,22,15.0,Chicchi Francesco,13,Neri Sottoli,\u25b22,3,2014
24,73,22,21.0,Avila Edwin,14,Team Colombia,\u25b27,3,2014
22,136,20,8.0,Fedi Andrea,15,Neri Sottoli,\u25bc7,3,2014
21,24,16,,Godoy Yonder,16,Androni Giocattoli - Venezuela,-,3,2014
28,116,16,11.0,Arm\xe9e Sander,17,Lotto Belisol,\u25bc6,3,2014
23,38,13,19.0,Ruffoni Nicola,18,Bardiani - CSF Pro Team,\u25b21,3,2014
26,164,13,20.0,Hurel Tony,19,Team Europcar,\u25b21,3,2014
29,79,12,,Rubiano Miguel Angel,20,Team Colombia,-,3,2014
24,42,12,13.0,Bol Jetse,21,Belkin-Pro Cycling Team,\u25bc8,3,2014
24,78,9,16.0,Romero Jeffry,22,Team Colombia,\u25bc6,3,2014
25,114,9,,Dockx Gert,23,Lotto Belisol,-,3,2014
34,75,8,18.0,Duque Leonardo,24,Team Colombia,\u25bc6,3,2014
23,117,8,17.0,Van der Sande Tosh,25,Lotto Belisol,\u25bc8,3,2014
24,132,7,,Cecchinel Giorgio,26,Neri Sottoli,-,3,2014
29,113,6,,Dehaes Kenny,27,Lotto Belisol,-,3,2014
33,194,5,22.0,Eisel Bernhard,28,Team Sky,\u25bc6,3,2014
40,146,4,,Petacchi Alessandro,29,Omega Pharma - Quick-Step,-,3,2014
23,36,3,24.0,Colbrelli Sonny,30,Bardiani - CSF Pro Team,\u25bc6,3,2014
23,174,3,23.0,Ludvigsson Tobias,31,Team Giant - Shimano,\u25bc8,3,2014
32,135,3,,Colli Daniele,32,Neri Sottoli,-,3,2014
24,67,2,,Ratto Daniele,33,Cannondale,-,3,2014
31,111,2,,Monfort Maxime,34,Lotto Belisol,-,3,2014
30,102,2,26.0,Bono Matteo,35,Lampre - Merida,\u25bc9,3,2014
23,41,1,27.0,Kelderman Wilco,36,Belkin-Pro Cycling Team,\u25bc9,3,2014
33,64,1,28.0,Longo Borghini Paolo,37,Cannondale,\u25bc9,3,2014
23,81,115,4.0,Bouhanni Nacer,1,FDJ.fr,\u25b23,4,2014
25,69,113,3.0,Viviani Elia,2,Cannondale,\u25b21,4,2014
25,216,106,6.0,Nizzolo Giacomo,3,Trek Factory Racing,\u25b23,4,2014
31,104,96,5.0,Ferrari Roberto,4,Lampre - Merida,\u25b21,4,2014
26,199,76,2.0,Swift Ben,5,Team Sky,\u25bc3,4,2014
